open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,42.8,42.87,42.51,42.74,383238
2016-01-05 09:30:00,42.89,43.26,42.82,42.85,273573
2016-01-06 09:30:00,42.22,42.53,42.04,42.46,354649
2016-01-07 09:30:00,41.38,41.99,41.25,41.88,558152
2016-01-08 09:30:00,41.55,41.69,41.32,41.61,347363
2016-01-11 09:30:00,41.11,41.3,40.92,41.02,472276
2016-01-12 09:30:00,41.53,41.85,41.38,41.72,327062
2016-01-13 09:30:00,41.91,42.11,41.55,41.63,272257
2016-01-14 09:30:00,39.97,40.35,39.41,39.44,556214
2016-01-15 09:30:00,39.64,40.25,39.55,39.86,616392
2016-01-19 09:30:00,40.56,40.64,40.15,40.56,256086
2016-01-20 09:30:00,39.0,39.29,38.91,38.91,287860
2016-01-21 09:30:00,39.75,40.13,39.64,39.78,261263
2016-01-22 09:30:00,39.81,40.27,39.79,40.23,510457
2016-01-25 09:30:00,39.36,39.59,39.08,39.14,237053
2016-01-26 09:30:00,39.15,39.33,38.94,39.01,493566
2016-01-27 09:30:00,39.52,40.01,39.36,39.88,392734
2016-01-28 09:30:00,37.55,38.29,37.31,37.35,2692482
2016-01-29 09:30:00,36.66,36.99,36.4,36.97,911502
2016-02-01 09:30:00,37.31,37.32,36.44,36.45,548137
2016-02-02 09:30:00,36.98,37.01,36.65,36.89,440014
2016-02-03 09:30:00,37.06,37.16,36.79,36.79,331104
2016-02-04 09:30:00,37.13,37.76,37.01,37.73,268276
2016-02-05 09:30:00,37.92,38.35,37.56,37.89,438641
2016-02-08 09:30:00,37.44,37.45,36.81,36.99,522593
2016-02-09 09:30:00,36.49,37.34,36.37,37.34,396693
2016-02-10 09:30:00,37.73,38.18,37.68,37.92,274328
2016-02-11 09:30:00,36.19,36.19,35.16,35.98,839164
2016-02-12 09:30:00,35.99,36.16,35.68,35.74,444918
2016-02-16 09:30:00,37.05,37.25,36.93,37.0,320675
2016-02-17 09:30:00,37.8,38.38,37.8,38.2,423453
2016-02-18 09:30:00,38.07,38.42,37.9,38.23,262144
2016-02-19 09:30:00,37.94,37.98,37.7,37.7,229501
2016-02-22 09:30:00,38.11,38.57,37.91,38.39,294975
2016-02-23 09:30:00,38.53,38.77,38.28,38.32,295722
2016-02-24 09:30:00,37.79,37.9,37.2,37.26,260901
2016-02-25 09:30:00,38.33,38.52,37.94,38.3,210873
2016-02-26 09:30:00,38.99,39.07,38.71,38.84,144317
2016-02-29 09:30:00,38.66,38.8,38.36,38.45,228944
2016-03-01 09:30:00,38.37,38.43,38.02,38.17,276831
2016-03-02 09:30:00,39.02,39.22,38.84,39.02,305911
2016-03-03 09:30:00,39.43,39.53,39.22,39.51,216060
2016-03-04 09:30:00,40.0,40.22,39.52,39.54,325060
2016-03-07 09:30:00,39.6,39.6,39.15,39.17,253386
2016-03-08 09:30:00,39.5,39.67,39.42,39.5,218396
2016-03-09 09:30:00,39.8,39.93,39.64,39.77,154657
2016-03-10 09:30:00,39.58,39.74,39.34,39.71,192978
2016-03-11 09:30:00,40.01,40.21,39.98,40.05,223931
2016-03-14 09:30:00,40.3,40.31,39.77,39.84,151545
2016-03-15 09:30:00,39.49,39.52,39.21,39.4,201010
2016-03-16 09:30:00,39.73,40.25,39.59,40.2,214938
2016-03-17 09:30:00,40.02,40.17,39.72,39.93,166755
2016-03-18 09:30:00,40.76,41.23,40.67,41.23,1070179
2016-03-21 09:30:00,41.39,41.54,41.22,41.27,172098
2016-03-22 09:30:00,40.99,41.22,40.8,40.98,232364
2016-03-23 09:30:00,41.12,41.14,40.87,40.91,85584
2016-03-24 09:30:00,40.56,40.56,40.26,40.44,155775
2016-03-28 09:30:00,40.78,40.86,40.5,40.53,145685
2016-03-29 09:30:00,40.32,40.32,39.91,40.25,150168
2016-03-30 09:30:00,41.39,41.71,41.36,41.45,403521
2016-03-31 09:30:00,41.18,41.52,41.09,41.36,229254
2016-04-01 09:30:00,41.47,41.58,41.3,41.46,207435
2016-04-04 09:30:00,42.09,42.12,41.75,41.93,160229
2016-04-05 09:30:00,41.3,41.39,41.07,41.31,205226
2016-04-06 09:30:00,41.8,42.04,41.66,41.75,312694
