open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,62.4,63.33,61.96,63.2,641680
2016-01-05 09:30:00,63.78,64.0,63.51,63.71,354869
2016-01-06 09:30:00,63.37,63.8,63.19,63.35,215133
2016-01-07 09:30:00,63.74,64.3,63.34,64.04,509005
2016-01-08 09:30:00,63.35,63.68,62.94,63.01,91622
2016-01-11 09:30:00,62.81,63.05,61.31,61.32,489792
2016-01-12 09:30:00,61.58,62.22,61.58,61.94,306421
2016-01-13 09:30:00,61.82,62.3,61.46,61.83,327595
2016-01-14 09:30:00,60.76,61.27,60.14,60.25,618460
2016-01-15 09:30:00,59.09,59.94,59.07,59.46,560176
2016-01-19 09:30:00,61.18,61.9,60.77,61.9,375062
2016-01-20 09:30:00,61.19,61.79,60.97,61.45,579284
2016-01-21 09:30:00,61.95,62.41,61.85,62.23,223523
2016-01-22 09:30:00,62.8,63.22,62.54,63.09,174163
2016-01-25 09:30:00,63.34,63.5,63.09,63.21,264317
2016-01-26 09:30:00,63.83,64.16,63.6,64.16,322643
2016-01-27 09:30:00,64.66,65.69,64.66,65.27,348925
2016-01-28 09:30:00,65.32,65.32,64.62,65.19,232821
2016-01-29 09:30:00,64.83,65.36,64.67,65.34,164484
2016-02-01 09:30:00,65.8,66.24,65.14,66.07,177499
2016-02-02 09:30:00,66.92,67.52,66.63,66.68,411328
2016-02-03 09:30:00,67.21,67.23,66.71,66.86,232245
2016-02-04 09:30:00,65.41,66.1,64.63,64.8,300642
2016-02-05 09:30:00,64.09,64.36,63.74,64.15,237732
2016-02-08 09:30:00,62.69,62.73,61.58,61.7,607538
2016-02-09 09:30:00,60.58,61.77,60.46,61.48,413021
2016-02-10 09:30:00,61.39,61.84,61.32,61.58,165767
2016-02-11 09:30:00,60.55,61.09,60.28,61.03,142128
2016-02-12 09:30:00,60.53,61.58,60.47,61.23,294875
2016-02-16 09:30:00,64.15,66.46,63.39,63.49,865366
2016-02-17 09:30:00,64.85,65.43,64.66,64.96,349736
2016-02-18 09:30:00,63.85,64.2,62.89,63.48,645152
2016-02-19 09:30:00,63.42,63.77,62.36,62.56,389241
2016-02-22 09:30:00,63.64,64.44,63.64,64.21,177683
2016-02-23 09:30:00,64.56,65.25,64.25,64.69,340397
2016-02-24 09:30:00,64.99,65.29,64.63,65.14,407799
2016-02-25 09:30:00,66.46,66.82,65.66,65.86,197824
2016-02-26 09:30:00,66.98,67.1,66.61,66.77,149626
2016-02-29 09:30:00,66.54,67.01,65.88,65.99,381432
2016-03-01 09:30:00,65.23,65.69,63.85,64.41,640073
2016-03-02 09:30:00,66.06,66.39,65.36,65.76,379995
2016-03-03 09:30:00,65.35,65.53,65.01,65.28,218188
2016-03-04 09:30:00,65.68,66.29,65.08,66.28,603858
2016-03-07 09:30:00,65.21,65.85,64.83,65.49,425616
2016-03-08 09:30:00,65.24,66.25,65.2,66.21,266756
2016-03-09 09:30:00,65.7,66.23,65.43,66.08,172537
2016-03-10 09:30:00,70.14,71.52,69.94,70.84,2184361
2016-03-11 09:30:00,73.86,74.75,73.86,74.49,1010284
2016-03-14 09:30:00,74.91,75.18,74.46,75.0,470432
2016-03-15 09:30:00,75.1,76.11,74.98,75.98,438167
2016-03-16 09:30:00,74.8,74.8,73.69,73.97,305650
2016-03-17 09:30:00,74.43,74.68,73.62,73.93,187073
2016-03-18 09:30:00,74.14,74.19,73.46,74.09,942763
2016-03-21 09:30:00,73.91,75.03,73.91,74.76,228884
2016-03-22 09:30:00,74.38,74.74,74.12,74.68,216440
2016-03-23 09:30:00,73.84,74.32,73.63,74.3,132513
2016-03-24 09:30:00,74.29,74.59,73.89,73.95,279347
2016-03-28 09:30:00,74.28,75.75,74.23,75.48,600848
2016-03-29 09:30:00,76.17,76.41,75.67,76.1,381413
