open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,57.41,58.07,57.19,57.51,104873
2016-01-05 09:30:00,57.94,58.72,57.74,58.7,120976
2016-01-06 09:30:00,57.29,57.57,57.02,57.32,102052
2016-01-07 09:30:00,56.25,56.68,56.13,56.34,117172
2016-01-08 09:30:00,55.96,56.95,55.88,56.63,112941
2016-01-11 09:30:00,55.67,56.13,55.33,55.39,74217
2016-01-12 09:30:00,56.51,57.15,56.24,56.89,81151
2016-01-13 09:30:00,56.11,56.49,55.79,56.11,58479
2016-01-14 09:30:00,55.08,55.14,54.31,54.42,49692
2016-01-15 09:30:00,53.62,54.3,53.62,53.62,181870
2016-01-19 09:30:00,54.74,54.79,53.9,54.19,61186
2016-01-20 09:30:00,53.36,53.64,52.91,53.09,66558
2016-01-21 09:30:00,53.59,53.76,52.95,53.3,61662
2016-01-22 09:30:00,53.63,54.43,53.41,53.93,125037
2016-01-25 09:30:00,54.31,55.03,54.12,54.24,45375
2016-01-26 09:30:00,54.18,54.49,53.69,54.04,196880
2016-01-27 09:30:00,54.23,54.76,53.68,53.92,106363
2016-01-28 09:30:00,54.68,55.4,53.3,53.35,144381
2016-01-29 09:30:00,53.01,53.1,52.28,52.58,109555
2016-02-01 09:30:00,54.04,54.24,53.51,53.86,103129
2016-02-02 09:30:00,53.58,54.07,53.46,53.85,50641
2016-02-03 09:30:00,52.95,53.02,52.22,52.35,64205
2016-02-04 09:30:00,52.61,52.79,52.33,52.59,56390
2016-02-05 09:30:00,52.55,52.56,51.93,51.96,90635
2016-02-08 09:30:00,50.65,50.79,50.22,50.32,61586
2016-02-09 09:30:00,49.2,50.12,49.1,49.62,144100
2016-02-10 09:30:00,49.97,51.01,49.86,50.83,117830
2016-02-11 09:30:00,50.42,51.07,50.37,51.06,106205
2016-02-12 09:30:00,50.83,51.31,50.81,50.87,47980
2016-02-16 09:30:00,51.13,51.49,51.03,51.08,68490
2016-02-17 09:30:00,52.49,52.88,51.9,52.51,67306
2016-02-18 09:30:00,53.21,53.93,52.55,53.93,99957
2016-02-19 09:30:00,54.26,54.59,53.72,54.09,212248
2016-02-22 09:30:00,55.01,55.76,54.88,55.38,70491
2016-02-23 09:30:00,54.86,55.03,54.46,54.86,66952
2016-02-24 09:30:00,54.0,54.23,53.69,53.9,83694
2016-02-25 09:30:00,54.72,55.11,54.55,54.94,57361
2016-02-26 09:30:00,55.01,55.39,54.96,55.3,57833
2016-02-29 09:30:00,55.32,55.39,54.86,54.88,36690
2016-03-01 09:30:00,55.81,55.81,54.86,55.33,99832
2016-03-02 09:30:00,56.14,56.51,56.0,56.28,38065
2016-03-03 09:30:00,55.72,56.11,55.72,56.05,53846
2016-03-04 09:30:00,57.37,57.53,57.14,57.17,65124
2016-03-07 09:30:00,56.69,56.99,56.68,56.81,46471
2016-03-08 09:30:00,56.95,56.98,56.15,56.53,74454
2016-03-09 09:30:00,56.49,56.69,56.23,56.54,81445
2016-03-10 09:30:00,56.83,56.86,56.51,56.7,42766
2016-03-11 09:30:00,56.59,57.25,56.47,57.25,56489
2016-03-14 09:30:00,57.73,58.34,57.73,57.85,64952
2016-03-15 09:30:00,57.03,57.33,56.88,57.01,44810
2016-03-16 09:30:00,56.99,57.48,56.76,57.42,86227
2016-03-17 09:30:00,57.21,57.37,56.67,56.68,69138
2016-03-18 09:30:00,56.98,57.37,56.85,57.31,167437
