open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,53.22,53.64,53.22,53.63,114904
2016-01-05 09:30:00,54.17,54.35,53.95,53.95,87952
2016-01-06 09:30:00,54.03,54.3,53.9,54.25,71761
2016-01-07 09:30:00,54.21,54.6,54.11,54.54,118157
2016-01-08 09:30:00,54.76,55.22,54.62,55.1,84451
2016-01-11 09:30:00,54.83,55.2,54.78,54.84,86266
2016-01-12 09:30:00,56.38,56.55,55.83,55.94,219006
2016-01-13 09:30:00,55.6,55.85,55.14,55.55,111102
2016-01-14 09:30:00,55.42,55.56,55.01,55.17,91506
2016-01-15 09:30:00,54.97,55.56,54.89,55.38,145802
2016-01-19 09:30:00,54.54,54.94,54.34,54.38,109233
2016-01-20 09:30:00,52.82,52.82,52.02,52.02,123979
2016-01-21 09:30:00,51.85,52.28,51.66,51.76,91130
2016-01-22 09:30:00,52.01,52.65,51.92,52.65,67352
2016-01-25 09:30:00,53.16,53.81,52.82,53.81,106051
2016-01-26 09:30:00,53.94,54.71,53.85,54.49,57387
2016-01-27 09:30:00,55.52,55.53,55.02,55.23,233975
2016-01-28 09:30:00,55.13,55.53,54.8,55.53,83189
2016-01-29 09:30:00,56.71,56.71,55.92,56.25,146795
2016-02-01 09:30:00,56.88,56.97,56.55,56.61,83827
2016-02-02 09:30:00,56.51,56.56,55.98,56.15,60885
2016-02-03 09:30:00,56.84,57.29,56.84,57.26,26359
2016-02-04 09:30:00,57.15,57.6,56.77,57.57,120540
2016-02-05 09:30:00,57.23,57.91,57.23,57.66,78990
2016-02-08 09:30:00,57.64,57.79,56.88,56.98,158197
2016-02-09 09:30:00,55.23,55.26,54.79,54.96,146199
2016-02-10 09:30:00,55.06,55.5,54.39,54.68,133285
2016-02-11 09:30:00,54.86,55.06,54.34,55.0,151297
2016-02-12 09:30:00,55.53,55.55,55.1,55.39,67099
2016-02-16 09:30:00,56.67,56.88,56.22,56.31,85156
2016-02-17 09:30:00,57.47,57.73,57.14,57.44,114431
2016-02-18 09:30:00,56.71,56.88,56.17,56.6,83121
2016-02-19 09:30:00,56.88,57.2,56.74,57.18,100467
2016-02-22 09:30:00,58.33,58.8,58.25,58.45,68313
2016-02-23 09:30:00,57.94,58.65,57.94,58.19,70787
2016-02-24 09:30:00,57.49,57.64,56.26,56.26,121360
2016-02-25 09:30:00,57.71,58.1,57.5,57.83,80314
2016-02-26 09:30:00,58.02,58.15,54.69,56.32,496838
2016-02-29 09:30:00,56.23,56.56,56.03,56.17,110858
2016-03-01 09:30:00,56.41,56.91,56.12,56.85,435239
2016-03-02 09:30:00,57.92,58.24,57.63,57.73,106418
2016-03-03 09:30:00,58.77,58.78,57.6,57.79,94256
2016-03-04 09:30:00,58.22,58.48,57.55,57.67,105299
2016-03-07 09:30:00,57.92,58.54,57.89,58.4,69415
2016-03-08 09:30:00,58.76,59.08,58.5,58.71,134840
2016-03-09 09:30:00,59.65,60.15,59.29,59.65,94754
2016-03-10 09:30:00,61.09,61.24,60.7,60.79,139960
2016-03-11 09:30:00,60.87,61.24,60.37,60.93,59145
2016-03-14 09:30:00,61.31,61.61,61.1,61.1,49804
2016-03-15 09:30:00,60.88,61.22,60.75,61.04,51894
2016-03-16 09:30:00,62.05,62.24,61.67,62.04,63541
2016-03-17 09:30:00,62.34,62.74,62.18,62.48,33269
2016-03-18 09:30:00,63.21,63.28,63.03,63.17,203004
2016-03-21 09:30:00,62.88,63.05,62.24,62.47,133131
2016-03-22 09:30:00,62.01,62.6,61.88,62.6,77553
2016-03-23 09:30:00,62.58,62.66,62.06,62.24,103939
2016-03-24 09:30:00,62.46,62.46,62.02,62.07,40668
2016-03-28 09:30:00,62.02,62.3,62.01,62.07,58613
2016-03-29 09:30:00,62.57,62.96,62.29,62.77,88875
2016-03-30 09:30:00,63.51,64.08,63.49,64.0,74848
2016-03-31 09:30:00,63.36,63.49,63.08,63.33,34607
2016-04-01 09:30:00,63.26,63.57,63.26,63.51,77887
2016-04-04 09:30:00,64.26,64.61,64.16,64.37,53105
2016-04-05 09:30:00,64.03,64.49,64.03,64.2,136729
2016-04-06 09:30:00,63.63,63.63,63.14,63.59,72484
2016-04-07 09:30:00,64.31,64.84,64.18,64.79,26883
2016-04-08 09:30:00,64.86,64.88,64.47,64.78,61754
2016-04-11 09:30:00,65.1,65.18,64.93,64.95,29316
2016-04-12 09:30:00,65.06,65.33,64.94,65.29,82375
2016-04-13 09:30:00,65.88,65.96,65.32,65.43,39640
2016-04-14 09:30:00,64.09,64.09,63.35,63.35,104029
2016-04-15 09:30:00,62.75,63.09,62.52,62.7,75949
2016-04-18 09:30:00,62.99,63.37,62.96,63.03,25384
2016-04-19 09:30:00,63.84,63.84,63.24,63.5,53764
2016-04-20 09:30:00,63.79,63.85,63.18,63.31,30193
2016-04-21 09:30:00,62.56,62.61,61.84,62.18,83547
2016-04-22 09:30:00,61.57,62.21,61.57,61.98,50773
2016-04-25 09:30:00,62.19,62.38,62.12,62.38,145328
2016-04-26 09:30:00,62.98,63.31,62.68,63.2,52350
2016-04-27 09:30:00,62.78,62.98,62.5,62.5,49025
2016-04-28 09:30:00,62.7,63.29,62.66,63.05,47680
2016-04-29 09:30:00,65.12,65.72,62.96,63.64,129452
2016-05-02 09:30:00,63.48,63.83,63.22,63.65,38884
2016-05-03 09:30:00,64.08,64.28,63.87,63.98,50737
2016-05-04 09:30:00,63.81,64.5,63.81,64.48,50932
2016-05-05 09:30:00,65.59,66.26,65.2,65.67,135488
2016-05-06 09:30:00,65.51,65.83,65.3,65.69,43893
2016-05-09 09:30:00,66.27,66.5,66.02,66.05,100686
2016-05-10 09:30:00,66.93,67.1,66.63,66.78,136430
2016-05-11 09:30:00,66.96,67.33,66.82,67.18,78208
2016-05-12 09:30:00,66.98,67.2,66.69,67.11,62604
2016-05-13 09:30:00,68.16,68.21,67.04,67.24,76943
2016-05-16 09:30:00,70.07,70.19,68.92,69.35,1026621
2016-05-17 09:30:00,68.44,68.72,68.06,68.34,2422172
2016-05-18 09:30:00,68.22,68.23,67.83,68.06,733678
2016-05-19 09:30:00,66.77,66.9,65.28,65.57,490681
2016-05-20 09:30:00,67.01,67.09,66.72,66.94,173955
2016-05-23 09:30:00,67.49,67.58,67.0,67.09,72347
2016-05-24 09:30:00,67.98,68.49,67.98,68.17,263006
2016-05-25 09:30:00,67.64,67.91,67.04,67.26,167889
2016-05-26 09:30:00,68.21,68.24,67.82,67.9,77661
2016-05-27 09:30:00,68.08,68.5,67.98,68.42,89155
2016-05-31 09:30:00,68.14,68.39,67.93,68.03,91663
2016-06-01 09:30:00,68.52,68.67,67.76,68.15,176222
2016-06-02 09:30:00,68.52,68.95,68.4,68.67,111346
2016-06-03 09:30:00,70.03,70.28,69.62,70.23,148532
2016-06-06 09:30:00,70.64,71.4,70.58,71.05,194301
2016-06-07 09:30:00,71.59,72.3,71.59,72.2,180969
2016-06-08 09:30:00,73.1,73.26,72.56,72.9,190055
2016-06-09 09:30:00,73.68,73.96,73.36,73.9,95087
2016-06-10 09:30:00,73.56,73.94,73.37,73.94,104258
2016-06-13 09:30:00,73.9,73.9,73.12,73.42,190000
2016-06-14 09:30:00,72.61,72.65,72.07,72.39,132987
2016-06-15 09:30:00,72.84,73.0,72.67,72.97,78037
2016-06-16 09:30:00,72.62,72.99,72.51,72.72,104301
2016-06-17 09:30:00,73.62,73.62,73.11,73.36,236982
2016-06-20 09:30:00,74.5,75.08,74.33,74.72,112576
2016-06-21 09:30:00,74.22,74.67,74.22,74.58,74262
2016-06-22 09:30:00,75.35,75.49,75.17,75.37,60137
2016-06-23 09:30:00,75.93,76.35,75.67,75.72,104357
2016-06-24 09:30:00,74.51,75.22,73.91,74.92,201416
2016-06-27 09:30:00,74.88,75.31,74.78,75.25,112401
2016-06-28 09:30:00,75.9,77.0,75.72,77.0,214757
2016-06-29 09:30:00,77.83,78.23,77.54,77.83,112992
2016-06-30 09:30:00,78.4,78.79,78.03,78.19,76093
2016-07-01 09:30:00,79.23,79.67,79.14,79.58,76608
2016-07-05 09:30:00,78.98,79.56,78.98,79.56,103936
2016-07-06 09:30:00,80.59,81.25,80.48,80.96,150161
2016-07-07 09:30:00,80.79,81.19,80.26,80.36,135464
2016-07-08 09:30:00,79.42,79.85,79.28,79.49,124829
2016-07-11 09:30:00,79.93,80.05,78.74,78.75,127742
2016-07-12 09:30:00,79.7,79.83,78.87,78.93,81054
2016-07-13 09:30:00,79.7,79.7,78.98,78.98,57284
2016-07-14 09:30:00,79.36,79.67,79.04,79.53,99770
2016-07-15 09:30:00,77.54,77.96,77.4,77.52,156274
2016-07-18 09:30:00,76.93,77.33,76.73,77.02,167928
2016-07-19 09:30:00,76.21,76.54,76.12,76.44,165880
2016-07-20 09:30:00,76.8,77.17,76.45,76.67,97464
2016-07-21 09:30:00,75.93,75.93,74.81,74.93,166836
2016-07-22 09:30:00,74.11,75.2,73.95,75.07,170526
2016-07-25 09:30:00,76.8,77.2,76.31,76.39,159602
2016-07-26 09:30:00,76.17,76.31,75.99,76.01,50660
2016-07-27 09:30:00,76.17,76.22,75.86,76.17,55909
2016-07-28 09:30:00,76.78,76.94,76.47,76.91,78141
2016-07-29 09:30:00,76.12,76.8,73.44,75.28,612466
2016-08-01 09:30:00,75.85,76.73,75.83,76.49,99210
2016-08-02 09:30:00,76.88,77.3,76.59,76.8,216904
2016-08-03 09:30:00,75.5,75.72,74.55,74.74,111894
2016-08-04 09:30:00,74.33,74.51,73.95,74.14,147570
2016-08-05 09:30:00,74.76,74.76,74.08,74.35,98650
2016-08-08 09:30:00,73.07,73.14,72.15,72.17,194793
2016-08-09 09:30:00,72.78,72.81,72.13,72.28,117622
2016-08-10 09:30:00,73.74,74.16,73.44,73.5,71316
2016-08-11 09:30:00,73.67,73.96,73.22,73.22,73563
2016-08-12 09:30:00,73.99,74.75,73.67,74.61,71360
2016-08-15 09:30:00,74.64,75.15,74.59,74.96,59501
2016-08-16 09:30:00,73.49,73.49,72.74,72.92,67902
2016-08-17 09:30:00,73.18,73.41,73.08,73.08,120737
2016-08-18 09:30:00,73.88,74.06,73.65,73.86,88497
2016-08-19 09:30:00,73.29,73.43,72.78,73.16,104034
2016-08-22 09:30:00,73.48,73.83,73.09,73.58,143098
2016-08-23 09:30:00,73.33,73.6,72.55,72.73,145909
2016-08-24 09:30:00,72.25,72.55,71.52,71.58,200095
2016-08-25 09:30:00,71.54,72.23,71.2,71.2,115211
2016-08-26 09:30:00,71.6,72.48,71.46,72.43,152053
2016-08-29 09:30:00,72.28,73.02,72.22,72.69,59014
2016-08-30 09:30:00,73.01,73.08,72.46,72.64,144360
2016-08-31 09:30:00,71.54,71.95,71.21,71.62,37854
2016-09-01 09:30:00,71.73,72.01,71.54,71.98,76500
2016-09-02 09:30:00,72.32,74.37,72.32,73.83,131667
2016-09-06 09:30:00,72.76,72.91,71.88,71.99,100587
2016-09-07 09:30:00,73.83,73.9,73.11,73.31,69507
2016-09-08 09:30:00,73.38,73.38,72.59,72.72,70032
2016-09-09 09:30:00,72.12,72.43,70.51,70.56,166199
2016-09-12 09:30:00,69.38,70.05,69.28,69.52,257509
2016-09-13 09:30:00,68.99,69.27,68.29,68.5,391605
2016-09-14 09:30:00,68.34,68.49,67.73,67.93,204885
2016-09-15 09:30:00,67.33,67.47,66.76,67.12,255648
2016-09-16 09:30:00,67.5,67.74,67.16,67.44,220730
2016-09-19 09:30:00,68.17,68.64,67.6,68.61,253379
2016-09-20 09:30:00,69.0,69.22,68.67,68.9,113324
2016-09-21 09:30:00,68.78,69.28,68.53,69.17,155855
2016-09-22 09:30:00,70.28,71.49,70.21,71.49,149017
2016-09-23 09:30:00,71.39,71.72,71.02,71.21,260267
2016-09-26 09:30:00,71.17,71.47,70.74,71.03,325307
2016-09-27 09:30:00,71.79,71.79,71.1,71.6,213518
2016-09-28 09:30:00,72.94,73.02,72.12,72.77,496197
2016-09-29 09:30:00,72.27,72.51,71.06,71.31,307830
2016-09-30 09:30:00,72.1,72.73,71.16,71.17,184493
2016-10-03 09:30:00,70.77,70.77,69.64,69.94,144388
2016-10-04 09:30:00,68.75,68.75,67.03,67.17,216104
2016-10-05 09:30:00,67.48,67.66,66.8,66.82,127678
2016-10-06 09:30:00,65.92,66.64,65.23,66.51,175398
2016-10-07 09:30:00,66.88,68.59,66.85,67.96,276551
2016-10-10 09:30:00,67.04,67.77,67.04,67.65,117280
2016-10-11 09:30:00,67.59,67.82,66.8,67.61,79436
2016-10-12 09:30:00,67.08,67.14,66.71,67.04,86503
2016-10-13 09:30:00,68.07,68.14,67.62,68.1,148160
2016-10-14 09:30:00,69.27,69.64,68.53,69.64,65594
2016-10-17 09:30:00,69.31,69.58,69.0,69.44,105545
2016-10-18 09:30:00,70.07,70.07,69.53,69.87,39742
2016-10-19 09:30:00,70.76,71.03,70.34,70.34,66812
2016-10-20 09:30:00,70.52,70.95,70.51,70.78,45930
2016-10-21 09:30:00,69.68,70.08,69.51,70.08,111539
2016-10-24 09:30:00,70.52,71.04,70.39,70.39,68333
2016-10-25 09:30:00,70.34,70.35,69.31,69.54,98044
2016-10-26 09:30:00,70.41,71.07,69.95,70.26,114291
2016-10-27 09:30:00,71.43,71.43,68.04,68.19,198538
2016-10-28 09:30:00,67.38,68.57,66.52,67.0,273483
2016-10-31 09:30:00,68.1,68.27,67.45,67.98,102169
2016-11-01 09:30:00,68.34,68.54,67.62,68.16,88105
2016-11-02 09:30:00,65.73,66.04,65.13,65.45,111480
2016-11-03 09:30:00,64.73,64.73,63.31,63.54,150610
2016-11-04 09:30:00,65.04,65.28,64.67,65.1,67061
2016-11-07 09:30:00,67.32,68.02,67.32,67.88,189813
2016-11-08 09:30:00,68.48,69.54,67.56,69.44,266842
2016-11-09 09:30:00,67.34,68.12,66.05,66.67,329774
2016-11-10 09:30:00,66.53,66.79,63.94,64.47,309149
2016-11-11 09:30:00,64.53,65.43,64.53,64.91,102917
2016-11-14 09:30:00,64.2,64.22,62.63,62.89,195091
2016-11-15 09:30:00,65.9,67.09,65.79,66.69,150004
2016-11-16 09:30:00,65.81,66.1,65.21,65.64,185200
2016-11-17 09:30:00,65.18,65.67,64.75,64.84,94953
2016-11-18 09:30:00,64.33,64.71,64.16,64.39,180111
2016-11-21 09:30:00,65.61,66.46,65.53,65.82,133615
2016-11-22 09:30:00,65.67,65.67,65.24,65.43,71314
2016-11-23 09:30:00,66.72,67.29,66.17,66.24,75320
2016-11-25 09:30:00,65.64,66.73,65.57,66.54,73613
2016-11-28 09:30:00,66.51,67.25,66.19,67.02,68190
2016-11-29 09:30:00,67.08,68.37,67.03,68.35,120821
2016-11-30 09:30:00,68.0,68.0,67.06,67.36,95905
2016-12-01 09:30:00,67.01,67.38,64.73,64.91,228620
2016-12-02 09:30:00,64.85,66.43,64.84,66.02,99946
2016-12-05 09:30:00,65.24,65.77,65.17,65.69,79129
2016-12-06 09:30:00,65.95,66.6,65.83,65.83,102421
2016-12-07 09:30:00,65.94,66.85,65.92,66.61,92601
2016-12-08 09:30:00,67.95,69.05,67.59,68.37,194359
2016-12-09 09:30:00,69.3,70.0,68.94,69.43,149847
2016-12-12 09:30:00,68.57,69.97,68.57,69.84,107831
2016-12-13 09:30:00,71.2,71.75,70.88,71.59,227361
2016-12-14 09:30:00,71.59,71.66,70.9,71.24,84129
2016-12-15 09:30:00,69.51,70.11,68.93,69.38,160878
2016-12-16 09:30:00,70.68,71.29,69.69,70.6,239067
2016-12-19 09:30:00,70.88,70.9,70.04,70.61,94709
2016-12-20 09:30:00,71.29,71.9,71.16,71.7,107802
2016-12-21 09:30:00,70.74,71.91,70.74,71.79,83107
2016-12-22 09:30:00,70.24,70.77,70.12,70.55,52888
2016-12-23 09:30:00,71.2,71.59,70.97,71.42,42025
2016-12-27 09:30:00,71.33,71.47,70.86,71.12,41304
2016-12-28 09:30:00,71.34,71.53,70.76,70.8,65963
2016-12-29 09:30:00,71.01,71.96,70.93,71.96,86482
2016-12-30 09:30:00,72.44,72.63,71.89,72.52,91552
2017-01-03 09:30:00,72.99,73.25,72.46,72.7,196640
