open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,41.06,41.2,40.86,41.12,295849
2016-01-05 09:30:00,42.11,42.26,41.42,41.54,84692
2016-01-06 09:30:00,40.59,41.01,40.52,40.87,150988
2016-01-07 09:30:00,39.68,40.4,39.45,39.7,129779
2016-01-08 09:30:00,39.99,40.18,39.49,39.68,162412
2016-01-11 09:30:00,39.61,39.8,38.92,39.01,214846
2016-01-12 09:30:00,39.57,39.77,39.27,39.41,277479
2016-01-13 09:30:00,38.05,39.23,37.96,39.04,275017
2016-01-14 09:30:00,37.82,37.92,37.04,37.05,185391
2016-01-15 09:30:00,36.7,36.81,36.37,36.5,481298
2016-01-19 09:30:00,36.54,36.83,36.24,36.47,245257
2016-01-20 09:30:00,35.85,35.93,35.46,35.5,186288
2016-01-21 09:30:00,35.64,36.16,35.51,35.71,107192
2016-01-22 09:30:00,36.95,37.08,36.67,37.06,205757
2016-01-25 09:30:00,36.32,36.35,35.91,36.27,144231
2016-01-26 09:30:00,36.68,37.65,36.56,37.05,433322
2016-01-27 09:30:00,38.09,38.31,37.77,37.96,230136
2016-01-28 09:30:00,38.67,38.91,38.35,38.43,290325
2016-01-29 09:30:00,38.84,39.6,38.84,39.48,173751
2016-02-01 09:30:00,39.04,39.44,38.89,38.97,361823
2016-02-02 09:30:00,39.03,39.1,38.5,38.77,370051
2016-02-03 09:30:00,39.24,39.39,38.72,38.78,321050
2016-02-04 09:30:00,39.78,41.19,39.77,41.15,376766
2016-02-05 09:30:00,40.61,41.1,40.35,40.93,147708
2016-02-08 09:30:00,40.39,40.67,40.32,40.44,188975
2016-02-09 09:30:00,40.22,40.55,39.96,40.46,213553
2016-02-10 09:30:00,39.79,39.9,38.93,39.29,225225
2016-02-11 09:30:00,38.19,38.98,38.11,38.88,117787
2016-02-12 09:30:00,39.59,40.61,39.19,39.64,236217
2016-02-16 09:30:00,40.87,41.04,40.13,40.44,123128
2016-02-17 09:30:00,41.61,42.34,41.39,42.14,184711
2016-02-18 09:30:00,42.02,42.48,41.81,42.48,178021
2016-02-19 09:30:00,42.01,42.01,41.36,41.41,315796
2016-02-22 09:30:00,41.99,42.38,41.77,42.04,380291
2016-02-23 09:30:00,41.9,42.2,41.72,42.01,239004
2016-02-24 09:30:00,40.52,40.75,39.82,39.94,231455
2016-02-25 09:30:00,41.1,41.26,40.78,40.85,135430
2016-02-26 09:30:00,42.13,42.31,41.84,42.08,155183
2016-02-29 09:30:00,42.13,42.25,41.99,42.19,73287
2016-03-01 09:30:00,42.28,42.37,41.77,42.04,186619
2016-03-02 09:30:00,42.39,43.01,42.38,42.53,315003
2016-03-03 09:30:00,42.83,43.32,42.83,42.9,143117
2016-03-04 09:30:00,43.14,43.22,42.76,42.92,64888
2016-03-07 09:30:00,43.29,44.01,43.29,43.84,142882
2016-03-08 09:30:00,44.3,44.44,43.65,43.69,310082
2016-03-09 09:30:00,43.43,43.58,42.38,42.58,290495
2016-03-10 09:30:00,42.67,42.69,42.13,42.61,205753
2016-03-11 09:30:00,42.5,43.09,42.33,42.85,366868
2016-03-14 09:30:00,42.91,43.25,42.64,42.9,91142
2016-03-15 09:30:00,40.57,42.24,40.51,41.54,870135
2016-03-16 09:30:00,42.28,42.72,42.23,42.68,132080
2016-03-17 09:30:00,44.05,44.4,43.88,44.39,154108
2016-03-18 09:30:00,45.17,45.53,45.05,45.4,343609
2016-03-21 09:30:00,44.85,45.54,44.68,45.33,180923
2016-03-22 09:30:00,45.13,45.52,45.05,45.45,57572
2016-03-23 09:30:00,45.38,45.52,45.14,45.43,104879
2016-03-24 09:30:00,44.26,44.35,43.95,44.06,80801
2016-03-28 09:30:00,44.45,44.58,44.16,44.31,82273
2016-03-29 09:30:00,43.84,43.99,43.69,43.8,80031
2016-03-30 09:30:00,44.75,45.04,44.64,44.7,98568
2016-03-31 09:30:00,44.31,44.44,44.13,44.13,76028
2016-04-01 09:30:00,43.8,43.98,43.12,43.25,139979
2016-04-04 09:30:00,44.05,44.26,43.6,44.11,100904
2016-04-05 09:30:00,42.85,42.98,42.41,42.63,159550
2016-04-06 09:30:00,42.83,42.9,42.39,42.45,55932
2016-04-07 09:30:00,43.07,43.14,42.87,43.09,40413
2016-04-08 09:30:00,43.69,44.09,43.6,44.08,73501
2016-04-11 09:30:00,43.44,43.9,43.4,43.89,82651
2016-04-12 09:30:00,44.21,44.79,43.94,44.67,152743
2016-04-13 09:30:00,45.08,45.26,44.91,45.21,93284
2016-04-14 09:30:00,45.75,46.01,45.47,45.56,112839
2016-04-15 09:30:00,45.36,45.47,45.19,45.3,103181
2016-04-18 09:30:00,44.92,45.43,44.8,45.41,73291
2016-04-19 09:30:00,46.2,46.88,45.92,46.86,103925
2016-04-20 09:30:00,46.77,46.95,46.5,46.66,106025
2016-04-21 09:30:00,45.74,46.52,44.7,46.49,396240
2016-04-22 09:30:00,45.88,46.69,45.88,46.54,150423
2016-04-25 09:30:00,46.47,46.86,46.22,46.39,227495
2016-04-26 09:30:00,45.93,46.15,45.69,45.89,99777
2016-04-27 09:30:00,45.87,46.16,45.87,46.07,126616
2016-04-28 09:30:00,45.65,45.98,45.27,45.94,102813
2016-04-29 09:30:00,45.35,45.87,45.3,45.42,255720
2016-05-02 09:30:00,44.86,45.36,44.53,44.72,228048
2016-05-03 09:30:00,44.75,44.84,44.48,44.56,179024
2016-05-04 09:30:00,44.35,44.73,44.22,44.62,85354
2016-05-05 09:30:00,44.17,44.28,43.68,44.05,183808
2016-05-06 09:30:00,43.38,43.89,43.38,43.78,183401
2016-05-09 09:30:00,43.66,43.73,43.44,43.62,101060
2016-05-10 09:30:00,44.17,44.55,43.86,44.28,283841
2016-05-11 09:30:00,45.25,45.37,45.01,45.12,87168
2016-05-12 09:30:00,45.53,45.93,45.38,45.6,124221
2016-05-13 09:30:00,45.35,45.68,45.22,45.33,60373
2016-05-16 09:30:00,44.88,45.54,44.81,45.32,121928
2016-05-17 09:30:00,45.63,45.98,45.45,45.87,126375
2016-05-18 09:30:00,45.52,45.63,45.14,45.25,80741
2016-05-19 09:30:00,44.75,44.75,44.07,44.07,141713
2016-05-20 09:30:00,44.49,44.74,44.22,44.51,146034
2016-05-23 09:30:00,44.33,44.48,44.02,44.04,51495
2016-05-24 09:30:00,44.9,44.9,44.47,44.69,70480
2016-05-25 09:30:00,45.58,45.96,45.4,45.87,87743
2016-05-26 09:30:00,46.18,46.62,46.13,46.2,289512
2016-05-27 09:30:00,46.04,46.27,45.92,46.07,49840
2016-05-31 09:30:00,46.22,46.42,46.16,46.27,248459
2016-06-01 09:30:00,45.8,45.98,45.56,45.84,133522
2016-06-02 09:30:00,46.23,46.23,45.89,46.14,131332
2016-06-03 09:30:00,46.31,46.6,45.99,46.0,70968
2016-06-06 09:30:00,46.52,46.82,46.31,46.72,342511
2016-06-07 09:30:00,48.44,48.75,48.44,48.66,195494
2016-06-08 09:30:00,49.67,50.05,49.56,49.97,270531
2016-06-09 09:30:00,49.05,49.81,49.05,49.5,371495
2016-06-10 09:30:00,49.53,49.78,49.06,49.39,309586
2016-06-13 09:30:00,48.67,48.78,48.44,48.63,115904
2016-06-14 09:30:00,48.39,48.67,48.18,48.33,120771
2016-06-15 09:30:00,47.95,48.41,47.95,48.23,154899
