open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,33.07,33.17,32.77,32.81,1032881
2016-01-05 09:30:00,32.98,32.98,32.3,32.31,796752
2016-01-06 09:30:00,32.19,32.2,31.81,31.99,1315388
2016-01-07 09:30:00,31.28,31.53,31.13,31.44,1015415
2016-01-08 09:30:00,30.93,31.29,30.88,31.27,1218584
2016-01-11 09:30:00,30.47,30.57,29.71,29.85,1037133
2016-01-12 09:30:00,30.2,30.21,30.02,30.11,677628
2016-01-13 09:30:00,29.72,29.75,29.33,29.35,696019
2016-01-14 09:30:00,28.7,28.7,28.36,28.39,860300
2016-01-15 09:30:00,28.17,28.67,28.15,28.49,1798793
2016-01-19 09:30:00,28.58,28.64,27.98,28.19,876122
2016-01-20 09:30:00,27.33,27.41,27.03,27.08,1170397
2016-01-21 09:30:00,27.18,27.32,26.79,26.81,781613
2016-01-22 09:30:00,28.31,29.01,28.23,28.55,1724341
2016-01-25 09:30:00,28.16,28.22,27.87,28.04,768602
2016-01-26 09:30:00,27.84,27.96,27.22,27.53,918674
2016-01-27 09:30:00,27.99,28.16,27.7,27.86,437365
2016-01-28 09:30:00,27.61,27.7,27.18,27.36,737280
2016-01-29 09:30:00,27.49,27.58,27.23,27.29,1024154
2016-02-01 09:30:00,27.33,27.49,27.09,27.41,807146
2016-02-02 09:30:00,29.01,29.23,28.14,28.27,2347264
2016-02-03 09:30:00,30.06,30.5,30.04,30.44,1880953
2016-02-04 09:30:00,30.85,31.22,30.71,31.06,1044851
2016-02-05 09:30:00,31.21,31.22,30.8,31.0,779118
2016-02-08 09:30:00,30.54,30.85,30.34,30.57,1065390
2016-02-09 09:30:00,30.06,30.8,30.04,30.76,693978
2016-02-10 09:30:00,30.73,30.73,30.44,30.62,430569
2016-02-11 09:30:00,29.68,30.11,29.58,30.07,940175
2016-02-12 09:30:00,29.76,29.94,29.5,29.92,586912
2016-02-16 09:30:00,30.36,30.56,30.23,30.25,864327
2016-02-17 09:30:00,30.94,31.23,30.86,31.13,869844
2016-02-18 09:30:00,31.5,31.57,31.41,31.55,493743
2016-02-19 09:30:00,31.16,31.19,31.0,31.02,1283061
2016-02-22 09:30:00,31.27,31.59,31.25,31.42,526467
2016-02-23 09:30:00,31.29,31.29,31.06,31.15,402127
2016-02-24 09:30:00,30.5,30.65,30.38,30.46,461515
2016-02-25 09:30:00,31.11,31.17,30.87,30.98,355598
2016-02-26 09:30:00,31.85,31.92,31.76,31.88,562810
2016-02-29 09:30:00,31.97,32.44,31.88,32.42,714741
2016-03-01 09:30:00,32.33,32.46,32.24,32.34,672769
2016-03-02 09:30:00,32.57,32.86,32.48,32.57,1074505
2016-03-03 09:30:00,32.65,32.79,32.36,32.59,418010
2016-03-04 09:30:00,32.6,32.75,32.36,32.38,589849
2016-03-07 09:30:00,32.84,33.15,32.53,32.84,2322951
