open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,98.84,99.0,97.62,98.1,56519
2016-01-05 09:30:00,98.72,99.44,98.36,98.87,64944
2016-01-06 09:30:00,96.98,98.46,96.7,98.26,133101
2016-01-07 09:30:00,97.08,98.41,96.82,98.27,52956
2016-01-08 09:30:00,96.26,97.95,96.19,97.95,90485
2016-01-11 09:30:00,98.41,98.96,97.99,98.09,45711
2016-01-12 09:30:00,96.37,97.08,95.84,96.9,39741
2016-01-13 09:30:00,98.35,98.87,97.27,97.53,107670
2016-01-14 09:30:00,97.05,97.29,95.04,95.2,32452
2016-01-15 09:30:00,94.38,94.68,93.03,93.03,121590
2016-01-19 09:30:00,94.07,95.14,93.75,94.11,50457
2016-01-20 09:30:00,92.55,94.01,92.55,92.89,35195
2016-01-21 09:30:00,96.34,96.38,94.77,95.34,37304
2016-01-22 09:30:00,97.52,98.96,97.35,98.9,124436
2016-01-25 09:30:00,100.64,100.67,99.14,99.26,34105
2016-01-26 09:30:00,99.57,100.33,99.13,99.45,40979
2016-01-27 09:30:00,100.37,100.82,100.11,100.11,22474
2016-01-28 09:30:00,100.24,100.7,99.78,100.67,25642
2016-01-29 09:30:00,100.9,101.57,100.45,100.46,94224
2016-02-01 09:30:00,102.06,102.82,101.63,102.56,55318
2016-02-02 09:30:00,102.28,102.33,101.35,101.98,43326
2016-02-03 09:30:00,102.58,102.58,101.41,102.1,25215
2016-02-04 09:30:00,102.08,102.69,101.12,101.88,40852
2016-02-05 09:30:00,102.47,102.9,101.9,102.4,27534
2016-02-08 09:30:00,97.97,97.99,96.6,97.16,45978
2016-02-09 09:30:00,96.36,97.81,95.97,97.41,44383
2016-02-10 09:30:00,96.13,97.7,96.0,97.46,94163
2016-02-11 09:30:00,94.78,95.67,94.56,95.14,56106
2016-02-12 09:30:00,96.93,97.86,96.46,97.33,52589
2016-02-16 09:30:00,99.41,100.21,99.39,99.66,58060
2016-02-17 09:30:00,100.26,101.98,100.26,101.88,57884
2016-02-18 09:30:00,101.47,102.01,100.71,101.57,58275
2016-02-19 09:30:00,100.58,101.63,100.09,100.59,98125
2016-02-22 09:30:00,102.66,103.37,101.95,103.25,100017
2016-02-23 09:30:00,103.48,104.91,103.4,104.89,51325
2016-02-24 09:30:00,104.72,105.61,104.4,104.52,148531
2016-02-25 09:30:00,114.06,114.82,111.89,113.88,953227
2016-02-26 09:30:00,119.57,121.12,119.57,119.78,225390
2016-02-29 09:30:00,120.07,121.73,118.3,118.95,360717
2016-03-01 09:30:00,119.55,120.83,118.33,119.11,143824
2016-03-02 09:30:00,119.72,120.22,118.43,118.65,101533
2016-03-03 09:30:00,118.78,119.03,118.26,118.51,112957
2016-03-04 09:30:00,119.47,119.69,118.64,119.35,54697
2016-03-07 09:30:00,119.06,120.35,118.49,120.3,74743
2016-03-08 09:30:00,119.67,120.91,119.6,120.91,48712
2016-03-09 09:30:00,120.95,122.54,120.95,122.14,169906
2016-03-10 09:30:00,120.97,121.77,120.54,120.64,27909
2016-03-11 09:30:00,120.41,120.61,119.18,119.23,54089
2016-03-14 09:30:00,118.98,119.49,118.24,118.41,59524
2016-03-15 09:30:00,118.64,119.57,118.64,118.92,16259
2016-03-16 09:30:00,117.92,118.67,117.74,118.52,39136
2016-03-17 09:30:00,118.58,118.86,118.07,118.58,17068
2016-03-18 09:30:00,118.24,118.82,117.33,117.87,118218
2016-03-21 09:30:00,118.09,118.48,118.01,118.21,30866
2016-03-22 09:30:00,118.61,118.97,117.79,117.86,40493
2016-03-23 09:30:00,117.81,118.29,117.19,118.15,52474
2016-03-24 09:30:00,117.05,117.05,116.49,116.86,37020
2016-03-28 09:30:00,116.63,116.69,115.86,116.69,51433
2016-03-29 09:30:00,116.51,117.33,116.01,116.87,34877
2016-03-30 09:30:00,117.89,118.35,117.41,117.41,44625
2016-03-31 09:30:00,117.94,118.53,117.27,117.27,17555
2016-04-01 09:30:00,118.53,119.97,118.3,119.97,46609
2016-04-04 09:30:00,120.66,121.14,120.3,120.58,37688
2016-04-05 09:30:00,118.96,120.14,118.81,119.14,18265
2016-04-06 09:30:00,119.6,121.42,119.37,121.23,54347
2016-04-07 09:30:00,121.8,122.91,121.8,122.69,43068
2016-04-08 09:30:00,123.5,124.14,122.7,123.86,33628
2016-04-11 09:30:00,124.34,124.71,123.67,124.34,58699
2016-04-12 09:30:00,123.01,123.22,122.09,122.23,65147
2016-04-13 09:30:00,123.43,123.93,123.31,123.87,40431
2016-04-14 09:30:00,123.99,124.16,122.93,123.74,22531
2016-04-15 09:30:00,123.88,124.25,123.23,123.8,15100
2016-04-18 09:30:00,124.93,124.94,124.32,124.63,11597
2016-04-19 09:30:00,124.84,125.12,123.52,123.87,26250
