open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,47.14,47.2,46.73,47.02,309811
2016-01-05 09:30:00,47.6,47.74,47.11,47.16,169301
2016-01-06 09:30:00,47.48,47.9,47.39,47.73,196720
2016-01-07 09:30:00,47.07,47.73,46.91,47.42,221364
2016-01-08 09:30:00,47.35,47.9,47.35,47.53,161700
2016-01-11 09:30:00,47.15,47.32,46.85,47.09,187556
2016-01-12 09:30:00,47.1,47.26,46.83,47.14,314580
2016-01-13 09:30:00,47.22,47.23,46.73,46.76,249617
2016-01-14 09:30:00,46.74,46.77,45.63,45.74,122185
2016-01-15 09:30:00,45.78,46.05,45.49,45.76,194936
2016-01-19 09:30:00,46.0,46.48,45.89,46.22,170524
2016-01-20 09:30:00,45.34,45.59,44.91,45.05,205912
2016-01-21 09:30:00,44.96,45.13,44.5,44.9,505401
2016-01-22 09:30:00,46.02,46.93,45.92,46.87,184725
2016-01-25 09:30:00,46.93,47.02,46.82,46.94,140481
2016-01-26 09:30:00,46.25,46.77,46.03,46.51,194346
2016-01-27 09:30:00,47.01,47.3,46.76,46.89,225498
2016-01-28 09:30:00,47.28,47.96,47.05,47.66,161744
2016-01-29 09:30:00,46.89,47.56,46.54,46.86,355092
2016-02-01 09:30:00,46.91,47.75,46.9,47.5,186405
2016-02-02 09:30:00,47.35,47.9,47.27,47.54,171323
2016-02-03 09:30:00,47.12,47.24,46.73,46.96,80321
2016-02-04 09:30:00,46.59,46.77,46.21,46.6,117696
2016-02-05 09:30:00,46.25,46.44,45.73,45.73,105600
2016-02-08 09:30:00,44.36,44.85,44.19,44.35,274320
2016-02-09 09:30:00,44.36,44.59,43.98,44.25,586737
2016-02-10 09:30:00,44.59,44.65,44.05,44.55,268635
2016-02-11 09:30:00,43.14,43.34,42.5,42.88,504137
2016-02-12 09:30:00,43.55,43.66,43.22,43.42,120198
2016-02-16 09:30:00,44.44,44.78,44.36,44.41,83560
2016-02-17 09:30:00,45.07,45.38,44.89,45.34,151199
2016-02-18 09:30:00,46.26,46.4,45.81,46.14,100562
2016-02-19 09:30:00,46.5,46.5,45.54,45.98,169113
2016-02-22 09:30:00,46.53,46.88,46.36,46.7,62740
2016-02-23 09:30:00,47.13,47.64,46.86,47.59,148719
2016-02-24 09:30:00,47.17,47.42,46.7,46.74,192345
2016-02-25 09:30:00,47.89,48.05,47.5,47.92,126330
2016-02-26 09:30:00,48.13,48.36,47.95,48.3,86752
2016-02-29 09:30:00,47.96,48.31,47.95,48.12,52299
2016-03-01 09:30:00,48.6,48.85,48.32,48.51,149134
2016-03-02 09:30:00,48.34,48.6,48.31,48.53,68108
2016-03-03 09:30:00,48.75,48.81,48.0,48.03,126283
2016-03-04 09:30:00,48.67,49.04,48.65,48.71,113988
2016-03-07 09:30:00,48.94,49.31,48.74,49.08,91128
2016-03-08 09:30:00,48.96,49.23,48.82,49.21,52736
2016-03-09 09:30:00,50.63,51.39,49.88,50.54,1204885
2016-03-10 09:30:00,50.69,50.93,50.58,50.77,278286
2016-03-11 09:30:00,50.97,51.24,50.8,51.18,180477
2016-03-14 09:30:00,51.01,51.28,50.9,50.94,87507
2016-03-15 09:30:00,51.01,51.14,50.63,50.92,62880
2016-03-16 09:30:00,50.53,50.8,50.02,50.79,110234
2016-03-17 09:30:00,50.9,50.96,50.73,50.75,41490
2016-03-18 09:30:00,51.05,51.24,50.77,51.06,282045
2016-03-21 09:30:00,50.85,51.01,50.67,50.83,92612
2016-03-22 09:30:00,50.78,50.9,50.31,50.42,83621
2016-03-23 09:30:00,50.47,50.53,50.1,50.53,105828
2016-03-24 09:30:00,50.23,50.23,49.79,50.01,69082
2016-03-28 09:30:00,49.94,50.28,49.83,50.27,117285
2016-03-29 09:30:00,50.23,50.42,49.97,50.29,119603
2016-03-30 09:30:00,50.74,50.79,49.98,50.02,136111
2016-03-31 09:30:00,50.16,50.45,49.92,49.98,109864
2016-04-01 09:30:00,50.0,50.9,50.0,50.9,239154
2016-04-04 09:30:00,50.94,51.86,50.82,51.23,614199
2016-04-05 09:30:00,50.35,50.35,48.75,48.89,962809
2016-04-06 09:30:00,49.31,50.17,49.05,50.01,463814
2016-04-07 09:30:00,49.39,50.35,49.26,50.25,503521
2016-04-08 09:30:00,49.51,49.51,48.74,49.07,303493
2016-04-11 09:30:00,49.69,50.21,49.58,50.03,240978
2016-04-12 09:30:00,49.35,50.1,49.35,49.85,172908
2016-04-13 09:30:00,50.26,50.56,50.01,50.05,184929
2016-04-14 09:30:00,49.87,50.0,49.41,49.59,171850
2016-04-15 09:30:00,49.33,49.62,49.14,49.48,310809
2016-04-18 09:30:00,49.12,49.39,48.98,49.36,125450
2016-04-19 09:30:00,48.53,48.66,48.01,48.35,500696
2016-04-20 09:30:00,48.37,48.66,48.15,48.42,169460
2016-04-21 09:30:00,48.32,48.53,48.06,48.28,175649
2016-04-22 09:30:00,47.79,48.27,47.6,48.16,91415
2016-04-25 09:30:00,48.15,48.43,48.03,48.38,66509
2016-04-26 09:30:00,48.34,48.72,48.29,48.7,70912
2016-04-27 09:30:00,48.5,48.72,48.2,48.31,218716
2016-04-28 09:30:00,48.08,48.28,47.3,48.07,348550
2016-04-29 09:30:00,48.03,48.25,47.72,47.95,55415
2016-05-02 09:30:00,47.53,47.79,47.42,47.61,79984
2016-05-03 09:30:00,48.2,48.82,48.09,48.7,138971
2016-05-04 09:30:00,48.12,48.34,48.1,48.2,47070
2016-05-05 09:30:00,48.38,48.75,47.86,47.96,179128
2016-05-06 09:30:00,47.89,48.04,47.76,47.83,69524
2016-05-09 09:30:00,47.59,48.46,47.57,48.46,115385
2016-05-10 09:30:00,49.1,49.12,48.58,48.94,123347
2016-05-11 09:30:00,49.07,49.23,48.81,48.91,124665
2016-05-12 09:30:00,48.25,48.85,47.95,48.43,142076
2016-05-13 09:30:00,48.4,48.69,48.22,48.5,87011
2016-05-16 09:30:00,47.99,48.19,47.78,48.14,227389
2016-05-17 09:30:00,48.66,49.3,48.43,48.7,630821
2016-05-18 09:30:00,48.37,48.56,47.75,48.22,364476
2016-05-19 09:30:00,47.89,49.73,47.89,49.22,738379
2016-05-20 09:30:00,50.26,50.45,50.06,50.44,175510
2016-05-23 09:30:00,50.39,50.42,49.96,49.98,84386
2016-05-24 09:30:00,49.58,50.19,49.46,49.95,176982
2016-05-25 09:30:00,50.16,50.19,49.73,49.85,100945
2016-05-26 09:30:00,50.8,51.53,50.67,51.18,480027
2016-05-27 09:30:00,51.4,51.63,51.26,51.48,150440
2016-05-31 09:30:00,51.48,51.54,51.07,51.32,91514
2016-06-01 09:30:00,51.45,51.96,51.45,51.82,146092
2016-06-02 09:30:00,51.01,51.77,51.01,51.56,111918
2016-06-03 09:30:00,51.47,51.66,51.17,51.26,91432
2016-06-06 09:30:00,51.65,51.69,51.37,51.56,103417
2016-06-07 09:30:00,51.51,51.62,51.19,51.38,97747
2016-06-08 09:30:00,51.17,51.37,51.12,51.3,51163
2016-06-09 09:30:00,51.41,52.3,51.35,52.29,233226
2016-06-10 09:30:00,51.5,51.91,51.5,51.63,68475
2016-06-13 09:30:00,51.43,51.8,51.43,51.63,80935
2016-06-14 09:30:00,51.51,51.77,51.5,51.72,118598
2016-06-15 09:30:00,51.23,51.76,50.89,51.76,392413
2016-06-16 09:30:00,51.21,51.42,51.08,51.24,61596
2016-06-17 09:30:00,51.31,51.48,50.93,51.01,143329
2016-06-20 09:30:00,51.72,51.98,51.47,51.6,125385
2016-06-21 09:30:00,51.56,51.56,51.2,51.3,236909
2016-06-22 09:30:00,51.26,51.3,50.99,51.28,139014
2016-06-23 09:30:00,51.52,51.78,51.34,51.38,106957
2016-06-24 09:30:00,51.22,51.22,50.7,51.07,167434
2016-06-27 09:30:00,50.57,50.67,50.26,50.35,513138
2016-06-28 09:30:00,49.65,49.79,49.1,49.6,213225
2016-06-29 09:30:00,50.09,50.61,50.0,50.26,213751
2016-06-30 09:30:00,48.81,48.94,47.8,48.09,1034008
2016-07-01 09:30:00,48.03,48.24,47.89,48.07,538625
2016-07-05 09:30:00,47.68,47.93,47.22,47.37,613445
2016-07-06 09:30:00,46.91,47.39,46.85,47.33,261012
2016-07-07 09:30:00,47.41,47.93,47.39,47.92,178159
2016-07-08 09:30:00,47.77,48.17,47.77,48.08,145138
2016-07-11 09:30:00,47.97,48.11,47.7,47.85,158828
2016-07-12 09:30:00,48.39,48.39,47.96,48.03,231877
2016-07-13 09:30:00,48.06,48.25,47.77,47.93,207901
2016-07-14 09:30:00,48.54,49.08,48.49,48.69,387632
2016-07-15 09:30:00,48.56,48.62,47.99,48.06,217304
2016-07-18 09:30:00,48.01,48.16,47.95,48.06,89567
2016-07-19 09:30:00,48.1,48.1,47.87,47.99,92451
2016-07-20 09:30:00,48.02,48.28,47.96,48.1,98763
2016-07-21 09:30:00,48.06,48.23,47.96,48.04,77739
2016-07-22 09:30:00,47.73,47.95,47.64,47.9,105665
2016-07-25 09:30:00,48.18,48.41,48.01,48.37,179341
2016-07-26 09:30:00,47.79,48.04,47.4,47.52,367598
2016-07-27 09:30:00,46.6,46.81,46.43,46.5,284708
2016-07-28 09:30:00,45.72,46.54,45.72,46.5,213736
2016-07-29 09:30:00,46.94,47.12,46.74,46.77,92651
2016-08-01 09:30:00,47.23,47.27,47.01,47.11,74526
2016-08-02 09:30:00,47.17,47.37,46.39,46.57,273762
2016-08-03 09:30:00,46.22,46.47,46.05,46.37,117907
2016-08-04 09:30:00,46.84,47.33,46.83,47.01,234824
2016-08-05 09:30:00,47.08,47.43,47.02,47.37,56278
2016-08-08 09:30:00,48.22,48.22,47.94,47.98,179722
2016-08-09 09:30:00,47.54,48.06,47.53,48.06,104544
2016-08-10 09:30:00,47.76,47.85,47.56,47.6,94921
2016-08-11 09:30:00,47.64,48.13,47.43,47.43,133780
2016-08-12 09:30:00,48.04,48.23,48.0,48.19,58161
2016-08-15 09:30:00,48.16,48.4,48.02,48.08,76545
2016-08-16 09:30:00,47.82,47.87,47.62,47.78,60119
2016-08-17 09:30:00,47.9,47.95,47.64,47.65,69610
2016-08-18 09:30:00,47.86,48.08,47.73,47.81,56191
2016-08-19 09:30:00,47.93,47.95,47.52,47.68,80510
2016-08-22 09:30:00,47.36,47.43,47.2,47.34,77265
2016-08-23 09:30:00,47.57,47.76,47.49,47.55,99524
2016-08-24 09:30:00,48.13,48.23,48.03,48.19,61142
2016-08-25 09:30:00,48.38,48.57,48.35,48.43,74229
2016-08-26 09:30:00,48.24,48.53,47.64,47.72,190078
2016-08-29 09:30:00,46.95,47.17,46.88,46.91,86833
2016-08-30 09:30:00,47.12,47.14,46.88,47.06,66050
2016-08-31 09:30:00,46.86,47.28,46.79,47.26,98108
2016-09-01 09:30:00,47.37,47.49,47.34,47.39,81535
2016-09-02 09:30:00,47.7,47.99,47.7,47.94,116930
2016-09-06 09:30:00,48.06,48.3,47.81,48.0,101856
2016-09-07 09:30:00,47.86,48.07,47.79,47.9,112525
2016-09-08 09:30:00,48.36,48.43,48.21,48.33,89715
2016-09-09 09:30:00,47.77,47.83,47.56,47.61,40536
2016-09-12 09:30:00,47.3,48.37,47.3,48.01,295142
2016-09-13 09:30:00,48.03,48.26,47.84,48.1,95932
2016-09-14 09:30:00,47.87,47.87,47.46,47.54,135295
2016-09-15 09:30:00,47.3,47.5,47.14,47.23,51771
2016-09-16 09:30:00,47.77,47.83,47.53,47.68,305028
2016-09-19 09:30:00,47.81,47.91,47.65,47.77,58187
2016-09-20 09:30:00,47.41,47.57,47.21,47.39,55408
2016-09-21 09:30:00,47.17,47.6,47.17,47.55,128679
2016-09-22 09:30:00,48.02,48.27,48.0,48.11,76883
2016-09-23 09:30:00,47.4,47.78,47.4,47.67,86852
2016-09-26 09:30:00,48.27,48.48,48.25,48.31,74952
2016-09-27 09:30:00,48.13,48.2,47.4,47.43,138893
2016-09-28 09:30:00,47.17,47.34,46.84,46.97,103233
2016-09-29 09:30:00,46.92,47.08,46.79,47.05,63882
2016-09-30 09:30:00,46.57,46.85,46.57,46.57,143141
2016-10-03 09:30:00,46.77,46.91,46.23,46.47,378298
2016-10-04 09:30:00,48.87,49.1,47.47,47.64,1940042
2016-10-05 09:30:00,47.72,47.91,47.55,47.89,295352
2016-10-06 09:30:00,47.61,47.77,47.35,47.49,147010
2016-10-07 09:30:00,47.51,47.73,47.33,47.58,143375
2016-10-10 09:30:00,47.94,48.01,47.81,47.85,66380
2016-10-11 09:30:00,48.5,48.62,48.39,48.42,75596
2016-10-12 09:30:00,48.49,48.64,48.22,48.36,88765
2016-10-13 09:30:00,48.49,48.53,48.15,48.3,109905
2016-10-14 09:30:00,48.27,48.61,48.27,48.49,43345
2016-10-17 09:30:00,48.28,49.41,48.28,49.4,381842
2016-10-18 09:30:00,49.09,49.32,48.66,48.76,92290
2016-10-19 09:30:00,49.02,49.02,48.68,48.96,166017
2016-10-20 09:30:00,48.91,48.93,48.51,48.87,177390
2016-10-21 09:30:00,48.84,49.09,48.61,48.94,358944
2016-10-24 09:30:00,49.07,49.19,48.94,49.08,142225
2016-10-25 09:30:00,48.6,48.66,47.82,47.82,281632
2016-10-26 09:30:00,47.61,47.8,47.53,47.55,115843
2016-10-27 09:30:00,47.56,48.01,47.53,47.87,75623
2016-10-28 09:30:00,47.82,48.27,47.68,48.17,86191
2016-10-31 09:30:00,48.83,49.47,48.81,49.35,128607
2016-11-01 09:30:00,50.05,50.2,49.73,50.13,142875
2016-11-02 09:30:00,49.83,50.17,49.74,50.12,90451
2016-11-03 09:30:00,50.12,50.27,49.89,50.04,77398
2016-11-04 09:30:00,49.39,49.5,49.22,49.24,238080
2016-11-07 09:30:00,49.96,50.48,49.96,50.43,127513
2016-11-08 09:30:00,50.64,50.74,50.4,50.47,74252
2016-11-09 09:30:00,50.32,51.91,50.05,51.89,282343
2016-11-10 09:30:00,53.19,54.28,53.12,54.12,217176
2016-11-11 09:30:00,53.67,54.11,53.5,53.81,131343
2016-11-14 09:30:00,54.63,55.12,54.54,54.92,190229
2016-11-15 09:30:00,56.21,56.44,55.84,56.22,512935
2016-11-16 09:30:00,56.41,56.45,55.48,55.84,290540
2016-11-17 09:30:00,55.46,55.89,55.03,55.79,270762
2016-11-18 09:30:00,56.17,56.17,55.77,56.03,216036
2016-11-21 09:30:00,56.34,56.57,56.34,56.57,84127
2016-11-22 09:30:00,56.73,57.09,56.73,57.0,111225
2016-11-23 09:30:00,57.37,57.75,57.23,57.43,70422
2016-11-25 09:30:00,58.08,58.08,57.77,58.0,53877
2016-11-28 09:30:00,57.57,57.85,57.19,57.54,135430
2016-11-29 09:30:00,56.43,56.61,56.15,56.43,264468
2016-11-30 09:30:00,56.49,56.59,56.33,56.48,177078
2016-12-01 09:30:00,57.27,57.8,57.04,57.78,264251
2016-12-02 09:30:00,58.7,58.8,58.28,58.47,301212
2016-12-05 09:30:00,58.62,59.08,58.5,59.02,71727
2016-12-06 09:30:00,59.14,59.57,58.75,59.09,178501
2016-12-07 09:30:00,59.94,60.23,59.6,60.12,98778
2016-12-08 09:30:00,60.87,60.87,59.54,59.77,491956
2016-12-09 09:30:00,61.4,61.59,60.75,60.96,284709
2016-12-12 09:30:00,60.51,60.65,60.26,60.51,219167
2016-12-13 09:30:00,60.49,60.62,59.61,59.83,255848
2016-12-14 09:30:00,59.77,59.85,59.41,59.42,140373
2016-12-15 09:30:00,59.45,59.53,58.59,58.85,250362
2016-12-16 09:30:00,58.73,58.93,58.07,58.12,356794
2016-12-19 09:30:00,58.4,59.21,57.97,58.92,357836
2016-12-20 09:30:00,59.33,59.74,58.19,59.41,603970
2016-12-21 09:30:00,58.7,59.11,58.37,58.46,122229
2016-12-22 09:30:00,58.7,58.7,57.75,57.98,121087
2016-12-23 09:30:00,57.75,57.9,57.5,57.59,41985
2016-12-27 09:30:00,57.98,58.33,57.64,58.14,106783
2016-12-28 09:30:00,57.6,58.06,57.3,57.3,68746
2016-12-29 09:30:00,57.19,57.57,57.1,57.12,68292
2016-12-30 09:30:00,57.05,57.18,55.85,55.98,238944
2017-01-03 09:30:00,56.76,56.78,55.49,55.5,196136
2017-01-04 09:30:00,55.95,56.3,55.69,56.17,117673
2017-01-05 09:30:00,56.57,56.57,55.58,56.25,152596
2017-01-06 09:30:00,56.34,56.55,55.81,56.17,307444
2017-01-09 09:30:00,55.87,55.94,55.5,55.77,128626
2017-01-10 09:30:00,56.0,56.59,55.92,56.45,222724
2017-01-11 09:30:00,56.3,56.74,56.3,56.72,243800
2017-01-12 09:30:00,56.95,57.42,56.79,57.36,151351
2017-01-13 09:30:00,57.58,57.7,57.18,57.22,91636
2017-01-17 09:30:00,57.16,57.6,57.09,57.41,81322
2017-01-18 09:30:00,57.25,57.25,56.6,56.86,99113
2017-01-19 09:30:00,56.99,57.27,56.93,57.19,56537
2017-01-20 09:30:00,56.85,57.1,56.76,57.03,88682
2017-01-23 09:30:00,57.23,57.39,56.87,57.05,96622
2017-01-24 09:30:00,57.22,57.66,57.1,57.3,82579
2017-01-25 09:30:00,56.87,57.39,56.66,57.35,254471
2017-01-26 09:30:00,57.64,58.19,57.57,57.89,54929
2017-01-27 09:30:00,57.58,57.58,56.81,56.88,216643
2017-01-30 09:30:00,57.86,57.86,57.11,57.24,95911
2017-01-31 09:30:00,57.74,57.9,57.4,57.43,109296
2017-02-01 09:30:00,57.25,57.59,56.71,56.85,216514
2017-02-02 09:30:00,56.33,56.54,55.88,55.96,174918
2017-02-03 09:30:00,57.02,57.19,56.03,56.1,308128
2017-02-06 09:30:00,56.11,56.9,56.02,56.81,159201
2017-02-07 09:30:00,56.58,57.23,56.58,57.17,165542
2017-02-08 09:30:00,56.03,56.58,56.03,56.55,49356
2017-02-09 09:30:00,57.41,58.09,57.19,58.07,65961
2017-02-10 09:30:00,58.78,59.67,58.78,59.64,147072
2017-02-13 09:30:00,59.72,59.95,59.6,59.74,94246
2017-02-14 09:30:00,58.89,59.25,58.49,59.05,173882
2017-02-15 09:30:00,59.44,59.44,58.94,58.96,78315
2017-02-16 09:30:00,59.38,59.63,59.01,59.04,48206
2017-02-17 09:30:00,59.16,59.38,59.09,59.13,202515
2017-02-21 09:30:00,59.81,60.06,59.74,59.97,82154
2017-02-22 09:30:00,59.33,59.51,58.91,59.04,164157
2017-02-23 09:30:00,59.01,59.44,58.81,59.17,90038
2017-02-24 09:30:00,58.63,58.9,58.47,58.63,64372
2017-02-27 09:30:00,59.01,59.12,58.66,58.85,47419
2017-02-28 09:30:00,58.34,58.4,58.1,58.31,100094
2017-03-01 09:30:00,58.93,58.99,58.46,58.73,57518
2017-03-02 09:30:00,58.49,58.76,58.31,58.63,55760
2017-03-03 09:30:00,58.92,58.96,58.53,58.53,40960
2017-03-06 09:30:00,58.59,58.64,58.08,58.62,62485
2017-03-07 09:30:00,58.45,58.45,57.92,58.13,78172
2017-03-08 09:30:00,58.28,58.82,58.23,58.67,109176
2017-03-09 09:30:00,58.7,58.93,58.52,58.62,57953
2017-03-10 09:30:00,58.81,59.24,58.6,58.98,440537
2017-03-13 09:30:00,58.11,58.22,57.69,57.72,146185
2017-03-14 09:30:00,58.29,58.37,58.01,58.03,76844
2017-03-15 09:30:00,58.26,59.01,58.07,58.96,84620
2017-03-16 09:30:00,59.27,59.45,59.25,59.39,45795
2017-03-17 09:30:00,59.21,59.79,59.03,59.71,238060
2017-03-20 09:30:00,59.93,60.18,59.66,60.07,96431
2017-03-21 09:30:00,60.17,60.49,60.08,60.4,132286
2017-03-22 09:30:00,59.81,60.17,59.78,59.81,79651
2017-03-23 09:30:00,60.17,60.56,60.03,60.28,148973
2017-03-24 09:30:00,59.91,60.12,59.81,60.02,91411
2017-03-27 09:30:00,59.44,59.81,59.39,59.7,151525
2017-03-28 09:30:00,61.72,63.77,61.67,63.71,2515834
2017-03-29 09:30:00,64.04,64.86,63.75,64.71,943774
2017-03-30 09:30:00,64.32,64.89,64.1,64.78,154392
2017-03-31 09:30:00,64.73,65.0,64.48,64.58,230142
2017-04-03 09:30:00,65.36,65.48,65.14,65.39,164294
2017-04-04 09:30:00,64.95,65.17,64.61,65.16,184011
2017-04-05 09:30:00,65.76,65.88,65.45,65.79,132280
2017-04-06 09:30:00,65.07,65.2,64.81,65.1,101714
2017-04-07 09:30:00,65.46,65.67,65.3,65.38,63242
2017-04-10 09:30:00,65.28,65.53,65.06,65.48,58556
2017-04-11 09:30:00,65.13,65.2,64.91,65.08,75124
2017-04-12 09:30:00,65.32,65.44,64.93,65.16,44530
2017-04-13 09:30:00,64.83,65.16,64.63,64.7,69619
2017-04-17 09:30:00,64.83,64.87,64.56,64.76,94969
2017-04-18 09:30:00,64.97,65.52,64.86,65.47,74899
2017-04-19 09:30:00,65.46,65.46,64.97,65.19,64101
2017-04-20 09:30:00,65.58,65.68,65.23,65.35,89299
2017-04-21 09:30:00,66.16,66.21,65.6,65.71,106152
2017-04-24 09:30:00,66.83,66.85,66.46,66.67,89897
2017-04-25 09:30:00,67.01,67.23,66.68,66.88,380158
2017-04-26 09:30:00,67.29,67.46,67.08,67.42,142472
2017-04-27 09:30:00,67.8,68.01,67.48,67.67,44494
2017-04-28 09:30:00,67.64,67.65,67.12,67.2,103546
2017-05-01 09:30:00,67.2,67.29,66.97,67.03,65504
2017-05-02 09:30:00,67.73,68.11,67.51,67.51,98462
2017-05-03 09:30:00,68.08,68.53,68.08,68.34,48749
2017-05-04 09:30:00,68.6,68.84,68.16,68.29,139623
2017-05-05 09:30:00,68.78,68.9,68.48,68.64,64376
2017-05-08 09:30:00,68.68,68.89,68.56,68.76,96386
2017-05-09 09:30:00,68.72,68.74,68.37,68.57,63773
2017-05-10 09:30:00,68.71,68.82,68.3,68.73,38355
2017-05-11 09:30:00,68.74,68.85,68.14,68.26,63614
2017-05-12 09:30:00,69.55,70.13,69.54,70.03,242127
2017-05-15 09:30:00,69.5,69.73,69.32,69.38,113288
2017-05-16 09:30:00,69.41,69.41,67.5,68.33,490334
2017-05-17 09:30:00,67.41,67.81,67.13,67.17,118873
2017-05-18 09:30:00,67.38,67.49,66.99,67.34,90892
2017-05-19 09:30:00,68.04,68.27,67.97,68.08,147676
2017-05-22 09:30:00,68.67,68.93,68.45,68.9,112599
2017-05-23 09:30:00,68.89,68.89,67.99,68.05,61953
2017-05-24 09:30:00,68.37,68.45,68.07,68.41,56356
2017-05-25 09:30:00,68.36,69.15,67.94,69.1,143212
2017-05-26 09:30:00,69.31,69.5,68.98,69.05,58441
2017-05-30 09:30:00,69.07,69.13,68.84,68.9,28017
2017-05-31 09:30:00,68.83,69.26,68.3,68.81,76636
2017-06-01 09:30:00,70.03,70.37,69.73,70.26,116812
2017-06-02 09:30:00,71.03,71.62,70.93,71.61,149901
2017-06-05 09:30:00,71.59,72.09,71.56,71.99,85654
2017-06-06 09:30:00,72.14,72.43,72.07,72.21,96798
2017-06-07 09:30:00,72.38,73.06,72.38,73.06,98806
2017-06-08 09:30:00,72.65,72.87,72.33,72.44,57524
2017-06-09 09:30:00,72.47,72.61,72.21,72.35,100517
2017-06-12 09:30:00,72.42,72.91,72.36,72.44,108169
2017-06-13 09:30:00,71.65,71.8,70.67,70.97,471288
2017-06-14 09:30:00,70.81,71.39,70.68,70.82,294928
2017-06-15 09:30:00,71.01,71.13,70.58,70.72,160920
2017-06-16 09:30:00,70.28,70.47,69.82,70.24,190156
2017-06-19 09:30:00,70.39,71.03,70.33,70.62,110195
2017-06-20 09:30:00,70.92,71.05,70.6,70.8,145269
2017-06-21 09:30:00,69.84,70.27,69.7,69.85,61730
2017-06-22 09:30:00,69.64,70.45,69.44,69.73,119366
2017-06-23 09:30:00,70.2,70.34,69.65,69.79,60804
2017-06-26 09:30:00,70.44,71.25,70.42,70.79,360166
