open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,57.67,57.8,57.27,57.45,69506
2016-01-05 09:30:00,57.28,57.35,56.69,56.75,141505
2016-01-06 09:30:00,57.58,57.72,57.4,57.67,95471
2016-01-07 09:30:00,57.15,57.67,57.09,57.55,101189
2016-01-08 09:30:00,57.11,57.38,56.94,57.35,132558
2016-01-11 09:30:00,57.01,57.33,57.01,57.22,116223
2016-01-12 09:30:00,57.87,57.87,56.92,57.03,222237
2016-01-13 09:30:00,58.14,58.68,58.14,58.62,347623
2016-01-14 09:30:00,58.17,58.99,58.07,58.9,112913
2016-01-15 09:30:00,58.25,58.91,58.05,58.35,146208
2016-01-19 09:30:00,58.88,59.39,58.67,59.04,109601
2016-01-20 09:30:00,59.28,59.77,58.83,58.85,119741
2016-01-21 09:30:00,58.17,58.59,57.72,57.76,109545
2016-01-22 09:30:00,57.96,58.27,57.59,57.98,172907
2016-01-25 09:30:00,59.03,59.07,58.64,58.96,73352
2016-01-26 09:30:00,58.84,59.49,58.65,59.45,53799
2016-01-27 09:30:00,58.95,59.33,58.79,59.33,95741
2016-01-28 09:30:00,59.49,59.94,59.19,59.78,54711
2016-01-29 09:30:00,60.87,61.26,60.07,61.01,129965
2016-02-01 09:30:00,61.31,61.9,61.15,61.59,72581
2016-02-02 09:30:00,61.77,61.97,61.65,61.94,87742
2016-02-03 09:30:00,62.87,63.23,62.46,63.08,180704
2016-02-04 09:30:00,63.07,63.43,62.79,63.24,111883
2016-02-05 09:30:00,62.52,62.77,61.69,62.41,110718
2016-02-08 09:30:00,63.0,63.7,62.56,62.69,125874
2016-02-09 09:30:00,62.41,62.98,62.24,62.59,64637
2016-02-10 09:30:00,62.12,62.47,61.17,61.42,215724
2016-02-11 09:30:00,62.34,62.71,61.68,61.68,139446
2016-02-12 09:30:00,60.75,61.3,60.16,61.15,146294
2016-02-16 09:30:00,60.63,60.9,60.38,60.76,159743
2016-02-17 09:30:00,61.34,61.53,60.63,60.89,104133
2016-02-18 09:30:00,61.21,61.45,60.97,61.42,60768
2016-02-19 09:30:00,61.63,61.68,61.02,61.33,137460
2016-02-22 09:30:00,61.83,61.85,61.44,61.85,52147
2016-02-23 09:30:00,61.64,61.9,61.46,61.61,62031
2016-02-24 09:30:00,62.16,62.67,61.87,62.4,71713
2016-02-25 09:30:00,62.63,62.91,62.39,62.85,38970
2016-02-26 09:30:00,62.72,62.92,62.23,62.29,118480
2016-02-29 09:30:00,61.08,61.33,60.94,61.23,48857
2016-03-01 09:30:00,61.35,61.52,61.18,61.49,69767
2016-03-02 09:30:00,60.55,60.81,59.31,59.84,179851
2016-03-03 09:30:00,61.12,61.12,60.3,60.3,62481
2016-03-04 09:30:00,60.63,60.92,60.41,60.61,80000
2016-03-07 09:30:00,61.32,61.85,61.22,61.74,86637
2016-03-08 09:30:00,62.19,62.85,62.19,62.77,117893
2016-03-09 09:30:00,64.11,64.26,63.63,64.0,241187
2016-03-10 09:30:00,63.62,64.01,63.51,63.85,74940
2016-03-11 09:30:00,64.19,64.27,63.76,63.82,69166
2016-03-14 09:30:00,63.95,64.22,63.84,63.9,40847
2016-03-15 09:30:00,63.66,64.11,63.61,63.86,60794
2016-03-16 09:30:00,63.81,63.81,63.35,63.64,87420
2016-03-17 09:30:00,65.16,65.16,64.59,64.86,140047
2016-03-18 09:30:00,65.58,65.63,64.81,65.32,673194
2016-03-21 09:30:00,64.72,64.76,64.16,64.73,52088
2016-03-22 09:30:00,64.95,65.01,64.55,65.0,49898
2016-03-23 09:30:00,64.68,64.68,64.3,64.57,43480
2016-03-24 09:30:00,65.08,65.55,65.02,65.2,55682
2016-03-28 09:30:00,65.46,65.84,65.27,65.27,58806
2016-03-29 09:30:00,65.28,65.69,65.05,65.54,45186
2016-03-30 09:30:00,66.5,66.55,66.04,66.3,50234
2016-03-31 09:30:00,66.35,66.5,66.18,66.25,28679
2016-04-01 09:30:00,66.28,66.7,66.25,66.26,70880
2016-04-04 09:30:00,66.59,66.72,66.19,66.35,61291
2016-04-05 09:30:00,66.19,66.35,65.37,65.46,80773
2016-04-06 09:30:00,65.04,65.06,64.67,64.82,54706
2016-04-07 09:30:00,64.84,65.33,64.83,65.23,74977
2016-04-08 09:30:00,65.09,65.44,64.76,65.35,58539
2016-04-11 09:30:00,65.15,65.6,65.15,65.3,85134
