open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,68.81,68.89,68.38,68.62,125271
2016-01-05 09:30:00,68.72,69.42,68.72,69.42,97677
2016-01-06 09:30:00,68.22,68.6,68.18,68.39,110756
2016-01-07 09:30:00,67.36,67.92,67.3,67.86,109393
2016-01-08 09:30:00,67.75,68.58,67.72,68.54,134921
2016-01-11 09:30:00,67.72,68.3,67.31,67.31,231076
2016-01-12 09:30:00,67.49,68.42,67.465,68.25,65568
2016-01-13 09:30:00,67.4,67.73,67.31,67.52,119003
2016-01-14 09:30:00,66.15,66.49,65.79,66.46,190040
2016-01-15 09:30:00,66.29,66.68,65.98,66.14,239413
2016-01-19 09:30:00,66.81,67.11,66.17,66.49,85291
2016-01-20 09:30:00,64.98,65.15,64.31,64.5,91400
2016-01-21 09:30:00,65.5,65.61,64.71,65.03,61103
2016-01-22 09:30:00,65.82,66.67,65.66,66.64,72960
2016-01-25 09:30:00,66.78,67.17,66.25,66.46,72200
2016-01-26 09:30:00,66.24,66.47,65.72,65.831,31675
2016-01-27 09:30:00,66.68,66.98,66.54,66.55,41672
2016-01-28 09:30:00,66.11,66.51,65.78,65.88,63583
2016-01-29 09:30:00,64.82,65.69,64.56,65.36,225097
2016-02-01 09:30:00,66.73,67.1,66.45,66.9,58087
2016-02-02 09:30:00,66.95,67.04,66.49,66.69,75416
2016-02-03 09:30:00,66.48,66.53,65.76,66.0,278022
2016-02-04 09:30:00,65.05,65.63,64.78,65.5,66053
2016-02-05 09:30:00,65.13,65.34,64.52,64.65,68154
2016-02-08 09:30:00,63.28,63.31,62.5,62.82,102916
2016-02-09 09:30:00,61.83,62.78,61.75,62.41,101610
2016-02-10 09:30:00,62.75,63.44,62.732,63.39,137106
2016-02-11 09:30:00,62.5,63.07,62.46,62.99,74242
2016-02-12 09:30:00,61.62,64.14,61.36,63.47,483185
2016-02-16 09:30:00,62.74,62.74,62.1,62.36,114418
2016-02-17 09:30:00,62.86,63.33,62.66,62.93,112460
2016-02-18 09:30:00,64.45,64.46,63.93,64.44,53939
2016-02-19 09:30:00,64.44,64.47,64.01,64.16,153392
2016-02-22 09:30:00,64.23,64.79,64.0,64.695,56566
2016-02-23 09:30:00,64.59,64.9,64.21,64.59,67640
2016-02-24 09:30:00,63.7,64.0,63.36,63.59,67540
2016-02-25 09:30:00,64.46,64.86,64.15,64.77,57510
2016-02-26 09:30:00,65.67,66.55,65.27,66.25,97780
2016-02-29 09:30:00,66.29,66.525,66.07,66.07,144279
2016-03-01 09:30:00,66.55,66.79,66.3,66.79,91510
2016-03-02 09:30:00,67.83,68.4599,67.1,67.8,85098
2016-03-03 09:30:00,68.1,68.93,68.1,68.93,66531
2016-03-04 09:30:00,70.18,70.76,69.86,69.94,100678
2016-03-07 09:30:00,70.23,70.59,69.95,70.35,42575
2016-03-08 09:30:00,70.65,71.085,70.33,70.37,67552
2016-03-09 09:30:00,70.21,70.21,69.61,70.025,57910
2016-03-10 09:30:00,70.46,71.08,69.92,70.91,41362
2016-03-11 09:30:00,70.52,70.96,70.165,70.88,62569
2016-03-14 09:30:00,70.96,71.9,70.76,70.83,87797
2016-03-15 09:30:00,70.4,70.75,70.4,70.6471,100204
2016-03-16 09:30:00,69.59,70.14,69.27,70.0,41676
2016-03-17 09:30:00,70.17,70.36,69.87,70.0006,98934
2016-03-18 09:30:00,71.24,71.59,71.06,71.59,193809
2016-03-21 09:30:00,72.4,72.73,72.113,72.52,47156
2016-03-22 09:30:00,72.08,72.25,71.84,72.14,54218
2016-03-23 09:30:00,72.68,72.91,71.79,72.52,41018
2016-03-24 09:30:00,71.62,72.01,71.47,71.75,47326
2016-03-28 09:30:00,71.55,71.94,71.48,71.53,28929
2016-03-29 09:30:00,71.53,71.69,71.12,71.644,80340
2016-03-30 09:30:00,73.03,73.32,72.68,72.83,49424
2016-03-31 09:30:00,72.88,73.37,72.88,73.31,49684
2016-04-01 09:30:00,73.05,73.05,72.54,72.61,53588
2016-04-04 09:30:00,74.18,74.26,73.33,74.18,41011
2016-04-05 09:30:00,73.03,73.29,72.31,72.816,58944
2016-04-06 09:30:00,73.13,73.72,73.12,73.58,46298
2016-04-07 09:30:00,74.3,74.93,74.255,74.91,53782
2016-04-08 09:30:00,74.4,74.81,74.04,74.77,45012
