open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,24.22,24.34,23.75,23.91,2043961
2016-01-05 09:30:00,23.77,23.99,23.63,23.69,1022899
2016-01-06 09:30:00,23.06,23.57,23.02,23.29,2362314
2016-01-07 09:30:00,23.05,23.65,23.02,23.44,1601094
2016-01-08 09:30:00,23.2,23.37,23.03,23.26,1044902
2016-01-11 09:30:00,23.18,23.24,23.07,23.1,827632
2016-01-12 09:30:00,23.35,23.58,23.3,23.52,888410
2016-01-13 09:30:00,23.59,23.64,23.41,23.45,760616
2016-01-14 09:30:00,22.71,22.78,22.29,22.37,1668509
2016-01-15 09:30:00,22.38,22.76,22.36,22.56,2036998
2016-01-19 09:30:00,22.88,23.0,22.74,22.75,1500543
2016-01-20 09:30:00,22.19,22.82,22.12,22.58,1618717
2016-01-21 09:30:00,23.11,23.17,22.62,22.73,1148418
2016-01-22 09:30:00,23.64,23.83,23.63,23.81,912161
2016-01-25 09:30:00,23.58,23.65,23.41,23.49,720763
2016-01-26 09:30:00,23.43,23.74,23.4,23.53,1124508
2016-01-27 09:30:00,23.84,24.18,23.79,23.85,1434390
2016-01-28 09:30:00,20.82,21.56,20.56,20.71,9669732
2016-01-29 09:30:00,20.69,20.78,20.51,20.64,3947214
2016-02-01 09:30:00,20.85,21.31,20.78,21.24,2692855
2016-02-02 09:30:00,21.19,21.23,20.88,21.05,1938625
2016-02-03 09:30:00,20.97,21.0,20.74,20.79,1335089
2016-02-04 09:30:00,20.98,21.01,20.7,20.78,1772403
2016-02-05 09:30:00,20.95,21.0,20.7,20.86,1946819
2016-02-08 09:30:00,20.42,20.44,19.84,19.89,2252169
2016-02-09 09:30:00,19.83,20.55,19.69,20.36,1537126
2016-02-10 09:30:00,19.89,20.05,19.73,20.0,1602735
2016-02-11 09:30:00,19.59,20.04,19.53,19.93,1687896
2016-02-12 09:30:00,19.99,20.13,19.89,20.01,1723594
2016-02-16 09:30:00,19.92,20.48,19.86,20.45,1450771
2016-02-17 09:30:00,20.62,20.7,20.46,20.68,1066446
2016-02-18 09:30:00,20.64,20.86,20.62,20.83,1307473
2016-02-19 09:30:00,20.93,21.07,20.86,20.99,1603306
2016-02-22 09:30:00,21.39,21.63,21.37,21.61,964489
2016-02-23 09:30:00,21.47,21.62,21.44,21.53,1205576
2016-02-24 09:30:00,20.93,20.99,20.8,20.97,1033372
2016-02-25 09:30:00,21.47,21.53,21.34,21.43,886666
2016-02-26 09:30:00,21.78,21.92,21.73,21.77,830761
2016-02-29 09:30:00,21.55,21.75,21.47,21.67,428931
2016-03-01 09:30:00,21.43,21.55,21.17,21.17,861998
2016-03-02 09:30:00,21.56,21.61,21.4,21.47,827943
2016-03-03 09:30:00,21.15,21.42,21.07,21.3,893408
2016-03-04 09:30:00,21.42,21.55,21.38,21.55,909010
2016-03-07 09:30:00,21.76,21.78,21.61,21.62,531748
2016-03-08 09:30:00,21.46,21.49,21.16,21.43,1162136
2016-03-09 09:30:00,21.74,21.88,21.4,21.43,2521775
2016-03-10 09:30:00,21.48,21.53,20.83,20.99,2326468
2016-03-11 09:30:00,21.39,21.48,21.35,21.45,4812038
2016-03-14 09:30:00,21.46,21.51,21.35,21.43,864343
2016-03-15 09:30:00,21.52,21.57,21.41,21.44,686172
2016-03-16 09:30:00,20.95,20.95,20.44,20.53,2815751
2016-03-17 09:30:00,21.23,21.27,21.14,21.16,1281117
2016-03-18 09:30:00,21.31,21.33,20.71,20.81,4767787
2016-03-21 09:30:00,21.27,21.88,21.27,21.84,1661758
2016-03-22 09:30:00,21.59,21.73,21.56,21.68,1137969
2016-03-23 09:30:00,21.52,21.57,21.4,21.44,903171
2016-03-24 09:30:00,21.56,21.73,21.44,21.64,1599702
2016-03-28 09:30:00,21.7,21.73,21.55,21.58,578005
2016-03-29 09:30:00,21.21,21.23,20.87,20.99,2291888
2016-03-30 09:30:00,21.49,21.89,21.48,21.74,1226146
2016-03-31 09:30:00,21.56,21.57,21.31,21.32,947619
2016-04-01 09:30:00,21.71,21.78,21.14,21.28,1680962
2016-04-04 09:30:00,20.97,21.56,20.9,21.4,3392267
2016-04-05 09:30:00,21.16,22.04,21.13,21.8,3501482
2016-04-06 09:30:00,21.85,22.2,21.76,22.1,2135899
2016-04-07 09:30:00,22.11,22.24,21.85,22.0,3274425
2016-04-08 09:30:00,21.64,21.78,21.5,21.63,792671
2016-04-11 09:30:00,21.59,21.79,21.52,21.75,841447
2016-04-12 09:30:00,21.61,21.63,21.49,21.5,776795
2016-04-13 09:30:00,21.94,22.48,21.93,22.46,1182783
2016-04-14 09:30:00,22.59,22.59,22.3,22.35,1255108
2016-04-15 09:30:00,22.61,22.63,22.4,22.56,1747885
2016-04-18 09:30:00,22.15,22.55,22.15,22.43,566562
2016-04-19 09:30:00,22.01,22.16,21.82,21.83,2219887
2016-04-20 09:30:00,21.71,21.94,21.67,21.84,1154063
2016-04-21 09:30:00,22.0,22.14,21.98,22.07,1029683
2016-04-22 09:30:00,21.98,22.31,21.98,22.22,821992
2016-04-25 09:30:00,21.81,21.92,21.66,21.72,1265536
2016-04-26 09:30:00,21.59,21.97,21.59,21.92,1234786
2016-04-27 09:30:00,22.63,23.25,22.59,23.15,4771819
2016-04-28 09:30:00,22.41,22.61,22.33,22.49,1004950
2016-04-29 09:30:00,21.77,21.96,21.5,21.66,3474677
2016-05-02 09:30:00,21.6,21.76,21.49,21.66,1939453
2016-05-03 09:30:00,21.5,21.66,21.47,21.51,1380899
2016-05-04 09:30:00,21.28,21.48,21.2,21.44,1144521
2016-05-05 09:30:00,21.46,21.48,21.23,21.25,833236
2016-05-06 09:30:00,21.14,21.3,21.13,21.23,830217
2016-05-09 09:30:00,21.25,21.56,21.2,21.53,1143631
2016-05-10 09:30:00,21.48,21.56,21.39,21.48,1220540
2016-05-11 09:30:00,21.54,21.6,21.52,21.56,553926
2016-05-12 09:30:00,21.36,21.37,21.19,21.19,888073
2016-05-13 09:30:00,21.13,21.38,21.08,21.22,1472701
2016-05-16 09:30:00,21.15,21.33,21.09,21.19,561954
2016-05-17 09:30:00,21.12,21.26,21.08,21.21,786829
2016-05-18 09:30:00,20.82,21.02,20.74,21.0,801582
2016-05-19 09:30:00,21.07,21.14,20.96,20.96,565692
2016-05-20 09:30:00,20.94,21.2,20.82,21.18,1449938
2016-05-23 09:30:00,21.06,21.22,20.85,21.21,731556
2016-05-24 09:30:00,21.12,21.6,21.12,21.49,1553617
2016-05-25 09:30:00,21.36,21.53,21.34,21.51,912430
2016-05-26 09:30:00,21.4,21.56,21.31,21.45,1003118
2016-05-27 09:30:00,21.59,21.8,21.57,21.72,828239
2016-05-31 09:30:00,21.7,21.99,21.65,21.89,1054106
2016-06-01 09:30:00,21.82,21.83,21.72,21.74,756758
2016-06-02 09:30:00,21.57,21.6,21.37,21.4,1241101
2016-06-03 09:30:00,21.63,21.66,21.26,21.31,965673
2016-06-06 09:30:00,21.42,21.53,21.39,21.45,763282
2016-06-07 09:30:00,21.58,21.76,21.56,21.64,997673
2016-06-08 09:30:00,21.66,21.74,21.62,21.64,840371
2016-06-09 09:30:00,21.61,21.71,21.52,21.7,1703878
2016-06-10 09:30:00,21.59,21.68,21.36,21.43,1011853
2016-06-13 09:30:00,21.46,21.56,21.39,21.44,876253
2016-06-14 09:30:00,21.25,21.45,21.23,21.4,1004298
2016-06-15 09:30:00,21.43,21.45,21.25,21.43,746493
2016-06-16 09:30:00,21.39,21.4,21.13,21.14,1146338
2016-06-17 09:30:00,21.21,21.31,21.07,21.25,2920131
2016-06-20 09:30:00,21.74,22.12,21.67,22.1,3121164
2016-06-21 09:30:00,21.89,22.04,21.87,22.04,1143426
2016-06-22 09:30:00,21.99,22.11,21.98,22.0,739823
2016-06-23 09:30:00,22.06,22.29,21.98,22.23,1654184
2016-06-24 09:30:00,21.23,21.34,20.97,21.04,2737342
2016-06-27 09:30:00,20.5,20.54,20.12,20.14,1373328
2016-06-28 09:30:00,20.41,20.64,20.39,20.57,1941035
2016-06-29 09:30:00,20.71,20.78,20.61,20.69,1069224
2016-06-30 09:30:00,20.87,20.97,20.81,20.84,597058
2016-07-01 09:30:00,20.93,21.24,20.91,21.22,1682851
2016-07-05 09:30:00,21.18,21.18,21.06,21.1,960624
2016-07-06 09:30:00,21.18,21.18,20.85,20.97,834358
2016-07-07 09:30:00,21.37,21.44,21.27,21.4,980214
2016-07-08 09:30:00,21.46,21.92,21.39,21.81,995374
2016-07-11 09:30:00,22.1,22.35,22.01,22.21,1021100
2016-07-12 09:30:00,22.31,22.64,22.31,22.56,1359467
2016-07-13 09:30:00,22.44,22.53,22.31,22.36,1114977
2016-07-14 09:30:00,22.73,23.46,22.69,23.18,2707881
2016-07-15 09:30:00,23.33,23.49,23.18,23.34,2950848
2016-07-18 09:30:00,23.43,23.57,23.38,23.57,1269628
2016-07-19 09:30:00,23.75,23.87,23.61,23.75,2385002
2016-07-20 09:30:00,23.77,23.83,23.59,23.7,1159911
2016-07-21 09:30:00,25.79,26.7,25.72,26.47,10087514
2016-07-22 09:30:00,26.63,26.97,26.58,26.93,3148320
2016-07-25 09:30:00,27.08,27.53,27.04,27.48,2654070
2016-07-26 09:30:00,27.34,27.92,27.3,27.83,2581842
2016-07-27 09:30:00,28.09,28.25,27.89,28.18,1572258
2016-07-28 09:30:00,27.94,28.13,27.88,28.04,983919
2016-07-29 09:30:00,27.8,27.84,27.63,27.64,1200123
2016-08-01 09:30:00,27.96,28.04,27.82,27.84,1363407
2016-08-02 09:30:00,27.76,27.88,27.64,27.77,1257570
2016-08-03 09:30:00,27.51,27.73,27.46,27.65,873201
2016-08-04 09:30:00,27.64,27.97,27.59,27.81,1012354
2016-08-05 09:30:00,27.83,28.08,27.81,28.01,1029093
2016-08-08 09:30:00,28.05,28.05,27.65,27.66,1135835
2016-08-09 09:30:00,27.89,27.91,27.67,27.67,794248
2016-08-10 09:30:00,27.79,27.92,27.64,27.84,708920
2016-08-11 09:30:00,27.86,28.14,27.71,28.09,989837
2016-08-12 09:30:00,27.89,27.93,27.75,27.87,1128271
2016-08-15 09:30:00,27.69,27.97,27.37,27.86,1246784
2016-08-16 09:30:00,27.6,27.67,27.32,27.55,836087
2016-08-17 09:30:00,27.59,27.6,27.34,27.4,967997
2016-08-18 09:30:00,27.25,27.4,27.23,27.29,505585
2016-08-19 09:30:00,27.21,27.32,27.12,27.14,1055815
2016-08-22 09:30:00,27.21,27.28,27.13,27.17,704378
2016-08-23 09:30:00,27.41,27.66,27.4,27.64,811653
2016-08-24 09:30:00,27.46,27.84,27.45,27.8,1969551
2016-08-25 09:30:00,27.76,27.91,27.75,27.84,1036632
2016-08-26 09:30:00,28.0,28.12,27.9,28.07,795393
2016-08-29 09:30:00,27.92,27.97,27.85,27.87,592589
2016-08-30 09:30:00,28.1,28.45,28.01,28.45,935551
2016-08-31 09:30:00,28.28,28.43,28.22,28.31,1094630
2016-09-01 09:30:00,28.72,28.8,28.58,28.72,840348
2016-09-02 09:30:00,28.85,29.03,28.72,29.03,1020606
2016-09-06 09:30:00,28.76,29.02,28.72,28.99,1038711
2016-09-07 09:30:00,28.99,29.24,28.91,29.22,1294167
2016-09-08 09:30:00,29.03,29.26,28.93,29.14,889756
2016-09-09 09:30:00,28.96,29.11,28.93,29.01,1121618
2016-09-12 09:30:00,28.28,28.59,28.18,28.55,1035419
2016-09-13 09:30:00,28.73,28.84,28.38,28.45,2008826
2016-09-14 09:30:00,28.65,28.7,28.36,28.46,1065429
