open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,101.48,101.7,100.01,100.05,178549
2016-01-05 09:30:00,101.19,101.77,100.93,101.4,67410
2016-01-06 09:30:00,98.71,99.63,95.77,95.97,1073248
2016-01-07 09:30:00,95.18,96.96,95.18,96.35,302718
2016-01-08 09:30:00,94.82,95.01,94.19,94.76,141781
2016-01-11 09:30:00,94.07,94.33,93.66,94.05,223870
2016-01-12 09:30:00,95.02,95.5,94.36,95.2,104816
2016-01-13 09:30:00,95.86,95.96,94.9,95.39,90908
2016-01-14 09:30:00,93.01,93.01,92.23,92.37,79561
2016-01-15 09:30:00,93.03,93.4,92.03,92.46,340006
2016-01-19 09:30:00,93.47,93.55,92.16,92.83,110975
2016-01-20 09:30:00,90.73,91.3,90.5,90.59,101642
2016-01-21 09:30:00,91.78,92.34,90.41,91.41,124010
2016-01-22 09:30:00,93.43,95.18,93.13,95.09,231119
2016-01-25 09:30:00,93.91,94.1,93.1,93.32,76826
2016-01-26 09:30:00,92.95,93.5,92.69,92.9,192903
2016-01-27 09:30:00,92.95,93.86,92.91,93.64,115236
2016-01-28 09:30:00,93.55,94.47,93.32,94.46,121159
2016-01-29 09:30:00,94.12,94.35,93.47,94.16,91507
2016-02-01 09:30:00,95.78,95.83,94.81,95.65,205597
2016-02-02 09:30:00,95.76,95.76,94.57,94.97,131471
2016-02-03 09:30:00,96.16,96.98,95.28,95.46,182359
2016-02-04 09:30:00,96.59,97.72,96.29,97.67,110470
2016-02-05 09:30:00,97.87,97.87,96.42,96.46,180818
2016-02-08 09:30:00,94.41,95.02,93.42,93.45,157598
2016-02-09 09:30:00,92.5,94.38,91.87,94.34,132826
2016-02-10 09:30:00,96.73,97.38,96.26,97.07,78767
2016-02-11 09:30:00,93.5,94.02,92.64,93.66,133694
2016-02-12 09:30:00,94.34,94.57,93.51,94.09,99354
2016-02-16 09:30:00,96.85,97.46,95.99,96.2,96645
2016-02-17 09:30:00,98.83,98.98,98.47,98.66,111934
2016-02-18 09:30:00,98.54,98.87,98.35,98.47,92681
2016-02-19 09:30:00,97.34,97.37,96.16,96.28,186659
2016-02-22 09:30:00,98.21,98.39,96.96,97.0,263230
2016-02-23 09:30:00,93.14,93.58,91.68,92.94,729939
2016-02-24 09:30:00,89.35,90.33,88.64,89.84,383434
2016-02-25 09:30:00,92.21,92.4,91.43,91.64,118994
2016-02-26 09:30:00,93.88,94.67,93.67,94.44,121782
