open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,39.33,39.62,39.2,39.27,242563
2016-01-05 09:30:00,39.7,39.7,38.95,39.06,157881
2016-01-06 09:30:00,39.39,39.46,39.06,39.21,252382
2016-01-07 09:30:00,38.97,39.22,38.97,39.21,122130
2016-01-08 09:30:00,39.15,39.42,39.11,39.24,183530
2016-01-11 09:30:00,39.32,39.55,39.13,39.47,390325
2016-01-12 09:30:00,39.81,39.81,39.18,39.3,176885
2016-01-13 09:30:00,40.22,40.4,40.02,40.34,218932
2016-01-14 09:30:00,39.92,40.27,39.8,40.24,120123
2016-01-15 09:30:00,39.42,39.9,39.4,39.63,461141
2016-01-19 09:30:00,39.9,40.25,39.67,40.12,212481
2016-01-20 09:30:00,40.14,40.41,39.93,40.03,232956
2016-01-21 09:30:00,39.64,39.85,39.42,39.46,114270
2016-01-22 09:30:00,39.25,39.77,39.25,39.59,137215
2016-01-25 09:30:00,40.16,40.16,39.85,40.08,94372
2016-01-26 09:30:00,40.49,41.04,40.46,40.92,206458
2016-01-27 09:30:00,40.89,40.89,40.41,40.78,132473
2016-01-28 09:30:00,40.51,41.14,40.3,41.09,119771
2016-01-29 09:30:00,41.68,41.86,41.38,41.39,259346
2016-02-01 09:30:00,41.51,41.72,41.36,41.41,389709
2016-02-02 09:30:00,41.63,41.71,41.42,41.53,199529
2016-02-03 09:30:00,42.24,42.93,42.15,42.56,393219
2016-02-04 09:30:00,42.9,43.18,42.74,43.04,166341
2016-02-05 09:30:00,42.43,42.43,41.75,42.1,178630
2016-02-08 09:30:00,42.53,43.18,42.41,42.41,196685
2016-02-09 09:30:00,42.3,42.81,42.3,42.59,386310
2016-02-10 09:30:00,42.49,42.65,42.01,42.04,102817
2016-02-11 09:30:00,42.43,42.71,42.21,42.21,162697
2016-02-12 09:30:00,41.75,42.07,41.45,42.02,171643
2016-02-16 09:30:00,41.59,41.69,41.3,41.49,212796
2016-02-17 09:30:00,41.91,41.91,41.48,41.75,104174
2016-02-18 09:30:00,41.96,42.25,41.88,42.17,75860
2016-02-19 09:30:00,42.73,42.74,42.26,42.52,191472
2016-02-22 09:30:00,42.49,42.67,42.29,42.59,188340
