open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,120.84,121.63,120.12,120.94,119975
2016-01-05 09:30:00,122.58,123.89,121.73,123.07,142859
2016-01-06 09:30:00,122.6,123.0,121.28,121.7,137799
2016-01-07 09:30:00,119.2,120.03,118.76,119.77,121720
2016-01-08 09:30:00,118.63,119.52,118.31,118.91,146849
2016-01-11 09:30:00,115.49,116.43,113.77,113.91,128209
2016-01-12 09:30:00,114.26,119.53,113.82,118.88,516257
2016-01-13 09:30:00,118.21,119.97,118.21,119.84,270805
2016-01-14 09:30:00,118.01,118.79,117.2,117.98,168943
2016-01-15 09:30:00,117.87,119.69,117.77,118.05,268814
2016-01-19 09:30:00,119.66,120.14,117.16,118.73,215866
2016-01-20 09:30:00,117.04,120.17,117.04,117.88,199652
2016-01-21 09:30:00,120.08,121.53,119.96,120.77,200357
2016-01-22 09:30:00,122.58,123.88,121.62,123.49,202691
2016-01-25 09:30:00,124.11,124.11,121.52,121.64,187363
2016-01-26 09:30:00,121.29,121.38,119.59,119.97,167610
2016-01-27 09:30:00,118.06,119.16,116.74,117.81,443481
2016-01-28 09:30:00,114.77,116.52,114.33,114.56,257840
2016-01-29 09:30:00,111.88,113.15,111.27,112.52,152587
2016-02-01 09:30:00,115.24,115.96,113.15,114.28,260580
2016-02-02 09:30:00,113.09,113.72,111.19,111.19,186436
2016-02-03 09:30:00,111.51,111.81,109.26,109.72,327817
2016-02-04 09:30:00,110.32,110.32,107.5,108.7,381392
2016-02-05 09:30:00,110.35,111.27,110.1,110.16,93245
2016-02-08 09:30:00,106.9,107.25,104.38,104.85,229599
2016-02-09 09:30:00,102.48,105.89,101.34,105.13,358149
2016-02-10 09:30:00,105.51,107.56,104.85,107.37,124599
2016-02-11 09:30:00,104.89,105.65,104.34,105.27,108136
2016-02-12 09:30:00,105.52,106.2,105.11,105.42,89191
2016-02-16 09:30:00,107.14,108.76,106.96,107.87,131996
2016-02-17 09:30:00,109.44,111.44,109.27,110.94,139584
2016-02-18 09:30:00,111.77,112.85,111.66,112.38,79375
2016-02-19 09:30:00,111.78,113.06,110.79,111.45,254892
2016-02-22 09:30:00,112.07,115.09,112.07,115.04,218886
2016-02-23 09:30:00,115.48,117.22,115.16,115.84,218571
2016-02-24 09:30:00,114.64,114.64,113.23,113.8,106447
2016-02-25 09:30:00,114.37,115.69,113.75,115.05,165035
2016-02-26 09:30:00,116.05,116.88,115.92,116.57,155472
2016-02-29 09:30:00,115.45,116.6,115.0,115.63,98117
2016-03-01 09:30:00,115.46,115.72,114.53,114.74,78890
2016-03-02 09:30:00,115.62,115.98,114.89,115.25,170314
