open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,48.81,48.81,48.17,48.22,137227
2016-01-05 09:30:00,49.27,49.99,48.56,48.65,118057
2016-01-06 09:30:00,48.39,48.46,47.84,48.26,86296
2016-01-07 09:30:00,47.37,48.27,46.92,48.02,161100
2016-01-08 09:30:00,47.71,48.25,47.59,47.86,183250
2016-01-11 09:30:00,46.89,47.11,46.25,46.35,128444
2016-01-12 09:30:00,46.42,46.59,45.86,46.45,100604
2016-01-13 09:30:00,46.67,46.97,46.1,46.47,49673
2016-01-14 09:30:00,46.16,46.31,45.71,45.73,91344
2016-01-15 09:30:00,45.69,46.16,45.34,45.58,398365
2016-01-19 09:30:00,45.94,46.01,44.91,45.51,86463
2016-01-20 09:30:00,44.06,44.25,43.5,43.53,105167
2016-01-21 09:30:00,44.56,45.05,44.06,44.46,100222
2016-01-22 09:30:00,46.11,46.96,46.02,46.85,139160
2016-01-25 09:30:00,45.6,45.83,44.99,45.49,105316
2016-01-26 09:30:00,44.71,45.41,44.5,45.15,138203
2016-01-27 09:30:00,45.67,46.02,45.09,45.63,86842
2016-01-28 09:30:00,46.49,46.56,45.85,46.49,74535
2016-01-29 09:30:00,42.47,43.51,41.13,42.24,966167
2016-02-01 09:30:00,43.18,44.09,42.94,43.9,241976
2016-02-02 09:30:00,43.45,43.64,42.96,43.32,151922
2016-02-03 09:30:00,43.48,43.82,43.12,43.51,138778
2016-02-04 09:30:00,45.09,45.88,45.04,45.65,211554
2016-02-05 09:30:00,44.64,45.2,44.05,45.11,119571
2016-02-08 09:30:00,43.91,44.24,43.45,43.54,132449
2016-02-09 09:30:00,42.38,42.87,41.91,42.74,214509
2016-02-10 09:30:00,43.03,43.27,42.52,43.04,88625
2016-02-11 09:30:00,41.91,43.06,41.84,42.89,77945
2016-02-12 09:30:00,43.21,43.44,42.57,42.95,96066
2016-02-16 09:30:00,45.05,45.26,44.69,44.93,73542
2016-02-17 09:30:00,46.29,46.85,46.25,46.64,78924
2016-02-18 09:30:00,47.05,47.09,46.4,46.87,63376
2016-02-19 09:30:00,46.24,46.32,45.65,45.7,106616
2016-02-22 09:30:00,46.65,47.28,46.63,47.01,99124
2016-02-23 09:30:00,46.41,47.34,46.41,47.02,61121
2016-02-24 09:30:00,45.59,45.66,45.16,45.41,109865
2016-02-25 09:30:00,46.87,46.87,46.27,46.47,77212
2016-02-26 09:30:00,47.7,48.01,47.47,47.82,62480
2016-02-29 09:30:00,47.82,48.02,47.53,47.59,46060
2016-03-01 09:30:00,47.83,47.92,47.5,47.62,107960
2016-03-02 09:30:00,48.65,49.05,48.33,48.75,85192
2016-03-03 09:30:00,49.5,49.79,49.31,49.78,86748
2016-03-04 09:30:00,50.41,50.8,50.04,50.04,81671
2016-03-07 09:30:00,50.96,51.37,50.86,50.91,96956
2016-03-08 09:30:00,51.06,51.37,50.71,51.12,182214
2016-03-09 09:30:00,50.85,51.37,50.63,51.01,64291
2016-03-10 09:30:00,51.5,51.68,51.15,51.67,92507
2016-03-11 09:30:00,51.5,51.85,51.29,51.59,140507
2016-03-14 09:30:00,52.12,52.33,51.53,51.62,194683
2016-03-15 09:30:00,50.94,51.38,50.57,51.24,128854
2016-03-16 09:30:00,51.41,51.88,51.29,51.72,67627
2016-03-17 09:30:00,53.16,53.71,52.99,53.69,195047
2016-03-18 09:30:00,54.83,55.38,54.66,55.38,286661
