open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,36.62,36.62,36.1,36.15,449212
2016-01-05 09:30:00,36.82,36.89,36.26,36.27,389341
2016-01-06 09:30:00,35.79,35.92,35.54,35.82,678156
2016-01-07 09:30:00,35.29,35.44,35.07,35.21,605035
2016-01-08 09:30:00,34.82,34.91,34.62,34.73,540566
2016-01-11 09:30:00,34.19,34.33,33.87,33.91,289626
2016-01-12 09:30:00,34.27,34.64,34.1,34.57,399389
2016-01-13 09:30:00,34.49,34.59,34.29,34.53,306332
2016-01-14 09:30:00,33.72,33.75,33.2,33.23,319751
2016-01-15 09:30:00,32.89,33.08,32.68,32.86,1081442
2016-01-19 09:30:00,33.75,33.82,33.26,33.42,238249
2016-01-20 09:30:00,32.74,32.86,32.52,32.79,861639
2016-01-21 09:30:00,32.77,32.99,32.34,32.4,359106
2016-01-22 09:30:00,33.97,34.03,33.7,33.88,525241
2016-01-25 09:30:00,33.27,33.35,32.93,33.18,286170
2016-01-26 09:30:00,33.03,33.28,32.92,33.13,388074
2016-01-27 09:30:00,33.36,33.56,33.18,33.34,401722
2016-01-28 09:30:00,34.14,34.51,34.05,34.16,304708
2016-01-29 09:30:00,34.65,35.2,34.53,35.15,422243
2016-02-01 09:30:00,35.13,35.16,34.89,34.93,516595
2016-02-02 09:30:00,34.83,35.89,34.7,35.16,662178
2016-02-03 09:30:00,35.75,35.96,35.03,35.05,683275
2016-02-04 09:30:00,35.85,36.74,35.75,36.72,558060
2016-02-05 09:30:00,36.09,36.53,35.92,36.3,358665
2016-02-08 09:30:00,35.95,36.26,35.82,35.87,334538
2016-02-09 09:30:00,35.99,36.5,35.99,36.3,292797
2016-02-10 09:30:00,36.3,36.44,35.89,36.19,356850
2016-02-11 09:30:00,35.08,35.82,34.95,35.72,323655
2016-02-12 09:30:00,35.53,36.16,35.47,35.56,345816
2016-02-16 09:30:00,36.55,36.61,35.83,36.02,339528
2016-02-17 09:30:00,36.7,37.15,36.7,37.01,281088
2016-02-18 09:30:00,37.56,37.96,37.48,37.95,418068
2016-02-19 09:30:00,37.68,37.77,37.24,37.3,516274
2016-02-22 09:30:00,37.92,38.35,37.92,38.07,360675
2016-02-23 09:30:00,38.48,38.76,38.31,38.35,291370
2016-02-24 09:30:00,37.38,37.47,36.89,36.98,333053
2016-02-25 09:30:00,37.83,38.04,37.58,37.67,248168
2016-02-26 09:30:00,38.3,38.49,38.18,38.42,256604
2016-02-29 09:30:00,38.63,38.72,38.45,38.56,177380
