open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,3.43,3.4901,3.19,3.44,157829
2016-01-05 09:30:00,3.63,3.73,3.44,3.5589,280145
2016-01-06 09:30:00,3.3,3.35,3.14,3.2901,207380
2016-01-07 09:30:00,3.02,3.1514,2.96,3.09,272562
2016-01-08 09:30:00,3.1,3.17,3.05,3.11,125792
2016-01-11 09:30:00,3.0,3.05,2.8,2.811,158973
2016-01-12 09:30:00,2.83,2.92,2.815,2.82,61485
2016-01-13 09:30:00,2.68,2.865,2.67,2.7001,71774
2016-01-14 09:30:00,2.49,2.49,2.31,2.31,155495
2016-01-15 09:30:00,2.25,2.32,2.18,2.2301,194027
2016-01-19 09:30:00,2.27,2.35,2.2566,2.27,217900
2016-01-20 09:30:00,2.1,2.134,2.026,2.026,88413
2016-01-21 09:30:00,2.1,2.11,2.0375,2.09,97694
2016-01-22 09:30:00,2.55,2.6,2.31,2.49,179925
2016-01-25 09:30:00,2.43,2.43,2.3,2.38,126508
2016-01-26 09:30:00,2.35,2.35,2.21,2.22,34623
2016-01-27 09:30:00,2.31,2.37,2.3082,2.3082,31214
2016-01-28 09:30:00,2.34,2.46,2.33,2.45,81098
2016-01-29 09:30:00,2.33,2.4,2.33,2.382,46121
2016-02-01 09:30:00,2.44,2.45,2.27,2.37,56434
2016-02-02 09:30:00,2.21,2.24,2.12,2.17,122692
2016-02-03 09:30:00,2.22,2.4,2.22,2.335,70785
2016-02-04 09:30:00,2.35,2.4,2.28,2.33,82024
2016-02-05 09:30:00,2.32,2.37,2.2626,2.3,25853
2016-02-08 09:30:00,2.12,2.19,2.0,2.02,130870
2016-02-09 09:30:00,2.04,2.06,2.0,2.04,33848
2016-02-10 09:30:00,2.0,2.001,1.85,1.91,116414
2016-02-11 09:30:00,1.84,1.87,1.81,1.84,44478
2016-02-12 09:30:00,1.88,1.93,1.83,1.85,69810
2016-02-16 09:30:00,2.07,2.07,1.93,1.94,85490
2016-02-17 09:30:00,2.12,2.13,2.06,2.13,82045
2016-02-18 09:30:00,2.26,2.26,2.03,2.0926,128112
2016-02-19 09:30:00,2.08,2.0992,2.05,2.059,35083
2016-02-22 09:30:00,2.14,2.18,2.09,2.18,48360
2016-02-23 09:30:00,2.22,2.26,2.21,2.2289,94791
2016-02-24 09:30:00,1.85,2.05,1.8,2.005,495807
2016-02-25 09:30:00,1.95,1.99,1.91,1.94,157327
2016-02-26 09:30:00,1.92,2.01,1.9,1.975,163471
2016-02-29 09:30:00,1.93,1.98,1.93,1.95,7771
2016-03-01 09:30:00,2.45,2.6,2.43,2.538,306759
2016-03-02 09:30:00,2.44,2.54,2.44,2.475,88818
2016-03-03 09:30:00,2.65,2.9,2.6294,2.9,176984
2016-03-04 09:30:00,3.3,3.3005,2.95,3.19,349456
2016-03-07 09:30:00,3.09,3.282,3.05,3.23,110121
2016-03-08 09:30:00,3.29,3.3,3.06,3.09,72570
2016-03-09 09:30:00,2.95,3.04,2.93,3.04,70379
2016-03-10 09:30:00,3.17,3.2,3.05,3.11,69685
2016-03-11 09:30:00,2.91,2.98,2.89,2.91,123705
2016-03-14 09:30:00,2.88,2.93,2.85,2.85,23716
2016-03-15 09:30:00,2.78,2.81,2.71,2.77,47113
2016-03-16 09:30:00,2.66,2.67,2.63,2.64,14914
2016-03-17 09:30:00,2.61,2.66,2.575,2.62,53312
2016-03-18 09:30:00,2.77,2.82,2.72,2.77,128595
2016-03-21 09:30:00,2.62,2.69,2.61,2.64,12436
2016-03-22 09:30:00,2.5,2.51,2.45,2.47,15486
2016-03-23 09:30:00,2.45,2.494,2.45,2.45,54385
2016-03-24 09:30:00,2.29,2.29,2.19,2.215,120824
2016-03-28 09:30:00,2.2,2.2,2.1,2.12,67142
2016-03-29 09:30:00,2.11,2.11,2.02,2.0382,74601
2016-03-30 09:30:00,2.21,2.22,2.15,2.18,31489
2016-03-31 09:30:00,2.27,2.3,2.26,2.28,16623
2016-04-01 09:30:00,2.35,2.41,2.34,2.36,77341
2016-04-04 09:30:00,2.48,2.48,2.41,2.48,41002
2016-04-05 09:30:00,2.6,2.615,2.515,2.56,93367
2016-04-06 09:30:00,2.58,2.58,2.45,2.49,80887
2016-04-07 09:30:00,2.55,2.5999,2.45,2.54,16222
2016-04-08 09:30:00,2.51,2.51,2.46,2.49,17157
2016-04-11 09:30:00,2.31,2.4999,2.31,2.36,44028
