open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,52.13,52.24,51.49,52.03,447710
2016-01-05 09:30:00,51.59,51.59,50.68,50.69,381594
2016-01-06 09:30:00,50.44,50.44,49.53,49.85,875562
2016-01-07 09:30:00,48.54,49.54,48.24,49.3,880326
2016-01-08 09:30:00,48.5,48.92,47.9,48.14,434456
2016-01-11 09:30:00,48.59,48.63,47.87,48.14,332625
2016-01-12 09:30:00,47.61,48.0,47.06,47.66,564811
2016-01-13 09:30:00,46.82,47.69,46.82,47.49,564941
2016-01-14 09:30:00,47.75,48.29,46.96,47.66,815641
2016-01-15 09:30:00,45.78,47.27,45.77,46.48,862155
2016-01-19 09:30:00,46.62,46.98,45.38,45.73,599352
2016-01-20 09:30:00,44.1,44.5,43.45,43.57,1085182
2016-01-21 09:30:00,44.47,44.75,43.86,44.33,608437
2016-01-22 09:30:00,49.15,49.83,47.9,48.76,1256212
2016-01-25 09:30:00,47.71,48.37,47.43,48.26,507535
2016-01-26 09:30:00,46.51,46.94,45.99,46.23,676669
2016-01-27 09:30:00,48.06,49.16,47.61,48.37,521491
2016-01-28 09:30:00,51.11,51.53,50.08,50.82,841997
2016-01-29 09:30:00,51.07,52.09,50.96,51.97,709602
2016-02-01 09:30:00,51.16,51.68,50.8,51.46,427891
2016-02-02 09:30:00,49.47,49.72,48.73,49.61,590066
2016-02-03 09:30:00,50.63,50.9,49.81,50.16,462518
2016-02-04 09:30:00,52.17,52.71,51.27,51.3,536135
2016-02-05 09:30:00,49.97,49.97,48.45,49.4,761775
2016-02-08 09:30:00,48.31,48.73,47.8,48.17,573760
2016-02-09 09:30:00,49.62,50.18,49.47,49.49,398489
2016-02-10 09:30:00,48.32,48.42,47.18,48.13,424757
2016-02-11 09:30:00,46.92,47.55,46.84,47.47,541460
2016-02-12 09:30:00,49.33,49.75,48.81,48.93,497806
2016-02-16 09:30:00,50.8,51.01,49.3,49.55,432615
2016-02-17 09:30:00,50.94,50.94,49.91,50.06,481919
2016-02-18 09:30:00,52.42,52.59,51.55,51.72,347476
2016-02-19 09:30:00,50.65,51.08,50.46,50.98,808691
2016-02-22 09:30:00,52.82,52.92,52.14,52.54,547899
2016-02-23 09:30:00,52.84,52.97,51.68,51.89,454654
2016-02-24 09:30:00,49.58,50.03,49.28,50.0,426357
2016-02-25 09:30:00,51.1,51.9,50.67,50.69,319654
2016-02-26 09:30:00,50.14,50.91,48.54,49.21,1981501
2016-02-29 09:30:00,49.78,49.88,47.84,48.14,775060
2016-03-01 09:30:00,48.06,48.25,46.42,46.66,792425
2016-03-02 09:30:00,47.95,48.24,47.35,47.51,406563
2016-03-03 09:30:00,49.43,49.58,49.01,49.47,571341
2016-03-04 09:30:00,51.61,51.75,50.75,51.26,546702
2016-03-07 09:30:00,52.51,52.68,51.95,52.19,532216
2016-03-08 09:30:00,55.11,55.25,53.89,53.89,852209
2016-03-09 09:30:00,52.91,53.06,51.77,52.39,506738
2016-03-10 09:30:00,52.54,52.83,51.91,52.65,649752
2016-03-11 09:30:00,53.9,55.73,53.89,55.34,620796
2016-03-14 09:30:00,54.42,55.2,54.14,54.93,406072
2016-03-15 09:30:00,54.5,54.91,54.26,54.58,381292
2016-03-16 09:30:00,54.91,55.2,54.38,54.81,375185
2016-03-17 09:30:00,55.86,56.18,55.56,56.06,519322
2016-03-18 09:30:00,57.2,57.36,56.7,56.75,1428778
2016-03-21 09:30:00,55.39,56.35,55.07,55.74,238012
2016-03-22 09:30:00,55.66,56.65,55.65,56.57,289983
2016-03-23 09:30:00,55.7,56.51,55.54,55.91,569446
2016-03-24 09:30:00,53.47,54.43,53.39,54.41,520129
2016-03-28 09:30:00,54.85,55.0,54.32,54.61,216367
2016-03-29 09:30:00,54.02,54.73,54.0,54.53,300374
2016-03-30 09:30:00,56.43,56.48,55.21,55.72,472639
2016-03-31 09:30:00,54.25,54.49,53.95,54.43,375364
2016-04-01 09:30:00,52.31,52.72,51.98,52.33,807357
2016-04-04 09:30:00,53.51,53.61,52.67,53.27,279514
2016-04-05 09:30:00,51.6,52.23,51.43,51.74,446341
2016-04-06 09:30:00,52.18,52.81,51.6,51.84,342396
2016-04-07 09:30:00,52.26,53.22,51.97,52.88,473549
2016-04-08 09:30:00,54.17,54.17,53.48,53.49,374715
2016-04-11 09:30:00,54.54,54.81,54.41,54.66,269489
2016-04-12 09:30:00,54.97,55.1,54.29,54.8,535946
2016-04-13 09:30:00,57.38,57.43,56.47,57.13,422928
2016-04-14 09:30:00,57.73,57.83,56.97,57.49,328972
2016-04-15 09:30:00,57.28,57.28,56.05,56.05,571933
2016-04-18 09:30:00,54.78,56.25,54.43,56.05,723941
2016-04-19 09:30:00,58.06,58.72,57.49,58.71,513643
2016-04-20 09:30:00,57.81,58.29,57.27,57.37,389166
2016-04-21 09:30:00,58.73,59.26,58.37,58.38,333651
2016-04-22 09:30:00,58.95,60.05,58.82,60.02,303963
2016-04-25 09:30:00,59.48,59.57,58.86,59.13,286372
2016-04-26 09:30:00,59.57,59.94,59.17,59.69,231580
2016-04-27 09:30:00,61.92,62.87,61.92,62.47,441931
2016-04-28 09:30:00,62.04,62.7,61.57,62.5,274772
2016-04-29 09:30:00,61.2,61.59,60.88,61.03,511746
2016-05-02 09:30:00,60.91,61.12,59.69,60.14,306994
2016-05-03 09:30:00,60.34,60.84,59.97,60.04,305166
2016-05-04 09:30:00,59.64,60.67,59.57,59.62,475331
2016-05-05 09:30:00,59.52,61.04,59.52,60.91,548265
2016-05-06 09:30:00,58.32,60.41,57.77,59.97,590357
2016-05-09 09:30:00,57.87,58.07,57.58,57.87,333820
2016-05-10 09:30:00,58.28,59.07,58.24,58.75,234908
2016-05-11 09:30:00,58.73,58.95,58.04,58.1,240135
2016-05-12 09:30:00,60.22,60.56,59.29,59.38,232051
2016-05-13 09:30:00,59.35,59.91,58.96,59.46,134637
2016-05-16 09:30:00,58.92,60.23,58.92,59.68,475333
2016-05-17 09:30:00,59.78,60.3,59.48,60.23,308224
2016-05-18 09:30:00,60.2,60.78,60.15,60.45,175520
2016-05-19 09:30:00,58.59,58.7,57.48,57.74,439330
2016-05-20 09:30:00,59.63,59.69,58.98,59.0,548857
2016-05-23 09:30:00,59.04,60.0,58.99,60.0,309791
2016-05-24 09:30:00,60.51,60.64,59.67,60.14,306868
2016-05-25 09:30:00,61.04,61.69,61.03,61.19,362706
2016-05-26 09:30:00,61.82,62.11,61.33,61.35,252622
2016-05-27 09:30:00,60.63,60.86,60.03,60.2,252880
2016-05-31 09:30:00,60.69,61.03,60.37,60.53,277505
2016-06-01 09:30:00,59.67,60.16,59.47,59.63,229008
2016-06-02 09:30:00,58.67,59.29,58.6,58.78,239008
2016-06-03 09:30:00,59.38,59.78,58.99,59.13,208533
2016-06-06 09:30:00,59.64,59.79,59.17,59.56,197443
2016-06-07 09:30:00,60.66,61.29,60.6,61.23,285669
2016-06-08 09:30:00,64.07,64.27,63.7,64.15,494749
2016-06-09 09:30:00,62.28,63.1,62.15,62.92,225348
2016-06-10 09:30:00,61.65,62.4,61.62,61.88,313002
2016-06-13 09:30:00,59.92,60.65,59.57,60.6,179751
2016-06-14 09:30:00,60.09,60.79,59.98,60.72,200718
2016-06-15 09:30:00,61.21,61.4,60.3,60.35,140607
2016-06-16 09:30:00,60.26,60.26,59.2,59.27,290468
2016-06-17 09:30:00,59.89,60.03,59.44,59.78,784587
2016-06-20 09:30:00,60.91,61.35,60.53,61.34,314053
2016-06-21 09:30:00,61.4,61.76,61.31,61.65,292984
2016-06-22 09:30:00,62.82,62.96,62.11,62.15,250224
2016-06-23 09:30:00,62.71,62.87,62.26,62.58,190025
2016-06-24 09:30:00,60.36,61.32,60.11,61.2,426054
2016-06-27 09:30:00,59.19,59.68,59.09,59.57,391454
2016-06-28 09:30:00,59.63,59.89,59.26,59.8,342956
2016-06-29 09:30:00,61.26,61.4,60.97,61.08,185454
2016-06-30 09:30:00,61.14,61.75,61.14,61.59,303939
2016-07-01 09:30:00,61.98,62.97,61.68,62.88,378112
2016-07-05 09:30:00,61.5,62.17,61.45,61.52,271816
2016-07-06 09:30:00,60.69,61.48,60.69,61.19,169356
2016-07-07 09:30:00,62.02,62.05,61.57,61.71,159764
2016-07-08 09:30:00,61.29,61.46,60.56,60.65,236759
2016-07-11 09:30:00,61.37,61.82,61.11,61.8,155171
2016-07-12 09:30:00,62.56,62.85,62.25,62.77,323558
2016-07-13 09:30:00,62.71,63.07,62.57,62.73,348325
2016-07-14 09:30:00,62.9,62.96,62.21,62.53,100581
2016-07-15 09:30:00,62.65,62.94,62.04,62.57,665948
2016-07-18 09:30:00,62.21,62.5,61.72,61.84,111767
2016-07-19 09:30:00,61.44,61.64,60.77,60.77,208295
