open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,77.97,78.03,75.15,75.15,62493
2016-01-05 09:30:00,75.27,76.96,75.27,76.59,52440
2016-01-06 09:30:00,74.01,74.98,74.01,74.44,11754
2016-01-07 09:30:00,73.08,74.43,72.61,74.43,46740
2016-01-08 09:30:00,73.02,73.59,72.5,73.155,58509
2016-01-11 09:30:00,69.56,70.29,69.0,69.34,69248
2016-01-12 09:30:00,70.87,71.86,70.79,71.17,23771
2016-01-13 09:30:00,71.04,71.56,70.85,71.37,22719
2016-01-14 09:30:00,70.5,71.27,69.39,69.62,21525
2016-01-15 09:30:00,71.19,71.32,70.59,70.905,51208
2016-01-19 09:30:00,69.64,70.38,69.36,69.995,55286
2016-01-20 09:30:00,66.58,67.01,66.09,66.6715,61241
2016-01-21 09:30:00,68.22,68.76,67.48,68.08,18732
2016-01-22 09:30:00,71.32,71.89,70.87,71.85,36055
2016-01-25 09:30:00,71.72,72.55,71.72,71.98,22888
2016-01-26 09:30:00,72.42,72.76,71.68,71.88,20238
2016-01-27 09:30:00,70.66,71.08,70.32,70.81,12695
2016-01-28 09:30:00,71.63,71.85,71.0,71.18,15372
2016-01-29 09:30:00,72.11,72.42,71.55,72.25,35453
2016-02-01 09:30:00,74.36,74.98,73.95,74.95,45763
2016-02-02 09:30:00,75.0,75.67,74.85,75.44,17957
2016-02-03 09:30:00,76.0,76.0,74.68,74.75,18286
2016-02-04 09:30:00,71.37,72.02,69.84,70.15,29316
2016-02-05 09:30:00,68.27,68.27,61.55,62.12,166198
2016-02-08 09:30:00,59.54,61.7,58.86,61.455,208346
2016-02-09 09:30:00,58.96,60.52,58.65,59.895,121764
2016-02-10 09:30:00,58.91,60.68,58.66,60.39,43278
2016-02-11 09:30:00,56.65,57.73,56.491,57.42,34341
2016-02-12 09:30:00,59.0,59.0,55.31,55.31,111514
2016-02-16 09:30:00,57.88,58.4,57.23,58.33,86846
2016-02-17 09:30:00,60.87,61.05,60.05,60.65,23834
2016-02-18 09:30:00,62.98,68.64,62.364,66.61,229999
2016-02-19 09:30:00,65.5,66.07,64.74,64.85,53200
2016-02-22 09:30:00,66.97,67.39,66.28,66.4,17696
2016-02-23 09:30:00,64.2,64.2,62.89,63.62,41690
2016-02-24 09:30:00,63.9,64.02,63.185,63.63,42190
2016-02-25 09:30:00,66.0,66.0,65.16,65.16,24448
2016-02-26 09:30:00,67.47,68.0,66.7225,67.2701,34995
2016-02-29 09:30:00,67.35,67.61,67.088,67.58,9185
2016-03-01 09:30:00,68.93,69.28,68.15,68.49,76458
2016-03-02 09:30:00,69.85,70.75,69.51,69.51,12474
2016-03-03 09:30:00,69.63,69.8,69.07,69.14,10144
2016-03-04 09:30:00,71.07,71.57,70.07,70.99,34660
2016-03-07 09:30:00,70.38,71.18,69.58,70.85,67185
2016-03-08 09:30:00,70.17,70.63,69.48,69.86,22805
2016-03-09 09:30:00,70.09,70.09,69.24,69.83,22448
2016-03-10 09:30:00,69.36,69.73,68.8104,69.605,28242
2016-03-11 09:30:00,68.77,69.43,68.52,69.43,10161
2016-03-14 09:30:00,69.56,71.07,69.56,70.58,32544
2016-03-15 09:30:00,71.01,71.15,70.2001,70.85,42970
2016-03-16 09:30:00,69.99,70.835,69.85,70.02,67332
2016-03-17 09:30:00,70.61,71.02,70.17,70.265,17396
2016-03-18 09:30:00,71.65,71.99,70.985,71.13,88139
2016-03-21 09:30:00,70.24,70.98,70.24,70.94,20162
2016-03-22 09:30:00,70.0,70.6599,69.89,70.28,20677
2016-03-23 09:30:00,70.46,70.46,70.08,70.39,8907
2016-03-24 09:30:00,70.33,70.66,69.88,70.66,17143
2016-03-28 09:30:00,70.53,71.85,70.43,71.815,36926
2016-03-29 09:30:00,71.73,72.21,71.56,72.09,22851
2016-03-30 09:30:00,74.51,74.88,74.36,74.55,32136
2016-03-31 09:30:00,73.32,74.0,73.06,73.89,17992
2016-04-01 09:30:00,74.19,74.405,73.88,74.17,15293
2016-04-04 09:30:00,76.8,76.8,75.725,76.35,25228
2016-04-05 09:30:00,75.1,75.37,74.27,74.92,18085
2016-04-06 09:30:00,74.2,74.63,73.9,74.0,20628
2016-04-07 09:30:00,73.68,74.34,73.29,73.63,15034
2016-04-08 09:30:00,73.2,73.2,72.77,72.96,17986
2016-04-11 09:30:00,74.01,74.97,74.01,74.81,20199
2016-04-12 09:30:00,73.48,73.63,72.75,73.52,20826
2016-04-13 09:30:00,74.64,75.83,74.56,75.6025,28490
2016-04-14 09:30:00,76.05,76.16,75.18,75.419,15155
2016-04-15 09:30:00,76.2,76.5499,75.86,76.48,28591
2016-04-18 09:30:00,76.93,77.48,76.58,77.17,14384
2016-04-19 09:30:00,77.57,77.96,77.17,77.58,59661
2016-04-20 09:30:00,76.95,76.95,76.01,76.5,19472
2016-04-21 09:30:00,77.08,77.45,76.8,76.96,24535
2016-04-22 09:30:00,77.77,78.4,77.48,78.35,26681
2016-04-25 09:30:00,77.86,78.14,76.74,76.76,31682
2016-04-26 09:30:00,77.8,77.8,76.57,77.47,15650
2016-04-27 09:30:00,77.92,77.92,76.36,76.46,51941
2016-04-28 09:30:00,75.5,75.5,74.02,74.42,42716
2016-04-29 09:30:00,73.5,73.99,73.31,73.75,19778
2016-05-02 09:30:00,73.22,73.22,72.49,72.61,14163
2016-05-03 09:30:00,72.9,73.19,72.0601,72.14,8279
2016-05-04 09:30:00,71.06,71.37,71.0,71.3,15681
2016-05-05 09:30:00,70.5,72.52,69.5,71.835,160808
2016-05-06 09:30:00,72.75,73.09,71.13,71.23,47297
2016-05-09 09:30:00,71.07,71.99,70.752,71.62,61204
2016-05-10 09:30:00,70.13,70.98,69.61,70.405,78985
2016-05-11 09:30:00,71.16,72.21,71.06,72.14,42156
2016-05-12 09:30:00,72.5,73.19,72.09,72.09,68937
2016-05-13 09:30:00,71.305,71.93,70.57,71.86,24633
2016-05-16 09:30:00,71.93,72.09,71.374,71.87,75096
2016-05-17 09:30:00,72.61,72.95,72.15,72.48,90422
2016-05-18 09:30:00,70.92,71.2,70.36,71.02,27127
2016-05-19 09:30:00,71.53,72.72,71.53,71.7,40768
2016-05-20 09:30:00,71.49,72.04,71.1,71.988,24506
2016-05-23 09:30:00,72.57,72.69,71.9601,72.36,18294
2016-05-24 09:30:00,72.59,73.21,71.95,73.21,10095
2016-05-25 09:30:00,75.0,75.0,74.32,74.91,42524
2016-05-26 09:30:00,74.98,74.98,74.68,74.74,12784
2016-05-27 09:30:00,74.56,75.9,74.42,75.325,36467
2016-05-31 09:30:00,75.84,76.34,75.81,76.1,19471
2016-06-01 09:30:00,76.06,76.15,75.5,75.66,8594
2016-06-02 09:30:00,75.86,75.8898,75.525,75.525,7188
2016-06-03 09:30:00,75.99,75.99,74.65,74.67,12472
2016-06-06 09:30:00,75.34,75.765,74.64,75.695,47585
