open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,48.94,48.99,48.61,48.86,131292
2016-01-05 09:30:00,48.56,48.88,48.46,48.8,102216
2016-01-06 09:30:00,48.93,49.37,48.76,49.16,92867
2016-01-07 09:30:00,48.2,48.53,48.2,48.51,73827
2016-01-08 09:30:00,49.11,49.15,48.74,49.11,118819
2016-01-11 09:30:00,47.95,48.15,47.77,47.8,84312
2016-01-12 09:30:00,48.99,49.05,48.59,48.65,313978
2016-01-13 09:30:00,48.51,48.63,48.37,48.59,116015
2016-01-14 09:30:00,48.06,48.42,47.9,48.05,118618
2016-01-15 09:30:00,46.73,47.26,46.43,47.09,351655
2016-01-19 09:30:00,47.66,48.3,47.54,47.82,138271
2016-01-20 09:30:00,47.51,47.66,46.9,46.9,150864
2016-01-21 09:30:00,46.51,46.84,46.07,46.07,106773
2016-01-22 09:30:00,46.87,46.94,46.52,46.7,159645
2016-01-25 09:30:00,47.85,47.85,46.74,47.77,119721
2016-01-26 09:30:00,47.33,48.05,47.31,47.77,105776
2016-01-27 09:30:00,48.25,48.25,47.6,47.88,89750
2016-01-28 09:30:00,47.44,47.44,47.11,47.25,164933
2016-01-29 09:30:00,46.42,46.57,45.54,45.59,288667
2016-02-01 09:30:00,46.16,46.71,45.91,46.71,164895
2016-02-02 09:30:00,46.65,46.78,45.57,45.78,267691
2016-02-03 09:30:00,45.92,45.99,45.16,45.21,276168
2016-02-04 09:30:00,45.6,45.79,45.12,45.28,196086
2016-02-05 09:30:00,46.08,46.13,45.63,45.65,96651
2016-02-08 09:30:00,44.13,44.58,43.47,43.5,259293
2016-02-09 09:30:00,43.59,43.88,43.31,43.32,193630
2016-02-10 09:30:00,43.53,43.78,43.26,43.65,88407
2016-02-11 09:30:00,42.84,42.95,42.33,42.53,204287
2016-02-12 09:30:00,43.42,43.42,43.07,43.21,247366
2016-02-16 09:30:00,43.64,43.75,43.24,43.44,117136
2016-02-17 09:30:00,43.82,44.1,43.69,43.87,276634
2016-02-18 09:30:00,43.75,43.85,43.55,43.76,116216
2016-02-19 09:30:00,44.47,44.47,43.92,43.98,207347
2016-02-22 09:30:00,44.64,45.21,44.61,45.08,82552
2016-02-23 09:30:00,45.38,45.58,45.07,45.28,217649
2016-02-24 09:30:00,44.53,44.87,44.38,44.38,135391
2016-02-25 09:30:00,44.73,45.01,44.57,44.78,177417
2016-02-26 09:30:00,45.13,45.16,44.85,44.93,123735
2016-02-29 09:30:00,45.16,45.45,45.1,45.13,202623
2016-03-01 09:30:00,45.43,45.68,45.06,45.17,430930
2016-03-02 09:30:00,46.38,47.26,46.38,47.11,382802
2016-03-03 09:30:00,47.37,47.57,47.21,47.5,171997
2016-03-04 09:30:00,48.01,48.06,47.66,47.84,139527
2016-03-07 09:30:00,48.02,48.3,47.8,48.22,118131
2016-03-08 09:30:00,48.5,48.66,48.39,48.51,74190
2016-03-09 09:30:00,48.03,48.55,47.91,48.41,96846
2016-03-10 09:30:00,48.78,49.12,48.66,49.06,207273
2016-03-11 09:30:00,48.68,49.37,47.89,48.46,395758
2016-03-14 09:30:00,49.18,49.52,49.01,49.34,81108
2016-03-15 09:30:00,49.05,49.05,48.75,48.83,116126
2016-03-16 09:30:00,49.12,49.17,48.8,49.06,136612
2016-03-17 09:30:00,49.71,49.72,49.49,49.55,101503
2016-03-18 09:30:00,50.52,50.66,50.25,50.65,942381
2016-03-21 09:30:00,50.16,50.28,50.04,50.27,124567
2016-03-22 09:30:00,49.36,49.61,49.24,49.59,164575
2016-03-23 09:30:00,49.6,49.67,49.29,49.48,77837
2016-03-24 09:30:00,49.17,49.37,48.99,49.07,112200
2016-03-28 09:30:00,49.42,49.65,49.42,49.58,64524
2016-03-29 09:30:00,50.16,50.73,50.16,50.49,88622
2016-03-30 09:30:00,50.96,51.23,50.74,51.02,151748
2016-03-31 09:30:00,51.06,51.25,50.81,51.07,146120
2016-04-01 09:30:00,50.89,51.1,50.71,51.01,97935
2016-04-04 09:30:00,51.08,51.42,50.93,51.12,76806
2016-04-05 09:30:00,50.6,50.96,50.46,50.61,148441
2016-04-06 09:30:00,50.33,50.43,50.23,50.33,26151
2016-04-07 09:30:00,50.63,50.78,50.26,50.7,50731
2016-04-08 09:30:00,50.55,50.67,50.5,50.57,43556
2016-04-11 09:30:00,49.95,49.95,49.24,49.47,391196
2016-04-12 09:30:00,49.29,49.39,49.05,49.33,171815
2016-04-13 09:30:00,49.54,49.55,48.88,48.88,159620
2016-04-14 09:30:00,47.88,47.97,47.34,47.35,228627
2016-04-15 09:30:00,47.24,47.44,47.03,47.39,378921
2016-04-18 09:30:00,48.29,48.39,47.94,48.04,120160
2016-04-19 09:30:00,48.71,48.81,48.48,48.61,125601
2016-04-20 09:30:00,48.92,49.04,48.43,48.52,92669
2016-04-21 09:30:00,47.75,48.05,47.49,48.04,119332
2016-04-22 09:30:00,47.88,47.98,47.63,47.86,134786
2016-04-25 09:30:00,48.0,48.37,47.79,48.36,135197
2016-04-26 09:30:00,48.61,48.82,48.53,48.76,74945
2016-04-27 09:30:00,46.1,47.07,45.51,46.26,770038
2016-04-28 09:30:00,46.51,47.35,46.22,47.18,143265
2016-04-29 09:30:00,46.66,46.92,46.37,46.55,101807
2016-05-02 09:30:00,46.81,47.17,46.39,47.13,117849
2016-05-03 09:30:00,46.92,47.14,46.85,46.95,63338
2016-05-04 09:30:00,46.84,47.25,46.66,47.16,115249
2016-05-05 09:30:00,47.88,48.43,47.74,48.42,148969
2016-05-06 09:30:00,48.14,48.43,48.07,48.19,190070
2016-05-09 09:30:00,48.54,48.85,48.44,48.78,105324
2016-05-10 09:30:00,49.21,49.47,48.66,49.35,399654
2016-05-11 09:30:00,49.22,49.27,48.65,48.65,85533
2016-05-12 09:30:00,47.65,47.65,47.03,47.47,119914
2016-05-13 09:30:00,47.46,47.62,47.15,47.45,77109
2016-05-16 09:30:00,47.07,47.38,47.04,47.31,66892
2016-05-17 09:30:00,47.48,47.48,46.69,46.85,168177
2016-05-18 09:30:00,46.58,46.58,46.11,46.24,262471
2016-05-19 09:30:00,45.81,45.85,45.36,45.47,136841
2016-05-20 09:30:00,45.79,45.83,45.51,45.79,159099
2016-05-23 09:30:00,46.21,46.28,45.84,45.98,94167
2016-05-24 09:30:00,46.37,46.55,46.11,46.38,271969
2016-05-25 09:30:00,46.45,46.52,46.02,46.23,410713
2016-05-26 09:30:00,46.85,46.89,46.55,46.72,134505
2016-05-27 09:30:00,46.87,47.11,46.79,47.0,61543
2016-05-31 09:30:00,46.92,47.04,46.53,46.56,78362
2016-06-01 09:30:00,46.24,46.61,45.79,45.97,471750
2016-06-02 09:30:00,45.51,45.55,44.73,44.73,606194
2016-06-03 09:30:00,45.64,45.64,44.72,44.85,388046
2016-06-06 09:30:00,44.25,44.36,43.51,43.59,294226
2016-06-07 09:30:00,43.51,43.73,43.43,43.61,154767
2016-06-08 09:30:00,43.31,43.45,42.99,43.26,172972
2016-06-09 09:30:00,43.63,43.82,43.59,43.82,109259
2016-06-10 09:30:00,43.61,43.7,43.29,43.44,159413
2016-06-13 09:30:00,43.93,44.47,43.76,44.38,192002
2016-06-14 09:30:00,43.84,43.93,43.62,43.8,279104
2016-06-15 09:30:00,44.05,44.48,43.87,44.21,99014
2016-06-16 09:30:00,44.53,44.69,44.36,44.38,172875
2016-06-17 09:30:00,44.95,44.96,44.38,44.49,354618
2016-06-20 09:30:00,45.36,45.82,45.27,45.55,233491
2016-06-21 09:30:00,44.96,45.11,44.83,44.89,159958
2016-06-22 09:30:00,45.1,45.12,44.77,45.06,217429
2016-06-23 09:30:00,45.58,45.59,45.17,45.24,362788
2016-06-24 09:30:00,44.64,44.79,44.21,44.67,270543
2016-06-27 09:30:00,44.53,44.77,44.34,44.58,203423
2016-06-28 09:30:00,45.62,46.11,45.46,46.11,183402
2016-06-29 09:30:00,46.67,47.18,46.51,47.12,90165
2016-06-30 09:30:00,46.7,46.79,46.4,46.57,120677
2016-07-01 09:30:00,47.36,47.45,47.13,47.23,218139
2016-07-05 09:30:00,47.49,47.97,47.25,47.84,225087
2016-07-06 09:30:00,47.77,47.92,47.49,47.56,324542
2016-07-07 09:30:00,47.4,47.4,46.91,47.27,148916
2016-07-08 09:30:00,47.87,48.1,47.67,47.77,230835
2016-07-11 09:30:00,48.46,48.46,47.94,48.08,109874
2016-07-12 09:30:00,48.34,48.63,48.07,48.17,252560
2016-07-13 09:30:00,48.95,49.04,48.76,48.76,84993
2016-07-14 09:30:00,48.6,48.75,48.45,48.71,114839
2016-07-15 09:30:00,48.42,48.42,47.8,47.86,220257
2016-07-18 09:30:00,47.86,47.95,47.69,47.77,85706
2016-07-19 09:30:00,47.84,48.0,47.66,47.77,89104
2016-07-20 09:30:00,48.47,48.53,48.27,48.43,69299
2016-07-21 09:30:00,48.04,48.04,47.71,47.81,75869
2016-07-22 09:30:00,48.01,48.35,47.8,48.34,261003
2016-07-25 09:30:00,48.37,48.56,48.25,48.28,117091
2016-07-26 09:30:00,47.84,47.86,47.61,47.63,248666
2016-07-27 09:30:00,45.55,46.2,45.12,45.77,1794593
2016-07-28 09:30:00,45.12,45.21,44.91,45.1,388452
2016-07-29 09:30:00,45.88,46.64,45.78,46.59,283997
2016-08-01 09:30:00,46.66,47.13,46.66,46.96,160696
2016-08-02 09:30:00,46.82,46.82,46.08,46.38,224288
2016-08-03 09:30:00,45.85,45.94,45.39,45.46,342904
2016-08-04 09:30:00,45.32,45.45,45.3,45.42,151884
2016-08-05 09:30:00,45.69,45.69,45.37,45.63,224414
