open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,59.71,60.68,59.68,60.5,128809
2016-01-05 09:30:00,61.73,61.85,61.11,61.41,109346
2016-01-06 09:30:00,58.75,58.81,57.54,58.64,173943
2016-01-07 09:30:00,56.25,58.01,55.73,57.54,150009
2016-01-08 09:30:00,60.17,61.22,60.16,60.88,105843
2016-01-11 09:30:00,62.56,63.09,61.17,61.43,277458
2016-01-12 09:30:00,60.78,61.65,59.88,60.9,139794
2016-01-13 09:30:00,59.15,60.96,59.14,59.93,170311
2016-01-14 09:30:00,59.49,60.23,58.56,59.31,157253
2016-01-15 09:30:00,58.56,59.33,57.54,58.78,161282
2016-01-19 09:30:00,61.1,61.68,59.57,60.46,113458
2016-01-20 09:30:00,60.2,60.45,59.29,59.87,160095
2016-01-21 09:30:00,64.16,65.06,63.72,64.33,307780
2016-01-22 09:30:00,66.21,67.37,65.84,66.93,343694
2016-01-25 09:30:00,65.31,67.23,65.31,66.84,127707
2016-01-26 09:30:00,67.61,68.42,66.46,66.91,275353
2016-01-27 09:30:00,70.66,71.86,69.58,70.06,139399
2016-01-28 09:30:00,72.01,72.48,70.38,70.48,141165
2016-01-29 09:30:00,70.25,70.79,69.79,70.36,83134
2016-02-01 09:30:00,70.85,70.85,68.96,69.48,231859
2016-02-02 09:30:00,66.93,67.2,65.73,66.76,163955
2016-02-03 09:30:00,68.91,68.99,67.35,67.78,130301
2016-02-04 09:30:00,70.93,72.08,69.36,69.96,249591
2016-02-05 09:30:00,68.93,69.12,67.2,69.04,152431
2016-02-08 09:30:00,67.93,68.87,67.17,68.23,142765
2016-02-09 09:30:00,67.63,67.92,66.58,67.6,95708
2016-02-10 09:30:00,65.4,66.63,64.31,65.52,71901
2016-02-11 09:30:00,66.76,67.16,64.97,67.16,164401
2016-02-12 09:30:00,67.02,67.02,65.61,65.94,52640
2016-02-16 09:30:00,69.39,69.64,68.06,68.43,109647
2016-02-17 09:30:00,70.36,70.76,68.97,69.03,59988
2016-02-18 09:30:00,70.81,72.23,69.08,69.36,71871
2016-02-19 09:30:00,68.4,68.68,67.88,68.37,1922792
