open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,40.14,40.26,39.87,40.1,338352
2016-01-05 09:30:00,40.94,41.03,40.42,40.44,226068
2016-01-06 09:30:00,39.83,40.18,39.78,40.18,257770
2016-01-07 09:30:00,39.16,39.28,39.0,39.06,295580
2016-01-08 09:30:00,39.23,39.52,39.07,39.13,290736
2016-01-11 09:30:00,38.91,39.05,38.36,38.42,229235
2016-01-12 09:30:00,38.98,39.27,38.74,39.18,285961
2016-01-13 09:30:00,39.28,39.66,39.26,39.45,316629
2016-01-14 09:30:00,38.18,38.18,36.96,37.0,585979
2016-01-15 09:30:00,36.84,37.26,36.83,37.11,759107
2016-01-19 09:30:00,38.1,38.21,37.47,37.74,285629
2016-01-20 09:30:00,37.02,37.27,36.57,36.95,493498
2016-01-21 09:30:00,37.29,37.34,36.67,36.79,373427
2016-01-22 09:30:00,38.31,38.58,37.9,38.56,407261
2016-01-25 09:30:00,37.81,38.07,37.38,37.65,244746
2016-01-26 09:30:00,37.84,37.84,37.2,37.47,341111
2016-01-27 09:30:00,38.4,38.46,37.93,38.18,324119
2016-01-28 09:30:00,39.44,39.74,39.31,39.49,422501
2016-01-29 09:30:00,37.98,39.18,37.43,38.8,1551205
2016-02-01 09:30:00,39.23,39.3,38.71,38.73,308094
2016-02-02 09:30:00,38.89,39.26,38.65,38.98,438759
2016-02-03 09:30:00,40.72,40.75,39.67,39.82,1042334
2016-02-04 09:30:00,41.13,42.25,41.13,42.25,648184
2016-02-05 09:30:00,42.31,42.98,42.13,42.84,289827
2016-02-08 09:30:00,42.33,42.57,41.92,42.0,449205
2016-02-09 09:30:00,42.14,43.06,42.14,42.87,539485
2016-02-10 09:30:00,42.89,43.08,42.42,42.6,338152
2016-02-11 09:30:00,41.19,42.11,41.04,41.92,353687
2016-02-12 09:30:00,42.31,42.44,41.58,41.81,349974
2016-02-16 09:30:00,42.5,42.95,41.95,42.21,291933
2016-02-17 09:30:00,43.44,44.28,43.19,44.04,459135
2016-02-18 09:30:00,43.86,44.27,43.8,44.27,155450
2016-02-19 09:30:00,43.79,43.79,43.05,43.35,316248
2016-02-22 09:30:00,44.42,45.14,44.35,44.89,427100
2016-02-23 09:30:00,45.0,45.41,44.71,45.19,276004
2016-02-24 09:30:00,43.75,43.87,43.04,43.17,380633
2016-02-25 09:30:00,44.49,44.57,44.08,44.28,177695
2016-02-26 09:30:00,45.11,45.41,45.04,45.15,193901
2016-02-29 09:30:00,45.02,45.07,44.79,44.96,270756
2016-03-01 09:30:00,45.22,45.27,44.71,44.88,341005
2016-03-02 09:30:00,45.4,45.44,45.06,45.11,285135
2016-03-03 09:30:00,45.43,45.68,45.23,45.32,200870
2016-03-04 09:30:00,45.81,45.9,45.33,45.42,228495
2016-03-07 09:30:00,45.72,46.37,45.72,46.06,175739
2016-03-08 09:30:00,46.34,46.34,45.83,45.84,155387
2016-03-09 09:30:00,46.1,46.44,45.95,46.1,230353
2016-03-10 09:30:00,46.43,46.81,46.21,46.72,250052
2016-03-11 09:30:00,47.22,47.68,47.22,47.41,268322
2016-03-14 09:30:00,47.25,47.71,47.1,47.5,123370
