open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,23.12,23.23,22.73,23.13,190716
2016-01-05 09:30:00,23.27,23.42,22.93,22.94,301626
2016-01-06 09:30:00,23.34,23.38,23.09,23.23,240286
2016-01-07 09:30:00,23.12,23.34,23.12,23.33,221836
2016-01-08 09:30:00,23.01,23.15,23.01,23.09,166578
2016-01-11 09:30:00,23.06,23.22,22.99,23.09,123820
2016-01-12 09:30:00,23.24,23.27,22.89,22.91,456570
2016-01-13 09:30:00,23.32,23.52,23.32,23.45,342852
2016-01-14 09:30:00,23.25,23.49,23.14,23.45,142728
2016-01-15 09:30:00,23.35,23.35,23.07,23.14,408696
2016-01-19 09:30:00,23.43,23.56,23.21,23.4,194518
2016-01-20 09:30:00,23.3,23.46,23.19,23.19,172094
2016-01-21 09:30:00,22.67,22.82,22.36,22.36,154466
2016-01-22 09:30:00,22.9,22.98,22.76,22.94,176966
2016-01-25 09:30:00,23.37,23.4,23.2,23.29,92238
2016-01-26 09:30:00,23.13,23.53,23.11,23.51,293938
2016-01-27 09:30:00,23.35,23.68,23.28,23.67,130250
2016-01-28 09:30:00,23.66,23.89,23.53,23.89,177790
2016-01-29 09:30:00,24.27,24.37,24.16,24.16,150338
2016-02-01 09:30:00,24.04,24.17,23.97,23.98,218186
2016-02-02 09:30:00,24.21,24.49,24.08,24.13,153572
2016-02-03 09:30:00,24.49,24.76,24.45,24.74,220282
2016-02-04 09:30:00,24.89,25.36,24.86,25.21,221302
2016-02-05 09:30:00,24.53,24.66,24.22,24.45,193754
2016-02-08 09:30:00,24.64,24.86,24.31,24.33,321118
2016-02-09 09:30:00,24.03,24.31,24.03,24.13,562424
2016-02-10 09:30:00,24.32,24.4,24.11,24.22,240712
2016-02-11 09:30:00,24.55,24.61,24.35,24.45,218830
2016-02-12 09:30:00,24.23,24.3,24.05,24.21,240788
2016-02-16 09:30:00,24.36,24.36,24.06,24.24,171798
2016-02-17 09:30:00,24.39,24.51,24.12,24.19,206894
2016-02-18 09:30:00,24.65,24.86,24.39,24.77,475238
2016-02-19 09:30:00,25.42,25.47,24.81,25.08,634006
2016-02-22 09:30:00,25.31,25.4,25.16,25.34,157442
2016-02-23 09:30:00,25.46,25.58,25.28,25.36,175140
2016-02-24 09:30:00,25.3,25.5,25.26,25.4,205042
2016-02-25 09:30:00,25.37,25.43,25.2,25.35,176042
2016-02-26 09:30:00,25.44,25.7,25.28,25.28,383332
2016-02-29 09:30:00,24.75,24.91,24.65,24.89,131932
2016-03-01 09:30:00,25.05,25.14,25.03,25.12,129938
2016-03-02 09:30:00,24.76,24.96,24.33,24.54,301584
2016-03-03 09:30:00,25.22,25.26,24.83,24.84,166702
2016-03-04 09:30:00,25.08,25.22,24.88,24.91,173356
2016-03-07 09:30:00,25.5,25.54,25.36,25.5,99780
2016-03-08 09:30:00,25.51,25.57,25.27,25.34,246090
2016-03-09 09:30:00,25.71,25.93,25.7,25.89,205408
2016-03-10 09:30:00,25.95,26.19,25.92,26.14,281384
2016-03-11 09:30:00,26.26,26.38,26.11,26.13,194578
2016-03-14 09:30:00,26.19,26.5,26.01,26.42,286202
2016-03-15 09:30:00,26.25,26.42,26.24,26.35,132420
2016-03-16 09:30:00,26.36,26.44,26.12,26.19,132770
2016-03-17 09:30:00,26.93,26.98,26.79,26.92,203982
2016-03-18 09:30:00,27.19,27.31,26.97,27.19,1330590
2016-03-21 09:30:00,26.72,26.91,26.69,26.9,248686
2016-03-22 09:30:00,27.04,27.04,26.79,26.99,106794
2016-03-23 09:30:00,26.77,26.82,26.68,26.79,107786
2016-03-24 09:30:00,26.82,27.02,26.73,26.95,77962
2016-03-28 09:30:00,27.21,27.33,27.09,27.15,113236
2016-03-29 09:30:00,27.0,27.09,26.89,26.97,127088
2016-03-30 09:30:00,27.38,27.44,27.15,27.24,137282
2016-03-31 09:30:00,27.3,27.47,27.25,27.25,245328
2016-04-01 09:30:00,27.34,27.55,27.34,27.4,414036
2016-04-04 09:30:00,27.55,27.56,27.37,27.45,124754
2016-04-05 09:30:00,27.13,27.18,26.6,26.65,307928
2016-04-06 09:30:00,26.56,26.65,26.44,26.47,176154
2016-04-07 09:30:00,26.51,26.78,26.48,26.74,131878
2016-04-08 09:30:00,26.7,26.83,26.67,26.73,155638
2016-04-11 09:30:00,26.59,26.81,26.59,26.63,174846
2016-04-12 09:30:00,26.27,26.45,26.22,26.44,328570
2016-04-13 09:30:00,26.5,26.5,26.3,26.35,226172
2016-04-14 09:30:00,26.3,26.46,26.2,26.31,155174
2016-04-15 09:30:00,26.12,26.25,26.04,26.22,291218
2016-04-18 09:30:00,26.12,26.26,26.08,26.14,310118
2016-04-19 09:30:00,26.34,26.38,26.24,26.35,257608
2016-04-20 09:30:00,26.33,26.38,26.19,26.19,254324
2016-04-21 09:30:00,25.65,25.65,25.33,25.4,356982
2016-04-22 09:30:00,25.44,25.71,25.4,25.61,233056
2016-04-25 09:30:00,25.61,25.7,25.39,25.43,124566
2016-04-26 09:30:00,25.76,25.97,25.71,25.95,513050
2016-04-27 09:30:00,25.63,25.79,25.51,25.75,479802
2016-04-28 09:30:00,25.48,25.67,25.37,25.6,237258
2016-04-29 09:30:00,25.5,25.61,25.37,25.61,147264
2016-05-02 09:30:00,25.95,26.11,25.93,26.03,199168
2016-05-03 09:30:00,25.98,26.15,25.94,26.09,200814
2016-05-04 09:30:00,26.35,26.5,26.28,26.44,166458
2016-05-05 09:30:00,26.51,26.79,26.49,26.63,278430
2016-05-06 09:30:00,26.43,26.43,26.18,26.25,206766
2016-05-09 09:30:00,26.27,26.38,26.15,26.36,132952
2016-05-10 09:30:00,26.35,26.51,26.26,26.41,279874
2016-05-11 09:30:00,26.52,26.61,26.34,26.4,183608
2016-05-12 09:30:00,26.72,26.89,26.59,26.78,216840
2016-05-13 09:30:00,26.78,26.86,26.6,26.78,164552
2016-05-16 09:30:00,26.64,26.72,26.37,26.57,152342
2016-05-17 09:30:00,26.51,26.68,26.37,26.53,271162
2016-05-18 09:30:00,26.32,26.32,25.89,25.94,463330
2016-05-19 09:30:00,25.46,25.66,25.32,25.56,247656
2016-05-20 09:30:00,25.98,26.01,25.73,25.84,206860
2016-05-23 09:30:00,25.93,26.0,25.79,25.98,116412
2016-05-24 09:30:00,25.73,25.83,25.7,25.8,103696
2016-05-25 09:30:00,25.8,25.85,25.62,25.78,156034
2016-05-26 09:30:00,25.91,26.12,25.91,26.07,122666
2016-05-27 09:30:00,26.29,26.38,26.28,26.35,114440
2016-05-31 09:30:00,26.29,26.39,26.21,26.35,78110
2016-06-01 09:30:00,26.43,26.55,26.33,26.53,147404
2016-06-02 09:30:00,26.57,26.69,26.51,26.53,235708
2016-06-03 09:30:00,27.05,27.28,27.02,27.23,221718
2016-06-06 09:30:00,27.48,27.63,27.26,27.46,274058
2016-06-07 09:30:00,27.28,27.43,27.28,27.38,160084
2016-06-08 09:30:00,27.34,27.44,27.27,27.36,142714
2016-06-09 09:30:00,27.35,27.46,27.16,27.23,386772
2016-06-10 09:30:00,27.33,27.56,27.33,27.44,217862
2016-06-13 09:30:00,27.47,27.63,27.42,27.49,277702
2016-06-14 09:30:00,27.35,27.41,27.23,27.33,194148
2016-06-15 09:30:00,27.51,27.52,27.38,27.4,139248
2016-06-16 09:30:00,27.19,27.42,27.09,27.13,173050
2016-06-17 09:30:00,27.22,27.33,27.15,27.32,519714
2016-06-20 09:30:00,27.41,27.52,27.3,27.32,259402
2016-06-21 09:30:00,27.17,27.22,27.06,27.12,289796
2016-06-22 09:30:00,27.2,27.26,27.1,27.16,116836
2016-06-23 09:30:00,27.13,27.19,26.96,27.04,160096
2016-06-24 09:30:00,27.03,27.37,27.02,27.36,273712
