open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,61.27,61.74,61.01,61.17,148879
2016-01-05 09:30:00,61.32,62.07,61.32,61.81,69344
2016-01-06 09:30:00,62.51,63.34,62.5,63.23,68948
2016-01-07 09:30:00,62.76,63.36,62.52,63.29,85155
2016-01-08 09:30:00,63.17,63.58,63.0,63.54,43445
2016-01-11 09:30:00,63.03,63.96,63.03,63.39,95415
2016-01-12 09:30:00,63.87,64.11,63.1,63.1,93792
2016-01-13 09:30:00,64.1,64.1,63.14,63.39,79586
2016-01-14 09:30:00,63.18,63.19,60.54,60.69,524612
2016-01-15 09:30:00,60.05,60.63,59.96,60.28,171249
2016-01-19 09:30:00,60.83,61.44,60.67,60.82,188805
2016-01-20 09:30:00,61.48,61.71,60.44,60.44,379159
2016-01-21 09:30:00,59.42,59.8,59.11,59.28,70927
2016-01-22 09:30:00,60.2,60.59,59.75,60.26,67510
2016-01-25 09:30:00,61.27,62.15,61.07,62.11,80673
2016-01-26 09:30:00,61.52,62.15,61.34,62.13,83758
2016-01-27 09:30:00,62.9,62.9,62.45,62.69,76908
2016-01-28 09:30:00,62.3,62.55,62.01,62.55,42917
2016-01-29 09:30:00,62.94,62.99,62.4,62.81,54310
2016-02-01 09:30:00,63.13,63.41,62.87,63.08,84879
2016-02-02 09:30:00,62.59,62.82,62.26,62.68,84616
2016-02-03 09:30:00,63.92,63.96,63.38,63.45,54592
2016-02-04 09:30:00,61.38,61.46,60.97,61.27,102348
2016-02-05 09:30:00,59.82,59.87,59.16,59.21,103245
2016-02-08 09:30:00,56.71,56.71,55.05,55.05,182376
2016-02-09 09:30:00,54.22,54.75,53.85,54.34,191542
2016-02-10 09:30:00,55.51,56.14,55.45,56.05,58114
2016-02-11 09:30:00,55.24,55.65,55.02,55.6,196063
2016-02-12 09:30:00,57.03,57.34,56.81,57.06,83626
2016-02-16 09:30:00,57.27,57.41,57.04,57.13,66180
2016-02-17 09:30:00,58.07,58.93,57.96,58.83,76143
2016-02-18 09:30:00,59.12,59.31,58.66,59.08,61006
2016-02-19 09:30:00,59.02,59.43,58.75,59.43,91838
