open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,8.473,8.485,8.43,8.436,4320458
2016-01-05 09:30:00,8.534,8.552,8.296,8.319,8503572
2016-01-06 09:30:00,8.283,8.283,8.146,8.186,8213622
2016-01-07 09:30:00,7.88,7.941,7.795,7.891,9065743
2016-01-08 09:30:00,7.972,8.002,7.85,7.898,7416347
2016-01-11 09:30:00,7.819,7.825,7.706,7.755,5151172
2016-01-12 09:30:00,7.954,7.966,7.856,7.874,5596100
2016-01-13 09:30:00,7.758,7.844,7.581,7.618,17429113
2016-01-14 09:30:00,7.447,7.477,7.227,7.233,10851230
2016-01-15 09:30:00,7.214,7.318,7.074,7.275,13415338
2016-01-19 09:30:00,7.422,7.428,7.257,7.327,7824281
2016-01-20 09:30:00,7.202,7.282,7.15,7.178,7472574
2016-01-21 09:30:00,7.337,7.355,7.245,7.306,4332519
2016-01-22 09:30:00,7.489,7.532,7.434,7.523,5471621
2016-01-25 09:30:00,7.514,7.526,7.343,7.398,7571564
2016-01-26 09:30:00,7.416,7.459,7.355,7.361,6368647
2016-01-27 09:30:00,7.454,7.485,7.368,7.371,6377233
2016-01-28 09:30:00,7.442,7.46,7.145,7.154,12144185
2016-01-29 09:30:00,7.318,7.33,7.207,7.284,5328788
2016-02-01 09:30:00,7.374,7.374,7.256,7.318,4223766
2016-02-02 09:30:00,7.386,7.473,7.355,7.405,7280571
2016-02-03 09:30:00,7.219,7.225,6.947,6.99,11053420
2016-02-04 09:30:00,7.034,7.108,6.965,7.071,6237212
2016-02-05 09:30:00,7.126,7.231,7.102,7.225,3942882
2016-02-08 09:30:00,7.046,7.102,6.959,6.969,4881100
2016-02-09 09:30:00,7.095,7.182,7.058,7.105,7413225
2016-02-10 09:30:00,7.089,7.114,7.043,7.098,5706848
2016-02-11 09:30:00,6.91,7.046,6.873,7.037,5001817
2016-02-12 09:30:00,6.953,7.015,6.916,6.953,4166109
2016-02-16 09:30:00,7.256,7.269,7.129,7.2,7150610
2016-02-17 09:30:00,7.417,7.547,7.411,7.528,6190843
2016-02-18 09:30:00,7.671,7.695,7.59,7.658,3873920
2016-02-19 09:30:00,7.541,7.559,7.442,7.472,5955746
2016-02-22 09:30:00,7.572,7.664,7.572,7.661,4575343
2016-02-23 09:30:00,7.751,7.825,7.689,7.794,4131374
2016-02-24 09:30:00,7.491,7.491,7.176,7.256,16747730
2016-02-25 09:30:00,7.491,7.547,7.454,7.528,4627968
2016-02-26 09:30:00,7.745,7.788,7.708,7.733,4227078
2016-02-29 09:30:00,7.683,7.77,7.664,7.757,3895643
2016-03-01 09:30:00,8.048,8.073,7.869,7.937,16841398
2016-03-02 09:30:00,8.079,8.218,8.067,8.151,6630762
2016-03-03 09:30:00,8.196,8.295,8.19,8.289,4294877
2016-03-04 09:30:00,8.388,8.419,8.308,8.357,4109339
2016-03-07 09:30:00,8.326,8.444,8.32,8.432,4622549
2016-03-08 09:30:00,8.357,8.398,8.172,8.184,6065444
2016-03-09 09:30:00,8.196,8.24,8.141,8.162,4212887
2016-03-10 09:30:00,8.196,8.215,8.135,8.193,4391518
2016-03-11 09:30:00,8.203,8.227,8.166,8.197,4840584
2016-03-14 09:30:00,8.215,8.227,8.153,8.172,2248831
2016-03-15 09:30:00,8.116,8.159,8.073,8.147,4046689
2016-03-16 09:30:00,8.166,8.271,8.153,8.219,3819077
2016-03-17 09:30:00,8.314,8.382,8.283,8.372,3580297
2016-03-18 09:30:00,8.376,8.475,8.345,8.444,11237607
2016-03-21 09:30:00,8.438,8.512,8.422,8.456,3135383
2016-03-22 09:30:00,8.444,8.45,8.357,8.396,4025020
2016-03-23 09:30:00,8.394,8.416,8.339,8.342,4186895
2016-03-24 09:30:00,8.11,8.116,7.906,7.992,7954835
2016-03-28 09:30:00,8.122,8.141,8.091,8.116,2784454
2016-03-29 09:30:00,8.073,8.091,8.023,8.082,3644136
2016-03-30 09:30:00,8.215,8.314,8.215,8.267,4941269
2016-03-31 09:30:00,8.252,8.295,8.252,8.271,2625541
2016-04-01 09:30:00,8.215,8.243,8.104,8.122,8588363
2016-04-04 09:30:00,8.11,8.116,7.98,8.009,6458971
2016-04-05 09:30:00,7.875,7.893,7.745,7.884,6213640
2016-04-06 09:30:00,7.887,7.949,7.825,7.841,3494406
2016-04-07 09:30:00,7.9,7.912,7.838,7.89,4068685
2016-04-08 09:30:00,7.807,7.85,7.763,7.819,4322385
2016-04-11 09:30:00,7.807,7.887,7.782,7.875,3967358
2016-04-12 09:30:00,7.869,7.906,7.832,7.903,4167660
2016-04-13 09:30:00,7.961,8.073,7.949,8.067,4484411
2016-04-14 09:30:00,8.098,8.153,8.054,8.06,4068487
2016-04-15 09:30:00,8.098,8.116,8.011,8.011,6651385
2016-04-18 09:30:00,8.029,8.128,8.011,8.123,5465839
2016-04-19 09:30:00,8.258,8.333,8.246,8.328,5876514
2016-04-20 09:30:00,8.302,8.343,8.289,8.32,3422402
2016-04-21 09:30:00,8.543,8.586,8.388,8.444,9446344
2016-04-22 09:30:00,8.432,8.518,8.432,8.518,3575602
2016-04-25 09:30:00,8.407,8.444,8.351,8.364,4790814
2016-04-26 09:30:00,8.45,8.5,8.432,8.497,5733543
2016-04-27 09:30:00,8.53,8.568,8.518,8.537,3319802
2016-04-28 09:30:00,8.624,8.687,8.574,8.659,16929001
2016-04-29 09:30:00,8.712,8.774,8.618,8.633,12214934
2016-05-02 09:30:00,8.549,8.599,8.505,8.537,5935441
2016-05-03 09:30:00,8.449,8.449,8.224,8.268,10297810
2016-05-04 09:30:00,8.312,8.337,8.218,8.321,6488339
2016-05-05 09:30:00,8.349,8.362,8.268,8.352,3402147
2016-05-06 09:30:00,8.293,8.38,8.28,8.33,3574902
2016-05-09 09:30:00,8.393,8.443,8.374,8.418,3190214
2016-05-10 09:30:00,8.368,8.455,8.368,8.427,3608043
2016-05-11 09:30:00,8.405,8.468,8.405,8.418,2733813
2016-05-12 09:30:00,8.38,8.424,8.324,8.324,3432278
2016-05-13 09:30:00,8.343,8.455,8.337,8.387,4460615
2016-05-16 09:30:00,8.268,8.365,8.261,8.293,4117250
2016-05-17 09:30:00,8.218,8.324,8.199,8.317,6809929
2016-05-18 09:30:00,8.205,8.243,8.174,8.242,4460957
2016-05-19 09:30:00,8.193,8.252,8.161,8.168,3888233
2016-05-20 09:30:00,8.224,8.268,8.211,8.268,6037330
