open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,7.756,7.756,7.621,7.708,1126060
2016-01-05 09:30:00,7.812,7.818,7.665,7.677,1323616
2016-01-06 09:30:00,7.579,7.723,7.519,7.712,1882796
2016-01-07 09:30:00,7.552,7.602,7.502,7.575,1049736
2016-01-08 09:30:00,7.571,7.631,7.504,7.527,1194272
2016-01-11 09:30:00,7.523,7.542,7.45,7.484,1877132
2016-01-12 09:30:00,7.532,7.615,7.505,7.588,864600
2016-01-13 09:30:00,7.613,7.665,7.608,7.644,889680
2016-01-14 09:30:00,7.515,7.598,7.324,7.334,1556512
2016-01-15 09:30:00,6.779,7.193,6.765,7.167,8026784
2016-01-19 09:30:00,7.334,7.409,7.209,7.238,2745472
2016-01-20 09:30:00,7.008,7.035,6.894,6.898,1237116
2016-01-21 09:30:00,7.068,7.12,6.958,6.962,795792
2016-01-22 09:30:00,7.272,7.324,7.214,7.286,1159648
2016-01-25 09:30:00,7.29,7.328,7.222,7.292,1798612
2016-01-26 09:30:00,7.188,7.369,7.16,7.176,2192092
2016-01-27 09:30:00,7.31,7.401,7.25,7.337,1131952
2016-01-28 09:30:00,7.405,7.605,7.378,7.551,1805160
2016-01-29 09:30:00,7.67,7.858,7.631,7.813,1269852
2016-02-01 09:30:00,8.198,8.275,7.695,7.71,2731012
2016-02-02 09:30:00,7.738,7.771,7.654,7.673,1091184
2016-02-03 09:30:00,7.673,7.724,7.598,7.619,822748
2016-02-04 09:30:00,8.062,8.441,8.062,8.427,10044068
2016-02-05 09:30:00,8.41,8.499,8.377,8.427,2756072
2016-02-08 09:30:00,8.338,8.482,8.32,8.33,2425124
2016-02-09 09:30:00,8.402,8.548,8.384,8.548,2389948
2016-02-10 09:30:00,8.503,8.534,8.383,8.392,1072768
2016-02-11 09:30:00,8.181,8.184,7.957,8.074,4134504
2016-02-12 09:30:00,8.268,8.303,8.159,8.181,1028588
2016-02-16 09:30:00,8.501,8.501,8.392,8.418,834792
2016-02-17 09:30:00,8.522,8.6,8.501,8.542,1276936
2016-02-18 09:30:00,8.629,8.682,8.559,8.61,673516
2016-02-19 09:30:00,8.583,8.613,8.521,8.584,1403012
2016-02-22 09:30:00,8.752,8.829,8.724,8.827,1114876
2016-02-23 09:30:00,8.732,8.82,8.689,8.74,727980
2016-02-24 09:30:00,8.579,8.592,8.437,8.485,1103972
