open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,5.995,6.086,5.95,6.031,4902496
2016-01-05 09:30:00,6.013,6.068,5.941,5.986,4834907
2016-01-06 09:30:00,5.786,5.814,5.596,5.759,10852823
2016-01-07 09:30:00,5.441,5.487,5.332,5.332,9407588
2016-01-08 09:30:00,5.15,5.187,5.023,5.046,6477971
2016-01-11 09:30:00,4.86,4.923,4.333,4.387,16993285
2016-01-12 09:30:00,4.06,4.16,3.942,3.942,11141058
2016-01-13 09:30:00,3.797,3.888,3.552,3.638,10727844
2016-01-14 09:30:00,3.461,3.715,3.434,3.552,13129043
2016-01-15 09:30:00,3.452,3.633,3.425,3.552,13807429
2016-01-19 09:30:00,4.16,4.16,3.77,3.815,12178512
2016-01-20 09:30:00,3.425,3.452,3.27,3.279,13421775
2016-01-21 09:30:00,3.761,3.77,3.606,3.706,6066108
2016-01-22 09:30:00,4.169,4.233,3.897,4.06,13816474
2016-01-25 09:30:00,3.524,3.579,3.461,3.529,5666914
2016-01-26 09:30:00,3.997,4.015,3.652,3.683,17252111
2016-01-27 09:30:00,3.688,4.06,3.652,4.025,10741238
2016-01-28 09:30:00,4.351,4.433,3.933,3.977,14008280
2016-01-29 09:30:00,4.033,4.197,3.97,4.106,5573841
2016-02-01 09:30:00,4.088,4.179,3.933,4.151,7168165
2016-02-02 09:30:00,4.179,4.224,4.051,4.06,4152143
2016-02-03 09:30:00,4.024,4.06,3.997,4.02,3866621
2016-02-04 09:30:00,4.642,5.283,4.624,5.25,25337727
2016-02-05 09:30:00,5.069,5.359,4.996,5.25,13100966
2016-02-08 09:30:00,4.96,5.16,4.905,5.148,6846160
2016-02-09 09:30:00,4.642,4.908,4.578,4.737,6923591
2016-02-10 09:30:00,4.496,4.551,4.342,4.526,5117981
2016-02-11 09:30:00,4.369,4.451,4.233,4.433,6028894
2016-02-12 09:30:00,4.66,4.724,4.615,4.696,6793981
2016-02-16 09:30:00,5.287,5.723,5.269,5.487,18091928
2016-02-17 09:30:00,6.013,6.368,5.995,6.241,19528471
2016-02-18 09:30:00,6.722,6.74,6.104,6.177,16971852
2016-02-19 09:30:00,6.359,6.477,6.231,6.256,6177348
2016-02-22 09:30:00,6.604,7.085,6.604,7.04,15947675
2016-02-23 09:30:00,6.858,7.031,6.695,6.786,11080163
2016-02-24 09:30:00,6.122,6.141,5.95,6.091,13583994
2016-02-25 09:30:00,6.486,6.667,6.259,6.277,6797109
2016-02-26 09:30:00,6.994,7.085,6.776,7.044,11002449
2016-02-29 09:30:00,6.985,7.022,6.831,6.9,5037492
2016-03-01 09:30:00,7.122,7.158,6.595,6.63,11428180
2016-03-02 09:30:00,7.103,7.485,7.076,7.431,10725503
2016-03-03 09:30:00,7.867,8.003,7.685,7.876,12825267
2016-03-04 09:30:00,8.466,8.793,8.33,8.53,13685390
2016-03-07 09:30:00,8.875,9.265,8.729,8.734,12771858
2016-03-08 09:30:00,8.511,8.557,8.094,8.13,12695001
2016-03-09 09:30:00,8.094,8.103,7.694,7.798,8836146
2016-03-10 09:30:00,8.048,8.421,7.948,8.421,10200284
2016-03-11 09:30:00,8.947,8.975,8.557,8.759,9974051
2016-03-14 09:30:00,8.602,8.82,8.514,8.63,5256090
2016-03-15 09:30:00,8.584,8.62,8.248,8.32,9663007
2016-03-16 09:30:00,8.402,8.702,8.375,8.566,4828168
2016-03-17 09:30:00,9.474,9.52,9.138,9.293,9299206
2016-03-18 09:30:00,10.06,10.4,9.974,10.28,13891874
2016-03-21 09:30:00,9.674,9.865,9.402,9.706,6098922
2016-03-22 09:30:00,9.592,9.674,9.474,9.661,5100207
2016-03-23 09:30:00,9.602,9.738,9.397,9.424,8674603
2016-03-24 09:30:00,8.511,8.575,8.266,8.502,10950740
2016-03-28 09:30:00,9.311,9.338,8.884,8.962,6757613
2016-03-29 09:30:00,8.82,8.875,8.548,8.82,8037846
2016-03-30 09:30:00,9.411,9.602,9.256,9.556,8907228
2016-03-31 09:30:00,9.202,9.502,9.202,9.465,4928139
2016-04-01 09:30:00,9.011,9.047,8.829,8.938,9101563
2016-04-04 09:30:00,9.002,9.165,8.793,9.093,5843712
2016-04-05 09:30:00,8.412,8.646,8.375,8.502,5682672
2016-04-06 09:30:00,8.602,8.675,8.284,8.33,5486199
2016-04-07 09:30:00,8.43,8.639,8.384,8.439,9166857
2016-04-08 09:30:00,8.33,8.393,8.194,8.312,6229017
2016-04-11 09:30:00,8.702,8.893,8.639,8.796,6255541
2016-04-12 09:30:00,9.111,9.284,8.993,9.226,10718722
2016-04-13 09:30:00,9.756,10.1,9.738,10.04,14257435
