open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,20.98,21.04,20.84,20.97,364441
2016-01-05 09:30:00,21.06,21.06,20.6,20.66,441157
2016-01-06 09:30:00,20.85,20.98,20.76,20.98,242415
2016-01-07 09:30:00,20.98,21.15,20.92,21.07,373043
2016-01-08 09:30:00,20.65,20.84,20.62,20.76,282842
2016-01-11 09:30:00,21.1,21.45,21.04,21.41,579019
2016-01-12 09:30:00,21.44,21.5,21.09,21.12,448817
2016-01-13 09:30:00,21.44,21.57,21.35,21.53,295013
2016-01-14 09:30:00,21.05,21.37,21.0,21.26,319597
2016-01-15 09:30:00,21.39,21.62,21.29,21.34,385331
2016-01-19 09:30:00,21.25,21.38,21.11,21.24,233013
2016-01-20 09:30:00,21.48,21.53,21.26,21.31,451475
2016-01-21 09:30:00,20.74,20.82,20.42,20.42,436020
2016-01-22 09:30:00,21.02,21.18,20.87,21.16,271202
2016-01-25 09:30:00,21.49,21.52,21.32,21.48,224004
2016-01-26 09:30:00,21.21,21.54,21.21,21.52,182218
2016-01-27 09:30:00,21.28,21.43,21.17,21.42,150057
2016-01-28 09:30:00,21.27,21.49,21.16,21.47,245551
2016-01-29 09:30:00,21.58,21.76,21.54,21.68,221723
2016-02-01 09:30:00,21.96,22.11,21.92,21.96,382669
2016-02-02 09:30:00,21.77,21.83,21.71,21.79,357087
2016-02-03 09:30:00,22.08,22.26,21.95,22.17,499381
2016-02-04 09:30:00,22.57,22.59,22.42,22.52,325333
2016-02-05 09:30:00,22.26,22.61,22.14,22.61,355054
2016-02-08 09:30:00,22.55,22.81,22.41,22.42,389523
2016-02-09 09:30:00,22.23,22.53,22.02,22.15,284012
2016-02-10 09:30:00,22.33,22.53,22.11,22.14,248375
2016-02-11 09:30:00,22.41,22.59,22.22,22.24,250267
2016-02-12 09:30:00,22.1,22.25,21.89,22.21,225388
2016-02-16 09:30:00,22.26,22.26,22.06,22.2,190344
2016-02-17 09:30:00,22.34,22.44,21.71,22.0,634491
2016-02-18 09:30:00,21.87,22.06,21.78,22.04,603935
2016-02-19 09:30:00,22.76,22.76,22.2,22.42,572595
2016-02-22 09:30:00,22.31,22.42,22.16,22.37,341680
2016-02-23 09:30:00,22.42,22.56,22.32,22.43,307850
