open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,93.25,93.35,91.55,92.07,12080
2016-01-05 09:30:00,93.03,93.92,92.84,93.85,7155
2016-01-06 09:30:00,92.68,94.08,91.9,93.75,23838
2016-01-07 09:30:00,92.24,93.61,92.24,93.11,5238
2016-01-08 09:30:00,91.77,91.95,91.43,91.79,9964
2016-01-11 09:30:00,89.23,89.3,88.79,89.01,7951
2016-01-12 09:30:00,89.91,90.13,89.28,89.92,45460
2016-01-13 09:30:00,88.67,88.7,88.17,88.57,10289
2016-01-14 09:30:00,84.49,84.59,82.75,83.25,27499
2016-01-15 09:30:00,83.06,84.47,82.99,82.99,18016
2016-01-19 09:30:00,86.34,86.34,85.56,85.84,50580
2016-01-20 09:30:00,84.13,84.76,83.75,84.06,31177
2016-01-21 09:30:00,85.45,85.5,83.73,84.19,17338
2016-01-22 09:30:00,81.92,83.2,81.92,82.89,39523
2016-01-25 09:30:00,83.38,83.74,83.03,83.44,8714
2016-01-26 09:30:00,81.65,83.27,81.6,82.15,13546
2016-01-27 09:30:00,83.48,83.73,83.19,83.39,14682
2016-01-28 09:30:00,82.88,82.88,81.76,82.08,10037
2016-01-29 09:30:00,85.74,98.87,85.74,94.35,130440
2016-02-01 09:30:00,94.85,97.12,94.57,97.09,21233
2016-02-02 09:30:00,94.42,94.85,93.64,94.69,26507
2016-02-03 09:30:00,96.97,97.08,96.06,96.34,12945
2016-02-04 09:30:00,96.35,96.78,95.95,96.23,22111
2016-02-05 09:30:00,95.4,95.99,94.29,94.43,17637
2016-02-08 09:30:00,92.99,92.99,91.71,92.11,10535
2016-02-09 09:30:00,91.4,93.19,91.33,92.63,38499
2016-02-10 09:30:00,92.31,93.92,91.46,93.92,10685
2016-02-11 09:30:00,90.64,92.01,90.31,91.98,6477
2016-02-12 09:30:00,92.7,92.7,91.7,91.72,11323
2016-02-16 09:30:00,94.26,94.33,93.72,93.93,19703
2016-02-17 09:30:00,94.44,94.44,93.62,93.99,18926
2016-02-18 09:30:00,94.24,94.78,92.8,94.15,17961
2016-02-19 09:30:00,92.71,93.92,92.68,93.12,35156
2016-02-22 09:30:00,93.68,94.47,93.56,93.97,17107
2016-02-23 09:30:00,94.6,94.9,94.33,94.64,17087
2016-02-24 09:30:00,93.74,94.92,93.74,94.71,18459
2016-02-25 09:30:00,95.83,96.42,95.4,95.95,24075
2016-02-26 09:30:00,98.16,98.91,98.16,98.68,46051
2016-02-29 09:30:00,96.58,97.77,96.58,97.48,16763
2016-03-01 09:30:00,99.91,100.69,99.64,100.05,26536
2016-03-02 09:30:00,101.68,102.76,101.68,102.09,9159
2016-03-03 09:30:00,102.6,102.6,101.99,102.06,18906
2016-03-04 09:30:00,102.18,102.18,100.91,101.43,33449
2016-03-07 09:30:00,100.34,101.16,100.34,101.11,9416
2016-03-08 09:30:00,99.43,99.43,98.4,98.57,22107
2016-03-09 09:30:00,98.06,98.34,97.97,98.25,6016
2016-03-10 09:30:00,98.1,100.59,97.73,100.59,40871
2016-03-11 09:30:00,99.98,100.79,99.83,100.0,3852
2016-03-14 09:30:00,99.64,100.29,98.94,99.63,3604
2016-03-15 09:30:00,99.65,100.73,99.65,100.16,2169
2016-03-16 09:30:00,99.16,100.32,99.16,100.03,1869
2016-03-17 09:30:00,102.01,102.3,100.78,101.66,3168
2016-03-18 09:30:00,104.46,104.99,103.45,103.61,162666
2016-03-21 09:30:00,103.88,103.94,102.98,103.41,7849
2016-03-22 09:30:00,104.07,104.94,104.07,104.94,22871
2016-03-23 09:30:00,102.32,102.53,99.33,99.96,66523
2016-03-24 09:30:00,100.18,101.33,99.89,101.22,13294
2016-03-28 09:30:00,101.63,101.77,100.98,101.23,12134
2016-03-29 09:30:00,100.35,101.43,100.35,101.36,6830
2016-03-30 09:30:00,105.62,105.93,104.93,104.93,8825
2016-03-31 09:30:00,104.82,105.93,104.82,105.36,2922
2016-04-01 09:30:00,105.02,106.69,104.89,106.66,13209
2016-04-04 09:30:00,108.48,109.08,107.23,107.55,7043
2016-04-05 09:30:00,104.27,105.73,104.12,105.73,15015
2016-04-06 09:30:00,105.28,105.99,105.08,105.95,8069
2016-04-07 09:30:00,105.34,105.34,104.48,105.12,6991
2016-04-08 09:30:00,104.98,105.8,104.75,105.8,18854
2016-04-11 09:30:00,105.12,105.66,103.46,104.54,4040
2016-04-12 09:30:00,103.09,103.66,102.7,103.57,19285
2016-04-13 09:30:00,104.96,105.15,104.04,104.8,7161
2016-04-14 09:30:00,106.31,106.72,105.61,105.92,4716
2016-04-15 09:30:00,105.52,106.21,104.32,106.06,7396
2016-04-18 09:30:00,105.82,107.0,105.44,107.0,839
2016-04-19 09:30:00,107.22,107.71,107.14,107.34,4222
2016-04-20 09:30:00,107.77,108.01,106.82,107.42,2957
2016-04-21 09:30:00,107.81,109.18,107.63,107.86,6739
2016-04-22 09:30:00,106.72,107.2,106.72,106.88,6151
2016-04-25 09:30:00,104.71,105.53,104.42,105.09,6240
2016-04-26 09:30:00,104.93,105.27,104.24,105.18,8587
2016-04-27 09:30:00,105.59,107.02,105.59,105.93,13921
2016-04-28 09:30:00,104.69,105.34,104.36,105.0,8584
2016-04-29 09:30:00,106.02,106.84,105.68,106.07,3845
2016-05-02 09:30:00,106.93,107.93,106.1,106.7,14302
2016-05-03 09:30:00,108.38,108.88,106.45,106.82,8460
2016-05-04 09:30:00,104.2,104.69,103.91,104.49,1827
2016-05-05 09:30:00,106.25,106.28,104.13,105.33,40451
2016-05-06 09:30:00,106.77,106.77,104.93,105.38,21740
2016-05-09 09:30:00,106.24,108.16,106.24,108.16,8896
2016-05-10 09:30:00,107.93,108.33,107.56,107.9,5652
2016-05-11 09:30:00,109.23,109.23,108.86,108.9,10032
2016-05-12 09:30:00,108.35,109.17,108.35,108.98,4402
2016-05-13 09:30:00,108.32,109.32,107.87,109.29,7742
2016-05-16 09:30:00,109.07,109.45,108.29,108.29,10870
2016-05-17 09:30:00,109.62,109.62,108.52,108.9,15176
2016-05-18 09:30:00,105.79,106.9,105.79,106.58,2426
2016-05-19 09:30:00,104.82,105.94,104.82,105.25,9102
2016-05-20 09:30:00,104.69,105.91,104.63,105.64,20177
2016-05-23 09:30:00,107.11,107.72,107.01,107.2,4035
2016-05-24 09:30:00,106.94,109.12,105.69,108.54,7879
2016-05-25 09:30:00,110.14,110.32,109.18,109.59,8308
2016-05-26 09:30:00,109.38,110.24,108.8,109.7,10410
2016-05-27 09:30:00,109.48,110.59,109.11,110.38,12470
2016-05-31 09:30:00,111.65,111.95,111.52,111.83,19005
2016-06-01 09:30:00,111.29,112.35,110.95,111.33,16044
2016-06-02 09:30:00,112.14,112.4,112.14,112.34,4007
2016-06-03 09:30:00,114.26,114.26,112.77,113.04,8671
2016-06-06 09:30:00,112.68,113.87,111.78,113.81,8160
2016-06-07 09:30:00,113.44,114.65,113.44,113.94,9281
2016-06-08 09:30:00,113.65,114.04,113.2,114.04,4784
2016-06-09 09:30:00,114.2,114.42,112.6,114.01,9529
2016-06-10 09:30:00,115.04,115.18,114.23,114.99,19206
2016-06-13 09:30:00,113.05,113.34,112.49,113.29,12463
2016-06-14 09:30:00,110.85,111.73,110.41,111.3,8878
2016-06-15 09:30:00,111.66,111.74,111.07,111.53,7599
2016-06-16 09:30:00,110.09,110.2,109.49,109.86,7141
2016-06-17 09:30:00,111.61,111.83,110.03,110.44,90125
2016-06-20 09:30:00,111.32,111.9,110.79,111.9,6239
2016-06-21 09:30:00,111.12,111.85,110.85,111.3,15991
2016-06-22 09:30:00,111.15,111.4,110.54,110.75,8968
2016-06-23 09:30:00,112.45,112.66,111.01,112.52,7497
2016-06-24 09:30:00,107.95,110.48,107.12,110.41,19130
2016-06-27 09:30:00,106.04,108.13,106.04,107.62,29569
2016-06-28 09:30:00,106.65,107.74,106.6,107.65,5483
2016-06-29 09:30:00,108.33,108.56,107.85,108.41,6162
2016-06-30 09:30:00,109.77,109.97,109.72,109.86,3340
2016-07-01 09:30:00,112.69,114.71,111.68,113.3,17261
2016-07-05 09:30:00,113.21,113.55,112.88,113.05,13505
2016-07-06 09:30:00,113.53,113.93,113.01,113.93,9475
2016-07-07 09:30:00,113.39,114.11,113.39,114.06,8249
2016-07-08 09:30:00,115.94,115.94,114.95,114.97,7484
2016-07-11 09:30:00,115.26,115.83,114.9,114.99,5562
2016-07-12 09:30:00,116.0,116.04,114.94,115.37,11729
2016-07-13 09:30:00,118.68,119.07,117.03,118.91,18761
2016-07-14 09:30:00,119.16,119.22,118.36,118.38,11841
2016-07-15 09:30:00,118.25,118.35,116.63,116.89,13012
2016-07-18 09:30:00,116.96,116.96,115.89,116.28,14027
2016-07-19 09:30:00,116.53,117.57,116.49,116.67,5938
2016-07-20 09:30:00,118.32,118.57,117.93,118.07,4604
2016-07-21 09:30:00,118.49,118.52,118.05,118.08,3866
