open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,13.88,14.01,13.81,13.91,1334217
2016-01-05 09:30:00,13.92,14.04,13.9,13.91,826420
2016-01-06 09:30:00,13.67,13.75,13.6,13.71,1214430
2016-01-07 09:30:00,13.48,13.56,13.4,13.5,840869
2016-01-08 09:30:00,13.36,13.49,13.33,13.38,1030698
2016-01-11 09:30:00,13.14,13.25,13.07,13.08,960241
2016-01-12 09:30:00,13.09,13.11,12.99,13.08,1011511
2016-01-13 09:30:00,13.11,13.13,12.96,12.97,1139985
2016-01-14 09:30:00,12.45,12.52,12.17,12.19,1618063
2016-01-15 09:30:00,12.13,12.27,12.12,12.12,1863790
2016-01-19 09:30:00,12.41,12.41,12.19,12.27,1166871
2016-01-20 09:30:00,11.76,11.82,11.55,11.6,3421300
2016-01-21 09:30:00,11.93,12.28,11.36,11.59,2767015
2016-01-22 09:30:00,11.45,11.52,11.15,11.33,3640583
2016-01-25 09:30:00,11.23,11.3,11.08,11.1,1459725
2016-01-26 09:30:00,10.78,10.83,10.71,10.78,1698914
2016-01-27 09:30:00,10.78,10.98,10.76,10.97,880795
2016-01-28 09:30:00,11.16,11.36,11.12,11.31,2274738
2016-01-29 09:30:00,11.13,11.17,11.06,11.16,958015
2016-02-01 09:30:00,11.23,11.25,11.13,11.13,1009881
2016-02-02 09:30:00,11.01,11.1,10.92,10.96,1318320
2016-02-03 09:30:00,11.07,11.08,10.8,10.81,1002961
2016-02-04 09:30:00,10.9,11.15,10.9,11.11,928136
2016-02-05 09:30:00,11.08,11.19,11.04,11.11,953918
2016-02-08 09:30:00,10.71,10.91,10.55,10.59,1446913
2016-02-09 09:30:00,10.35,10.53,10.29,10.47,955396
2016-02-10 09:30:00,10.66,10.75,10.57,10.64,1179218
2016-02-11 09:30:00,10.12,10.26,9.952,10.19,1266740
2016-02-12 09:30:00,10.15,10.24,10.12,10.17,1471621
2016-02-16 09:30:00,10.64,10.88,10.62,10.84,1444300
2016-02-17 09:30:00,11.21,11.33,11.15,11.2,1050176
2016-02-18 09:30:00,11.02,11.15,10.88,10.96,775543
2016-02-19 09:30:00,10.71,10.85,10.64,10.68,1137155
2016-02-22 09:30:00,11.01,11.13,10.96,11.03,631637
2016-02-23 09:30:00,11.1,11.13,10.87,10.9,1200279
2016-02-24 09:30:00,10.57,10.74,10.37,10.42,1447511
2016-02-25 09:30:00,10.78,10.85,10.7,10.77,595473
2016-02-26 09:30:00,11.01,11.05,10.93,10.96,847104
2016-02-29 09:30:00,11.1,11.14,10.98,11.07,898377
2016-03-01 09:30:00,10.96,11.05,10.96,11.0,636063
2016-03-02 09:30:00,11.52,11.63,11.46,11.55,1095718
2016-03-03 09:30:00,11.7,11.78,11.67,11.75,557387
2016-03-04 09:30:00,12.15,12.27,12.04,12.09,1398765
2016-03-07 09:30:00,12.11,12.15,12.02,12.08,970102
2016-03-08 09:30:00,12.03,12.08,11.9,11.9,1062448
2016-03-09 09:30:00,11.92,11.99,11.84,11.92,712327
2016-03-10 09:30:00,11.94,12.05,11.85,12.03,1303957
2016-03-11 09:30:00,12.06,12.21,12.06,12.17,878734
2016-03-14 09:30:00,12.32,12.46,12.22,12.27,597165
2016-03-15 09:30:00,12.16,12.22,12.13,12.15,943861
2016-03-16 09:30:00,12.22,12.33,12.15,12.26,1003078
2016-03-17 09:30:00,11.94,11.99,11.77,11.84,829444
2016-03-18 09:30:00,12.18,12.38,12.1,12.34,2080410
2016-03-21 09:30:00,12.34,12.51,12.32,12.39,578462
2016-03-22 09:30:00,12.24,12.36,12.2,12.36,944423
2016-03-23 09:30:00,12.32,12.36,12.24,12.31,510372
2016-03-24 09:30:00,12.12,12.21,11.94,12.06,925579
2016-03-28 09:30:00,12.22,12.26,12.13,12.16,462264
2016-03-29 09:30:00,12.06,12.06,11.84,11.99,1172515
2016-03-30 09:30:00,12.1,12.16,12.06,12.14,688969
2016-03-31 09:30:00,12.09,12.15,12.04,12.06,503975
2016-04-01 09:30:00,11.76,11.98,11.69,11.84,1031504
2016-04-04 09:30:00,12.07,12.09,11.93,12.09,711630
2016-04-05 09:30:00,11.84,11.89,11.74,11.81,999605
2016-04-06 09:30:00,11.66,11.81,11.64,11.74,1227242
2016-04-07 09:30:00,11.68,11.74,11.66,11.7,807868
2016-04-08 09:30:00,11.76,11.84,11.67,11.84,727341
2016-04-11 09:30:00,11.79,11.97,11.74,11.96,674905
2016-04-12 09:30:00,11.83,11.94,11.82,11.92,601178
2016-04-13 09:30:00,12.05,12.3,12.05,12.26,1505737
2016-04-14 09:30:00,12.5,12.67,12.45,12.52,1654578
2016-04-15 09:30:00,12.73,12.78,12.68,12.74,1524515
2016-04-18 09:30:00,12.55,12.73,12.5,12.72,1068264
2016-04-19 09:30:00,12.73,12.91,12.71,12.91,1557467
2016-04-20 09:30:00,13.04,13.11,12.91,13.05,1008367
2016-04-21 09:30:00,13.48,13.67,13.38,13.43,2715361
2016-04-22 09:30:00,13.35,13.43,13.25,13.32,1777516
2016-04-25 09:30:00,13.34,13.37,13.15,13.24,811023
2016-04-26 09:30:00,13.33,13.38,13.24,13.37,797419
2016-04-27 09:30:00,13.39,13.49,13.24,13.44,603966
2016-04-28 09:30:00,13.31,13.43,13.18,13.34,727678
2016-04-29 09:30:00,13.21,13.26,13.09,13.1,539795
2016-05-02 09:30:00,13.16,13.23,12.99,13.08,831707
2016-05-03 09:30:00,13.06,13.14,12.89,12.95,878728
2016-05-04 09:30:00,12.85,12.87,12.68,12.83,824139
2016-05-05 09:30:00,12.62,12.67,12.45,12.64,1164824
2016-05-06 09:30:00,12.39,12.53,12.36,12.43,1037111
2016-05-09 09:30:00,12.55,12.62,12.48,12.52,571518
2016-05-10 09:30:00,12.52,12.68,12.43,12.65,659898
2016-05-11 09:30:00,12.65,12.73,12.62,12.65,786756
2016-05-12 09:30:00,12.76,12.86,12.67,12.67,755591
2016-05-13 09:30:00,12.56,12.72,12.53,12.55,905986
2016-05-16 09:30:00,12.37,12.48,12.23,12.35,1476381
2016-05-17 09:30:00,12.6,12.65,12.45,12.62,844512
2016-05-18 09:30:00,12.55,12.97,12.53,12.94,1768420
2016-05-19 09:30:00,12.98,13.17,12.84,12.85,1200321
2016-05-20 09:30:00,13.06,13.21,13.01,13.2,1538957
2016-05-23 09:30:00,13.08,13.19,12.92,12.93,1025927
2016-05-24 09:30:00,13.09,13.22,13.06,13.18,742069
2016-05-25 09:30:00,13.21,13.52,13.21,13.52,1044645
