open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,23.29,23.34,23.11,23.15,417387
2016-01-05 09:30:00,23.12,23.28,23.05,23.05,693660
2016-01-06 09:30:00,22.9,23.17,22.76,23.08,633139
2016-01-07 09:30:00,22.7,22.77,22.51,22.71,503321
2016-01-08 09:30:00,22.68,22.83,22.66,22.79,644025
2016-01-11 09:30:00,22.72,22.73,22.54,22.65,270584
2016-01-12 09:30:00,22.71,23.02,22.57,22.96,437847
2016-01-13 09:30:00,22.97,23.18,22.7,22.98,380571
2016-01-14 09:30:00,22.62,22.77,22.54,22.63,413480
2016-01-15 09:30:00,22.81,22.96,22.61,22.8,1069348
2016-01-19 09:30:00,23.0,23.24,22.98,23.13,453439
2016-01-20 09:30:00,22.76,22.94,22.36,22.38,645596
2016-01-21 09:30:00,22.47,22.59,22.18,22.21,392398
2016-01-22 09:30:00,22.67,22.95,22.65,22.85,404632
2016-01-25 09:30:00,22.83,22.84,22.6,22.71,427445
2016-01-26 09:30:00,22.7,22.98,22.7,22.93,399172
2016-01-27 09:30:00,23.44,23.58,23.36,23.44,357615
2016-01-28 09:30:00,23.28,23.35,22.95,23.14,351007
2016-01-29 09:30:00,22.98,23.18,22.98,23.18,311386
2016-02-01 09:30:00,23.34,23.41,23.07,23.31,278934
2016-02-02 09:30:00,23.26,23.31,22.98,23.02,332774
2016-02-03 09:30:00,22.78,22.99,22.78,22.78,554637
2016-02-04 09:30:00,23.11,23.49,23.11,23.31,371431
2016-02-05 09:30:00,22.71,22.83,22.44,22.44,384241
2016-02-08 09:30:00,21.51,21.57,21.23,21.3,596682
2016-02-09 09:30:00,20.18,21.05,19.71,20.78,1911545
2016-02-10 09:30:00,21.11,21.11,20.46,20.95,640171
2016-02-11 09:30:00,20.9,21.22,20.84,21.17,375290
2016-02-12 09:30:00,21.83,21.83,21.15,21.2,481879
2016-02-16 09:30:00,21.51,22.11,21.44,21.98,517926
2016-02-17 09:30:00,22.45,22.85,22.41,22.85,1000348
2016-02-18 09:30:00,22.92,23.06,22.64,22.71,593599
2016-02-19 09:30:00,22.8,23.12,22.7,23.12,657898
2016-02-22 09:30:00,23.5,23.93,23.45,23.88,498262
2016-02-23 09:30:00,23.25,23.79,23.18,23.74,391171
2016-02-24 09:30:00,23.12,23.28,23.05,23.18,283208
2016-02-25 09:30:00,23.9,23.99,23.52,23.52,306995
2016-02-26 09:30:00,23.95,23.99,23.85,23.91,243084
2016-02-29 09:30:00,23.65,23.79,23.63,23.77,165367
2016-03-01 09:30:00,23.87,24.01,23.77,23.87,210138
2016-03-02 09:30:00,24.36,24.44,24.29,24.39,308352
2016-03-03 09:30:00,24.08,24.19,23.79,24.14,244757
2016-03-04 09:30:00,24.45,24.45,23.93,23.94,443007
2016-03-07 09:30:00,24.18,24.38,24.17,24.34,251941
2016-03-08 09:30:00,24.45,24.59,24.38,24.44,324994
2016-03-09 09:30:00,24.44,24.59,24.37,24.51,177368
2016-03-10 09:30:00,24.68,24.69,24.5,24.66,267155
2016-03-11 09:30:00,24.65,24.76,24.59,24.66,353804
2016-03-14 09:30:00,24.62,24.64,24.45,24.52,281531
2016-03-15 09:30:00,24.43,24.57,24.41,24.52,289355
2016-03-16 09:30:00,24.49,24.81,24.38,24.75,253399
