open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,23.37,23.42,23.19,23.23,1023042
2016-01-05 09:30:00,23.18,23.41,23.18,23.18,1461326
2016-01-06 09:30:00,23.19,23.33,22.91,23.21,1531882
2016-01-07 09:30:00,22.93,23.01,22.81,22.91,1488187
2016-01-08 09:30:00,22.82,22.98,22.77,22.96,1295965
2016-01-11 09:30:00,22.82,22.84,22.64,22.74,974449
2016-01-12 09:30:00,22.78,23.16,22.64,23.12,1106557
2016-01-13 09:30:00,23.06,23.31,22.89,23.12,1102313
2016-01-14 09:30:00,22.78,22.91,22.69,22.73,917327
2016-01-15 09:30:00,22.55,23.01,22.54,22.87,2495071
2016-01-19 09:30:00,23.26,23.33,23.03,23.21,1416477
2016-01-20 09:30:00,22.72,22.9,22.37,22.4,1988857
2016-01-21 09:30:00,22.52,22.6,22.24,22.27,1473237
2016-01-22 09:30:00,22.77,22.99,22.72,22.93,1571342
2016-01-25 09:30:00,22.93,22.99,22.75,22.81,1689146
2016-01-26 09:30:00,22.83,23.08,22.83,23.02,587722
2016-01-27 09:30:00,23.53,23.69,23.45,23.56,499478
2016-01-28 09:30:00,23.45,23.56,23.06,23.24,1424060
2016-01-29 09:30:00,23.14,23.28,23.05,23.27,1041829
2016-02-01 09:30:00,23.49,23.56,23.33,23.43,947263
2016-02-02 09:30:00,23.28,23.33,23.02,23.1,1098003
2016-02-03 09:30:00,22.98,23.15,22.92,22.95,1987473
2016-02-04 09:30:00,23.31,23.64,23.28,23.4,1602567
2016-02-05 09:30:00,22.78,23.08,22.49,22.49,920135
2016-02-08 09:30:00,21.67,21.72,21.35,21.43,1776994
2016-02-09 09:30:00,20.03,21.45,19.83,21.16,7081871
2016-02-10 09:30:00,20.92,21.08,20.46,20.91,3808875
2016-02-11 09:30:00,20.88,21.28,20.88,21.23,1892762
2016-02-12 09:30:00,21.91,22.0,21.24,21.27,2060105
2016-02-16 09:30:00,21.82,22.11,21.59,21.93,1385194
2016-02-17 09:30:00,22.75,23.0,22.51,22.98,2242819
2016-02-18 09:30:00,23.1,23.24,22.77,22.83,1679154
2016-02-19 09:30:00,22.89,23.24,22.81,23.23,1946210
2016-02-22 09:30:00,23.48,24.05,23.48,23.99,1640457
2016-02-23 09:30:00,23.76,23.96,23.67,23.91,1106340
2016-02-24 09:30:00,23.38,23.53,23.15,23.27,1079697
2016-02-25 09:30:00,24.05,24.05,23.65,23.67,798518
2016-02-26 09:30:00,24.07,24.17,24.0,24.03,580579
2016-02-29 09:30:00,23.75,23.83,23.66,23.8,759552
2016-03-01 09:30:00,23.8,23.94,23.75,23.84,540380
2016-03-02 09:30:00,24.45,24.45,24.28,24.39,880526
2016-03-03 09:30:00,24.08,24.23,24.05,24.18,797579
2016-03-04 09:30:00,24.39,24.45,23.97,23.97,1481582
2016-03-07 09:30:00,24.16,24.37,24.16,24.33,670814
2016-03-08 09:30:00,24.45,24.69,24.37,24.38,744655
2016-03-09 09:30:00,24.31,24.39,24.12,24.29,819951
2016-03-10 09:30:00,24.4,24.47,23.98,24.45,815770
2016-03-11 09:30:00,24.29,24.53,24.05,24.36,1131732
2016-03-14 09:30:00,24.44,24.49,24.31,24.38,515268
2016-03-15 09:30:00,24.31,24.64,24.24,24.37,540115
2016-03-16 09:30:00,24.12,24.7,24.12,24.65,677259
2016-03-17 09:30:00,24.45,24.93,24.45,24.93,780977
2016-03-18 09:30:00,24.86,24.95,24.55,24.95,4782850
2016-03-21 09:30:00,24.88,25.08,24.74,24.82,484259
2016-03-22 09:30:00,24.53,24.6,24.45,24.56,501637
2016-03-23 09:30:00,24.62,24.69,24.51,24.54,669327
2016-03-24 09:30:00,24.39,24.45,24.24,24.43,689799
2016-03-28 09:30:00,24.58,24.63,24.44,24.54,490386
2016-03-29 09:30:00,24.43,24.48,24.25,24.28,1321024
2016-03-30 09:30:00,24.6,24.67,24.53,24.54,833070
2016-03-31 09:30:00,24.62,24.67,24.5,24.59,681870
2016-04-01 09:30:00,24.51,24.6,24.35,24.59,1010478
2016-04-04 09:30:00,25.14,25.39,25.04,25.31,811813
2016-04-05 09:30:00,24.97,25.02,24.87,24.91,490694
2016-04-06 09:30:00,24.94,25.15,24.94,25.11,629819
2016-04-07 09:30:00,24.82,25.35,24.82,25.22,392369
2016-04-08 09:30:00,25.42,25.53,25.28,25.53,1500851
2016-04-11 09:30:00,25.3,25.48,25.26,25.28,628512
2016-04-12 09:30:00,25.2,25.43,25.2,25.43,1806506
2016-04-13 09:30:00,25.96,26.24,25.94,26.13,1692160
2016-04-14 09:30:00,26.37,26.4,26.12,26.17,838915
2016-04-15 09:30:00,26.22,26.38,26.13,26.33,2045880
2016-04-18 09:30:00,26.34,26.83,26.26,26.71,1922765
2016-04-19 09:30:00,26.81,27.14,26.79,27.08,1112197
2016-04-20 09:30:00,26.38,26.77,26.21,26.58,874333
2016-04-21 09:30:00,26.41,26.82,26.41,26.68,822289
2016-04-22 09:30:00,26.74,27.19,26.74,27.07,1062930
2016-04-25 09:30:00,27.19,27.28,27.09,27.16,1161692
2016-04-26 09:30:00,27.39,27.5,27.17,27.44,819050
2016-04-27 09:30:00,27.14,27.35,26.98,27.21,982825
2016-04-28 09:30:00,27.01,27.21,26.75,27.2,801579
2016-04-29 09:30:00,26.74,26.82,26.27,26.32,1841241
2016-05-02 09:30:00,26.68,26.78,26.4,26.53,1032262
2016-05-03 09:30:00,26.51,26.62,26.32,26.45,1234947
2016-05-04 09:30:00,26.42,26.63,26.35,26.49,1973854
2016-05-05 09:30:00,25.88,25.96,25.45,25.96,6394475
2016-05-06 09:30:00,26.05,26.11,25.8,25.85,1396346
2016-05-09 09:30:00,26.03,26.26,26.01,26.09,2312897
2016-05-10 09:30:00,25.99,26.14,25.92,26.08,1046237
2016-05-11 09:30:00,25.87,25.98,25.65,25.88,1604157
2016-05-12 09:30:00,25.97,26.07,25.86,25.94,805084
2016-05-13 09:30:00,25.62,25.85,25.52,25.58,874440
2016-05-16 09:30:00,25.51,25.72,25.37,25.41,907021
2016-05-17 09:30:00,25.45,25.61,25.28,25.56,1426209
2016-05-18 09:30:00,25.21,25.3,24.99,25.01,770850
2016-05-19 09:30:00,24.72,24.78,24.4,24.4,1322772
2016-05-20 09:30:00,24.63,24.93,24.6,24.89,1366473
