open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,6.108,6.198,6.02,6.056,1386040
2016-01-05 09:30:00,6.042,6.062,5.97,5.97,1016400
2016-01-06 09:30:00,5.876,5.91,5.832,5.91,1333480
2016-01-07 09:30:00,5.78,5.848,5.674,5.836,1093355
2016-01-08 09:30:00,5.838,5.894,5.834,5.878,534000
2016-01-11 09:30:00,5.762,5.786,5.682,5.696,610875
2016-01-12 09:30:00,5.708,5.828,5.708,5.806,835110
2016-01-13 09:30:00,5.9,5.989,5.876,5.894,1921460
2016-01-14 09:30:00,5.75,5.758,5.586,5.588,1340190
2016-01-15 09:30:00,5.72,5.72,5.5,5.509,2505765
2016-01-19 09:30:00,5.696,5.74,5.626,5.676,1619945
2016-01-20 09:30:00,4.81,5.252,4.728,5.151,5309935
2016-01-21 09:30:00,5.256,5.334,5.206,5.288,1194825
2016-01-22 09:30:00,5.422,5.482,5.262,5.482,678735
2016-01-25 09:30:00,5.518,5.592,5.478,5.554,1113895
2016-01-26 09:30:00,5.304,5.342,5.132,5.194,2685950
2016-01-27 09:30:00,5.321,5.394,5.234,5.336,1089670
2016-01-28 09:30:00,5.264,5.272,5.198,5.25,940230
2016-01-29 09:30:00,6.0,6.006,5.502,5.542,5739865
2016-02-01 09:30:00,5.596,5.718,5.48,5.57,1040430
2016-02-02 09:30:00,5.638,5.722,5.564,5.566,667820
2016-02-03 09:30:00,5.43,5.446,5.354,5.372,982865
2016-02-04 09:30:00,5.276,5.288,5.184,5.21,941855
2016-02-05 09:30:00,5.304,5.314,5.028,5.031,1542525
2016-02-08 09:30:00,4.944,4.972,4.808,4.87,1404510
2016-02-09 09:30:00,4.74,4.972,4.74,4.96,1173215
2016-02-10 09:30:00,4.81,4.962,4.786,4.844,1221385
2016-02-11 09:30:00,4.698,4.773,4.66,4.694,1422985
2016-02-12 09:30:00,4.846,4.85,4.726,4.736,662880
2016-02-16 09:30:00,4.916,4.973,4.9,4.92,2090280
2016-02-17 09:30:00,5.094,5.22,5.06,5.219,1598305
2016-02-18 09:30:00,5.184,5.232,5.14,5.156,717395
2016-02-19 09:30:00,5.1,5.146,5.074,5.134,993145
2016-02-22 09:30:00,5.242,5.358,5.216,5.29,1195325
2016-02-23 09:30:00,5.312,5.354,5.278,5.306,560250
2016-02-24 09:30:00,5.242,5.324,5.214,5.296,1301195
2016-02-25 09:30:00,5.5,5.626,5.414,5.477,2031300
2016-02-26 09:30:00,5.7,5.722,5.64,5.642,1061695
2016-02-29 09:30:00,5.66,5.7,5.642,5.686,519105
2016-03-01 09:30:00,5.75,5.797,5.704,5.734,619325
2016-03-02 09:30:00,5.898,5.92,5.802,5.804,1156335
2016-03-03 09:30:00,5.982,5.982,5.792,5.796,1053435
2016-03-04 09:30:00,5.75,5.75,5.66,5.692,847200
2016-03-07 09:30:00,5.652,5.69,5.604,5.636,593165
2016-03-08 09:30:00,5.638,5.674,5.536,5.544,686910
2016-03-09 09:30:00,5.468,5.496,5.422,5.44,575595
2016-03-10 09:30:00,5.562,5.612,5.516,5.584,689630
2016-03-11 09:30:00,5.552,5.606,5.548,5.582,506565
2016-03-14 09:30:00,5.66,5.732,5.57,5.572,529610
2016-03-15 09:30:00,5.59,5.618,5.558,5.608,1177645
2016-03-16 09:30:00,5.452,5.57,5.44,5.544,488480
2016-03-17 09:30:00,5.622,5.674,5.602,5.656,625200
2016-03-18 09:30:00,5.81,5.87,5.776,5.81,2628415
2016-03-21 09:30:00,5.91,5.942,5.834,5.934,1868025
2016-03-22 09:30:00,5.894,5.988,5.88,5.984,754530
2016-03-23 09:30:00,5.78,5.78,5.636,5.676,3528730
2016-03-24 09:30:00,5.644,5.718,5.59,5.718,648475
2016-03-28 09:30:00,5.736,5.736,5.602,5.63,804235
