open_date,open,high,low,close,volume_base
2016-07-05 09:30:00,39.63,43.76,38.97,39.52,675730
2016-07-06 09:30:00,37.91,38.79,37.28,38.64,1875227
2016-07-07 09:30:00,38.35,38.61,38.13,38.38,1248091
2016-07-08 09:30:00,38.62,38.85,38.28,38.66,554248
2016-07-11 09:30:00,39.63,41.02,39.45,40.81,715280
2016-07-12 09:30:00,40.98,41.12,40.48,40.98,482320
2016-07-13 09:30:00,40.73,41.15,40.47,40.9,560782
2016-07-14 09:30:00,40.53,40.65,40.23,40.51,323664
2016-07-15 09:30:00,41.7,41.81,40.9,41.07,573902
2016-07-18 09:30:00,40.89,41.07,40.68,40.77,286332
2016-07-19 09:30:00,41.1,41.21,40.62,40.79,316051
2016-07-20 09:30:00,41.81,41.81,41.2,41.46,199462
2016-07-21 09:30:00,40.59,40.61,40.26,40.34,279181
2016-07-22 09:30:00,40.27,40.5,40.03,40.18,383379
2016-07-25 09:30:00,39.77,39.82,39.04,39.08,276280
2016-07-26 09:30:00,39.11,39.54,39.01,39.24,290878
2016-07-27 09:30:00,39.61,39.61,39.3,39.53,89665
2016-07-28 09:30:00,39.25,39.44,38.98,39.42,72020
2016-07-29 09:30:00,39.03,39.3,39.02,39.08,122821
2016-08-01 09:30:00,38.75,39.07,38.75,38.81,190632
2016-08-02 09:30:00,38.25,38.5,38.25,38.48,158417
2016-08-03 09:30:00,38.25,38.89,38.13,38.74,660875
2016-08-04 09:30:00,39.94,40.27,39.85,40.18,429838
2016-08-05 09:30:00,40.48,41.06,40.48,40.85,318202
2016-08-08 09:30:00,40.77,40.97,40.47,40.67,209220
2016-08-09 09:30:00,39.24,40.33,39.0,40.27,180332
2016-08-10 09:30:00,40.65,40.81,40.35,40.81,102536
2016-08-11 09:30:00,40.86,41.07,40.83,41.04,118396
2016-08-12 09:30:00,41.79,42.26,41.72,41.95,84779
2016-08-15 09:30:00,42.64,43.05,42.57,42.94,58201
2016-08-16 09:30:00,43.15,43.45,43.15,43.29,115973
2016-08-17 09:30:00,43.22,43.24,42.97,43.15,33803
2016-08-18 09:30:00,42.86,43.1,42.79,42.8,44344
2016-08-19 09:30:00,42.64,42.64,42.1,42.16,158797
2016-08-22 09:30:00,41.81,41.91,41.43,41.49,126464
2016-08-23 09:30:00,41.33,41.68,41.28,41.48,205360
2016-08-24 09:30:00,41.35,41.57,40.81,41.56,77040
2016-08-25 09:30:00,41.2,41.45,41.11,41.43,67291
2016-08-26 09:30:00,41.64,41.93,41.56,41.85,38559
2016-08-29 09:30:00,41.76,42.1,41.58,42.05,136693
2016-08-30 09:30:00,42.09,43.12,42.09,42.52,114823
2016-08-31 09:30:00,42.44,42.44,42.19,42.26,44126
2016-09-01 09:30:00,42.7,42.83,42.35,42.83,55940
2016-09-02 09:30:00,42.76,43.07,42.59,42.75,75065
2016-09-06 09:30:00,43.14,43.18,42.98,43.18,42341
2016-09-07 09:30:00,42.08,42.28,41.95,42.02,201163
2016-09-08 09:30:00,42.25,42.71,42.23,42.35,49537
2016-09-09 09:30:00,41.75,41.9,41.48,41.81,311958
2016-09-12 09:30:00,40.34,40.78,40.33,40.5,177981
2016-09-13 09:30:00,41.05,41.45,40.95,41.23,126438
2016-09-14 09:30:00,40.36,40.52,40.03,40.25,141948
2016-09-15 09:30:00,40.33,40.38,39.92,40.29,82391
2016-09-16 09:30:00,40.41,40.42,39.85,40.11,877637
2016-09-19 09:30:00,40.65,41.03,40.63,40.94,29204
2016-09-20 09:30:00,40.95,41.19,40.71,41.03,72536
2016-09-21 09:30:00,40.7,41.0,40.68,40.95,57911
2016-09-22 09:30:00,41.41,41.93,41.41,41.81,72398
2016-09-23 09:30:00,41.37,41.6,41.18,41.19,47904
2016-09-26 09:30:00,40.85,40.86,40.56,40.71,40853
2016-09-27 09:30:00,41.17,41.49,41.17,41.47,86948
2016-09-28 09:30:00,41.68,41.73,41.41,41.6,84435
2016-09-29 09:30:00,41.47,41.61,40.92,41.57,153333
2016-09-30 09:30:00,41.23,41.35,41.08,41.09,82396
2016-10-03 09:30:00,40.81,41.52,40.81,41.41,127479
2016-10-04 09:30:00,41.37,41.49,41.33,41.37,146727
2016-10-05 09:30:00,41.14,41.16,40.93,40.97,63929
2016-10-06 09:30:00,40.99,41.1,40.73,40.81,44809
2016-10-07 09:30:00,40.73,40.75,40.35,40.71,67082
2016-10-10 09:30:00,40.58,40.58,40.29,40.31,95259
2016-10-11 09:30:00,40.26,40.45,40.12,40.28,38394
2016-10-12 09:30:00,39.82,39.84,39.35,39.44,48744
2016-10-13 09:30:00,39.22,39.23,38.71,38.8,116534
2016-10-14 09:30:00,39.57,40.17,39.36,40.13,68071
2016-10-17 09:30:00,39.97,39.99,39.58,39.89,28521
2016-10-18 09:30:00,40.04,40.58,39.73,40.4,301783
2016-10-19 09:30:00,39.71,39.77,39.29,39.29,35284
2016-10-20 09:30:00,39.63,39.64,39.31,39.61,78309
2016-10-21 09:30:00,38.89,39.41,38.81,39.25,329386
2016-10-24 09:30:00,39.41,39.73,39.34,39.52,71015
2016-10-25 09:30:00,39.11,39.11,38.84,38.86,37462
2016-10-26 09:30:00,38.51,38.71,38.38,38.58,173269
2016-10-27 09:30:00,38.46,38.46,37.75,37.98,271445
2016-10-28 09:30:00,40.48,41.05,40.1,41.02,722410
2016-10-31 09:30:00,40.49,40.97,40.35,40.81,215324
2016-11-01 09:30:00,41.08,41.14,40.91,40.92,88157
2016-11-02 09:30:00,40.68,41.25,40.68,41.17,162121
2016-11-03 09:30:00,40.56,40.57,40.31,40.52,47714
2016-11-04 09:30:00,41.14,41.14,40.81,40.89,81525
2016-11-07 09:30:00,41.59,41.93,41.16,41.93,320893
2016-11-08 09:30:00,41.84,41.87,41.43,41.79,172982
2016-11-09 09:30:00,41.93,43.08,41.86,42.92,149528
2016-11-10 09:30:00,43.51,44.33,43.3,43.86,145242
2016-11-11 09:30:00,43.62,44.14,43.48,43.84,65155
2016-11-14 09:30:00,43.27,43.6,43.14,43.29,90637
2016-11-15 09:30:00,43.5,43.91,43.3,43.52,161743
2016-11-16 09:30:00,43.38,43.62,43.31,43.39,231801
2016-11-17 09:30:00,43.85,44.08,43.54,43.77,72139
2016-11-18 09:30:00,43.93,43.98,43.62,43.83,143046
2016-11-21 09:30:00,43.75,44.06,43.55,43.85,336744
2016-11-22 09:30:00,44.18,44.6,44.05,44.32,68206
2016-11-23 09:30:00,44.91,45.14,44.68,44.68,59561
2016-11-25 09:30:00,45.28,45.34,44.91,44.98,89674
2016-11-28 09:30:00,45.28,45.41,44.83,44.94,68425
2016-11-29 09:30:00,44.7,44.73,44.58,44.61,92040
2016-11-30 09:30:00,44.94,45.34,44.94,45.27,105767
2016-12-01 09:30:00,44.55,44.55,44.04,44.19,362458
2016-12-02 09:30:00,43.84,44.01,43.61,43.85,215077
2016-12-05 09:30:00,44.22,44.32,43.86,43.86,54034
2016-12-06 09:30:00,43.55,43.6,43.23,43.26,71257
2016-12-07 09:30:00,43.6,43.66,43.26,43.29,273938
2016-12-08 09:30:00,43.9,43.97,43.6,43.75,157833
2016-12-09 09:30:00,43.24,43.54,43.05,43.51,101958
2016-12-12 09:30:00,43.51,43.69,43.39,43.68,120634
2016-12-13 09:30:00,43.83,43.97,43.09,43.09,201219
2016-12-14 09:30:00,43.51,44.26,43.5,44.1,121174
2016-12-15 09:30:00,43.82,44.39,43.55,44.39,80041
2016-12-16 09:30:00,44.3,44.43,44.15,44.33,534451
2016-12-19 09:30:00,44.26,44.38,43.92,44.05,78802
2016-12-20 09:30:00,44.6,44.78,44.42,44.78,94649
2016-12-21 09:30:00,44.39,44.39,44.12,44.22,62058
2016-12-22 09:30:00,43.7,44.39,43.7,43.97,131879
2016-12-23 09:30:00,43.87,43.87,43.42,43.64,86917
2016-12-27 09:30:00,44.21,44.28,43.87,43.95,41107
2016-12-28 09:30:00,44.14,44.14,43.77,43.9,36244
2016-12-29 09:30:00,43.59,43.66,43.27,43.31,33330
2016-12-30 09:30:00,43.76,43.99,43.55,43.55,20405
2017-01-03 09:30:00,43.58,43.69,43.3,43.3,70309
2017-01-04 09:30:00,43.72,43.89,43.58,43.76,92997
2017-01-05 09:30:00,43.8,44.05,43.8,43.88,76258
2017-01-06 09:30:00,43.52,43.62,43.11,43.36,88115
2017-01-09 09:30:00,43.62,43.76,43.27,43.57,63586
2017-01-10 09:30:00,43.38,43.67,43.2,43.47,65453
2017-01-11 09:30:00,43.43,43.51,43.22,43.4,358042
2017-01-12 09:30:00,43.17,43.35,43.11,43.21,209195
2017-01-13 09:30:00,43.93,44.54,43.93,44.24,162680
2017-01-17 09:30:00,43.96,44.03,43.56,43.64,156134
2017-01-18 09:30:00,43.74,43.76,43.48,43.67,129685
2017-01-19 09:30:00,43.79,43.95,43.6,43.75,86345
2017-01-20 09:30:00,43.94,44.15,43.85,43.91,396009
2017-01-23 09:30:00,43.84,44.26,43.7,43.72,127610
2017-01-24 09:30:00,43.85,43.97,43.67,43.82,76791
2017-01-25 09:30:00,44.33,44.62,44.17,44.47,138125
2017-01-26 09:30:00,44.41,44.79,44.22,44.79,133605
2017-01-27 09:30:00,45.0,45.15,44.89,45.12,84969
2017-01-30 09:30:00,45.16,45.16,44.39,44.51,91041
2017-01-31 09:30:00,44.6,44.78,44.49,44.6,335045
2017-02-01 09:30:00,44.79,44.81,44.47,44.77,135449
2017-02-02 09:30:00,44.25,44.5,44.01,44.43,86946
2017-02-03 09:30:00,44.86,44.94,44.47,44.87,100904
2017-02-06 09:30:00,44.98,45.17,44.82,45.06,83659
2017-02-07 09:30:00,45.22,45.29,45.02,45.15,107687
2017-02-08 09:30:00,44.39,45.31,44.32,45.1,588355
2017-02-09 09:30:00,45.35,45.8,45.35,45.71,80879
2017-02-10 09:30:00,46.18,46.22,45.77,46.13,52771
2017-02-13 09:30:00,46.4,46.74,46.33,46.67,104170
2017-02-14 09:30:00,46.38,46.45,45.99,46.31,108352
2017-02-15 09:30:00,46.22,46.36,46.09,46.23,47152
2017-02-16 09:30:00,46.56,47.03,46.44,46.56,132312
2017-02-17 09:30:00,46.33,46.49,46.13,46.4,141919
2017-02-21 09:30:00,46.58,47.03,46.45,46.85,165511
2017-02-22 09:30:00,46.7,47.03,46.64,46.94,81170
2017-02-23 09:30:00,46.9,47.01,46.66,46.72,149405
2017-02-24 09:30:00,46.15,46.49,45.86,46.43,312104
2017-02-27 09:30:00,46.6,46.69,46.5,46.57,113324
2017-02-28 09:30:00,46.62,46.62,46.33,46.61,78118
2017-03-01 09:30:00,47.08,47.5,46.95,47.33,184105
2017-03-02 09:30:00,47.63,47.71,47.28,47.54,102214
2017-03-03 09:30:00,47.38,47.6,47.19,47.34,136594
2017-03-06 09:30:00,47.15,47.42,47.09,47.11,44671
2017-03-07 09:30:00,47.19,47.33,46.9,46.92,88965
2017-03-08 09:30:00,47.06,47.27,46.95,47.05,173282
2017-03-09 09:30:00,46.95,47.27,46.92,47.27,76360
2017-03-10 09:30:00,47.12,47.33,46.91,47.14,82645
2017-03-13 09:30:00,47.25,47.25,46.96,47.12,60739
2017-03-14 09:30:00,47.28,47.41,47.09,47.35,61859
2017-03-15 09:30:00,47.52,47.88,47.52,47.8,110133
2017-03-16 09:30:00,48.29,48.44,48.13,48.23,130324
2017-03-17 09:30:00,48.29,48.35,48.07,48.27,723773
2017-03-20 09:30:00,48.18,48.39,47.73,47.84,79421
2017-03-21 09:30:00,47.92,48.08,47.73,47.73,67759
2017-03-22 09:30:00,47.3,47.55,47.12,47.18,175968
2017-03-23 09:30:00,47.14,47.37,47.12,47.28,158212
2017-03-24 09:30:00,48.65,48.65,47.94,48.35,239947
2017-03-27 09:30:00,47.47,47.74,47.01,47.34,234550
2017-03-28 09:30:00,47.73,47.85,47.5,47.81,110781
2017-03-29 09:30:00,48.39,48.84,48.11,48.35,272490
2017-03-30 09:30:00,48.32,48.5,48.13,48.22,123392
2017-03-31 09:30:00,48.16,48.41,48.01,48.38,98327
2017-04-03 09:30:00,48.64,49.03,48.53,48.7,255386
2017-04-04 09:30:00,48.6,48.7,48.35,48.65,93976
2017-04-05 09:30:00,48.72,48.96,48.55,48.93,194389
2017-04-06 09:30:00,48.72,48.84,48.64,48.72,123629
2017-04-07 09:30:00,48.98,49.07,48.84,48.87,35898
2017-04-10 09:30:00,48.91,49.3,48.89,49.17,42431
