open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,27.23,27.26,27.04,27.1,6068165
2016-01-05 09:30:00,27.14,27.19,27.03,27.04,6031893
2016-01-06 09:30:00,26.5,26.61,26.45,26.57,3642756
2016-01-07 09:30:00,25.68,26.02,25.6,25.93,10924334
2016-01-08 09:30:00,25.76,25.79,25.6,25.62,9456040
2016-01-11 09:30:00,25.29,25.39,25.11,25.14,6397800
2016-01-12 09:30:00,25.21,25.35,25.21,25.27,4983237
2016-01-13 09:30:00,25.17,25.25,25.1,25.13,3176077
2016-01-14 09:30:00,24.57,24.62,24.38,24.4,4354213
2016-01-15 09:30:00,23.67,23.91,23.63,23.77,8866022
2016-01-19 09:30:00,24.64,24.65,24.35,24.44,6706278
2016-01-20 09:30:00,23.45,23.55,23.33,23.35,4717354
2016-01-21 09:30:00,23.51,23.58,23.35,23.42,6358817
2016-01-22 09:30:00,24.42,24.47,24.33,24.46,5260980
2016-01-25 09:30:00,24.23,24.26,24.11,24.18,4464910
2016-01-26 09:30:00,23.84,23.98,23.83,23.91,3626889
2016-01-27 09:30:00,23.87,23.96,23.81,23.88,5341619
2016-01-28 09:30:00,24.26,24.34,24.19,24.28,5917385
2016-01-29 09:30:00,24.65,24.77,24.62,24.71,4047839
2016-02-01 09:30:00,24.3,24.32,24.2,24.24,3603975
2016-02-02 09:30:00,24.18,24.2,23.96,24.0,3851593
2016-02-03 09:30:00,23.85,23.9,23.65,23.68,3068345
2016-02-04 09:30:00,24.06,24.22,24.02,24.18,5960344
2016-02-05 09:30:00,24.13,24.14,23.95,24.02,3990753
2016-02-08 09:30:00,23.41,23.46,23.29,23.31,4865578
2016-02-09 09:30:00,22.86,23.21,22.84,23.07,4394007
2016-02-10 09:30:00,23.37,23.55,23.27,23.51,7447769
2016-02-11 09:30:00,22.46,22.7,22.44,22.65,6726241
2016-02-12 09:30:00,22.86,22.92,22.75,22.76,5435620
2016-02-16 09:30:00,24.06,24.12,23.98,23.98,5494474
2016-02-17 09:30:00,24.23,24.34,24.21,24.29,2826185
2016-02-18 09:30:00,24.69,24.73,24.6,24.61,4532496
2016-02-19 09:30:00,24.33,24.38,24.22,24.27,1943579
2016-02-22 09:30:00,24.74,24.86,24.73,24.82,2737691
2016-02-23 09:30:00,24.67,24.74,24.64,24.69,1670710
2016-02-24 09:30:00,23.91,23.94,23.79,23.85,3467311
2016-02-25 09:30:00,23.95,24.01,23.83,23.87,4491566
2016-02-26 09:30:00,24.54,24.56,24.36,24.37,4241058
2016-02-29 09:30:00,24.25,24.33,24.24,24.3,2239782
2016-03-01 09:30:00,24.63,24.75,24.61,24.66,5653600
2016-03-02 09:30:00,25.3,25.37,25.25,25.3,3410693
2016-03-03 09:30:00,25.36,25.37,25.3,25.37,4874452
2016-03-04 09:30:00,25.86,25.93,25.79,25.83,5573896
2016-03-07 09:30:00,25.81,25.98,25.81,25.88,4423224
2016-03-08 09:30:00,25.64,25.65,25.49,25.51,4885214
2016-03-09 09:30:00,25.53,25.6,25.5,25.55,2363917
2016-03-10 09:30:00,25.63,25.69,25.51,25.67,3494511
2016-03-11 09:30:00,25.91,25.97,25.89,25.94,2908418
2016-03-14 09:30:00,26.24,26.26,26.15,26.15,2327257
2016-03-15 09:30:00,25.94,25.97,25.86,25.87,2152481
2016-03-16 09:30:00,25.82,25.93,25.82,25.88,1517010
2016-03-17 09:30:00,26.35,26.48,26.32,26.38,3954058
2016-03-18 09:30:00,26.9,26.97,26.88,26.95,3540637
2016-03-21 09:30:00,26.93,27.07,26.93,27.04,2231364
2016-03-22 09:30:00,26.66,26.68,26.59,26.68,2329803
2016-03-23 09:30:00,26.64,26.64,26.48,26.5,4421996
2016-03-24 09:30:00,25.93,25.95,25.85,25.91,2341018
2016-03-28 09:30:00,26.11,26.22,26.1,26.21,1413123
2016-03-29 09:30:00,26.16,26.16,26.06,26.13,1825129
2016-03-30 09:30:00,27.1,27.24,27.09,27.22,3584725
2016-03-31 09:30:00,27.02,27.17,27.0,27.09,3638662
2016-04-01 09:30:00,26.36,26.38,26.22,26.36,3606709
2016-04-04 09:30:00,26.82,26.88,26.78,26.84,1835577
2016-04-05 09:30:00,26.07,26.12,25.97,26.06,3426760
2016-04-06 09:30:00,26.01,26.05,25.96,26.0,2100324
2016-04-07 09:30:00,26.05,26.1,26.01,26.06,1884913
