open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,108.84,109.11,108.29,108.74,127549
2016-01-05 09:30:00,109.32,110.05,108.91,109.03,137419
2016-01-06 09:30:00,108.44,109.35,108.29,108.84,152085
2016-01-07 09:30:00,107.52,107.59,106.45,107.31,178783
2016-01-08 09:30:00,105.18,106.2,104.51,106.12,225758
2016-01-11 09:30:00,105.55,106.17,105.1,105.48,138544
2016-01-12 09:30:00,106.38,106.46,105.42,105.77,128633
2016-01-13 09:30:00,107.01,107.27,106.46,106.46,108155
2016-01-14 09:30:00,104.28,104.58,102.85,102.92,185945
2016-01-15 09:30:00,101.64,102.65,100.6,102.3,678617
2016-01-19 09:30:00,102.48,102.99,101.99,102.56,157175
2016-01-20 09:30:00,101.26,101.82,100.85,100.88,166104
2016-01-21 09:30:00,100.44,100.95,99.89,99.89,95492
2016-01-22 09:30:00,101.35,101.92,100.75,101.66,159265
2016-01-25 09:30:00,101.76,102.02,101.13,101.45,163763
2016-01-26 09:30:00,100.37,101.9,100.08,101.86,161691
2016-01-27 09:30:00,100.23,101.53,99.06,99.64,397097
2016-01-28 09:30:00,104.05,105.01,103.58,104.17,379395
2016-01-29 09:30:00,104.3,106.26,104.3,105.31,225833
2016-02-01 09:30:00,106.86,106.99,105.98,105.99,221305
2016-02-02 09:30:00,107.0,107.64,106.59,107.23,222369
2016-02-03 09:30:00,108.28,108.52,107.35,107.47,184416
2016-02-04 09:30:00,108.02,109.22,107.52,109.21,171259
2016-02-05 09:30:00,108.62,109.19,108.24,108.28,115885
2016-02-08 09:30:00,106.86,107.1,106.5,106.57,279799
2016-02-09 09:30:00,105.36,106.58,105.36,106.0,156346
2016-02-10 09:30:00,107.02,108.51,107.0,108.24,89093
2016-02-11 09:30:00,105.68,105.93,105.27,105.47,264965
2016-02-12 09:30:00,104.69,104.69,103.53,103.79,154120
2016-02-16 09:30:00,106.18,107.07,105.61,105.79,148619
2016-02-17 09:30:00,106.79,107.85,106.79,107.68,139893
2016-02-18 09:30:00,108.86,108.92,108.37,108.56,158514
2016-02-19 09:30:00,108.97,109.49,108.47,109.42,175361
2016-02-22 09:30:00,110.09,110.57,109.64,110.03,145750
2016-02-23 09:30:00,109.78,110.79,109.6,110.21,127006
2016-02-24 09:30:00,109.02,109.02,107.73,107.95,140287
2016-02-25 09:30:00,109.44,110.16,109.27,109.89,60135
2016-02-26 09:30:00,111.13,111.65,110.99,111.13,90441
2016-02-29 09:30:00,110.55,110.62,109.93,109.99,88836
2016-03-01 09:30:00,110.61,111.0,110.53,110.68,54280
2016-03-02 09:30:00,111.06,111.54,110.3,110.98,100391
2016-03-03 09:30:00,109.62,109.79,108.8,109.09,155187
2016-03-04 09:30:00,109.62,110.04,109.2,109.44,68089
2016-03-07 09:30:00,108.35,108.98,107.81,107.81,115558
2016-03-08 09:30:00,106.02,106.29,105.58,106.01,117581
2016-03-09 09:30:00,106.29,106.87,106.08,106.14,127177
2016-03-10 09:30:00,107.24,107.82,106.62,107.6,265007
2016-03-11 09:30:00,108.66,109.25,108.47,108.91,95753
2016-03-14 09:30:00,108.99,109.47,108.86,108.86,86775
2016-03-15 09:30:00,108.28,108.28,106.94,106.95,124471
2016-03-16 09:30:00,107.54,107.96,107.03,107.83,111811
2016-03-17 09:30:00,108.56,108.56,108.01,108.22,121407
2016-03-18 09:30:00,108.6,109.29,108.35,108.99,648833
2016-03-21 09:30:00,108.68,109.35,108.68,108.79,64319
2016-03-22 09:30:00,108.76,108.91,108.23,108.67,126371
2016-03-23 09:30:00,109.18,109.44,108.65,108.87,36330
2016-03-24 09:30:00,106.92,106.92,103.53,104.21,660830
2016-03-28 09:30:00,104.58,104.72,104.17,104.34,144347
2016-03-29 09:30:00,105.62,105.71,105.03,105.35,112472
2016-03-30 09:30:00,106.7,106.92,106.31,106.48,134621
2016-03-31 09:30:00,106.25,106.45,105.34,105.65,90848
2016-04-01 09:30:00,105.29,105.55,104.73,104.98,121058
2016-04-04 09:30:00,106.83,107.13,106.54,107.05,150932
2016-04-05 09:30:00,106.06,106.73,106.06,106.64,98808
2016-04-06 09:30:00,105.42,105.93,105.22,105.65,153078
2016-04-07 09:30:00,106.63,107.36,106.27,107.36,114047
2016-04-08 09:30:00,107.55,108.57,107.45,108.53,131150
2016-04-11 09:30:00,108.33,108.89,108.02,108.39,65019
2016-04-12 09:30:00,107.16,107.91,107.07,107.72,54649
2016-04-13 09:30:00,109.23,109.64,108.85,109.31,94181
2016-04-14 09:30:00,108.93,109.16,107.98,108.15,195516
2016-04-15 09:30:00,108.58,109.23,108.44,109.2,157213
2016-04-18 09:30:00,109.42,110.18,109.11,109.81,85988
2016-04-19 09:30:00,110.9,111.23,110.35,110.44,161226
2016-04-20 09:30:00,111.06,112.08,111.06,111.47,197394
2016-04-21 09:30:00,111.16,112.08,111.03,111.87,114826
2016-04-22 09:30:00,112.11,112.43,111.64,111.64,113251
2016-04-25 09:30:00,111.31,111.88,111.26,111.57,54812
2016-04-26 09:30:00,111.64,112.34,111.46,112.17,117290
2016-04-27 09:30:00,112.9,114.84,112.57,114.82,359233
2016-04-28 09:30:00,115.5,116.51,115.14,115.93,207298
2016-04-29 09:30:00,113.9,114.17,113.25,113.29,148507
2016-05-02 09:30:00,114.29,115.54,113.69,115.48,214527
2016-05-03 09:30:00,114.61,114.81,113.77,114.81,86180
2016-05-04 09:30:00,115.33,115.62,114.75,115.06,101005
2016-05-05 09:30:00,115.06,115.66,114.6,114.72,134554
2016-05-06 09:30:00,115.33,115.73,115.11,115.25,113392
2016-05-09 09:30:00,116.37,117.45,115.91,117.42,186206
2016-05-10 09:30:00,116.76,117.49,116.63,117.22,112347
2016-05-11 09:30:00,118.36,118.83,118.13,118.24,136266
2016-05-12 09:30:00,117.53,118.48,117.19,117.94,113458
2016-05-13 09:30:00,117.66,118.05,117.36,117.67,132605
2016-05-16 09:30:00,117.01,117.72,116.96,117.34,69981
2016-05-17 09:30:00,118.12,119.52,117.86,118.79,292046
2016-05-18 09:30:00,117.21,117.72,117.18,117.62,98163
2016-05-19 09:30:00,116.52,116.93,115.73,115.73,78956
2016-05-20 09:30:00,117.35,117.39,116.73,117.13,137713
2016-05-23 09:30:00,117.19,117.47,115.89,116.45,275497
2016-05-24 09:30:00,115.94,116.37,115.92,116.19,140002
2016-05-25 09:30:00,116.51,116.6,115.91,116.1,123128
2016-05-26 09:30:00,115.76,116.37,115.72,116.19,78086
2016-05-27 09:30:00,115.98,116.31,115.98,116.15,48550
2016-05-31 09:30:00,116.58,116.89,115.76,115.91,88734
2016-06-01 09:30:00,114.83,114.95,114.61,114.91,64012
2016-06-02 09:30:00,114.21,114.9,114.2,114.44,100808
2016-06-03 09:30:00,113.71,114.22,112.7,113.18,160277
2016-06-06 09:30:00,114.14,114.72,113.92,114.1,51616
2016-06-07 09:30:00,114.32,115.18,114.27,114.55,102661
2016-06-08 09:30:00,114.37,115.07,114.2,114.9,76275
2016-06-09 09:30:00,114.68,115.25,114.52,115.22,94433
2016-06-10 09:30:00,114.66,115.09,114.54,114.88,113936
2016-06-13 09:30:00,114.68,115.02,114.53,114.73,95904
2016-06-14 09:30:00,112.89,113.16,112.43,112.85,81062
2016-06-15 09:30:00,113.51,113.78,113.33,113.7,146877
2016-06-16 09:30:00,113.34,114.24,112.75,112.81,77742
2016-06-17 09:30:00,113.63,113.78,112.69,112.88,207505
2016-06-20 09:30:00,114.05,114.59,113.71,114.38,116486
2016-06-21 09:30:00,114.7,114.99,114.47,114.78,134731
2016-06-22 09:30:00,113.53,113.78,113.31,113.48,89293
2016-06-23 09:30:00,113.74,113.83,112.96,113.26,116228
2016-06-24 09:30:00,110.46,111.94,109.67,111.74,290820
2016-06-27 09:30:00,109.97,110.01,108.64,109.2,259240
2016-06-28 09:30:00,109.29,109.29,108.03,108.48,230825
2016-06-29 09:30:00,110.05,110.07,108.91,109.0,131009
2016-06-30 09:30:00,110.93,111.25,110.92,111.19,77146
2016-07-01 09:30:00,113.95,115.05,113.94,114.97,206184
2016-07-05 09:30:00,115.11,115.16,113.75,113.81,106218
2016-07-06 09:30:00,112.83,112.9,111.66,111.69,116489
2016-07-07 09:30:00,114.09,115.08,114.09,114.89,97373
2016-07-08 09:30:00,113.99,114.08,113.61,113.95,120954
2016-07-11 09:30:00,114.8,115.51,114.8,115.51,119662
2016-07-12 09:30:00,116.06,116.54,115.57,116.25,286799
2016-07-13 09:30:00,115.74,116.23,115.72,115.89,214937
2016-07-14 09:30:00,116.59,116.96,116.21,116.45,111009
2016-07-15 09:30:00,116.72,116.8,116.39,116.68,143922
2016-07-18 09:30:00,116.02,116.22,115.54,115.55,49873
2016-07-19 09:30:00,115.37,115.92,115.06,115.86,174773
2016-07-20 09:30:00,117.41,117.88,117.14,117.74,134974
2016-07-21 09:30:00,118.11,118.12,117.23,117.35,95521
2016-07-22 09:30:00,116.46,116.71,116.09,116.34,74195
2016-07-25 09:30:00,117.03,117.37,116.67,116.75,115752
2016-07-26 09:30:00,117.61,118.06,117.48,117.94,124836
2016-07-27 09:30:00,119.02,119.66,117.37,118.62,316941
2016-07-28 09:30:00,119.66,120.15,118.47,118.72,158638
2016-07-29 09:30:00,119.62,119.93,119.22,119.3,117373
2016-08-01 09:30:00,120.19,120.78,120.01,120.5,168064
2016-08-02 09:30:00,121.36,121.83,120.91,121.8,181135
2016-08-03 09:30:00,121.03,121.23,120.63,120.98,92122
2016-08-04 09:30:00,120.85,121.19,120.49,120.78,110595
2016-08-05 09:30:00,120.5,120.77,120.43,120.66,92776
2016-08-08 09:30:00,121.34,121.83,121.1,121.13,73277
2016-08-09 09:30:00,120.99,121.59,120.99,121.02,61868
2016-08-10 09:30:00,122.18,123.77,122.18,123.05,454076
2016-08-11 09:30:00,123.64,123.95,123.19,123.19,252804
