open_date,open,high,low,close,volume_base
2024-04-02 09:30:00,142.57,142.73,138.39,141.79,1834853
2024-04-03 09:30:00,142.02,142.02,138.28,139.82,1265010
2024-04-04 09:30:00,135.74,137.16,133.24,135.76,832833
2024-04-05 09:30:00,125.26,125.7,118.77,122.79,3931606
2024-04-08 09:30:00,125.89,131.69,125.62,129.92,2185884
2024-04-09 09:30:00,130.62,131.62,128.45,130.7,1135365
2024-04-10 09:30:00,129.25,131.31,128.69,130.46,914038
2024-04-11 09:30:00,138.93,139.05,137.17,138.24,700064
2024-04-12 09:30:00,134.74,137.84,134.25,137.5,484490
2024-04-15 09:30:00,134.34,135.06,132.43,134.1,322686
2024-04-16 09:30:00,132.24,132.79,129.96,130.49,500295
2024-04-17 09:30:00,131.78,132.58,131.0,131.94,766569
2024-04-18 09:30:00,137.88,137.9,135.49,136.83,804070
2024-04-19 09:30:00,136.98,138.53,136.45,138.34,489588
2024-04-22 09:30:00,135.26,135.44,131.85,134.74,344106
2024-04-23 09:30:00,138.19,142.07,137.6,140.98,501737
2024-04-24 09:30:00,146.71,149.61,146.24,148.05,460230
2024-04-25 09:30:00,142.72,143.54,138.4,140.59,964477
2024-04-26 09:30:00,153.34,156.94,151.35,154.1,859418
2024-04-29 09:30:00,153.28,157.62,153.28,156.45,687599
2024-04-30 09:30:00,157.83,160.82,155.75,160.68,403178
2024-05-01 09:30:00,153.89,156.4,149.83,150.12,445638
2024-05-02 09:30:00,153.23,154.31,152.46,153.34,196331
2024-05-03 09:30:00,155.33,157.75,154.84,157.59,305580
2024-05-06 09:30:00,166.84,168.05,164.19,165.83,528368
2024-05-07 09:30:00,168.33,169.85,168.14,168.96,265059
2024-05-08 09:30:00,166.68,166.69,164.0,165.87,452867
2024-05-09 09:30:00,164.68,166.67,164.33,166.38,510830
2024-05-10 09:30:00,168.67,169.93,166.68,168.95,583423
2024-05-13 09:30:00,164.68,167.22,162.32,165.68,461191
2024-05-14 09:30:00,160.38,162.65,158.82,161.67,329194
2024-05-15 09:30:00,168.03,170.56,167.67,169.62,332650
2024-05-16 09:30:00,167.7,168.39,166.93,167.22,153199
2024-05-17 09:30:00,166.56,167.31,164.58,165.01,139575
2024-05-20 09:30:00,162.74,163.98,160.93,161.99,191460
2024-05-21 09:30:00,159.93,160.69,158.76,159.18,164519
2024-05-22 09:30:00,163.97,166.45,163.63,165.91,223782
2024-05-23 09:30:00,166.1,168.67,164.06,164.89,533784
2024-05-24 09:30:00,162.49,168.44,161.78,168.39,242403
2024-05-28 09:30:00,177.99,182.43,176.44,180.02,551399
2024-05-29 09:30:00,175.66,176.28,173.99,174.32,244855
2024-05-30 09:30:00,176.63,177.29,175.09,175.78,264223
2024-05-31 09:30:00,176.76,179.42,174.9,175.64,368208
2024-06-03 09:30:00,178.58,178.65,170.46,171.57,475856
2024-06-04 09:30:00,168.02,169.08,166.16,166.29,221623
2024-06-05 09:30:00,164.77,167.97,164.77,165.78,385680
2024-06-06 09:30:00,162.93,163.81,159.85,159.89,540082
2024-06-07 09:30:00,159.19,162.78,158.73,161.52,408013
2024-06-10 09:30:00,160.91,165.99,160.29,164.5,330126
2024-06-11 09:30:00,165.18,166.03,162.98,165.49,221448
2024-06-12 09:30:00,171.21,175.06,170.82,173.68,557322
2024-06-13 09:30:00,179.45,181.61,175.61,176.13,717996
2024-06-14 09:30:00,173.75,174.44,169.37,169.98,271187
2024-06-17 09:30:00,169.42,170.4,167.79,168.39,198276
2024-06-18 09:30:00,167.61,170.82,166.01,169.64,231489
2024-06-20 09:30:00,178.12,185.14,174.76,183.07,878490
2024-06-21 09:30:00,176.76,176.84,170.07,170.32,433958
2024-06-24 09:30:00,176.21,177.58,174.43,176.77,185531
2024-06-25 09:30:00,179.45,179.63,175.93,176.62,258497
2024-06-26 09:30:00,180.54,181.37,178.29,180.45,159468
2024-06-27 09:30:00,178.04,178.92,173.5,174.02,275009
2024-06-28 09:30:00,174.46,175.96,172.27,172.81,412553
2024-07-01 09:30:00,170.67,170.87,166.37,168.91,378403
2024-07-02 09:30:00,165.09,171.65,165.09,168.87,249082
2024-07-03 09:30:00,169.77,171.46,168.85,170.23,179113
2024-07-05 09:30:00,171.17,174.67,170.93,173.91,162963
2024-07-08 09:30:00,176.47,178.25,175.84,177.04,125469
2024-07-09 09:30:00,173.71,174.49,172.35,174.12,178579
2024-07-10 09:30:00,174.59,176.35,174.38,174.85,242174
2024-07-11 09:30:00,180.65,182.8,180.18,181.08,252990
2024-07-12 09:30:00,177.6,179.25,174.06,178.37,110262
2024-07-15 09:30:00,179.89,181.46,177.23,180.84,379726
2024-07-16 09:30:00,178.43,183.53,177.83,180.29,344972
2024-07-17 09:30:00,179.85,179.85,172.44,173.13,888364
2024-07-18 09:30:00,167.67,170.27,166.75,170.18,374746
2024-07-19 09:30:00,161.69,161.84,158.8,161.64,313057
2024-07-22 09:30:00,166.06,167.92,164.25,164.35,192002
2024-07-23 09:30:00,166.68,169.17,165.9,167.97,296019
2024-07-24 09:30:00,167.02,170.67,164.68,168.71,1010285
2024-07-25 09:30:00,165.68,165.97,159.92,160.84,566924
2024-07-26 09:30:00,168.13,169.47,163.37,168.37,773138
2024-07-29 09:30:00,173.98,174.03,171.89,173.48,185527
2024-07-30 09:30:00,172.59,173.73,168.92,169.43,330178
2024-07-31 09:30:00,170.92,176.16,170.92,174.68,660715
2024-08-01 09:30:00,181.55,183.5,178.98,179.67,521007
2024-08-02 09:30:00,168.45,169.66,162.48,163.03,466005
2024-08-05 09:30:00,152.11,160.23,149.72,159.32,573017
2024-08-06 09:30:00,162.76,164.63,159.69,164.08,180090
2024-08-07 09:30:00,168.33,170.62,167.84,170.14,407268
2024-08-08 09:30:00,168.87,171.61,164.73,166.3,235019
2024-08-09 09:30:00,176.18,177.77,173.75,174.4,282041
2024-08-12 09:30:00,178.14,180.15,174.67,174.82,185259
2024-08-13 09:30:00,177.7,178.93,175.84,178.71,267029
2024-08-14 09:30:00,179.65,180.92,178.61,179.02,281374
2024-08-15 09:30:00,185.14,186.14,181.26,182.43,390163
2024-08-16 09:30:00,188.35,188.45,185.29,185.49,207124
2024-08-19 09:30:00,183.74,184.85,181.19,181.22,147237
2024-08-20 09:30:00,184.6,184.99,182.12,184.97,127367
2024-08-21 09:30:00,183.11,184.04,181.46,182.57,127410
2024-08-22 09:30:00,184.64,186.38,181.96,183.09,204214
2024-08-23 09:30:00,180.45,181.15,172.73,177.37,1342811
2024-08-26 09:30:00,181.13,182.3,179.72,182.04,252222
2024-08-27 09:30:00,180.65,183.64,180.14,182.72,121740
2024-08-28 09:30:00,183.49,184.94,181.51,184.28,348575
2024-08-29 09:30:00,185.64,189.08,185.0,187.32,342982
2024-08-30 09:30:00,195.48,197.1,193.82,194.44,441460
2024-09-03 09:30:00,199.61,202.21,191.09,192.18,776816
2024-09-04 09:30:00,192.66,196.85,191.75,195.25,366335
2024-09-05 09:30:00,196.71,199.16,195.31,196.9,259330
2024-09-06 09:30:00,198.6,200.79,196.14,196.58,484229
2024-09-09 09:30:00,199.62,202.54,197.0,197.71,187950
2024-09-10 09:30:00,202.35,202.61,199.34,200.98,301655
2024-09-11 09:30:00,203.7,207.11,202.98,203.49,642058
2024-09-12 09:30:00,199.61,210.48,199.26,209.1,687285
2024-09-13 09:30:00,220.22,225.25,218.58,223.71,769397
2024-09-16 09:30:00,227.44,228.56,224.8,225.6,344092
2024-09-17 09:30:00,237.21,239.53,233.06,233.38,891426
2024-09-18 09:30:00,238.16,239.38,235.87,238.4,456934
2024-09-19 09:30:00,242.83,243.48,238.66,239.8,298024
2024-09-20 09:30:00,242.76,250.36,242.76,248.36,586153
2024-09-23 09:30:00,247.34,254.38,246.31,253.45,523491
2024-09-24 09:30:00,253.51,254.6,251.63,253.04,387424
2024-09-25 09:30:00,256.6,257.25,252.79,254.13,341553
2024-09-26 09:30:00,257.26,258.14,249.68,250.01,453358
2024-09-27 09:30:00,250.27,252.17,249.1,249.95,202203
2024-09-30 09:30:00,250.51,254.59,249.37,251.73,346016
2024-10-01 09:30:00,255.5,255.55,251.9,254.79,274430
2024-10-02 09:30:00,250.51,254.04,248.02,252.62,492565
2024-10-03 09:30:00,252.66,255.91,252.51,255.48,258263
2024-10-04 09:30:00,256.5,259.44,252.74,257.38,410470
2024-10-07 09:30:00,264.89,265.45,261.37,262.75,271507
2024-10-08 09:30:00,263.52,266.04,262.73,264.75,210491
2024-10-09 09:30:00,263.99,264.98,262.37,264.65,192211
2024-10-10 09:30:00,263.49,264.55,261.28,262.21,316855
2024-10-11 09:30:00,263.24,265.95,260.54,264.38,351490
2024-10-14 09:30:00,266.74,270.3,266.36,270.06,189266
2024-10-15 09:30:00,269.48,270.34,265.66,267.14,148800
2024-10-16 09:30:00,268.38,269.22,267.17,268.32,160922
2024-10-17 09:30:00,278.7,280.83,275.95,278.23,357571
2024-10-18 09:30:00,273.16,274.34,270.82,271.59,258667
2024-10-21 09:30:00,276.46,277.06,272.68,274.55,427462
2024-10-22 09:30:00,270.47,276.17,270.02,274.39,348715
2024-10-23 09:30:00,273.18,282.42,267.98,277.52,1113200
2024-10-24 09:30:00,285.26,289.82,282.45,288.99,501534
2024-10-25 09:30:00,294.82,298.23,291.83,295.26,349368
2024-10-28 09:30:00,295.17,295.37,289.02,290.07,328466
