open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,70.59,70.75,69.51,69.58,1811378
2016-01-05 09:30:00,70.52,70.57,70.02,70.46,1743629
2016-01-06 09:30:00,69.01,69.97,68.99,69.69,1514794
2016-01-07 09:30:00,69.38,69.74,69.18,69.54,1486121
2016-01-08 09:30:00,68.56,69.23,68.22,69.05,1666425
2016-01-11 09:30:00,68.73,68.78,67.73,67.88,1256682
2016-01-12 09:30:00,68.65,69.68,68.53,69.2,1403164
2016-01-13 09:30:00,68.8,69.35,68.69,68.87,855372
2016-01-14 09:30:00,65.82,65.85,64.43,64.49,2187258
2016-01-15 09:30:00,63.94,65.64,63.45,64.48,3787005
2016-01-19 09:30:00,65.89,65.95,64.3,64.81,1749764
2016-01-20 09:30:00,62.26,63.19,61.75,62.06,2562972
2016-01-21 09:30:00,63.95,64.03,62.89,63.16,1657165
2016-01-22 09:30:00,63.96,64.38,63.47,64.31,1422724
2016-01-25 09:30:00,64.75,65.12,64.25,64.66,1125820
2016-01-26 09:30:00,64.15,64.53,63.85,63.94,1145472
2016-01-27 09:30:00,64.98,65.22,64.24,64.34,1071313
2016-01-28 09:30:00,63.67,63.83,62.47,62.53,1283330
2016-01-29 09:30:00,59.63,60.35,58.4,60.16,7582114
2016-02-01 09:30:00,58.24,59.8,58.21,59.3,3069048
2016-02-02 09:30:00,59.56,59.58,59.0,59.14,1964317
2016-02-03 09:30:00,60.09,60.84,59.88,60.19,4557545
2016-02-04 09:30:00,60.86,61.78,60.71,60.94,1658562
2016-02-05 09:30:00,61.32,62.27,61.32,61.55,2357781
2016-02-08 09:30:00,59.49,60.37,59.33,59.99,2369311
2016-02-09 09:30:00,59.57,60.96,59.5,60.77,1704942
2016-02-10 09:30:00,62.7,63.28,62.27,63.06,1751731
2016-02-11 09:30:00,61.22,62.58,61.06,61.71,1675749
2016-02-12 09:30:00,62.73,62.73,61.32,61.35,1496560
2016-02-16 09:30:00,64.18,64.44,63.6,64.23,1958638
2016-02-17 09:30:00,64.44,64.73,63.8,64.02,1927603
2016-02-18 09:30:00,63.45,63.96,63.28,63.9,1742901
2016-02-19 09:30:00,62.46,62.95,62.28,62.44,2107039
2016-02-22 09:30:00,62.51,63.09,62.29,63.07,1222160
2016-02-23 09:30:00,63.04,63.25,62.67,63.09,954288
2016-02-24 09:30:00,61.84,62.13,61.4,61.72,1167015
2016-02-25 09:30:00,63.67,64.02,63.36,63.77,1239978
2016-02-26 09:30:00,64.1,64.32,63.75,63.99,1163901
2016-02-29 09:30:00,62.17,62.79,62.13,62.39,1234181
2016-03-01 09:30:00,62.19,62.4,61.81,62.11,1206793
2016-03-02 09:30:00,63.24,63.45,62.9,62.96,1120077
2016-03-03 09:30:00,63.06,63.19,62.29,62.63,1349975
2016-03-04 09:30:00,62.44,62.47,61.44,61.79,1532212
2016-03-07 09:30:00,61.64,62.14,61.47,61.87,1841552
2016-03-08 09:30:00,63.43,63.74,63.25,63.42,996257
2016-03-09 09:30:00,62.92,63.14,61.94,62.51,1210426
2016-03-10 09:30:00,62.47,63.41,62.35,63.39,1302330
2016-03-11 09:30:00,63.64,63.66,63.26,63.37,1353074
2016-03-14 09:30:00,63.98,64.65,63.51,64.59,1863214
2016-03-15 09:30:00,63.92,63.98,63.29,63.68,1261874
2016-03-16 09:30:00,63.21,64.31,63.2,64.22,1033983
2016-03-17 09:30:00,63.83,64.24,63.46,63.61,1003233
2016-03-18 09:30:00,63.98,64.18,63.65,63.81,5039357
2016-03-21 09:30:00,63.98,65.68,63.98,65.65,1327131
2016-03-22 09:30:00,65.51,66.28,65.43,66.25,1289274
2016-03-23 09:30:00,64.66,65.55,64.43,64.87,2533869
2016-03-24 09:30:00,63.7,65.18,63.58,65.18,1778067
2016-03-28 09:30:00,65.45,66.7,65.36,66.61,1707715
2016-03-29 09:30:00,65.53,65.57,64.41,64.59,1458646
2016-03-30 09:30:00,65.73,66.46,65.73,66.17,1646363
2016-03-31 09:30:00,65.32,65.93,65.32,65.53,1114260
2016-04-01 09:30:00,64.91,65.67,64.72,65.5,1422850
2016-04-04 09:30:00,67.08,67.42,66.64,66.86,1568473
2016-04-05 09:30:00,66.5,67.69,66.46,67.54,1333984
2016-04-06 09:30:00,67.91,68.8,67.87,68.76,1552494
2016-04-07 09:30:00,69.1,69.4,68.66,68.8,1512165
2016-04-08 09:30:00,68.39,69.09,68.35,69.03,1375362
2016-04-11 09:30:00,68.71,68.8,68.26,68.61,1077524
2016-04-12 09:30:00,68.24,68.55,68.16,68.21,918128
2016-04-13 09:30:00,69.57,69.64,68.7,68.9,1228965
2016-04-14 09:30:00,68.96,69.52,68.88,69.49,994861
2016-04-15 09:30:00,70.0,70.36,69.83,70.05,2291178
2016-04-18 09:30:00,69.78,70.25,69.74,70.18,919606
2016-04-19 09:30:00,70.91,71.31,70.74,71.3,1516033
2016-04-20 09:30:00,70.62,71.65,70.62,71.51,1299521
2016-04-21 09:30:00,71.04,71.74,71.01,71.48,1004112
2016-04-22 09:30:00,72.31,72.83,72.13,72.7,1342967
2016-04-25 09:30:00,72.39,72.68,72.16,72.51,1053599
2016-04-26 09:30:00,72.53,73.18,72.51,73.12,1296825
2016-04-27 09:30:00,72.01,72.35,71.45,71.48,1132415
2016-04-28 09:30:00,71.4,71.48,69.92,70.91,2001582
2016-04-29 09:30:00,64.82,65.77,64.01,64.84,6343357
2016-05-02 09:30:00,63.05,63.59,62.13,62.71,2473091
2016-05-03 09:30:00,63.03,63.35,62.55,62.72,1229664
2016-05-04 09:30:00,61.6,61.84,61.32,61.71,1132189
2016-05-05 09:30:00,61.38,61.42,60.56,60.64,1217991
2016-05-06 09:30:00,60.9,61.02,60.57,60.63,1120395
2016-05-09 09:30:00,60.39,61.27,60.21,61.18,1610284
2016-05-10 09:30:00,61.42,61.47,60.34,60.71,1176128
2016-05-11 09:30:00,61.3,61.42,60.56,60.7,948183
2016-05-12 09:30:00,59.8,59.92,58.54,58.57,2111202
2016-05-13 09:30:00,58.76,59.53,58.58,58.94,1435053
2016-05-16 09:30:00,58.79,59.28,58.64,58.88,1257151
2016-05-17 09:30:00,59.33,59.53,59.04,59.36,794679
2016-05-18 09:30:00,58.82,59.01,58.52,58.97,808383
2016-05-19 09:30:00,58.51,58.71,58.06,58.1,1074417
