open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,64.13,64.13,62.69,63.0,137215
2016-01-05 09:30:00,63.92,63.95,62.86,62.95,133863
2016-01-06 09:30:00,62.86,62.95,62.3,62.63,94606
2016-01-07 09:30:00,61.35,62.17,61.31,61.87,76925
2016-01-08 09:30:00,61.37,61.71,60.82,61.19,81732
2016-01-11 09:30:00,60.38,60.38,59.41,59.58,80720
2016-01-12 09:30:00,60.16,60.47,59.85,60.17,60972
2016-01-13 09:30:00,60.44,60.54,60.02,60.16,46957
2016-01-14 09:30:00,58.7,58.76,58.26,58.26,84147
2016-01-15 09:30:00,58.14,58.58,57.85,58.38,189879
2016-01-19 09:30:00,59.74,59.92,59.16,59.37,85336
2016-01-20 09:30:00,58.48,59.09,58.25,58.51,130563
2016-01-21 09:30:00,59.85,60.34,59.35,59.61,41962
2016-01-22 09:30:00,60.71,60.84,60.46,60.82,77865
2016-01-25 09:30:00,60.07,60.48,59.88,59.95,63576
2016-01-26 09:30:00,60.16,60.9,60.16,60.9,49007
2016-01-27 09:30:00,62.02,62.29,61.71,62.03,43081
2016-01-28 09:30:00,62.6,62.68,62.19,62.3,44320
2016-01-29 09:30:00,63.27,63.96,62.99,63.95,52248
2016-02-01 09:30:00,63.06,63.72,62.03,62.51,235103
2016-02-02 09:30:00,62.76,62.9,62.53,62.64,50626
2016-02-03 09:30:00,63.04,63.21,62.86,62.98,53892
2016-02-04 09:30:00,63.1,64.27,63.1,63.77,69258
2016-02-05 09:30:00,65.05,65.05,64.61,64.72,59611
2016-02-08 09:30:00,63.51,64.03,63.32,63.47,67175
2016-02-09 09:30:00,63.92,65.4,63.92,65.15,116642
2016-02-10 09:30:00,65.59,66.01,65.43,65.93,47014
2016-02-11 09:30:00,64.58,64.97,64.25,64.76,45512
2016-02-12 09:30:00,65.74,66.35,65.41,66.07,131504
2016-02-16 09:30:00,66.55,67.82,64.47,67.16,246361
2016-02-17 09:30:00,67.43,67.7,67.01,67.35,124786
2016-02-18 09:30:00,68.16,68.43,68.0,68.41,82495
2016-02-19 09:30:00,68.19,68.44,67.93,68.32,158820
2016-02-22 09:30:00,70.16,70.43,70.02,70.08,64207
2016-02-23 09:30:00,69.8,70.16,69.46,69.74,40572
2016-02-24 09:30:00,68.44,68.75,68.1,68.42,91818
2016-02-25 09:30:00,69.27,69.66,68.84,68.84,43627
2016-02-26 09:30:00,69.72,69.9,68.84,68.84,56077
2016-02-29 09:30:00,68.98,69.31,68.81,68.96,52354
2016-03-01 09:30:00,68.79,69.22,68.65,69.03,94940
2016-03-02 09:30:00,70.06,70.61,69.65,70.23,83796
2016-03-03 09:30:00,71.3,71.41,70.98,71.38,41999
2016-03-04 09:30:00,71.43,71.57,71.24,71.25,42737
2016-03-07 09:30:00,71.12,71.61,71.0,71.2,40114
2016-03-08 09:30:00,71.6,71.96,71.46,71.69,49897
2016-03-09 09:30:00,71.57,71.81,70.68,71.65,50000
2016-03-10 09:30:00,71.71,71.8,71.29,71.7,48398
2016-03-11 09:30:00,72.12,72.3,71.97,72.27,75431
2016-03-14 09:30:00,72.49,72.69,72.26,72.38,30140
2016-03-15 09:30:00,71.89,72.05,71.7,71.95,38819
2016-03-16 09:30:00,72.17,72.32,71.86,72.02,40032
2016-03-17 09:30:00,72.99,73.02,72.72,72.86,80021
2016-03-18 09:30:00,75.25,75.25,74.54,75.01,207290
2016-03-21 09:30:00,74.48,74.61,74.22,74.26,45711
2016-03-22 09:30:00,74.35,74.39,74.0,74.16,89524
2016-03-23 09:30:00,74.03,74.09,73.52,74.0,62313
2016-03-24 09:30:00,73.97,74.33,73.95,74.22,23005
2016-03-28 09:30:00,74.67,74.83,74.61,74.78,18537
2016-03-29 09:30:00,74.52,74.89,74.28,74.68,32256
2016-03-30 09:30:00,75.45,75.46,75.04,75.4,33859
2016-03-31 09:30:00,75.48,75.72,75.06,75.07,54025
2016-04-01 09:30:00,75.11,75.47,74.96,75.18,46320
2016-04-04 09:30:00,75.34,75.42,74.82,75.23,103272
2016-04-05 09:30:00,75.03,75.3,74.28,74.7,217823
2016-04-06 09:30:00,74.51,74.59,73.72,73.89,81382
2016-04-07 09:30:00,74.5,74.7,74.48,74.59,54749
2016-04-08 09:30:00,74.35,74.45,73.92,74.25,58126
2016-04-11 09:30:00,74.28,74.6,74.22,74.4,24616
2016-04-12 09:30:00,73.87,73.88,73.08,73.61,97827
2016-04-13 09:30:00,74.71,75.13,74.64,74.86,77306
2016-04-14 09:30:00,75.61,75.77,75.01,75.05,31230
2016-04-15 09:30:00,75.21,75.5,75.08,75.32,114953
2016-04-18 09:30:00,75.35,75.57,75.18,75.5,68922
2016-04-19 09:30:00,75.69,76.15,73.95,74.14,197444
2016-04-20 09:30:00,73.72,74.03,73.31,73.32,72117
2016-04-21 09:30:00,73.66,73.72,73.34,73.71,51654
2016-04-22 09:30:00,73.27,73.98,73.26,73.97,53010
2016-04-25 09:30:00,73.68,73.68,73.27,73.4,20965
2016-04-26 09:30:00,73.81,74.91,73.81,74.91,44078
2016-04-27 09:30:00,74.7,74.92,74.54,74.73,25906
2016-04-28 09:30:00,74.37,74.45,74.04,74.26,43764
2016-04-29 09:30:00,73.8,73.8,73.17,73.26,30251
2016-05-02 09:30:00,73.23,73.6,73.13,73.31,30583
2016-05-03 09:30:00,73.07,73.18,72.88,73.03,57634
2016-05-04 09:30:00,73.15,73.28,72.65,73.15,35850
2016-05-05 09:30:00,73.38,73.82,73.05,73.73,43980
2016-05-06 09:30:00,73.04,73.11,72.66,72.91,25391
2016-05-09 09:30:00,73.56,74.17,73.49,74.1,29784
2016-05-10 09:30:00,74.06,74.63,74.06,74.26,30031
2016-05-11 09:30:00,74.26,74.68,73.78,73.92,26219
2016-05-12 09:30:00,73.35,74.06,73.35,73.9,37959
2016-05-13 09:30:00,73.82,74.01,73.14,73.63,37416
2016-05-16 09:30:00,73.34,73.8,73.16,73.56,73375
2016-05-17 09:30:00,73.58,73.91,73.23,73.32,47200
2016-05-18 09:30:00,71.59,71.73,70.75,71.06,88392
2016-05-19 09:30:00,70.77,71.56,70.25,70.64,74321
2016-05-20 09:30:00,71.57,71.89,71.52,71.73,124621
2016-05-23 09:30:00,71.57,71.61,71.16,71.25,52439
2016-05-24 09:30:00,71.57,72.04,71.57,71.88,35277
2016-05-25 09:30:00,72.62,73.1,72.48,72.8,48580
2016-05-26 09:30:00,73.81,73.81,73.01,73.31,33810
2016-05-27 09:30:00,73.55,73.81,73.55,73.71,21853
2016-05-31 09:30:00,74.22,74.22,73.66,73.81,39405
2016-06-01 09:30:00,73.65,73.96,73.6,73.73,45216
2016-06-02 09:30:00,73.47,73.73,73.18,73.7,40547
2016-06-03 09:30:00,73.96,73.99,73.63,73.7,56237
2016-06-06 09:30:00,73.66,73.91,73.34,73.88,50913
2016-06-07 09:30:00,74.59,74.83,74.45,74.7,27173
2016-06-08 09:30:00,74.75,75.07,74.68,74.96,29873
2016-06-09 09:30:00,74.46,74.84,74.22,74.62,78145
2016-06-10 09:30:00,74.17,74.17,73.65,73.73,23834
2016-06-13 09:30:00,73.6,73.91,73.32,73.73,31338
2016-06-14 09:30:00,72.63,73.17,72.63,73.14,57377
2016-06-15 09:30:00,73.37,73.69,73.33,73.69,27848
2016-06-16 09:30:00,73.28,73.65,73.06,73.06,23717
2016-06-17 09:30:00,74.1,74.46,73.84,74.46,100931
2016-06-20 09:30:00,75.06,75.34,74.83,75.1,34990
2016-06-21 09:30:00,75.0,75.0,74.57,74.89,40724
2016-06-22 09:30:00,75.01,75.2,74.95,75.04,26039
2016-06-23 09:30:00,75.9,76.17,75.56,75.82,26282
2016-06-24 09:30:00,73.73,74.46,73.73,74.33,90266
2016-06-27 09:30:00,73.7,73.72,72.93,73.09,44719
2016-06-28 09:30:00,73.6,74.19,73.34,73.93,114528
2016-06-29 09:30:00,75.33,75.63,75.14,75.51,35283
2016-06-30 09:30:00,76.44,76.5,76.0,76.28,58827
2016-07-01 09:30:00,77.43,77.83,77.22,77.69,87486
2016-07-05 09:30:00,78.14,78.27,77.71,77.73,40112
2016-07-06 09:30:00,77.91,79.73,77.6,78.37,202337
2016-07-07 09:30:00,79.32,79.71,79.16,79.25,37890
2016-07-08 09:30:00,79.76,79.85,79.28,79.67,71672
2016-07-11 09:30:00,80.87,81.19,80.7,80.97,38877
2016-07-12 09:30:00,80.81,81.25,80.57,80.7,56185
2016-07-13 09:30:00,80.93,80.93,80.18,80.22,51583
2016-07-14 09:30:00,80.13,80.29,79.98,80.13,44015
2016-07-15 09:30:00,79.78,79.78,78.97,79.07,94120
2016-07-18 09:30:00,78.85,78.85,78.29,78.34,65344
2016-07-19 09:30:00,76.67,76.94,75.52,76.35,231968
2016-07-20 09:30:00,76.5,76.89,76.26,76.78,64017
2016-07-21 09:30:00,76.67,76.68,76.25,76.27,35650
2016-07-22 09:30:00,75.66,76.09,75.46,75.98,42320
2016-07-25 09:30:00,76.45,76.82,76.28,76.72,33262
2016-07-26 09:30:00,76.81,77.48,76.81,77.48,48798
2016-07-27 09:30:00,77.57,77.84,77.41,77.84,40325
2016-07-28 09:30:00,77.73,78.19,77.42,77.51,48525
2016-07-29 09:30:00,78.43,78.66,77.98,78.11,45924
2016-08-01 09:30:00,78.29,78.3,77.53,77.89,43813
2016-08-02 09:30:00,78.05,78.22,77.72,77.76,40103
2016-08-03 09:30:00,77.02,77.17,76.48,76.91,37555
2016-08-04 09:30:00,75.93,77.57,75.93,77.16,47083
2016-08-05 09:30:00,77.61,78.2,77.51,78.14,41777
2016-08-08 09:30:00,78.33,78.5,78.05,78.23,151002
2016-08-09 09:30:00,77.58,77.84,77.28,77.47,43237
2016-08-10 09:30:00,77.4,77.61,77.15,77.15,26907
2016-08-11 09:30:00,77.94,78.5,77.94,78.03,39526
2016-08-12 09:30:00,78.12,78.12,77.65,77.85,23738
2016-08-15 09:30:00,77.81,78.17,77.78,78.17,19660
2016-08-16 09:30:00,78.73,78.73,78.0,78.11,38675
2016-08-17 09:30:00,78.07,78.24,77.98,78.07,19421
2016-08-18 09:30:00,78.5,78.68,78.41,78.49,20807
2016-08-19 09:30:00,78.99,79.35,78.79,79.06,65507
2016-08-22 09:30:00,79.37,79.6,79.0,79.0,28544
2016-08-23 09:30:00,78.93,79.22,78.85,79.07,47735
2016-08-24 09:30:00,79.71,79.76,79.52,79.57,29925
2016-08-25 09:30:00,79.78,80.03,79.68,79.84,23349
2016-08-26 09:30:00,79.85,80.15,79.6,80.11,40082
2016-08-29 09:30:00,79.27,79.72,79.22,79.7,23467
2016-08-30 09:30:00,80.58,80.62,80.42,80.48,26408
2016-08-31 09:30:00,79.29,79.29,78.89,78.97,33667
2016-09-01 09:30:00,78.97,79.16,78.72,78.89,26082
2016-09-02 09:30:00,79.77,79.77,79.08,79.45,29212
2016-09-06 09:30:00,79.22,79.48,78.87,78.87,60357
2016-09-07 09:30:00,77.99,78.04,77.73,77.75,32698
2016-09-08 09:30:00,77.35,77.35,76.92,77.2,26488
2016-09-09 09:30:00,76.39,76.41,75.92,76.0,42891
2016-09-12 09:30:00,74.39,74.86,74.13,74.85,80153
2016-09-13 09:30:00,75.53,75.95,75.4,75.4,89974
2016-09-14 09:30:00,75.1,75.33,74.94,75.26,31483
2016-09-15 09:30:00,74.4,74.72,74.26,74.56,50291
2016-09-16 09:30:00,74.5,74.5,74.06,74.24,140143
2016-09-19 09:30:00,75.17,76.3,74.83,76.3,53617
2016-09-20 09:30:00,76.51,76.87,76.35,76.7,52687
2016-09-21 09:30:00,76.31,76.81,76.31,76.77,28255
2016-09-22 09:30:00,77.38,77.9,77.34,77.47,60890
2016-09-23 09:30:00,77.87,77.99,77.51,77.51,55064
2016-09-26 09:30:00,75.65,75.92,75.53,75.9,67792
2016-09-27 09:30:00,76.08,76.52,76.08,76.49,22412
2016-09-28 09:30:00,77.42,77.88,77.28,77.8,36319
2016-09-29 09:30:00,77.64,77.93,77.64,77.74,15170
