open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,60.62,60.74,59.41,59.94,200312
2016-01-05 09:30:00,60.1,60.54,59.84,60.16,149908
2016-01-06 09:30:00,59.96,60.33,59.42,60.14,104141
2016-01-07 09:30:00,59.62,60.11,59.26,59.91,168633
2016-01-08 09:30:00,58.97,59.66,58.28,59.59,242869
2016-01-11 09:30:00,57.45,58.13,56.39,56.52,159444
2016-01-12 09:30:00,55.96,56.39,55.26,55.74,186129
2016-01-13 09:30:00,55.93,56.13,54.57,54.81,215141
2016-01-14 09:30:00,53.87,54.19,53.32,53.56,126217
2016-01-15 09:30:00,53.49,53.75,53.06,53.28,271946
2016-01-19 09:30:00,55.02,55.21,54.59,54.8,185339
2016-01-20 09:30:00,53.64,53.69,52.83,52.96,162090
2016-01-21 09:30:00,55.32,55.75,54.37,54.4,161143
2016-01-22 09:30:00,55.37,55.74,55.08,55.53,103353
2016-01-25 09:30:00,56.04,56.41,55.76,55.85,95435
2016-01-26 09:30:00,55.03,55.3,54.39,54.47,68166
2016-01-27 09:30:00,55.41,55.46,54.63,54.89,160349
2016-01-28 09:30:00,54.35,54.72,53.72,54.59,104254
2016-01-29 09:30:00,53.52,54.39,53.25,54.07,148260
2016-02-01 09:30:00,55.74,56.43,55.5,56.34,138073
2016-02-02 09:30:00,56.02,56.02,54.98,55.03,159005
2016-02-03 09:30:00,54.34,55.29,54.26,54.92,194445
2016-02-04 09:30:00,54.42,54.78,54.24,54.61,137549
2016-02-05 09:30:00,54.65,54.99,54.38,54.5,82762
2016-02-08 09:30:00,52.24,52.24,50.26,50.57,271227
2016-02-09 09:30:00,49.2,51.06,49.2,51.06,216584
2016-02-10 09:30:00,50.34,51.22,50.34,51.21,121499
2016-02-11 09:30:00,50.7,51.92,50.28,51.71,134768
2016-02-12 09:30:00,53.05,53.23,52.3,52.55,114788
2016-02-16 09:30:00,54.62,54.72,54.21,54.61,112747
2016-02-17 09:30:00,56.01,56.01,55.19,55.53,110442
2016-02-18 09:30:00,56.76,56.81,56.22,56.59,117154
2016-02-19 09:30:00,55.26,55.48,54.63,55.12,103441
2016-02-22 09:30:00,56.86,57.86,56.86,57.77,155122
2016-02-23 09:30:00,58.2,58.85,58.16,58.45,43910
2016-02-24 09:30:00,57.18,57.39,56.95,57.14,62939
2016-02-25 09:30:00,59.31,60.05,59.2,59.2,58063
2016-02-26 09:30:00,59.62,59.86,59.28,59.31,39804
2016-02-29 09:30:00,58.52,59.15,58.49,58.71,84213
2016-03-01 09:30:00,58.95,58.95,57.92,58.26,99429
2016-03-02 09:30:00,59.81,59.82,58.92,59.19,135025
2016-03-03 09:30:00,59.06,59.15,58.49,58.87,102130
2016-03-04 09:30:00,59.93,59.93,59.33,59.86,68015
2016-03-07 09:30:00,60.0,60.06,59.35,59.39,112268
2016-03-08 09:30:00,57.31,57.54,56.68,56.72,144842
2016-03-09 09:30:00,56.29,56.61,55.84,56.36,79845
2016-03-10 09:30:00,56.86,57.4,56.86,57.4,77588
2016-03-11 09:30:00,57.47,57.77,57.09,57.36,96131
2016-03-14 09:30:00,57.11,57.41,56.6,56.6,50826
2016-03-15 09:30:00,55.92,56.65,55.62,56.65,101181
2016-03-16 09:30:00,55.49,55.77,55.4,55.68,139795
2016-03-17 09:30:00,56.44,56.51,56.15,56.22,64949
2016-03-18 09:30:00,56.1,56.94,56.09,56.59,617163
2016-03-21 09:30:00,56.61,56.91,56.48,56.84,65588
2016-03-22 09:30:00,56.18,56.44,55.81,56.0,77866
2016-03-23 09:30:00,56.79,57.08,56.29,56.99,86949
2016-03-24 09:30:00,56.47,56.65,56.14,56.3,94552
2016-03-28 09:30:00,57.38,57.73,57.17,57.3,54270
2016-03-29 09:30:00,57.34,57.98,57.22,57.91,75811
2016-03-30 09:30:00,60.08,60.35,59.58,59.79,152388
2016-03-31 09:30:00,59.85,61.32,59.85,61.11,188996
2016-04-01 09:30:00,61.52,61.53,61.01,61.41,126476
2016-04-04 09:30:00,62.29,62.29,61.58,61.85,100593
2016-04-05 09:30:00,61.31,62.06,61.22,62.05,69662
2016-04-06 09:30:00,64.14,66.54,64.14,66.12,1027154
2016-04-07 09:30:00,67.56,69.22,67.36,68.99,464739
2016-04-08 09:30:00,68.54,68.77,68.07,68.5,121826
2016-04-11 09:30:00,69.52,70.34,69.39,70.24,193064
2016-04-12 09:30:00,68.99,69.24,68.21,68.54,186408
2016-04-13 09:30:00,68.61,69.46,68.59,69.25,164879
2016-04-14 09:30:00,72.22,72.61,71.96,72.36,205264
2016-04-15 09:30:00,71.86,72.46,71.56,71.77,176188
2016-04-18 09:30:00,72.27,72.77,72.19,72.39,111307
2016-04-19 09:30:00,73.86,73.91,73.08,73.14,193663
2016-04-20 09:30:00,73.6,73.65,72.92,73.08,926960
2016-04-21 09:30:00,72.2,72.31,70.67,70.74,167643
2016-04-22 09:30:00,70.81,70.93,70.53,70.62,231181
2016-04-25 09:30:00,70.56,70.84,69.94,69.97,231967
2016-04-26 09:30:00,69.98,70.48,69.8,70.22,181432
2016-04-27 09:30:00,70.08,72.41,69.8,71.83,407406
2016-04-28 09:30:00,71.28,71.37,70.81,71.01,106306
2016-04-29 09:30:00,69.26,69.67,68.55,68.55,97401
2016-05-02 09:30:00,69.29,69.49,68.82,69.25,167696
2016-05-03 09:30:00,69.14,69.62,69.08,69.21,145985
2016-05-04 09:30:00,69.05,69.6,69.05,69.6,140095
2016-05-05 09:30:00,69.46,69.58,68.55,68.65,161794
2016-05-06 09:30:00,68.75,69.31,68.37,68.57,87367
2016-05-09 09:30:00,69.18,69.53,68.74,69.13,132490
2016-05-10 09:30:00,69.52,70.56,69.52,70.53,108312
2016-05-11 09:30:00,70.63,70.88,70.36,70.52,68964
2016-05-12 09:30:00,70.83,71.34,70.67,71.12,112654
2016-05-13 09:30:00,70.79,71.63,70.75,71.17,103870
2016-05-16 09:30:00,70.64,71.37,70.56,70.68,61904
2016-05-17 09:30:00,70.62,70.85,70.18,70.48,98804
2016-05-18 09:30:00,70.63,71.1,70.16,71.03,146512
2016-05-19 09:30:00,70.41,70.69,69.49,70.31,61207
2016-05-20 09:30:00,71.4,72.09,71.01,72.09,199503
2016-05-23 09:30:00,71.44,72.07,71.1,71.23,59584
2016-05-24 09:30:00,71.88,72.53,71.86,72.29,123318
2016-05-25 09:30:00,73.69,73.75,72.83,72.89,74603
2016-05-26 09:30:00,72.75,73.18,72.53,72.89,59557
2016-05-27 09:30:00,72.68,73.2,72.65,72.94,30864
2016-05-31 09:30:00,73.77,74.11,73.16,73.16,49400
2016-06-01 09:30:00,73.7,73.8,73.47,73.71,78581
2016-06-02 09:30:00,73.99,74.36,73.75,74.11,48721
2016-06-03 09:30:00,74.74,74.94,72.29,72.47,308678
2016-06-06 09:30:00,72.9,73.23,72.75,73.14,76980
2016-06-07 09:30:00,73.62,73.85,73.2,73.36,73331
2016-06-08 09:30:00,73.24,73.36,72.85,73.0,93429
