open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,27.51,27.57,27.36,27.47,279905
2016-01-05 09:30:00,27.83,28.09,27.82,27.91,121962
2016-01-06 09:30:00,27.39,27.51,27.27,27.29,117135
2016-01-07 09:30:00,26.63,26.77,26.43,26.62,138976
2016-01-08 09:30:00,26.43,26.57,26.3,26.42,93101
2016-01-11 09:30:00,25.51,25.56,25.22,25.27,166377
2016-01-12 09:30:00,25.31,25.36,25.1,25.24,98409
2016-01-13 09:30:00,25.03,25.17,24.97,25.05,107454
2016-01-14 09:30:00,24.56,24.8,24.15,24.18,204614
2016-01-15 09:30:00,24.13,24.52,24.13,24.23,408641
2016-01-19 09:30:00,24.81,24.82,24.44,24.54,77337
2016-01-20 09:30:00,23.93,23.97,23.66,23.66,114956
2016-01-21 09:30:00,24.42,24.66,24.34,24.48,96738
2016-01-22 09:30:00,25.3,25.69,25.28,25.65,93476
2016-01-25 09:30:00,25.39,25.45,25.12,25.27,95283
2016-01-26 09:30:00,25.14,25.43,25.05,25.33,94725
2016-01-27 09:30:00,25.38,25.71,25.31,25.36,45304
2016-01-28 09:30:00,25.68,25.92,25.42,25.51,81007
2016-01-29 09:30:00,25.6,26.11,25.51,26.11,92861
2016-02-01 09:30:00,26.3,26.33,26.05,26.14,89455
2016-02-02 09:30:00,26.14,26.16,25.78,25.82,43384
2016-02-03 09:30:00,25.94,26.15,25.66,25.74,84122
2016-02-04 09:30:00,25.75,25.98,25.75,25.97,88214
2016-02-05 09:30:00,26.27,26.43,25.92,26.16,149141
2016-02-08 09:30:00,25.91,26.28,25.76,25.81,72268
2016-02-09 09:30:00,25.6,26.09,25.6,26.01,55898
2016-02-10 09:30:00,25.88,26.11,25.59,26.06,166520
2016-02-11 09:30:00,24.81,25.87,24.69,25.83,75412
2016-02-12 09:30:00,25.66,26.15,25.48,25.48,83962
2016-02-16 09:30:00,26.15,27.35,26.06,26.3,217226
2016-02-17 09:30:00,28.77,30.64,28.27,30.19,1678147
2016-02-18 09:30:00,30.25,30.27,28.98,29.06,763105
2016-02-19 09:30:00,30.51,30.74,30.31,30.51,335671
2016-02-22 09:30:00,30.46,30.7,30.28,30.52,173975
2016-02-23 09:30:00,30.58,30.82,30.41,30.7,189551
2016-02-24 09:30:00,30.67,30.67,29.87,30.0,97315
2016-02-25 09:30:00,30.5,30.69,30.09,30.29,129130
2016-02-26 09:30:00,30.52,30.53,30.27,30.42,159026
2016-02-29 09:30:00,30.38,30.61,30.22,30.33,124437
2016-03-01 09:30:00,30.76,31.54,30.64,31.47,416957
2016-03-02 09:30:00,31.12,31.38,30.82,30.82,95214
2016-03-03 09:30:00,30.5,30.76,30.42,30.58,151123
2016-03-04 09:30:00,30.76,31.02,30.56,30.79,91671
2016-03-07 09:30:00,30.59,30.71,30.49,30.52,63735
2016-03-08 09:30:00,30.32,30.34,30.0,30.03,64357
2016-03-09 09:30:00,29.88,29.93,29.61,29.72,94934
2016-03-10 09:30:00,29.79,29.85,29.64,29.71,145732
2016-03-11 09:30:00,30.56,30.56,30.31,30.43,86719
2016-03-14 09:30:00,30.31,30.44,30.17,30.2,100512
2016-03-15 09:30:00,30.05,30.07,29.8,29.9,98390
2016-03-16 09:30:00,30.07,30.23,29.8,30.03,102844
2016-03-17 09:30:00,30.37,30.44,30.08,30.39,89116
2016-03-18 09:30:00,30.56,30.64,30.49,30.54,319460
2016-03-21 09:30:00,30.56,30.87,30.45,30.74,99475
2016-03-22 09:30:00,30.75,30.87,30.65,30.72,68889
2016-03-23 09:30:00,30.74,30.82,30.5,30.7,59162
2016-03-24 09:30:00,30.22,30.22,29.7,29.75,82160
2016-03-28 09:30:00,30.13,30.2,30.03,30.2,61451
2016-03-29 09:30:00,30.17,30.2,29.77,30.11,35906
2016-03-30 09:30:00,30.63,30.78,30.5,30.73,30047
2016-03-31 09:30:00,30.85,30.93,30.64,30.64,63277
2016-04-01 09:30:00,30.84,30.84,30.13,30.24,131221
2016-04-04 09:30:00,30.71,30.71,30.45,30.61,68507
2016-04-05 09:30:00,30.86,30.94,30.76,30.88,171734
2016-04-06 09:30:00,30.85,30.87,30.42,30.45,71522
2016-04-07 09:30:00,30.69,31.03,30.64,30.96,64912
2016-04-08 09:30:00,30.84,31.01,30.76,30.95,47598
2016-04-11 09:30:00,30.68,31.18,30.56,31.12,82489
2016-04-12 09:30:00,30.96,31.32,30.87,31.13,104030
2016-04-13 09:30:00,31.59,32.27,31.42,32.16,293314
2016-04-14 09:30:00,32.64,32.66,32.33,32.54,66736
2016-04-15 09:30:00,32.33,32.5,32.22,32.25,165364
2016-04-18 09:30:00,32.42,32.64,32.25,32.61,83064
2016-04-19 09:30:00,32.7,32.85,32.6,32.85,66184
2016-04-20 09:30:00,32.84,32.97,32.69,32.97,67730
2016-04-21 09:30:00,33.21,33.31,32.99,33.01,96307
2016-04-22 09:30:00,32.71,33.08,32.71,32.93,93928
2016-04-25 09:30:00,32.84,32.9,32.61,32.71,60343
2016-04-26 09:30:00,32.69,32.69,32.44,32.61,94703
2016-04-27 09:30:00,33.15,33.79,32.84,33.74,335034
2016-04-28 09:30:00,33.76,34.14,33.38,33.99,117023
2016-04-29 09:30:00,33.25,33.33,32.83,32.84,69640
2016-05-02 09:30:00,33.09,33.17,32.82,32.82,67999
2016-05-03 09:30:00,32.85,33.04,32.41,32.45,72494
2016-05-04 09:30:00,32.29,32.55,31.98,32.44,105116
