open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,28.04,28.35,27.89,28.31,1101430
2016-01-05 09:30:00,28.67,28.77,28.3,28.45,1333645
2016-01-06 09:30:00,27.74,28.25,27.61,28.15,1721779
2016-01-07 09:30:00,27.15,27.66,27.05,27.4,1564351
2016-01-08 09:30:00,27.36,27.49,26.89,26.91,959904
2016-01-11 09:30:00,26.87,26.92,26.53,26.65,857423
2016-01-12 09:30:00,26.47,26.59,26.23,26.34,827238
2016-01-13 09:30:00,26.34,26.58,26.23,26.36,1059123
2016-01-14 09:30:00,25.4,25.4,24.63,24.67,1754585
2016-01-15 09:30:00,25.17,25.92,25.14,25.74,1782919
2016-01-19 09:30:00,25.59,25.67,25.05,25.4,1364246
2016-01-20 09:30:00,24.05,24.12,23.5,23.55,2272777
2016-01-21 09:30:00,23.37,23.78,23.3,23.62,1417877
2016-01-22 09:30:00,25.22,25.39,24.62,24.89,2303235
2016-01-25 09:30:00,24.96,25.13,24.38,24.96,2666077
2016-01-26 09:30:00,24.47,24.52,23.62,23.75,1790516
2016-01-27 09:30:00,23.97,24.2,23.71,24.04,1729997
2016-01-28 09:30:00,25.11,25.26,24.82,25.15,2486274
2016-01-29 09:30:00,25.28,25.71,25.26,25.64,1530128
2016-02-01 09:30:00,25.92,25.98,25.68,25.78,846307
2016-02-02 09:30:00,25.45,25.69,25.3,25.5,1075077
2016-02-03 09:30:00,25.48,25.67,25.27,25.32,1018786
2016-02-04 09:30:00,26.83,27.26,26.65,26.94,1715102
2016-02-05 09:30:00,26.42,26.57,26.15,26.51,1136725
2016-02-08 09:30:00,25.46,25.57,25.26,25.36,1309182
2016-02-09 09:30:00,25.14,25.58,25.13,25.34,1329268
2016-02-10 09:30:00,24.41,24.66,24.23,24.57,695734
2016-02-11 09:30:00,23.77,24.28,23.77,24.19,1102069
2016-02-12 09:30:00,24.18,24.56,24.03,24.07,1511740
2016-02-16 09:30:00,24.56,24.64,24.25,24.4,1144574
2016-02-17 09:30:00,25.05,25.28,24.91,25.19,1512760
2016-02-18 09:30:00,26.29,26.38,25.79,25.83,1431267
2016-02-19 09:30:00,25.91,26.05,25.71,25.85,1836233
2016-02-22 09:30:00,26.53,27.04,26.52,26.98,1677569
2016-02-23 09:30:00,26.87,26.99,26.76,26.84,1198394
2016-02-24 09:30:00,25.97,26.33,25.97,26.21,1297916
2016-02-25 09:30:00,26.82,27.05,26.54,26.6,664730
2016-02-26 09:30:00,27.45,27.47,27.11,27.27,1355956
2016-02-29 09:30:00,27.01,27.1,26.71,26.94,1347954
2016-03-01 09:30:00,27.13,27.32,26.94,27.24,849190
2016-03-02 09:30:00,27.3,27.51,27.12,27.14,939823
2016-03-03 09:30:00,28.03,28.19,27.79,28.18,1581264
2016-03-04 09:30:00,28.68,28.78,28.33,28.57,1211761
2016-03-07 09:30:00,28.89,29.34,28.84,28.98,2697938
2016-03-08 09:30:00,29.42,29.58,29.03,29.03,1601315
2016-03-09 09:30:00,29.21,29.22,28.58,28.72,895845
2016-03-10 09:30:00,28.82,29.01,28.53,28.91,1474353
2016-03-11 09:30:00,29.23,29.79,29.13,29.74,1729521
2016-03-14 09:30:00,29.6,29.87,29.5,29.73,1268566
