open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,61.2,61.59,60.74,61.14,557824
2016-01-05 09:30:00,62.01,62.35,61.62,62.12,262502
2016-01-06 09:30:00,61.01,61.59,60.94,61.3,477668
2016-01-07 09:30:00,60.69,60.97,60.08,60.82,302474
2016-01-08 09:30:00,60.28,61.07,60.04,60.96,331303
2016-01-11 09:30:00,63.94,64.38,63.01,63.3,1937477
2016-01-12 09:30:00,63.82,64.29,63.27,64.06,389346
2016-01-13 09:30:00,61.49,63.27,61.49,63.07,463565
2016-01-14 09:30:00,60.61,61.14,60.13,60.21,472939
2016-01-15 09:30:00,59.34,60.9,59.32,59.77,532153
2016-01-19 09:30:00,60.5,60.93,59.43,60.15,297306
2016-01-20 09:30:00,58.17,58.79,56.96,57.54,615258
2016-01-21 09:30:00,58.69,59.58,58.1,59.37,373428
2016-01-22 09:30:00,60.39,62.28,60.3,62.24,895371
2016-01-25 09:30:00,61.27,61.92,60.91,61.32,155958
2016-01-26 09:30:00,61.23,62.05,60.92,60.96,245199
2016-01-27 09:30:00,62.36,63.55,62.35,63.05,331085
2016-01-28 09:30:00,64.09,65.58,63.87,64.79,706326
2016-01-29 09:30:00,63.35,64.91,63.12,64.35,605259
2016-02-01 09:30:00,64.7,65.62,64.45,65.12,462701
2016-02-02 09:30:00,65.65,65.93,65.1,65.59,171765
2016-02-03 09:30:00,67.58,67.74,66.04,66.1,309476
2016-02-04 09:30:00,65.4,65.56,64.57,65.52,226213
2016-02-05 09:30:00,65.33,66.33,65.08,65.95,544165
2016-02-08 09:30:00,63.68,63.75,62.05,62.34,390258
2016-02-09 09:30:00,61.43,62.57,61.27,61.94,246446
2016-02-10 09:30:00,62.2,63.35,62.2,63.35,220394
2016-02-11 09:30:00,61.59,62.68,61.32,62.17,220861
2016-02-12 09:30:00,60.09,60.55,59.84,60.12,337549
2016-02-16 09:30:00,59.68,60.71,59.5,60.49,633177
2016-02-17 09:30:00,61.67,62.41,61.12,62.01,382324
2016-02-18 09:30:00,62.79,63.11,62.33,63.1,244643
2016-02-19 09:30:00,62.87,62.87,61.75,61.75,357569
2016-02-22 09:30:00,63.43,64.88,63.35,64.86,211780
2016-02-23 09:30:00,64.76,65.59,64.73,64.73,307178
2016-02-24 09:30:00,64.61,64.95,64.01,64.18,212082
2016-02-25 09:30:00,65.61,65.97,65.25,65.73,294610
2016-02-26 09:30:00,65.4,66.08,65.1,65.99,270518
2016-02-29 09:30:00,65.47,65.72,64.88,64.89,227083
2016-03-01 09:30:00,64.91,65.24,64.73,65.13,326348
2016-03-02 09:30:00,65.71,66.13,65.71,65.76,201407
2016-03-03 09:30:00,66.36,67.23,66.25,67.08,304858
2016-03-04 09:30:00,67.97,68.2,67.66,67.77,242294
2016-03-07 09:30:00,67.55,67.86,67.09,67.19,286425
2016-03-08 09:30:00,67.31,67.88,67.19,67.68,296391
