open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,103.19,103.79,102.67,103.53,916476
2016-01-05 09:30:00,104.13,104.64,103.96,104.01,541516
2016-01-06 09:30:00,102.31,102.91,101.96,102.51,1052380
2016-01-07 09:30:00,100.67,101.1,100.29,100.77,1413082
2016-01-08 09:30:00,100.28,100.35,99.5,100.14,1006194
2016-01-11 09:30:00,99.03,99.76,98.89,99.39,998007
2016-01-12 09:30:00,100.55,102.15,100.41,101.32,1130866
2016-01-13 09:30:00,101.13,101.13,99.93,100.09,734552
2016-01-14 09:30:00,96.19,96.37,93.89,94.24,1723115
2016-01-15 09:30:00,92.89,94.16,92.08,93.51,2093198
2016-01-19 09:30:00,95.6,96.67,95.52,95.6,1046431
2016-01-20 09:30:00,93.5,94.11,92.55,92.78,1083105
2016-01-21 09:30:00,93.09,95.1,92.9,94.74,1704702
2016-01-22 09:30:00,96.47,98.87,96.42,98.37,1419358
2016-01-25 09:30:00,97.85,98.22,97.18,97.64,738812
2016-01-26 09:30:00,96.54,96.91,95.68,95.88,711009
2016-01-27 09:30:00,97.15,97.77,97.0,97.12,669299
2016-01-28 09:30:00,96.73,97.24,96.25,97.19,530382
2016-01-29 09:30:00,97.86,98.37,97.35,98.2,645799
2016-02-01 09:30:00,99.07,99.56,98.34,99.47,582469
2016-02-02 09:30:00,99.46,100.07,99.37,99.54,596862
2016-02-03 09:30:00,99.95,100.06,98.61,98.7,711813
2016-02-04 09:30:00,98.07,98.26,95.86,95.91,843893
2016-02-05 09:30:00,95.88,95.96,95.09,95.24,622377
2016-02-08 09:30:00,91.15,91.97,89.08,89.41,1667261
2016-02-09 09:30:00,87.99,91.44,87.78,90.98,1440342
2016-02-10 09:30:00,90.81,91.41,90.59,91.32,748148
2016-02-11 09:30:00,89.68,90.42,89.57,90.12,768118
2016-02-12 09:30:00,91.11,91.11,90.15,90.31,562085
2016-02-16 09:30:00,93.68,95.07,93.68,93.89,1302513
2016-02-17 09:30:00,95.53,96.28,95.33,95.96,864225
2016-02-18 09:30:00,95.91,95.92,94.82,95.17,582757
2016-02-19 09:30:00,95.03,95.52,94.18,94.69,1202805
2016-02-22 09:30:00,97.55,98.53,97.42,98.36,1020389
2016-02-23 09:30:00,100.72,100.87,99.45,100.19,3096305
2016-02-24 09:30:00,98.38,99.47,97.85,98.94,1176315
2016-02-25 09:30:00,99.74,100.24,99.22,99.22,760180
2016-02-26 09:30:00,101.19,101.32,100.22,100.22,766065
2016-02-29 09:30:00,100.14,100.71,99.62,100.2,487388
