open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,103.76,103.76,101.81,102.68,28590
2016-01-05 09:30:00,103.56,105.17,102.84,104.74,22054
2016-01-06 09:30:00,104.52,105.52,103.85,105.31,30071
2016-01-07 09:30:00,104.14,104.75,104.02,104.23,21234
2016-01-08 09:30:00,105.53,107.66,104.74,107.51,42132
2016-01-11 09:30:00,106.16,107.0,104.99,105.28,16259
2016-01-12 09:30:00,105.76,106.82,105.69,106.58,15092
2016-01-13 09:30:00,107.03,107.87,106.27,106.27,27000
2016-01-14 09:30:00,102.28,102.84,100.29,100.42,16319
2016-01-15 09:30:00,101.54,103.65,101.54,102.63,36129
2016-01-19 09:30:00,103.64,103.72,102.21,102.53,25081
2016-01-20 09:30:00,100.5,100.58,99.24,99.51,32350
2016-01-21 09:30:00,101.32,102.12,100.14,100.91,23298
2016-01-22 09:30:00,101.76,102.64,101.76,101.78,17352
2016-01-25 09:30:00,101.86,102.37,100.94,101.15,15815
2016-01-26 09:30:00,101.59,102.56,101.59,101.95,8995
2016-01-27 09:30:00,102.35,103.4,101.01,101.54,59298
2016-01-28 09:30:00,102.11,102.57,100.83,101.31,23276
2016-01-29 09:30:00,102.09,103.81,101.7,103.56,12364
2016-02-01 09:30:00,105.16,105.78,104.06,104.21,20376
2016-02-02 09:30:00,104.33,104.8,103.54,103.96,30748
2016-02-03 09:30:00,104.55,104.84,103.53,103.74,14746
2016-02-04 09:30:00,104.25,105.51,103.37,105.32,26691
2016-02-05 09:30:00,104.4,104.91,103.78,104.13,20213
2016-02-08 09:30:00,104.84,104.99,103.38,103.91,48964
2016-02-09 09:30:00,102.29,104.17,102.05,103.78,25640
2016-02-10 09:30:00,104.74,107.12,104.33,107.09,25408
2016-02-11 09:30:00,104.13,106.78,104.13,106.33,44767
2016-02-12 09:30:00,107.33,108.36,106.69,107.49,31562
2016-02-16 09:30:00,110.11,110.41,108.8,108.8,37514
2016-02-17 09:30:00,111.07,112.28,110.21,111.36,41139
2016-02-18 09:30:00,109.6,109.6,106.75,107.66,85741
2016-02-19 09:30:00,109.46,110.32,108.53,108.66,38650
2016-02-22 09:30:00,109.7,112.09,109.63,111.36,54603
2016-02-23 09:30:00,111.13,112.69,111.13,111.35,38031
2016-02-24 09:30:00,109.27,110.08,108.56,109.13,28499
2016-02-25 09:30:00,110.32,111.19,110.32,110.45,17609
2016-02-26 09:30:00,112.15,112.28,111.46,111.54,6876
2016-02-29 09:30:00,111.05,111.5,110.33,110.48,19183
2016-03-01 09:30:00,109.98,110.11,109.14,109.34,19094
2016-03-02 09:30:00,110.38,110.82,110.14,110.16,9484
2016-03-03 09:30:00,109.46,110.07,109.38,109.56,13121
2016-03-04 09:30:00,109.68,110.93,109.58,110.08,47400
2016-03-07 09:30:00,110.86,111.08,110.38,110.66,16818
2016-03-08 09:30:00,109.94,109.94,109.02,109.02,6340
2016-03-09 09:30:00,108.87,109.68,108.51,109.48,17810
2016-03-10 09:30:00,110.08,110.35,109.58,110.34,9635
2016-03-11 09:30:00,110.82,111.85,110.32,111.84,10898
2016-03-14 09:30:00,110.43,111.02,109.39,109.62,54478
2016-03-15 09:30:00,110.19,110.61,109.91,110.37,10569
2016-03-16 09:30:00,111.95,111.95,111.06,111.61,4718
2016-03-17 09:30:00,112.88,113.14,112.5,112.81,8263
2016-03-18 09:30:00,114.25,116.19,114.25,115.39,71487
2016-03-21 09:30:00,114.95,116.02,114.39,115.42,8112
2016-03-22 09:30:00,114.86,115.16,114.23,114.98,18441
2016-03-23 09:30:00,114.09,115.33,114.09,114.6,8132
2016-03-24 09:30:00,114.72,115.1,113.52,113.77,20946
2016-03-28 09:30:00,115.26,115.26,114.21,114.44,9557
2016-03-29 09:30:00,113.94,114.84,113.77,114.69,9086
2016-03-30 09:30:00,115.78,117.27,115.19,116.49,24862
2016-03-31 09:30:00,115.61,116.63,114.79,114.98,12002
2016-04-01 09:30:00,112.94,113.89,112.94,113.56,27442
2016-04-04 09:30:00,114.59,114.69,113.69,114.66,18251
2016-04-05 09:30:00,114.03,115.25,114.03,114.55,6641
2016-04-06 09:30:00,114.26,115.18,114.14,114.38,26187
2016-04-07 09:30:00,116.45,116.94,115.86,115.89,26625
2016-04-08 09:30:00,116.84,117.09,116.32,117.0,7214
2016-04-11 09:30:00,114.45,116.7,114.14,116.68,45102
2016-04-12 09:30:00,116.44,117.3,115.16,117.04,14410
2016-04-13 09:30:00,118.9,119.05,118.38,118.56,19480
2016-04-14 09:30:00,119.45,119.45,118.26,118.26,5395
2016-04-15 09:30:00,119.34,119.34,118.4,119.09,16261
2016-04-18 09:30:00,118.35,119.61,118.35,118.54,10734
2016-04-19 09:30:00,120.23,120.61,119.57,120.53,36795
2016-04-20 09:30:00,120.35,120.35,119.16,119.6,9957
2016-04-21 09:30:00,119.9,119.9,119.01,119.49,9779
2016-04-22 09:30:00,119.5,120.53,119.5,119.95,17124
2016-04-25 09:30:00,119.59,120.46,119.29,119.29,7100
2016-04-26 09:30:00,119.64,120.72,119.45,120.69,7038
2016-04-27 09:30:00,120.49,121.44,119.57,120.65,8798
2016-04-28 09:30:00,121.69,121.8,120.75,121.2,4222
2016-04-29 09:30:00,120.57,121.25,120.09,120.35,39339
2016-05-02 09:30:00,120.8,121.38,120.45,121.16,8828
2016-05-03 09:30:00,120.69,121.3,120.35,120.81,40210
2016-05-04 09:30:00,120.75,121.25,120.36,121.05,38393
2016-05-05 09:30:00,121.35,127.86,121.02,123.17,47934
2016-05-06 09:30:00,126.67,130.71,126.39,129.29,83497
2016-05-09 09:30:00,128.79,128.79,127.17,128.04,36296
2016-05-10 09:30:00,129.39,130.71,128.87,130.71,66275
2016-05-11 09:30:00,130.44,131.18,129.42,129.72,42517
2016-05-12 09:30:00,128.5,129.03,127.65,128.46,48287
2016-05-13 09:30:00,127.9,128.5,127.19,127.6,34083
2016-05-16 09:30:00,127.68,129.46,126.93,128.62,39158
2016-05-17 09:30:00,128.4,129.0,128.25,128.51,37566
2016-05-18 09:30:00,127.92,128.95,127.31,128.68,22402
2016-05-19 09:30:00,128.67,128.83,127.52,127.7,30520
2016-05-20 09:30:00,128.79,129.24,128.03,129.1,39327
2016-05-23 09:30:00,129.13,129.13,127.85,128.22,19085
2016-05-24 09:30:00,127.99,127.99,123.82,124.54,71704
2016-05-25 09:30:00,126.73,127.46,126.53,127.06,30402
2016-05-26 09:30:00,127.32,128.38,127.32,128.01,27088
2016-05-27 09:30:00,128.71,129.15,128.33,128.64,40323
2016-05-31 09:30:00,129.71,130.02,128.37,128.74,6242
2016-06-01 09:30:00,127.79,129.43,127.79,129.15,29754
2016-06-02 09:30:00,130.86,131.24,130.49,130.73,22047
2016-06-03 09:30:00,130.99,131.26,130.82,131.24,19234
2016-06-06 09:30:00,132.0,132.59,131.5,132.54,24853
2016-06-07 09:30:00,132.77,133.38,132.42,132.45,33068
2016-06-08 09:30:00,132.21,133.69,132.21,133.67,17565
2016-06-09 09:30:00,135.9,136.63,135.31,136.47,29223
2016-06-10 09:30:00,136.35,137.09,136.34,136.91,32593
2016-06-13 09:30:00,135.75,135.88,135.02,135.19,29460
2016-06-14 09:30:00,133.27,133.53,132.74,133.12,20442
2016-06-15 09:30:00,133.76,133.76,132.67,133.43,20050
2016-06-16 09:30:00,132.88,133.74,132.6,133.09,30634
2016-06-17 09:30:00,133.74,133.84,132.77,133.39,94041
2016-06-20 09:30:00,135.0,135.62,134.82,135.1,16360
2016-06-21 09:30:00,134.88,135.29,134.18,135.29,18271
2016-06-22 09:30:00,135.47,135.76,135.29,135.49,16205
2016-06-23 09:30:00,136.64,136.8,135.52,135.86,10584
2016-06-24 09:30:00,132.26,134.05,132.04,134.05,47379
2016-06-27 09:30:00,133.79,134.11,132.11,132.19,26789
2016-06-28 09:30:00,133.55,133.55,132.32,133.08,29643
2016-06-29 09:30:00,135.43,136.4,135.29,135.75,31151
2016-06-30 09:30:00,137.77,138.17,137.46,138.04,18907
2016-07-01 09:30:00,140.96,142.82,140.65,142.12,28947
2016-07-05 09:30:00,140.73,140.93,139.74,140.39,14244
2016-07-06 09:30:00,142.57,142.87,141.74,142.52,47076
2016-07-07 09:30:00,144.14,144.4,143.55,144.2,19390
2016-07-08 09:30:00,143.69,143.82,143.32,143.43,22174
2016-07-11 09:30:00,144.68,145.43,144.56,144.62,16509
