open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,38.38,38.5099,37.75,38.0,161963
2016-01-05 09:30:00,37.83,38.08,37.8,38.01,91624
2016-01-06 09:30:00,37.5,38.01,37.26,38.0,166466
2016-01-07 09:30:00,37.87,38.0,37.46,37.49,150682
2016-01-08 09:30:00,37.62,37.77,37.39,37.7,124591
2016-01-11 09:30:00,36.6,36.805,36.14,36.16,118132
2016-01-12 09:30:00,36.25,36.5075,36.09,36.29,123597
2016-01-13 09:30:00,36.73,37.21,36.5,36.95,160804
2016-01-14 09:30:00,35.23,35.32,34.66,34.71,255692
2016-01-15 09:30:00,34.46,34.83,34.35,34.45,168946
2016-01-19 09:30:00,35.09,35.42,34.77,35.02,127106
2016-01-20 09:30:00,33.98,34.26,33.85,33.94,156993
2016-01-21 09:30:00,34.82,34.82,34.29,34.42,86529
2016-01-22 09:30:00,34.44,34.92,34.0,34.92,147588
2016-01-25 09:30:00,35.03,35.61,34.56,35.61,237728
2016-01-26 09:30:00,35.9,36.02,35.55,35.55,150030
2016-01-27 09:30:00,36.25,36.37,36.06,36.15,150527
2016-01-28 09:30:00,34.15,34.24,32.86,33.35,1394734
2016-01-29 09:30:00,33.2,34.01,33.02,33.99,262917
2016-02-01 09:30:00,33.92,34.93,33.85,34.71,472656
2016-02-02 09:30:00,35.15,35.62,35.15,35.3,353008
2016-02-03 09:30:00,35.14,35.485,34.87,34.88,284963
2016-02-04 09:30:00,35.16,35.44,34.85,35.43,220948
2016-02-05 09:30:00,35.02,35.43,34.97,35.01,117205
2016-02-08 09:30:00,32.95,32.95,32.44,32.77,186782
2016-02-09 09:30:00,32.43,33.36,32.12,33.31,229423
2016-02-10 09:30:00,33.21,33.58,32.316,33.4,167498
2016-02-11 09:30:00,32.46,32.915,32.175,32.696,258928
2016-02-12 09:30:00,33.0,33.03,32.08,32.32,186089
2016-02-16 09:30:00,33.1,33.45,32.62,33.25,110743
2016-02-17 09:30:00,34.07,34.49,33.84,34.23,150865
2016-02-18 09:30:00,34.46,34.98,34.3,34.44,181148
2016-02-19 09:30:00,34.43,34.7972,34.29,34.49,215891
2016-02-22 09:30:00,34.73,34.88,34.58,34.84,129666
2016-02-23 09:30:00,34.35,34.57,34.31,34.47,158030
2016-02-24 09:30:00,34.16,34.51,34.07,34.47,124195
2016-02-25 09:30:00,34.77,35.07,34.77,34.85,158467
2016-02-26 09:30:00,35.36,35.46,35.21,35.24,88505
2016-02-29 09:30:00,35.0,35.23,34.86,34.95,80472
2016-03-01 09:30:00,34.79,34.9,34.57,34.89,166136
2016-03-02 09:30:00,35.56,35.56,35.3,35.47,124578
2016-03-03 09:30:00,35.95,36.0,35.6501,35.95,88981
2016-03-04 09:30:00,35.64,35.76,34.84,34.88,486739
2016-03-07 09:30:00,34.34,34.68,34.12,34.48,197885
2016-03-08 09:30:00,34.72,34.93,34.72,34.78,104266
2016-03-09 09:30:00,34.79,34.94,34.5,34.92,122036
2016-03-10 09:30:00,34.72,34.99,34.63,34.8,117834
2016-03-11 09:30:00,34.76,34.98,34.7,34.935,184581
2016-03-14 09:30:00,34.95,35.28,34.79,35.12,100765
2016-03-15 09:30:00,34.99,35.25,34.75,34.9,154150
2016-03-16 09:30:00,34.28,34.51,34.18,34.33,128827
2016-03-17 09:30:00,34.39,34.49,34.15,34.2299,109197
2016-03-18 09:30:00,33.76,34.03,33.75,33.99,787172
2016-03-21 09:30:00,34.37,34.74,34.37,34.73,129988
2016-03-22 09:30:00,34.4,34.67,34.3,34.45,106110
2016-03-23 09:30:00,34.8,34.9,34.44,34.455,428926
2016-03-24 09:30:00,33.8,34.18,33.69,34.17,136480
2016-03-28 09:30:00,34.75,35.09,34.07,34.32,1132812
2016-03-29 09:30:00,34.66,34.96,34.584,34.905,336333
2016-03-30 09:30:00,34.84,34.92,34.49,34.5,973245
2016-03-31 09:30:00,34.41,34.52,34.35,34.5,240242
2016-04-01 09:30:00,34.4,34.56,34.34,34.53,375790
2016-04-04 09:30:00,34.54,35.08,34.52,34.94,220495
2016-04-05 09:30:00,35.15,35.22,34.81,35.0675,185581
2016-04-06 09:30:00,34.71,35.02,34.7,34.78,133251
2016-04-07 09:30:00,35.52,35.71,35.0,35.57,99329
2016-04-08 09:30:00,35.42,35.54,35.25,35.4,75645
2016-04-11 09:30:00,35.5,35.59,35.265,35.46,112530
2016-04-12 09:30:00,35.31,35.31,34.91,34.94,88627
2016-04-13 09:30:00,35.45,35.49,35.23,35.31,196374
2016-04-14 09:30:00,36.06,36.29,35.84,36.04,206561
2016-04-15 09:30:00,36.18,36.27,35.95,36.03,223295
2016-04-18 09:30:00,36.02,36.54,36.0,36.45,142289
2016-04-19 09:30:00,36.89,36.93,36.47,36.7,177778
2016-04-20 09:30:00,36.64,36.76,36.45,36.72,113096
2016-04-21 09:30:00,37.53,37.78,37.25,37.69,210596
2016-04-22 09:30:00,37.5,37.63,37.385,37.495,130589
2016-04-25 09:30:00,37.42,37.75,37.3283,37.63,199751
2016-04-26 09:30:00,37.64,38.0,37.49,37.76,180868
2016-04-27 09:30:00,37.46,37.99,37.4301,37.72,186644
2016-04-28 09:30:00,36.0,36.25,33.87,34.35,1705522
2016-04-29 09:30:00,33.53,33.86,33.201,33.24,634396
2016-05-02 09:30:00,33.7,33.93,33.32,33.69,376438
2016-05-03 09:30:00,33.79,34.0,33.57,33.63,264600
2016-05-04 09:30:00,34.13,34.28,34.02,34.2,220964
2016-05-05 09:30:00,34.0,34.04,33.58,33.62,177419
2016-05-06 09:30:00,33.62,34.17,33.52,33.8,157137
2016-05-09 09:30:00,33.68,34.02,33.68,33.895,401699
2016-05-10 09:30:00,34.15,34.43,33.89,33.95,208276
2016-05-11 09:30:00,34.43,34.73,34.35,34.63,97558
2016-05-12 09:30:00,34.21,34.4,34.02,34.09,105681
2016-05-13 09:30:00,33.82,34.25,33.76,34.0701,144911
2016-05-16 09:30:00,33.8,34.21,33.71,33.91,103349
2016-05-17 09:30:00,33.89,34.27,33.865,34.04,166257
2016-05-18 09:30:00,33.39,33.94,33.39,33.43,436579
2016-05-19 09:30:00,33.28,33.49,33.13,33.13,213474
2016-05-20 09:30:00,33.32,33.75,33.32,33.48,342577
2016-05-23 09:30:00,33.48,33.54,33.18,33.32,227434
2016-05-24 09:30:00,33.21,33.438,33.0,33.33,147563
2016-05-25 09:30:00,33.57,33.75,33.48,33.55,321913
2016-05-26 09:30:00,33.59,33.78,33.46,33.67,234574
2016-05-27 09:30:00,33.85,34.29,33.76,34.25,162856
2016-05-31 09:30:00,34.54,34.6,33.97,34.41,324934
2016-06-01 09:30:00,34.27,34.385,34.09,34.37,181950
2016-06-02 09:30:00,34.73,35.05,34.57,34.93,254266
2016-06-03 09:30:00,34.71,34.79,34.24,34.25,228658
2016-06-06 09:30:00,34.45,34.57,34.25,34.37,213620
2016-06-07 09:30:00,34.4,34.84,34.33,34.385,72687
2016-06-08 09:30:00,34.24,34.525,34.17,34.25,300413
2016-06-09 09:30:00,34.31,34.57,34.31,34.55,595192
2016-06-10 09:30:00,34.91,34.91,34.49,34.6,242476
2016-06-13 09:30:00,34.07,34.25,34.0,34.14,194651
2016-06-14 09:30:00,33.36,33.37,33.09,33.235,172767
2016-06-15 09:30:00,33.13,33.49,33.0,33.2,195243
2016-06-16 09:30:00,32.95,32.96,32.73,32.82,137402
2016-06-17 09:30:00,33.58,33.8,33.42,33.71,491533
2016-06-20 09:30:00,34.61,34.77,33.98,34.01,417559
2016-06-21 09:30:00,34.23,34.4,34.19,34.34,213802
2016-06-22 09:30:00,33.89,34.22,33.87,34.155,192464
2016-06-23 09:30:00,34.42,34.715,34.17,34.715,480398
2016-06-24 09:30:00,34.31,34.8,34.1,34.55,487867
2016-06-27 09:30:00,33.87,33.95,33.33,33.34,153953
2016-06-28 09:30:00,33.01,33.42,32.99,33.39,301466
2016-06-29 09:30:00,33.69,33.89,33.37,33.665,312748
2016-06-30 09:30:00,34.04,34.09,33.82,33.99,131982
2016-07-01 09:30:00,34.51,34.86,33.6701,34.85,209052
2016-07-05 09:30:00,34.76,34.92,34.301,34.55,322269
2016-07-06 09:30:00,34.38,34.47,34.23,34.47,118088
2016-07-07 09:30:00,34.7,35.365,34.605,35.34,212337
2016-07-08 09:30:00,35.63,35.76,35.52,35.72,127868
2016-07-11 09:30:00,36.1,36.19,35.92,35.97,152606
2016-07-12 09:30:00,35.64,35.915,35.49,35.55,189157
2016-07-13 09:30:00,35.91,36.08,35.69,35.72,219358
2016-07-14 09:30:00,36.06,36.34,36.055,36.3,255591
