open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,79.14,79.59,78.71,79.45,418687
2016-01-05 09:30:00,79.99,80.58,79.99,80.19,224782
2016-01-06 09:30:00,79.6,79.73,79.15,79.57,289930
2016-01-07 09:30:00,78.36,78.56,77.83,78.36,375097
2016-01-08 09:30:00,77.87,78.2,77.68,78.12,438106
2016-01-11 09:30:00,77.16,77.48,76.6,76.8,295183
2016-01-12 09:30:00,77.33,77.62,77.18,77.21,337293
2016-01-13 09:30:00,77.74,77.86,77.01,77.16,292123
2016-01-14 09:30:00,75.86,76.04,75.22,75.44,372788
2016-01-15 09:30:00,75.11,75.92,74.74,75.53,982565
2016-01-19 09:30:00,76.7,76.8,76.03,76.16,315478
2016-01-20 09:30:00,74.42,74.77,74.05,74.47,631785
2016-01-21 09:30:00,75.46,75.74,74.73,74.75,326305
2016-01-22 09:30:00,76.47,76.79,76.27,76.45,286749
2016-01-25 09:30:00,76.05,76.16,75.33,75.46,239172
2016-01-26 09:30:00,75.4,76.13,75.12,75.86,352547
2016-01-27 09:30:00,76.2,76.56,75.67,75.78,624583
2016-01-28 09:30:00,76.35,76.51,75.88,76.13,269299
2016-01-29 09:30:00,78.71,80.61,77.84,80.07,1290258
2016-02-01 09:30:00,79.65,80.26,78.9,78.91,483656
2016-02-02 09:30:00,79.34,79.34,78.54,78.68,405894
2016-02-03 09:30:00,79.13,79.49,78.67,78.89,275826
2016-02-04 09:30:00,79.25,80.21,79.2,80.13,402510
2016-02-05 09:30:00,80.01,80.09,79.38,79.49,379410
2016-02-08 09:30:00,78.71,79.2,78.42,78.68,427454
2016-02-09 09:30:00,78.12,78.96,78.12,78.77,274750
2016-02-10 09:30:00,80.38,81.16,80.28,80.97,416125
2016-02-11 09:30:00,78.25,79.5,78.25,79.26,405444
2016-02-12 09:30:00,80.02,80.2,79.42,79.71,357505
2016-02-16 09:30:00,81.42,82.16,81.31,81.62,586548
2016-02-17 09:30:00,82.14,82.89,82.04,82.88,698686
2016-02-18 09:30:00,82.56,83.3,82.4,83.16,451189
2016-02-19 09:30:00,82.72,82.88,82.14,82.49,641906
2016-02-22 09:30:00,84.17,85.07,84.16,84.79,602145
2016-02-23 09:30:00,81.76,82.93,81.52,82.04,1198583
2016-02-24 09:30:00,80.15,80.34,79.44,79.49,682333
2016-02-25 09:30:00,81.22,81.72,80.83,81.07,482997
2016-02-26 09:30:00,81.59,81.93,80.51,81.53,1150727
2016-02-29 09:30:00,80.41,81.05,80.39,80.72,426396
2016-03-01 09:30:00,81.21,82.11,80.97,81.09,1467312
2016-03-02 09:30:00,82.93,84.39,82.6,83.84,835112
2016-03-03 09:30:00,83.56,84.51,83.52,83.93,500554
2016-03-04 09:30:00,84.53,85.02,84.43,84.55,280284
2016-03-07 09:30:00,84.51,84.84,84.28,84.34,210499
2016-03-08 09:30:00,83.48,83.89,83.16,83.65,300856
2016-03-09 09:30:00,84.48,84.75,84.46,84.7,278291
2016-03-10 09:30:00,85.48,85.7,85.21,85.44,308358
2016-03-11 09:30:00,85.91,86.06,85.68,85.99,250481
2016-03-14 09:30:00,85.12,85.71,85.08,85.46,282803
2016-03-15 09:30:00,84.41,84.93,84.32,84.64,262361
2016-03-16 09:30:00,85.11,85.32,84.81,84.97,162929
2016-03-17 09:30:00,85.96,85.97,85.11,85.3,373947
2016-03-18 09:30:00,87.47,87.78,86.99,87.58,1706720
2016-03-21 09:30:00,87.58,87.79,87.51,87.68,219557
2016-03-22 09:30:00,87.77,88.03,87.65,87.97,297480
2016-03-23 09:30:00,88.16,88.31,87.98,88.3,240991
2016-03-24 09:30:00,87.2,87.73,87.19,87.65,154153
2016-03-28 09:30:00,87.41,87.63,87.18,87.21,211756
2016-03-29 09:30:00,87.16,87.45,86.56,86.65,250527
2016-03-30 09:30:00,88.59,88.59,88.17,88.21,315081
2016-03-31 09:30:00,87.87,87.92,87.11,87.44,171743
2016-04-01 09:30:00,87.23,87.6,86.87,86.96,166029
2016-04-04 09:30:00,88.9,88.9,88.2,88.66,184616
2016-04-05 09:30:00,87.58,87.94,87.54,87.82,202697
2016-04-06 09:30:00,87.64,87.98,87.33,87.46,225200
2016-04-07 09:30:00,88.23,88.27,87.5,87.79,241704
2016-04-08 09:30:00,87.85,88.56,87.8,88.55,137818
2016-04-11 09:30:00,88.11,88.38,87.89,88.17,127894
