open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,6.651,6.68,6.611,6.662,1297537
2016-01-05 09:30:00,6.702,6.775,6.664,6.664,849996
2016-01-06 09:30:00,6.495,6.566,6.446,6.531,1978031
2016-01-07 09:30:00,6.442,6.469,6.393,6.393,1497115
2016-01-08 09:30:00,6.118,6.229,6.118,6.169,1017446
2016-01-11 09:30:00,5.967,6.091,5.949,6.026,1413338
2016-01-12 09:30:00,5.927,5.962,5.887,5.909,1515537
2016-01-13 09:30:00,5.918,5.931,5.824,5.855,1063417
2016-01-14 09:30:00,5.664,5.7,5.62,5.658,1726978
2016-01-15 09:30:00,5.598,5.687,5.584,5.62,6998161
2016-01-19 09:30:00,5.633,5.678,5.469,5.591,1933697
2016-01-20 09:30:00,5.331,5.376,5.269,5.287,2354451
2016-01-21 09:30:00,5.331,5.447,5.251,5.385,1602466
2016-01-22 09:30:00,5.642,5.762,5.62,5.744,1453716
2016-01-25 09:30:00,5.904,5.953,5.829,5.858,1360953
2016-01-26 09:30:00,5.931,5.998,5.931,5.967,1077598
2016-01-27 09:30:00,6.024,6.046,5.953,5.991,1080206
2016-01-28 09:30:00,5.975,6.086,5.922,5.975,629224
2016-01-29 09:30:00,5.953,6.06,5.931,5.949,888616
2016-02-01 09:30:00,6.073,6.113,6.024,6.069,938330
2016-02-02 09:30:00,6.086,6.206,6.02,6.046,2107843
2016-02-03 09:30:00,6.069,6.118,6.011,6.024,412535
2016-02-04 09:30:00,5.913,6.095,5.913,6.093,659317
2016-02-05 09:30:00,6.084,6.109,6.024,6.06,1307869
2016-02-08 09:30:00,5.771,5.798,5.735,5.764,1113529
2016-02-09 09:30:00,5.496,5.647,5.469,5.642,615004
2016-02-10 09:30:00,5.682,5.789,5.669,5.775,454711
2016-02-11 09:30:00,5.562,5.629,5.518,5.549,781601
2016-02-12 09:30:00,5.553,5.682,5.447,5.484,1426753
2016-02-16 09:30:00,5.513,5.549,5.487,5.498,2503738
2016-02-17 09:30:00,5.504,5.616,5.496,5.616,999961
2016-02-18 09:30:00,5.842,5.949,5.784,5.94,951706
2016-02-19 09:30:00,6.002,6.015,5.922,5.924,2554117
2016-02-22 09:30:00,6.109,6.162,6.029,6.126,1033484
2016-02-23 09:30:00,6.091,6.14,6.033,6.038,1221112
2016-02-24 09:30:00,5.775,5.842,5.704,5.713,1078291
2016-02-25 09:30:00,5.975,6.033,5.904,5.933,1366951
2016-02-26 09:30:00,6.122,6.131,6.006,6.029,856671
2016-02-29 09:30:00,5.913,5.962,5.887,5.913,654770
2016-03-01 09:30:00,5.962,5.984,5.829,5.864,1673425
2016-03-02 09:30:00,5.944,6.113,5.931,6.104,1174082
2016-03-03 09:30:00,6.18,6.198,5.949,5.953,1466212
2016-03-04 09:30:00,6.628,7.002,6.584,6.873,16509399
2016-03-07 09:30:00,6.745,6.847,6.714,6.794,2847430
2016-03-08 09:30:00,7.021,7.039,6.932,6.957,3121763
2016-03-09 09:30:00,6.839,6.981,6.821,6.972,1463148
2016-03-10 09:30:00,6.932,7.226,6.919,7.226,3157814
2016-03-11 09:30:00,7.133,7.329,7.133,7.322,3017140
2016-03-14 09:30:00,7.222,7.258,7.151,7.177,1388240
2016-03-15 09:30:00,7.289,7.369,7.244,7.284,1427748
2016-03-16 09:30:00,7.445,7.534,7.4,7.523,1646395
2016-03-17 09:30:00,7.636,7.686,7.561,7.639,1425871
2016-03-18 09:30:00,7.672,7.712,7.614,7.699,4223734
