open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,10.5,10.53,10.45,10.51,595082
2016-01-05 09:30:00,10.6,10.73,10.57,10.62,492248
2016-01-06 09:30:00,10.55,10.55,10.41,10.51,1233559
2016-01-07 09:30:00,10.37,10.51,10.27,10.34,493551
2016-01-08 09:30:00,10.14,10.25,10.13,10.25,538585
2016-01-11 09:30:00,10.09,10.13,10.06,10.09,406538
2016-01-12 09:30:00,10.39,10.44,10.3,10.34,651590
2016-01-13 09:30:00,9.983,9.997,9.746,9.753,1391912
2016-01-14 09:30:00,9.419,9.426,9.192,9.21,780190
2016-01-15 09:30:00,9.3,9.363,9.269,9.273,1358628
2016-01-19 09:30:00,9.398,9.398,9.067,9.14,687117
2016-01-20 09:30:00,8.792,8.806,8.583,8.601,1183317
2016-01-21 09:30:00,8.994,9.116,8.904,9.095,1147943
2016-01-22 09:30:00,9.572,9.829,9.572,9.829,1843820
2016-01-25 09:30:00,9.614,9.676,9.433,9.676,792980
2016-01-26 09:30:00,9.502,9.725,9.461,9.485,2813902
2016-01-27 09:30:00,9.614,9.676,9.537,9.614,278663
2016-01-28 09:30:00,9.558,9.621,9.467,9.6,969977
2016-01-29 09:30:00,9.321,9.398,9.238,9.377,648410
2016-02-01 09:30:00,9.544,9.628,9.433,9.537,715461
2016-02-02 09:30:00,9.419,9.419,9.119,9.13,604175
2016-02-03 09:30:00,9.273,9.293,9.189,9.227,522327
2016-02-04 09:30:00,9.461,9.795,9.419,9.777,902728
2016-02-05 09:30:00,9.829,10.02,9.683,9.962,870998
2016-02-08 09:30:00,9.774,9.781,9.523,9.558,1051552
2016-02-09 09:30:00,9.44,9.941,9.44,9.923,1425469
2016-02-10 09:30:00,9.662,10.06,9.655,10.05,785493
2016-02-11 09:30:00,9.642,9.662,9.513,9.593,492483
2016-02-12 09:30:00,9.795,9.829,9.732,9.805,628199
2016-02-16 09:30:00,10.19,10.35,10.14,10.2,1338456
2016-02-17 09:30:00,10.84,11.14,10.69,10.78,2654803
2016-02-18 09:30:00,10.47,10.62,10.37,10.62,919401
2016-02-19 09:30:00,10.56,10.63,10.49,10.52,1077948
2016-02-22 09:30:00,10.59,10.85,10.54,10.73,706807
2016-02-23 09:30:00,10.6,10.76,10.56,10.71,909145
2016-02-24 09:30:00,10.34,10.4,10.21,10.21,523959
2016-02-25 09:30:00,10.54,10.66,10.51,10.53,436716
