open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,69.98,70.18,69.85,70.02,90475
2016-01-05 09:30:00,70.24,70.56,70.04,70.12,202051
2016-01-06 09:30:00,68.83,69.14,68.73,68.87,139880
2016-01-07 09:30:00,68.71,69.14,68.52,69.14,108357
2016-01-08 09:30:00,68.25,68.45,68.07,68.42,57065
2016-01-11 09:30:00,66.91,67.43,66.68,67.05,198452
2016-01-12 09:30:00,67.47,67.56,67.0,67.22,76799
2016-01-13 09:30:00,67.48,67.71,67.33,67.55,57879
2016-01-14 09:30:00,66.75,66.83,66.27,66.52,96328
2016-01-15 09:30:00,66.05,66.48,66.05,66.36,196512
2016-01-19 09:30:00,66.42,66.73,66.3,66.54,93225
2016-01-20 09:30:00,66.59,67.03,66.56,66.71,90324
2016-01-21 09:30:00,67.44,67.7,66.59,66.7,138227
2016-01-22 09:30:00,67.67,68.41,67.38,68.36,73664
2016-01-25 09:30:00,67.4,67.64,65.93,66.01,222633
2016-01-26 09:30:00,66.79,67.65,66.4,67.34,185482
2016-01-27 09:30:00,67.6,68.31,67.6,67.88,138167
2016-01-28 09:30:00,68.24,68.24,65.43,66.94,476175
2016-01-29 09:30:00,69.26,69.63,68.79,68.93,150533
2016-02-01 09:30:00,70.01,70.87,69.82,70.86,185194
2016-02-02 09:30:00,70.22,70.82,69.97,70.61,194269
2016-02-03 09:30:00,70.99,71.32,70.79,70.93,89504
2016-02-04 09:30:00,70.43,70.64,70.02,70.52,86573
2016-02-05 09:30:00,70.56,70.97,70.44,70.71,50351
2016-02-08 09:30:00,69.42,70.91,69.37,70.76,179950
2016-02-09 09:30:00,70.69,71.42,70.26,70.53,266870
2016-02-10 09:30:00,71.3,72.06,71.12,71.98,75693
2016-02-11 09:30:00,70.67,70.73,70.29,70.59,91125
2016-02-12 09:30:00,70.64,71.21,70.48,71.06,86017
2016-02-16 09:30:00,71.44,71.68,70.96,70.96,93538
2016-02-17 09:30:00,71.91,72.58,71.75,72.36,77300
2016-02-18 09:30:00,72.37,72.56,71.76,71.82,73767
2016-02-19 09:30:00,71.91,72.17,71.56,72.03,146468
2016-02-22 09:30:00,72.83,72.83,72.31,72.42,71656
2016-02-23 09:30:00,71.69,71.8,71.05,71.15,112791
2016-02-24 09:30:00,71.62,72.13,71.43,71.95,80996
2016-02-25 09:30:00,72.44,72.96,72.05,72.8,62072
2016-02-26 09:30:00,73.51,73.51,72.96,73.32,63644
2016-02-29 09:30:00,72.3,72.8,72.14,72.68,71137
2016-03-01 09:30:00,73.27,73.65,73.04,73.63,75834
2016-03-02 09:30:00,73.5,73.56,72.94,73.29,58980
2016-03-03 09:30:00,73.67,73.84,73.51,73.71,61164
2016-03-04 09:30:00,74.35,74.46,74.08,74.2,64932
2016-03-07 09:30:00,74.07,74.35,73.55,73.85,36884
2016-03-08 09:30:00,73.32,73.69,73.26,73.52,83744
2016-03-09 09:30:00,73.81,74.48,73.81,74.31,92276
2016-03-10 09:30:00,74.31,74.31,73.85,74.04,34667
2016-03-11 09:30:00,73.8,73.83,73.64,73.71,51130
2016-03-14 09:30:00,73.89,74.01,73.56,73.69,31076
2016-03-15 09:30:00,73.51,73.83,72.99,73.58,44379
2016-03-16 09:30:00,73.84,73.84,73.31,73.46,54104
2016-03-17 09:30:00,74.31,74.39,74.19,74.34,49783
2016-03-18 09:30:00,74.06,74.13,72.57,72.6,353205
2016-03-21 09:30:00,72.56,72.56,71.95,72.07,68493
2016-03-22 09:30:00,72.41,72.62,72.24,72.3,45378
2016-03-23 09:30:00,71.39,72.07,71.31,71.87,90300
2016-03-24 09:30:00,71.43,71.84,71.43,71.54,75989
2016-03-28 09:30:00,72.01,72.71,72.0,72.32,62421
2016-03-29 09:30:00,72.07,72.49,72.03,72.22,118072
2016-03-30 09:30:00,73.51,73.51,73.15,73.27,104471
2016-03-31 09:30:00,73.11,73.65,73.02,73.5,108549
2016-04-01 09:30:00,73.42,74.06,73.35,74.06,115648
2016-04-04 09:30:00,74.95,75.24,74.24,74.37,103735
2016-04-05 09:30:00,74.16,74.29,73.59,73.75,210893
2016-04-06 09:30:00,73.01,73.17,72.55,72.87,117074
2016-04-07 09:30:00,72.93,73.16,72.92,73.05,120042
2016-04-08 09:30:00,72.91,73.31,72.77,72.97,57078
2016-04-11 09:30:00,73.47,73.75,73.42,73.63,49390
2016-04-12 09:30:00,73.06,73.5,72.81,73.5,37994
2016-04-13 09:30:00,73.67,73.77,73.47,73.54,99822
2016-04-14 09:30:00,73.59,73.97,73.47,73.87,80867
2016-04-15 09:30:00,73.76,73.91,73.36,73.81,113443
2016-04-18 09:30:00,74.66,74.99,74.25,74.46,55425
2016-04-19 09:30:00,75.21,75.57,74.93,75.44,124528
2016-04-20 09:30:00,74.23,74.86,73.67,73.67,433644
2016-04-21 09:30:00,73.07,73.36,72.16,72.21,201945
2016-04-22 09:30:00,71.81,72.03,71.67,71.77,105246
2016-04-25 09:30:00,72.24,72.31,72.06,72.31,128755
2016-04-26 09:30:00,70.44,71.91,70.25,71.29,695866
2016-04-27 09:30:00,71.78,72.32,71.42,72.32,171067
2016-04-28 09:30:00,72.31,73.31,72.08,73.12,81929
2016-04-29 09:30:00,73.3,73.53,73.03,73.53,109001
2016-05-02 09:30:00,74.37,74.76,74.19,74.66,84947
2016-05-03 09:30:00,74.7,75.54,74.47,75.39,167907
2016-05-04 09:30:00,73.79,74.13,73.51,73.66,51336
2016-05-05 09:30:00,73.57,74.26,73.57,73.85,90427
2016-05-06 09:30:00,73.19,73.33,72.51,72.76,89397
2016-05-09 09:30:00,73.34,74.14,73.27,74.14,47671
2016-05-10 09:30:00,74.11,74.52,73.99,74.25,56827
2016-05-11 09:30:00,74.24,74.61,74.2,74.2,61743
2016-05-12 09:30:00,73.91,74.16,73.54,74.07,53963
2016-05-13 09:30:00,74.31,74.5,74.06,74.4,55708
2016-05-16 09:30:00,73.71,74.22,73.58,74.21,59109
2016-05-17 09:30:00,73.79,74.13,73.42,73.45,62940
2016-05-18 09:30:00,72.11,72.66,71.42,71.42,82902
2016-05-19 09:30:00,71.59,71.95,71.27,71.27,84503
2016-05-20 09:30:00,72.62,72.78,72.2,72.48,133287
2016-05-23 09:30:00,72.56,73.44,72.56,73.18,88025
2016-05-24 09:30:00,72.95,73.58,72.83,73.41,47673
2016-05-25 09:30:00,73.53,73.53,73.05,73.13,92097
2016-05-26 09:30:00,73.55,74.18,73.44,74.04,74450
2016-05-27 09:30:00,74.23,74.73,74.19,74.67,73704
2016-05-31 09:30:00,74.58,75.05,74.46,74.58,92384
2016-06-01 09:30:00,74.8,75.21,74.57,75.09,96230
2016-06-02 09:30:00,74.63,74.71,74.37,74.53,35467
2016-06-03 09:30:00,74.58,75.27,74.58,75.22,63251
2016-06-06 09:30:00,75.19,75.58,75.05,75.27,83751
2016-06-07 09:30:00,75.07,75.31,75.07,75.21,37242
2016-06-08 09:30:00,74.87,75.02,74.43,74.51,55206
2016-06-09 09:30:00,75.32,75.67,75.22,75.61,52226
2016-06-10 09:30:00,77.27,78.16,77.18,77.45,200107
2016-06-13 09:30:00,77.21,77.76,76.98,77.59,116777
2016-06-14 09:30:00,76.66,76.8,76.27,76.52,116703
2016-06-15 09:30:00,77.65,77.79,77.21,77.26,140659
2016-06-16 09:30:00,77.25,77.66,77.01,77.32,84895
2016-06-17 09:30:00,77.7,77.79,76.95,77.04,181267
2016-06-20 09:30:00,78.04,78.6,78.04,78.17,86608
2016-06-21 09:30:00,77.92,78.33,77.91,77.95,60000
2016-06-22 09:30:00,78.37,78.37,78.03,78.03,67215
2016-06-23 09:30:00,78.59,78.7,78.27,78.34,57380
2016-06-24 09:30:00,76.92,77.57,76.75,77.37,147841
2016-06-27 09:30:00,78.19,78.31,77.76,77.76,118550
2016-06-28 09:30:00,78.23,78.23,77.24,77.61,184750
2016-06-29 09:30:00,78.06,78.15,77.43,77.94,133710
2016-06-30 09:30:00,78.38,79.17,78.38,78.98,70753
2016-07-01 09:30:00,90.1,92.14,87.28,91.59,1866072
2016-07-05 09:30:00,88.45,89.54,87.73,89.47,530168
2016-07-06 09:30:00,89.21,89.8,88.39,89.12,637498
2016-07-07 09:30:00,88.45,89.13,87.65,88.53,301215
2016-07-08 09:30:00,88.8,89.1,88.0,88.53,92564
2016-07-11 09:30:00,88.86,88.97,88.16,88.33,108512
2016-07-12 09:30:00,88.6,88.9,87.51,87.79,175777
2016-07-13 09:30:00,87.28,87.58,87.01,87.17,68994
2016-07-14 09:30:00,87.34,87.83,87.11,87.76,218189
2016-07-15 09:30:00,87.19,87.54,86.71,87.32,108022
2016-07-18 09:30:00,88.77,89.21,88.65,88.65,85817
2016-07-19 09:30:00,87.95,88.2,87.45,87.52,73760
2016-07-20 09:30:00,87.66,88.0,87.26,87.61,66426
2016-07-21 09:30:00,87.96,87.96,87.31,87.69,70573
2016-07-22 09:30:00,88.05,88.63,87.95,88.35,71846
2016-07-25 09:30:00,88.71,89.55,88.45,88.77,223858
2016-07-26 09:30:00,89.26,89.62,89.13,89.33,81777
2016-07-27 09:30:00,88.41,88.41,87.03,87.09,118723
2016-07-28 09:30:00,88.04,89.75,87.17,89.67,345971
2016-07-29 09:30:00,89.39,89.99,88.95,88.95,73180
2016-08-01 09:30:00,87.78,88.69,87.45,88.65,237887
2016-08-02 09:30:00,88.96,89.1,88.4,88.62,81776
2016-08-03 09:30:00,90.2,90.21,88.86,89.44,135043
2016-08-04 09:30:00,89.02,89.6,88.86,89.21,53786
2016-08-05 09:30:00,89.12,89.27,88.86,89.27,93018
2016-08-08 09:30:00,89.76,89.9,89.27,89.31,49181
2016-08-09 09:30:00,88.79,89.31,88.65,88.9,49524
2016-08-10 09:30:00,88.81,89.5,88.81,89.47,73786
2016-08-11 09:30:00,90.06,90.06,89.31,89.69,96501
2016-08-12 09:30:00,89.91,90.29,89.75,89.9,51060
2016-08-15 09:30:00,89.64,89.88,89.34,89.51,157578
2016-08-16 09:30:00,89.54,89.93,89.19,89.82,39815
2016-08-17 09:30:00,89.81,90.06,89.6,89.65,46457
2016-08-18 09:30:00,91.34,91.57,90.86,90.95,61221
2016-08-19 09:30:00,90.81,90.87,90.37,90.84,94574
2016-08-22 09:30:00,91.2,91.52,91.01,91.33,71222
2016-08-23 09:30:00,91.61,91.73,91.12,91.47,86765
2016-08-24 09:30:00,91.18,91.18,90.34,90.59,235399
2016-08-25 09:30:00,89.66,90.42,89.5,90.02,55678
2016-08-26 09:30:00,89.89,90.24,89.45,90.11,77244
2016-08-29 09:30:00,89.41,90.55,89.41,90.49,83389
