open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,164.56,165.15,163.42,164.89,69335
2016-01-05 09:30:00,166.92,168.07,166.07,167.33,79364
2016-01-06 09:30:00,164.79,166.01,163.72,165.73,63894
2016-01-07 09:30:00,162.16,163.01,161.57,162.95,50303
2016-01-08 09:30:00,161.68,163.31,160.48,162.34,45218
2016-01-11 09:30:00,160.3,160.62,158.04,158.15,63035
2016-01-12 09:30:00,157.03,159.14,157.0,158.8,82459
2016-01-13 09:30:00,156.46,157.55,156.22,157.37,60988
2016-01-14 09:30:00,151.79,152.92,151.18,151.29,37826
2016-01-15 09:30:00,154.06,154.21,148.63,150.48,229966
2016-01-19 09:30:00,150.19,154.57,150.19,153.34,151296
2016-01-20 09:30:00,150.82,152.56,149.27,149.69,192973
2016-01-21 09:30:00,153.41,154.28,151.25,151.89,96458
2016-01-22 09:30:00,155.08,155.81,153.68,154.71,99419
2016-01-25 09:30:00,153.95,154.5,152.64,152.64,35088
2016-01-26 09:30:00,151.01,152.67,150.98,151.51,56572
2016-01-27 09:30:00,153.14,153.31,151.78,152.35,56454
2016-01-28 09:30:00,149.4,150.69,149.14,149.63,26492
2016-01-29 09:30:00,148.76,151.39,146.45,150.2,39105
2016-02-01 09:30:00,150.68,153.53,150.68,152.57,71914
2016-02-02 09:30:00,153.87,154.66,152.13,153.35,53018
2016-02-03 09:30:00,155.17,155.58,153.64,153.99,36819
2016-02-04 09:30:00,154.27,154.94,152.7,153.93,51541
2016-02-05 09:30:00,155.57,156.82,154.67,155.57,119358
2016-02-08 09:30:00,152.01,152.57,148.81,149.1,34399
2016-02-09 09:30:00,145.45,148.64,143.78,147.45,87614
2016-02-10 09:30:00,149.27,153.3,149.27,151.73,290669
2016-02-11 09:30:00,148.54,149.04,146.37,148.79,116009
2016-02-12 09:30:00,146.65,148.0,145.79,146.86,59587
2016-02-16 09:30:00,149.12,152.29,148.7,151.07,107897
2016-02-17 09:30:00,154.98,155.9,153.75,155.67,55958
2016-02-18 09:30:00,155.6,156.53,155.15,155.65,121115
2016-02-19 09:30:00,155.41,155.8,152.85,152.85,141080
2016-02-22 09:30:00,154.21,157.45,153.14,157.35,76214
2016-02-23 09:30:00,159.01,161.17,157.51,159.48,63590
2016-02-24 09:30:00,160.32,161.16,158.23,159.18,23730
2016-02-25 09:30:00,159.11,160.37,158.97,160.12,101519
2016-02-26 09:30:00,163.76,166.05,163.56,165.63,60734
2016-02-29 09:30:00,165.82,166.69,164.86,165.57,68820
2016-03-01 09:30:00,165.19,166.71,164.4,165.38,62638
2016-03-02 09:30:00,166.99,168.2,166.5,167.15,83520
2016-03-03 09:30:00,168.61,169.49,167.09,168.15,51731
2016-03-04 09:30:00,169.22,169.93,168.13,168.41,32462
2016-03-07 09:30:00,168.57,170.27,168.57,169.21,74575
2016-03-08 09:30:00,170.26,170.42,169.27,169.29,20753
2016-03-09 09:30:00,169.48,170.75,169.3,170.52,70887
2016-03-10 09:30:00,171.34,172.2,169.97,170.85,146714
2016-03-11 09:30:00,172.18,172.86,171.49,171.96,31882
2016-03-14 09:30:00,173.2,173.66,171.96,171.96,38142
2016-03-15 09:30:00,171.76,173.2,170.86,171.23,29358
2016-03-16 09:30:00,170.08,171.2,169.68,170.11,23047
2016-03-17 09:30:00,169.43,169.44,167.66,167.92,40404
2016-03-18 09:30:00,168.57,170.52,167.2,170.52,275252
2016-03-21 09:30:00,170.66,171.34,170.05,170.45,13349
2016-03-22 09:30:00,169.86,170.27,168.33,170.01,25974
2016-03-23 09:30:00,171.12,171.12,169.53,170.32,17579
2016-03-24 09:30:00,168.86,170.95,168.05,170.84,47877
2016-03-28 09:30:00,170.48,170.92,170.15,170.71,27691
2016-03-29 09:30:00,169.7,170.61,169.43,170.23,8973
2016-03-30 09:30:00,172.64,173.88,172.26,173.51,29781
2016-03-31 09:30:00,171.17,172.31,169.77,169.83,35023
2016-04-01 09:30:00,169.54,170.77,168.37,169.48,207369
2016-04-04 09:30:00,171.61,174.21,170.88,171.06,163188
2016-04-05 09:30:00,169.61,169.61,165.47,166.93,476193
2016-04-06 09:30:00,167.53,168.78,167.29,167.49,33137
2016-04-07 09:30:00,166.38,167.68,165.58,166.0,271063
2016-04-08 09:30:00,160.38,160.94,159.76,160.35,68908
2016-04-11 09:30:00,158.67,159.46,158.08,158.21,147222
2016-04-12 09:30:00,155.57,156.92,155.56,156.49,61203
2016-04-13 09:30:00,158.35,159.65,157.09,157.48,70380
2016-04-14 09:30:00,157.46,158.26,156.46,156.68,55468
2016-04-15 09:30:00,155.89,156.37,155.24,155.45,187294
2016-04-18 09:30:00,157.84,158.55,156.65,157.68,33677
2016-04-19 09:30:00,159.94,161.65,159.64,161.54,44986
2016-04-20 09:30:00,162.34,163.51,161.04,161.74,52215
2016-04-21 09:30:00,161.59,162.68,160.5,161.99,25941
2016-04-22 09:30:00,161.39,162.08,161.22,161.7,37258
2016-04-25 09:30:00,162.2,163.11,161.23,161.89,63799
2016-04-26 09:30:00,163.54,164.0,162.34,163.96,19045
2016-04-27 09:30:00,165.95,166.19,163.82,164.89,85151
2016-04-28 09:30:00,164.83,166.42,164.08,165.38,46987
2016-04-29 09:30:00,164.51,165.28,162.38,162.79,77651
2016-05-02 09:30:00,165.12,165.45,164.67,165.13,31579
2016-05-03 09:30:00,164.19,164.74,163.26,163.89,38787
2016-05-04 09:30:00,162.48,164.27,162.34,164.19,30617
2016-05-05 09:30:00,162.6,163.63,161.93,162.34,26609
2016-05-06 09:30:00,161.13,161.82,158.41,159.21,270325
2016-05-09 09:30:00,158.99,160.94,158.16,160.94,128154
2016-05-10 09:30:00,159.17,160.26,158.91,159.49,32188
2016-05-11 09:30:00,161.38,162.33,159.37,159.93,51764
2016-05-12 09:30:00,157.79,159.11,156.22,157.92,38693
2016-05-13 09:30:00,153.88,154.52,153.36,154.15,96886
2016-05-16 09:30:00,152.98,154.14,152.03,152.86,49758
2016-05-17 09:30:00,159.02,159.08,156.61,157.08,205317
2016-05-18 09:30:00,158.19,159.08,157.7,158.59,25885
2016-05-19 09:30:00,156.67,157.68,156.02,156.4,78595
2016-05-20 09:30:00,156.72,157.48,156.41,156.83,171583
2016-05-23 09:30:00,157.7,160.45,157.7,159.2,245195
2016-05-24 09:30:00,157.89,158.37,157.28,157.7,84977
2016-05-25 09:30:00,158.28,159.76,157.73,159.55,173205
2016-05-26 09:30:00,162.03,162.17,160.73,160.83,76662
2016-05-27 09:30:00,161.48,162.32,160.91,160.92,30734
2016-05-31 09:30:00,161.87,162.21,160.77,160.95,33119
2016-06-01 09:30:00,159.8,161.43,159.76,160.2,50676
2016-06-02 09:30:00,164.94,166.05,162.59,165.95,107841
2016-06-03 09:30:00,173.37,173.46,171.17,171.52,235925
2016-06-06 09:30:00,173.24,174.39,172.77,173.76,100095
2016-06-07 09:30:00,175.79,176.15,174.53,175.68,94034
2016-06-08 09:30:00,174.05,175.45,173.91,174.66,212500
2016-06-09 09:30:00,173.5,174.93,173.5,174.29,21355
2016-06-10 09:30:00,174.39,174.86,172.76,173.29,35331
2016-06-13 09:30:00,172.76,173.88,172.45,173.77,40184
2016-06-14 09:30:00,171.5,173.82,171.15,173.37,66600
2016-06-15 09:30:00,172.74,173.46,172.05,173.24,14642
2016-06-16 09:30:00,171.67,172.87,171.0,171.42,93937
2016-06-17 09:30:00,173.47,174.33,171.98,173.74,76566
2016-06-20 09:30:00,175.05,175.86,174.4,175.22,130604
