open_date,open,high,low,close,volume_base
2024-01-11 09:30:00,27.91,30.0,27.9,29.03,11422709
2024-01-12 09:30:00,26.4,26.41,26.08,26.2087,4214792
2024-01-16 09:30:00,24.7,24.77,24.04,24.4262,3302243
2024-01-17 09:30:00,24.34,24.56,24.21,24.38,2608707
2024-01-18 09:30:00,24.35,24.42,24.27,24.42,1820516
2024-01-19 09:30:00,23.49,23.53,23.35,23.44,3608148
2024-01-22 09:30:00,23.2,23.33,23.14,23.2528,2732710
2024-01-23 09:30:00,22.19,22.19,22.02,22.13,2796685
2024-01-24 09:30:00,22.82,22.96,22.73,22.789,1635226
2024-01-25 09:30:00,22.85,22.9,22.77,22.87,1346828
2024-01-26 09:30:00,23.52,23.75,23.48,23.75,3145345
2024-01-29 09:30:00,23.99,24.02,23.88,23.97,3822292
2024-01-30 09:30:00,24.84,24.88,24.76,24.825,2271736
2024-01-31 09:30:00,24.38,24.5479,24.36,24.49,1584616
2024-02-01 09:30:00,24.21,24.3699,24.19,24.36,1450296
2024-02-02 09:30:00,24.39,24.5,24.38,24.435,1172313
2024-02-05 09:30:00,24.75,24.79,24.62,24.655,1530829
2024-02-06 09:30:00,24.47,24.5782,24.4498,24.495,1213496
2024-02-07 09:30:00,24.66,24.735,24.52,24.555,1665947
2024-02-08 09:30:00,25.75,25.86,25.64,25.778,3059935
2024-02-09 09:30:00,26.85,27.07,26.845,26.92,3590022
2024-02-12 09:30:00,27.53,27.92,27.515,27.9186,3952516
2024-02-13 09:30:00,27.97,28.095,27.77,27.805,3636146
2024-02-14 09:30:00,29.58,29.825,29.57,29.76,7477774
2024-02-15 09:30:00,29.995,30.23,29.99,30.1082,6031933
2024-02-16 09:30:00,29.84,29.97,29.581,29.685,2975086
2024-02-20 09:30:00,29.88,29.92,29.55,29.73,4306471
2024-02-21 09:30:00,29.05,29.2,28.965,29.06,2042513
2024-02-22 09:30:00,29.17,29.35,29.135,29.3217,1916132
2024-02-23 09:30:00,29.26,29.31,29.01,29.205,2693932
2024-02-26 09:30:00,29.34,29.57,29.33,29.535,2566541
2024-02-27 09:30:00,32.53,32.81,32.4,32.61,8488279
2024-02-28 09:30:00,34.41,35.02,34.205,34.92,8665817
