open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,89.05,89.25,88.72,88.91,606172
2016-01-05 09:30:00,89.63,89.9,89.18,89.38,405148
2016-01-06 09:30:00,88.25,88.68,87.75,88.65,571708
2016-01-07 09:30:00,87.8,88.45,87.64,88.39,840895
2016-01-08 09:30:00,87.46,87.83,86.97,87.31,651197
2016-01-11 09:30:00,86.56,87.01,86.53,86.78,525545
2016-01-12 09:30:00,87.77,87.85,86.78,86.79,938241
2016-01-13 09:30:00,87.63,88.04,87.47,88.02,475776
2016-01-14 09:30:00,86.64,86.74,86.17,86.55,548895
2016-01-15 09:30:00,85.38,85.9,85.33,85.5,2126823
2016-01-19 09:30:00,85.44,86.75,84.81,85.31,1511384
2016-01-20 09:30:00,77.79,80.91,77.49,79.68,4802693
2016-01-21 09:30:00,79.66,80.2,79.18,79.93,1459486
2016-01-22 09:30:00,81.87,81.92,81.39,81.58,804865
2016-01-25 09:30:00,80.3,81.24,80.09,81.01,630252
2016-01-26 09:30:00,80.29,80.95,80.28,80.75,547004
2016-01-27 09:30:00,80.6,81.02,80.44,80.67,391025
2016-01-28 09:30:00,79.81,80.45,79.59,80.24,436411
2016-01-29 09:30:00,80.96,81.38,80.75,81.27,677268
2016-02-01 09:30:00,81.52,81.9,81.27,81.36,410649
2016-02-02 09:30:00,81.22,81.52,80.54,80.68,371376
2016-02-03 09:30:00,81.43,81.68,80.88,81.06,463393
2016-02-04 09:30:00,82.14,83.83,82.09,83.4,909232
2016-02-05 09:30:00,83.55,83.92,82.65,82.9,643673
2016-02-08 09:30:00,83.59,84.23,83.13,83.31,652705
2016-02-09 09:30:00,83.67,84.21,83.15,83.95,542320
2016-02-10 09:30:00,82.93,83.12,82.28,82.36,559326
2016-02-11 09:30:00,78.79,79.39,78.38,79.03,845496
2016-02-12 09:30:00,79.15,79.21,78.7,78.97,530887
2016-02-16 09:30:00,80.83,80.89,80.61,80.83,430553
2016-02-17 09:30:00,82.07,82.73,81.77,82.64,460355
2016-02-18 09:30:00,86.25,88.22,86.08,88.14,2835063
2016-02-19 09:30:00,87.81,87.88,86.8,87.36,1306832
2016-02-22 09:30:00,88.79,89.11,88.43,88.5,474004
2016-02-23 09:30:00,88.49,88.5,87.94,88.24,408523
2016-02-24 09:30:00,87.27,87.34,86.19,86.19,513447
2016-02-25 09:30:00,88.43,88.66,87.26,87.28,452417
2016-02-26 09:30:00,89.24,89.51,87.78,88.27,857901
2016-02-29 09:30:00,87.57,88.16,87.39,87.52,328868
2016-03-01 09:30:00,87.74,88.12,87.59,87.8,392376
2016-03-02 09:30:00,88.7,88.85,88.38,88.75,396479
2016-03-03 09:30:00,91.05,91.4,90.59,90.75,1156930
2016-03-04 09:30:00,91.25,91.92,91.22,91.66,482108
2016-03-07 09:30:00,91.08,91.42,90.81,91.31,468693
2016-03-08 09:30:00,92.55,92.97,92.55,92.74,509409
2016-03-09 09:30:00,92.42,93.79,92.37,93.79,533930
2016-03-10 09:30:00,93.7,93.86,93.25,93.62,439298
2016-03-11 09:30:00,94.03,94.03,93.26,93.72,573470
2016-03-14 09:30:00,94.37,94.39,93.57,93.79,298091
2016-03-15 09:30:00,94.03,94.63,93.9,94.63,442921
2016-03-16 09:30:00,94.62,95.09,94.28,95.08,365079
2016-03-17 09:30:00,96.04,96.76,95.83,96.76,547737
2016-03-18 09:30:00,97.78,97.86,97.07,97.35,2723523
2016-03-21 09:30:00,97.82,98.19,97.34,98.08,407368
2016-03-22 09:30:00,98.23,98.95,98.08,98.84,418646
2016-03-23 09:30:00,98.19,98.21,97.53,97.76,270538
2016-03-24 09:30:00,96.18,96.92,95.86,96.78,713943
2016-03-28 09:30:00,98.02,98.27,97.68,97.97,492929
2016-03-29 09:30:00,97.92,98.35,97.86,98.23,312387
2016-03-30 09:30:00,99.48,99.75,99.2,99.55,525720
2016-03-31 09:30:00,99.38,100.42,99.09,100.37,849700
2016-04-01 09:30:00,99.85,100.41,99.68,100.33,393086
2016-04-04 09:30:00,101.07,101.64,100.85,101.45,282763
2016-04-05 09:30:00,100.46,100.54,99.76,100.07,570209
2016-04-06 09:30:00,99.42,99.58,98.7,98.77,395402
2016-04-07 09:30:00,98.9,99.25,98.19,98.69,282685
2016-04-08 09:30:00,98.89,99.08,98.27,98.88,383585
2016-04-11 09:30:00,99.69,100.43,99.29,100.35,415871
2016-04-12 09:30:00,99.26,99.55,98.87,99.12,305262
2016-04-13 09:30:00,100.01,100.32,99.27,100.09,317544
2016-04-14 09:30:00,100.51,101.35,100.11,100.38,595274
2016-04-15 09:30:00,100.2,100.91,100.2,100.7,862967
2016-04-18 09:30:00,100.68,101.1,100.5,100.76,582531
2016-04-19 09:30:00,97.17,97.49,95.91,96.29,3364205
2016-04-20 09:30:00,95.69,96.84,95.53,96.77,1319078
2016-04-21 09:30:00,97.33,98.5,97.17,98.13,784664
2016-04-22 09:30:00,99.14,100.18,98.97,99.81,823432
2016-04-25 09:30:00,98.04,98.7,98.04,98.41,282682
2016-04-26 09:30:00,98.62,99.0,98.12,98.48,561459
2016-04-27 09:30:00,99.08,99.5,98.83,99.38,346850
2016-04-28 09:30:00,99.35,99.63,98.71,98.73,346922
2016-04-29 09:30:00,97.19,97.75,97.19,97.31,351359
2016-05-02 09:30:00,97.18,97.52,96.37,96.44,425687
2016-05-03 09:30:00,95.97,96.13,95.25,95.31,425978
2016-05-04 09:30:00,95.11,96.1,95.08,95.99,415447
2016-05-05 09:30:00,96.83,97.14,96.55,96.78,954789
2016-05-06 09:30:00,97.02,97.43,96.76,97.13,450229
2016-05-09 09:30:00,98.92,99.26,98.55,99.12,518386
2016-05-10 09:30:00,99.28,100.1,98.95,99.74,494500
2016-05-11 09:30:00,100.27,101.19,100.27,100.74,482704
2016-05-12 09:30:00,99.93,100.05,99.31,99.31,259103
2016-05-13 09:30:00,99.65,100.37,99.37,99.92,257710
2016-05-16 09:30:00,98.75,99.41,98.75,99.04,176026
2016-05-17 09:30:00,99.93,100.1,99.53,99.63,207929
2016-05-18 09:30:00,99.11,99.15,98.48,98.65,275109
2016-05-19 09:30:00,98.1,98.4,97.17,97.19,352369
2016-05-20 09:30:00,97.57,98.21,97.48,97.93,746964
2016-05-23 09:30:00,98.86,99.05,98.38,98.95,283937
2016-05-24 09:30:00,98.37,99.08,98.37,98.85,370198
2016-05-25 09:30:00,99.65,100.59,99.46,100.55,518446
2016-05-26 09:30:00,101.5,101.99,101.3,101.75,349135
2016-05-27 09:30:00,102.03,102.3,101.9,102.27,349412
2016-05-31 09:30:00,102.18,102.72,102.18,102.49,384064
2016-06-01 09:30:00,102.47,102.65,101.61,101.71,320335
2016-06-02 09:30:00,102.2,102.37,101.88,101.96,330979
2016-06-03 09:30:00,102.07,102.45,101.92,102.03,193070
2016-06-06 09:30:00,102.54,103.11,102.51,102.94,245762
2016-06-07 09:30:00,102.64,103.09,102.42,102.46,400354
