open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,102.69,102.75,102.62,102.74,108651
2016-01-05 09:30:00,102.59,102.64,102.55,102.64,13925
2016-01-06 09:30:00,102.89,102.92,102.83,102.9,43310
2016-01-07 09:30:00,103.07,103.11,102.99,103.0,55067
2016-01-08 09:30:00,103.16,103.18,103.09,103.16,16110
2016-01-11 09:30:00,103.19,103.23,103.15,103.21,17057
2016-01-12 09:30:00,103.26,103.26,103.18,103.18,31991
2016-01-13 09:30:00,103.4,103.45,103.39,103.4,28478
2016-01-14 09:30:00,103.64,103.75,103.63,103.74,16713
2016-01-15 09:30:00,104.09,104.09,103.93,104.01,81469
2016-01-19 09:30:00,103.78,103.9,103.78,103.87,63770
2016-01-20 09:30:00,104.13,104.17,104.08,104.17,20855
2016-01-21 09:30:00,104.21,104.24,104.12,104.22,18078
2016-01-22 09:30:00,103.8,103.82,103.72,103.75,23783
2016-01-25 09:30:00,103.9,103.95,103.87,103.92,24722
2016-01-26 09:30:00,104.0,104.04,103.97,104.02,35225
2016-01-27 09:30:00,103.94,103.98,103.91,103.94,7563
2016-01-28 09:30:00,104.07,104.14,104.05,104.09,9241
2016-01-29 09:30:00,104.52,104.55,104.38,104.41,71091
2016-02-01 09:30:00,104.42,104.52,104.42,104.51,126430
2016-02-02 09:30:00,104.7,104.76,104.65,104.76,15094
2016-02-03 09:30:00,104.81,104.88,104.77,104.87,41913
2016-02-04 09:30:00,104.96,104.98,104.88,104.95,92364
2016-02-05 09:30:00,104.86,104.95,104.83,104.91,65933
2016-02-08 09:30:00,105.22,105.33,105.17,105.31,89798
2016-02-09 09:30:00,105.58,105.59,105.37,105.47,59216
2016-02-10 09:30:00,105.29,105.35,105.26,105.26,23329
2016-02-11 09:30:00,105.98,105.98,105.77,105.78,37326
2016-02-12 09:30:00,105.46,105.47,105.37,105.47,49520
2016-02-16 09:30:00,105.12,105.15,105.06,105.13,44860
2016-02-17 09:30:00,105.0,105.0,104.92,104.96,68170
2016-02-18 09:30:00,104.98,105.07,104.96,105.06,38687
2016-02-19 09:30:00,105.11,105.22,105.11,105.17,12469
2016-02-22 09:30:00,105.08,105.1,105.01,105.05,14740
2016-02-23 09:30:00,104.96,105.0,104.92,105.0,71328
2016-02-24 09:30:00,105.41,105.62,105.41,105.59,35017
2016-02-25 09:30:00,105.39,105.4,105.32,105.37,17020
2016-02-26 09:30:00,105.17,105.19,105.13,105.14,30727
2016-02-29 09:30:00,105.01,105.14,105.01,105.12,24783
