open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,66.64,66.75,66.01,66.2,45264
2016-01-05 09:30:00,66.3,66.92,66.17,66.17,25180
2016-01-06 09:30:00,65.22,65.68,64.84,65.68,21381
2016-01-07 09:30:00,64.24,64.6,64.14,64.4,77849
2016-01-08 09:30:00,64.16,64.16,63.84,63.99,34701
2016-01-11 09:30:00,63.18,63.38,62.63,62.8,14118
2016-01-12 09:30:00,63.27,63.65,62.92,63.3,21376
2016-01-13 09:30:00,63.32,64.01,62.98,63.53,38461
2016-01-14 09:30:00,62.21,62.4,61.34,61.46,25621
2016-01-15 09:30:00,61.28,62.02,61.28,61.79,31462
2016-01-19 09:30:00,62.42,62.53,61.72,62.17,24596
2016-01-20 09:30:00,60.59,61.0,60.35,60.48,35479
2016-01-21 09:30:00,61.19,61.49,60.36,60.45,53294
2016-01-22 09:30:00,61.31,62.04,61.26,61.96,30567
2016-01-25 09:30:00,61.54,61.58,60.9,61.24,18666
2016-01-26 09:30:00,60.91,61.66,60.57,61.3,54159
2016-01-27 09:30:00,61.79,62.82,61.61,62.36,36266
2016-01-28 09:30:00,62.71,64.1,60.71,60.97,219351
2016-01-29 09:30:00,61.39,62.78,61.03,62.68,50109
2016-02-01 09:30:00,63.79,63.81,62.96,63.35,36478
2016-02-02 09:30:00,62.17,62.5,61.88,62.31,32748
2016-02-03 09:30:00,62.94,62.96,62.59,62.59,17537
2016-02-04 09:30:00,63.14,64.85,63.14,64.69,16139
2016-02-05 09:30:00,64.45,65.03,64.15,65.03,33749
2016-02-08 09:30:00,63.68,63.74,63.3,63.65,29472
2016-02-09 09:30:00,63.01,63.5,62.1,63.19,32770
2016-02-10 09:30:00,63.39,63.77,62.56,63.24,25093
2016-02-11 09:30:00,61.95,63.16,61.95,63.09,38584
2016-02-12 09:30:00,62.96,63.67,62.96,62.97,35077
2016-02-16 09:30:00,64.07,64.24,63.52,63.66,59400
2016-02-17 09:30:00,65.3,65.3,64.89,65.04,46446
2016-02-18 09:30:00,65.41,65.93,65.06,65.64,25145
2016-02-19 09:30:00,65.49,65.74,64.97,65.46,24930
2016-02-22 09:30:00,66.74,67.91,66.58,67.07,44643
2016-02-23 09:30:00,66.78,67.28,66.68,66.92,24872
2016-02-24 09:30:00,65.51,65.51,64.94,65.36,18620
2016-02-25 09:30:00,66.31,66.81,65.73,65.84,34983
2016-02-26 09:30:00,66.79,67.17,66.41,66.44,25428
2016-02-29 09:30:00,66.94,67.34,66.94,67.22,11578
2016-03-01 09:30:00,67.05,67.17,66.41,66.52,22164
2016-03-02 09:30:00,67.66,67.89,67.36,67.53,20444
2016-03-03 09:30:00,68.1,68.55,68.1,68.19,10605
2016-03-04 09:30:00,68.67,69.11,68.57,68.65,17614
2016-03-07 09:30:00,68.84,69.51,68.52,68.94,20748
2016-03-08 09:30:00,69.03,69.03,68.23,68.23,23874
2016-03-09 09:30:00,68.56,68.68,68.47,68.65,6318
2016-03-10 09:30:00,68.58,68.58,68.19,68.46,23297
2016-03-11 09:30:00,68.63,68.95,68.58,68.74,14841
2016-03-14 09:30:00,68.62,69.1,68.57,68.96,23358
2016-03-15 09:30:00,68.33,68.64,68.19,68.62,17263
2016-03-16 09:30:00,69.03,69.4,69.02,69.23,16415
2016-03-17 09:30:00,70.41,70.72,70.2,70.72,40773
2016-03-18 09:30:00,71.26,72.23,71.26,72.23,144017
2016-03-21 09:30:00,72.04,72.27,71.57,72.13,32287
2016-03-22 09:30:00,72.81,72.88,72.36,72.82,35263
2016-03-23 09:30:00,73.1,73.13,72.43,72.65,37433
2016-03-24 09:30:00,72.07,72.32,71.85,72.05,23846
2016-03-28 09:30:00,72.65,72.8,72.38,72.38,12040
2016-03-29 09:30:00,72.58,72.95,71.93,72.89,13634
2016-03-30 09:30:00,74.25,74.29,73.82,73.82,9094
2016-03-31 09:30:00,73.67,73.95,73.63,73.67,5553
2016-04-01 09:30:00,72.99,73.06,72.23,72.44,44724
2016-04-04 09:30:00,73.55,74.04,73.1,73.24,53832
2016-04-05 09:30:00,71.7,72.01,71.43,71.78,28552
2016-04-06 09:30:00,71.58,71.73,71.2,71.24,9322
2016-04-07 09:30:00,71.57,71.7,71.42,71.58,12507
2016-04-08 09:30:00,72.03,72.6,71.96,72.58,18104
2016-04-11 09:30:00,72.11,72.71,72.11,72.53,20401
2016-04-12 09:30:00,72.29,72.75,72.29,72.67,8698
2016-04-13 09:30:00,73.25,73.44,73.09,73.38,18995
2016-04-14 09:30:00,74.17,74.36,73.13,73.56,19108
2016-04-15 09:30:00,74.06,74.2,73.96,74.2,6990
2016-04-18 09:30:00,73.92,74.2,73.92,74.13,7953
2016-04-19 09:30:00,75.69,76.81,75.03,75.68,145065
2016-04-20 09:30:00,74.9,75.07,74.58,74.58,21692
2016-04-21 09:30:00,74.25,74.52,74.16,74.49,20381
2016-04-22 09:30:00,73.66,74.42,73.66,74.24,14554
2016-04-25 09:30:00,73.78,74.32,73.78,74.07,9664
