open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,93.4,93.4,92.62,92.9,31122
2016-01-05 09:30:00,93.47,93.9,93.28,93.77,24675
2016-01-06 09:30:00,92.51,93.15,92.17,92.88,28457
2016-01-07 09:30:00,91.27,92.36,90.29,92.35,45936
2016-01-08 09:30:00,92.36,92.64,91.97,92.44,23035
2016-01-11 09:30:00,92.67,92.84,92.21,92.37,29710
2016-01-12 09:30:00,93.68,94.39,93.17,93.26,38090
2016-01-13 09:30:00,93.52,93.88,93.07,93.42,25653
2016-01-14 09:30:00,91.64,92.02,91.33,91.38,33851
2016-01-15 09:30:00,90.93,91.36,90.32,90.36,63984
2016-01-19 09:30:00,92.42,92.6,90.82,91.53,43181
2016-01-20 09:30:00,87.97,88.76,87.13,87.16,131498
2016-01-21 09:30:00,88.49,89.92,88.46,88.65,50972
2016-01-22 09:30:00,89.57,90.6,89.29,90.48,41250
2016-01-25 09:30:00,86.95,87.87,85.32,85.72,229222
2016-01-26 09:30:00,87.22,88.71,87.22,88.19,71727
2016-01-27 09:30:00,88.17,88.35,88.07,88.19,34575
2016-01-28 09:30:00,88.76,89.2,88.37,89.17,30084
2016-01-29 09:30:00,89.32,90.25,89.02,90.1,93942
2016-02-01 09:30:00,91.88,92.34,91.07,91.64,47571
2016-02-02 09:30:00,92.46,92.95,92.26,92.43,28536
2016-02-03 09:30:00,92.96,93.85,92.96,93.59,51010
2016-02-04 09:30:00,94.72,95.77,94.64,95.36,35055
2016-02-05 09:30:00,95.74,96.07,94.6,94.6,42507
2016-02-08 09:30:00,93.12,93.47,92.62,92.86,44424
2016-02-09 09:30:00,90.95,92.44,90.93,92.18,43966
2016-02-10 09:30:00,92.21,93.32,91.23,93.01,64278
2016-02-11 09:30:00,79.34,81.31,78.15,79.77,1090580
2016-02-12 09:30:00,79.73,81.3,79.73,80.95,206050
2016-02-16 09:30:00,83.43,84.02,82.56,82.91,141269
2016-02-17 09:30:00,84.86,85.92,84.77,84.82,49035
2016-02-18 09:30:00,83.92,84.3,83.16,83.95,44856
2016-02-19 09:30:00,83.16,83.28,82.34,82.34,75215
2016-02-22 09:30:00,83.7,84.76,83.7,84.18,76261
2016-02-23 09:30:00,82.2,82.83,81.95,82.59,56498
2016-02-24 09:30:00,81.03,82.5,80.77,82.5,71801
2016-02-25 09:30:00,83.88,84.25,83.15,83.17,21563
2016-02-26 09:30:00,83.28,83.48,82.98,82.98,41283
2016-02-29 09:30:00,82.22,82.83,82.12,82.33,40978
2016-03-01 09:30:00,82.35,82.88,82.2,82.52,67744
2016-03-02 09:30:00,83.96,84.06,82.57,83.08,88990
2016-03-03 09:30:00,83.5,83.75,82.57,82.71,90012
2016-03-04 09:30:00,83.32,83.4,82.91,82.97,37170
2016-03-07 09:30:00,83.62,84.75,83.45,84.27,47613
2016-03-08 09:30:00,83.1,83.97,82.83,83.58,53783
2016-03-09 09:30:00,84.67,85.16,83.77,84.63,36394
2016-03-10 09:30:00,85.26,85.86,84.81,85.61,31743
2016-03-11 09:30:00,86.1,86.7,85.47,86.54,40886
2016-03-14 09:30:00,86.33,87.33,86.19,87.1,32346
2016-03-15 09:30:00,86.88,87.02,86.47,86.77,27888
2016-03-16 09:30:00,86.6,87.36,86.6,87.26,19188
2016-03-17 09:30:00,88.08,88.38,87.56,88.09,33892
2016-03-18 09:30:00,89.33,89.99,89.08,89.65,133389
2016-03-21 09:30:00,89.74,90.1,89.1,89.24,22075
2016-03-22 09:30:00,89.88,89.96,88.28,89.39,28483
2016-03-23 09:30:00,90.37,90.67,89.49,90.19,29958
2016-03-24 09:30:00,89.32,90.17,88.65,90.11,68884
2016-03-28 09:30:00,89.96,90.26,89.89,89.93,7370
2016-03-29 09:30:00,89.93,90.12,89.57,89.83,17103
2016-03-30 09:30:00,91.56,91.76,91.44,91.53,18346
2016-03-31 09:30:00,90.97,91.32,90.51,90.54,13066
2016-04-01 09:30:00,89.8,90.0,89.61,89.84,33452
2016-04-04 09:30:00,92.37,92.37,91.24,91.24,41296
2016-04-05 09:30:00,91.26,91.9,91.14,91.83,15432
2016-04-06 09:30:00,91.71,92.04,91.56,91.91,23322
2016-04-07 09:30:00,93.02,93.62,92.86,93.6,24917
2016-04-08 09:30:00,93.41,94.36,93.4,94.13,20617
2016-04-11 09:30:00,93.77,93.98,93.23,93.37,26648
2016-04-12 09:30:00,93.32,93.71,93.29,93.4,11796
2016-04-13 09:30:00,94.55,95.14,94.43,94.93,65384
2016-04-14 09:30:00,95.3,95.44,94.73,94.86,33725
2016-04-15 09:30:00,94.65,95.25,94.65,95.24,60693
2016-04-18 09:30:00,94.59,95.13,94.38,94.97,11997
2016-04-19 09:30:00,96.71,97.37,96.25,97.37,50547
2016-04-20 09:30:00,96.59,97.1,95.38,95.71,49106
2016-04-21 09:30:00,95.55,95.71,94.98,94.98,20826
2016-04-22 09:30:00,95.44,95.6,95.09,95.21,29204
2016-04-25 09:30:00,95.31,95.46,94.66,95.3,83707
2016-04-26 09:30:00,95.33,95.98,94.91,95.92,17628
2016-04-27 09:30:00,95.61,95.84,95.02,95.71,6425
2016-04-28 09:30:00,94.6,95.2,94.34,95.18,17370
2016-04-29 09:30:00,94.63,94.66,93.91,94.11,9416
2016-05-02 09:30:00,95.01,95.48,94.67,94.87,21924
2016-05-03 09:30:00,94.22,94.44,94.01,94.44,16265
2016-05-04 09:30:00,94.34,94.79,93.99,94.79,12061
2016-05-05 09:30:00,94.63,95.08,94.29,94.42,32996
2016-05-06 09:30:00,94.12,94.12,93.65,93.83,26151
2016-05-09 09:30:00,94.15,94.87,93.94,94.87,39548
2016-05-10 09:30:00,96.39,100.47,96.0,100.04,169628
2016-05-11 09:30:00,99.97,100.47,98.83,99.01,77346
2016-05-12 09:30:00,98.56,99.36,98.27,98.95,50465
2016-05-13 09:30:00,99.87,100.17,99.57,99.97,29923
2016-05-16 09:30:00,100.09,101.04,100.08,100.79,26736
2016-05-17 09:30:00,100.82,101.2,100.26,100.76,43043
2016-05-18 09:30:00,100.75,101.04,100.12,100.74,98346
2016-05-19 09:30:00,100.35,100.51,99.77,100.16,71885
2016-05-20 09:30:00,101.85,102.48,101.58,102.06,55241
2016-05-23 09:30:00,101.51,101.51,100.59,100.9,52382
2016-05-24 09:30:00,101.66,101.74,100.39,101.42,65582
2016-05-25 09:30:00,101.79,102.23,101.79,101.95,35913
2016-05-26 09:30:00,102.38,102.55,102.06,102.15,25664
2016-05-27 09:30:00,102.27,102.5,101.82,102.04,22823
2016-05-31 09:30:00,102.5,102.69,101.89,101.91,29613
2016-06-01 09:30:00,102.34,102.67,101.81,102.27,80240
2016-06-02 09:30:00,102.2,102.2,101.67,101.92,17996
2016-06-03 09:30:00,101.93,102.11,101.47,101.47,18884
2016-06-06 09:30:00,102.24,102.85,101.77,102.84,18898
2016-06-07 09:30:00,102.42,102.9,102.0,102.66,21157
2016-06-08 09:30:00,102.94,103.4,102.21,103.24,40833
2016-06-09 09:30:00,103.41,103.61,103.07,103.35,31255
2016-06-10 09:30:00,102.35,102.35,101.15,102.01,86982
2016-06-13 09:30:00,101.41,102.0,101.41,101.7,23237
2016-06-14 09:30:00,100.39,100.39,98.75,98.75,124999
2016-06-15 09:30:00,101.62,101.62,100.75,100.85,32959
2016-06-16 09:30:00,99.82,100.1,98.8,98.97,65641
2016-06-17 09:30:00,99.92,99.92,98.66,99.22,77905
2016-06-20 09:30:00,100.12,100.89,100.08,100.86,60100
2016-06-21 09:30:00,101.22,101.38,100.79,101.15,72130
2016-06-22 09:30:00,101.18,101.35,100.81,100.85,108149
2016-06-23 09:30:00,101.37,102.37,101.01,101.75,38145
2016-06-24 09:30:00,98.6,100.56,97.91,99.66,177952
2016-06-27 09:30:00,96.5,96.85,94.97,95.0,77285
2016-06-28 09:30:00,95.62,96.41,95.3,96.0,71764
2016-06-29 09:30:00,97.54,98.12,97.31,97.99,55838
2016-06-30 09:30:00,99.2,99.48,98.8,99.05,34158
2016-07-01 09:30:00,102.07,102.07,100.58,101.34,35984
2016-07-05 09:30:00,100.14,100.54,99.77,99.92,24529
2016-07-06 09:30:00,99.96,100.46,99.71,100.4,24288
2016-07-07 09:30:00,101.16,101.76,101.0,101.76,30234
2016-07-08 09:30:00,102.41,102.88,102.33,102.67,19747
2016-07-11 09:30:00,103.59,103.85,102.96,103.22,18745
2016-07-12 09:30:00,103.84,104.45,102.93,104.21,30972
2016-07-13 09:30:00,104.75,105.04,104.59,104.91,26464
2016-07-14 09:30:00,106.03,106.03,105.49,105.69,39032
2016-07-15 09:30:00,105.31,105.74,105.03,105.5,64090
2016-07-18 09:30:00,105.08,105.5,104.61,104.97,16641
2016-07-19 09:30:00,104.91,105.61,104.88,105.51,18687
2016-07-20 09:30:00,105.96,107.18,105.1,106.15,75793
2016-07-21 09:30:00,106.4,106.58,105.84,105.99,15809
2016-07-22 09:30:00,106.02,106.25,105.7,106.23,16967
2016-07-25 09:30:00,106.88,107.29,106.88,107.24,14649
2016-07-26 09:30:00,108.01,108.01,107.55,107.68,22601
2016-07-27 09:30:00,107.07,107.07,106.24,106.65,23581
2016-07-28 09:30:00,105.92,106.4,105.78,106.32,20475
2016-07-29 09:30:00,106.14,106.41,105.51,105.8,18629
2016-08-01 09:30:00,106.25,106.25,105.59,106.22,16199
2016-08-02 09:30:00,106.14,106.17,105.8,105.83,23669
2016-08-03 09:30:00,106.11,106.11,105.39,105.41,18870
2016-08-04 09:30:00,106.99,107.77,106.84,107.77,25614
2016-08-05 09:30:00,108.4,108.49,107.69,107.72,51613
2016-08-08 09:30:00,106.5,106.72,105.3,105.44,56820
2016-08-09 09:30:00,108.66,111.4,107.7,110.94,173527
2016-08-10 09:30:00,108.76,108.99,107.84,108.02,44013
2016-08-11 09:30:00,108.18,108.64,108.08,108.08,14717
2016-08-12 09:30:00,107.94,108.43,107.7,108.37,22192
2016-08-15 09:30:00,108.37,108.38,107.99,108.04,17080
2016-08-16 09:30:00,108.24,108.24,107.32,107.36,32422
2016-08-17 09:30:00,106.95,107.0,106.73,106.79,23361
2016-08-18 09:30:00,107.08,107.91,107.08,107.82,27059
2016-08-19 09:30:00,108.76,108.76,107.75,107.92,25055
2016-08-22 09:30:00,109.49,109.49,108.84,109.04,11746
2016-08-23 09:30:00,110.21,110.81,109.9,110.02,17547
2016-08-24 09:30:00,110.01,110.48,109.78,110.12,20576
2016-08-25 09:30:00,109.66,110.23,109.3,110.02,11945
2016-08-26 09:30:00,110.57,110.86,110.24,110.61,11298
2016-08-29 09:30:00,108.77,109.75,108.77,109.38,18511
2016-08-30 09:30:00,109.84,110.53,109.54,110.06,76945
2016-08-31 09:30:00,110.13,110.72,110.13,110.46,20187
2016-09-01 09:30:00,110.15,110.6,110.0,110.31,81726
2016-09-02 09:30:00,110.79,110.97,110.53,110.64,26577
2016-09-06 09:30:00,111.08,111.19,110.49,110.82,64803
2016-09-07 09:30:00,110.84,110.84,109.98,110.49,34933
2016-09-08 09:30:00,110.96,110.97,110.45,110.73,16521
2016-09-09 09:30:00,109.74,109.82,108.8,108.8,49983
2016-09-12 09:30:00,106.74,107.7,106.74,107.09,58528
2016-09-13 09:30:00,107.86,108.5,107.27,108.47,49178
2016-09-14 09:30:00,107.74,107.74,107.06,107.18,29318
2016-09-15 09:30:00,107.12,107.42,106.74,107.19,36008
2016-09-16 09:30:00,107.72,107.91,106.99,107.26,88543
2016-09-19 09:30:00,108.7,109.06,108.7,108.97,9267
2016-09-20 09:30:00,110.49,110.7,110.24,110.52,22888
2016-09-21 09:30:00,110.61,111.54,110.61,111.49,43882
2016-09-22 09:30:00,113.27,113.36,112.91,113.34,28746
2016-09-23 09:30:00,113.42,113.59,113.07,113.08,20482
2016-09-26 09:30:00,112.13,112.76,112.13,112.66,36501
2016-09-27 09:30:00,112.13,112.35,111.66,112.35,19617
2016-09-28 09:30:00,113.38,113.69,113.1,113.46,50540
2016-09-29 09:30:00,113.58,114.25,113.26,113.58,105992
2016-09-30 09:30:00,113.75,114.35,113.43,113.43,29536
2016-10-03 09:30:00,114.4,114.97,113.98,113.98,65180
2016-10-04 09:30:00,113.71,114.27,113.58,114.23,28122
2016-10-05 09:30:00,112.61,112.77,112.29,112.46,14023
2016-10-06 09:30:00,110.32,110.42,109.66,110.31,35758
2016-10-07 09:30:00,110.82,110.82,109.9,109.92,27296
2016-10-10 09:30:00,110.55,111.0,109.9,110.73,14587
2016-10-11 09:30:00,110.08,110.08,109.18,109.38,17740
2016-10-12 09:30:00,108.14,108.14,106.69,106.7,46272
2016-10-13 09:30:00,104.05,104.45,103.36,103.4,62561
2016-10-14 09:30:00,104.85,104.85,104.09,104.24,34350
2016-10-17 09:30:00,103.8,103.97,103.51,103.73,31352
2016-10-18 09:30:00,104.15,104.15,103.1,103.16,21381
2016-10-19 09:30:00,104.16,104.54,103.55,103.55,58194
2016-10-20 09:30:00,103.51,104.08,103.4,104.08,26250
2016-10-21 09:30:00,102.93,103.12,102.57,103.09,42785
2016-10-24 09:30:00,104.24,104.77,104.04,104.41,31563
2016-10-25 09:30:00,104.13,104.13,103.13,103.7,33629
2016-10-26 09:30:00,104.33,105.21,104.17,105.14,70385
2016-10-27 09:30:00,105.89,106.57,105.65,106.57,62891
2016-10-28 09:30:00,106.93,107.53,106.93,107.25,54557
2016-10-31 09:30:00,107.97,107.97,106.37,106.37,47555
2016-11-01 09:30:00,104.77,105.61,104.77,105.45,24427
2016-11-02 09:30:00,107.09,107.23,106.61,106.91,54002
2016-11-03 09:30:00,104.58,104.84,104.18,104.44,15507
2016-11-04 09:30:00,103.71,103.96,102.65,102.65,29468
2016-11-07 09:30:00,104.08,104.92,104.02,104.88,29093
