open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,87.16,87.73,86.18,86.75,246069
2016-01-05 09:30:00,88.15,88.75,87.45,88.35,211808
2016-01-06 09:30:00,87.31,88.29,87.06,87.98,185183
2016-01-07 09:30:00,87.65,89.44,86.48,88.6,332769
2016-01-08 09:30:00,88.06,89.04,87.61,88.38,191761
2016-01-11 09:30:00,87.02,87.38,86.54,86.85,183354
2016-01-12 09:30:00,87.83,88.26,86.78,87.84,117098
2016-01-13 09:30:00,88.22,88.67,88.12,88.38,169125
2016-01-14 09:30:00,85.62,85.94,84.67,84.83,221229
2016-01-15 09:30:00,84.91,86.2,84.8,85.42,490112
2016-01-19 09:30:00,86.2,86.39,85.34,85.41,168864
2016-01-20 09:30:00,83.04,83.9,82.47,82.6,285212
2016-01-21 09:30:00,86.08,86.71,84.6,84.87,148697
2016-01-22 09:30:00,86.33,86.87,85.52,86.81,100339
2016-01-25 09:30:00,86.7,86.87,86.29,86.39,83181
2016-01-26 09:30:00,85.28,85.38,84.43,85.02,80302
2016-01-27 09:30:00,85.67,86.05,85.42,85.83,80840
2016-01-28 09:30:00,85.17,85.54,84.83,85.26,155376
2016-01-29 09:30:00,85.98,86.85,85.42,86.83,112443
2016-02-01 09:30:00,88.29,88.97,87.52,88.81,126487
2016-02-02 09:30:00,88.4,88.73,87.71,88.48,231383
2016-02-03 09:30:00,88.12,89.1,87.63,88.6,190895
2016-02-04 09:30:00,88.86,89.14,87.98,88.36,129494
2016-02-05 09:30:00,89.13,89.28,87.68,87.87,231943
2016-02-08 09:30:00,84.32,84.41,83.07,83.42,275142
2016-02-09 09:30:00,83.55,85.26,83.19,84.74,149265
2016-02-10 09:30:00,84.67,85.29,84.16,85.1,168659
2016-02-11 09:30:00,81.78,83.51,81.78,83.35,150758
2016-02-12 09:30:00,86.29,86.93,85.0,85.15,173583
2016-02-16 09:30:00,86.91,88.87,86.91,87.7,218357
2016-02-17 09:30:00,88.88,89.63,88.5,89.36,173206
