open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,24.55,24.58,24.36,24.42,490239
2016-01-05 09:30:00,24.95,25.01,24.78,24.8,293393
2016-01-06 09:30:00,24.76,24.83,24.55,24.72,396219
2016-01-07 09:30:00,24.31,24.49,24.22,24.34,308941
2016-01-08 09:30:00,23.99,24.24,23.89,23.92,544476
2016-01-11 09:30:00,23.94,24.08,23.91,24.08,436130
2016-01-12 09:30:00,24.26,24.37,24.2,24.26,255497
2016-01-13 09:30:00,24.15,24.45,24.09,24.36,393877
2016-01-14 09:30:00,23.9,23.96,23.71,23.73,275574
2016-01-15 09:30:00,23.45,24.1,23.45,23.95,743480
2016-01-19 09:30:00,24.29,24.33,23.8,24.04,432182
2016-01-20 09:30:00,23.14,23.23,22.7,22.74,500396
2016-01-21 09:30:00,23.42,23.48,23.1,23.1,240169
2016-01-22 09:30:00,23.81,24.25,23.81,24.24,303546
2016-01-25 09:30:00,23.12,23.13,22.21,22.8,2640468
2016-01-26 09:30:00,21.68,21.81,21.53,21.53,838167
2016-01-27 09:30:00,21.65,21.79,21.49,21.75,651621
2016-01-28 09:30:00,21.87,21.94,21.65,21.92,343564
2016-01-29 09:30:00,21.73,22.0,21.69,21.99,337989
2016-02-01 09:30:00,22.49,22.53,22.14,22.18,625336
2016-02-02 09:30:00,22.47,22.52,22.16,22.26,341439
2016-02-03 09:30:00,22.93,23.44,22.74,23.26,1024068
2016-02-04 09:30:00,22.62,22.77,22.4,22.76,604674
2016-02-05 09:30:00,23.17,23.24,23.02,23.13,559375
2016-02-08 09:30:00,22.8,22.87,22.53,22.57,432708
2016-02-09 09:30:00,22.47,22.67,22.36,22.59,342618
2016-02-10 09:30:00,23.25,23.62,23.09,23.53,839202
2016-02-11 09:30:00,22.66,22.85,22.34,22.62,483157
2016-02-12 09:30:00,22.48,22.78,22.44,22.71,809696
2016-02-16 09:30:00,23.13,23.2,22.99,23.03,268670
2016-02-17 09:30:00,23.63,24.0,23.61,23.94,366576
2016-02-18 09:30:00,23.8,23.84,23.49,23.61,284682
2016-02-19 09:30:00,23.31,23.31,22.47,22.48,1614049
2016-02-22 09:30:00,23.05,23.1,22.82,22.82,470057
2016-02-23 09:30:00,22.88,22.94,22.73,22.86,391291
2016-02-24 09:30:00,22.76,22.77,22.63,22.72,268231
2016-02-25 09:30:00,23.29,23.4,23.16,23.23,172476
2016-02-26 09:30:00,23.43,23.53,23.41,23.44,222462
2016-02-29 09:30:00,23.57,23.8,23.54,23.78,271906
2016-03-01 09:30:00,24.12,24.25,24.05,24.14,186822
2016-03-02 09:30:00,24.4,24.71,24.38,24.67,268926
2016-03-03 09:30:00,24.64,24.81,24.63,24.71,182715
2016-03-04 09:30:00,25.6,25.86,25.53,25.68,482358
2016-03-07 09:30:00,25.88,26.08,25.84,25.96,277574
2016-03-08 09:30:00,26.01,26.05,25.54,25.56,412484
2016-03-09 09:30:00,25.5,25.64,25.4,25.63,333259
2016-03-10 09:30:00,25.96,26.03,25.86,25.99,361323
2016-03-11 09:30:00,26.65,26.75,26.59,26.68,467673
2016-03-14 09:30:00,26.77,26.98,26.69,26.87,437174
2016-03-15 09:30:00,26.66,26.74,26.52,26.59,341572
2016-03-16 09:30:00,26.32,26.61,26.31,26.54,797120
2016-03-17 09:30:00,26.99,27.2,26.94,27.12,301282
2016-03-18 09:30:00,28.06,28.06,27.48,27.51,1227097
2016-03-21 09:30:00,27.42,28.18,27.42,27.96,730473
2016-03-22 09:30:00,27.6,27.69,27.42,27.62,385862
2016-03-23 09:30:00,27.57,27.71,27.42,27.69,205054
2016-03-24 09:30:00,27.12,27.24,26.93,27.24,221933
2016-03-28 09:30:00,27.38,27.46,27.14,27.23,189304
2016-03-29 09:30:00,27.3,27.32,27.01,27.13,311316
2016-03-30 09:30:00,27.82,27.82,27.54,27.58,302436
2016-03-31 09:30:00,27.45,27.5,27.21,27.26,338378
2016-04-01 09:30:00,27.28,27.29,27.08,27.12,376818
2016-04-04 09:30:00,27.46,27.5,27.3,27.46,300000
2016-04-05 09:30:00,26.84,26.94,26.65,26.94,555580
2016-04-06 09:30:00,26.75,26.75,26.35,26.43,295896
2016-04-07 09:30:00,26.68,26.88,26.68,26.76,130121
2016-04-08 09:30:00,26.73,26.98,26.71,26.88,177790
2016-04-11 09:30:00,27.06,27.24,26.99,27.23,348939
2016-04-12 09:30:00,27.02,27.06,26.88,27.01,225333
2016-04-13 09:30:00,27.36,27.48,27.32,27.43,187255
2016-04-14 09:30:00,27.72,27.75,27.32,27.32,244379
2016-04-15 09:30:00,27.38,27.67,27.36,27.63,473696
2016-04-18 09:30:00,27.84,27.87,27.72,27.87,149888
2016-04-19 09:30:00,28.17,28.79,28.15,28.77,378689
2016-04-20 09:30:00,28.76,28.85,28.68,28.74,224362
2016-04-21 09:30:00,28.74,29.08,28.61,28.88,495908
2016-04-22 09:30:00,28.61,28.75,28.59,28.67,160075
2016-04-25 09:30:00,28.7,28.82,28.52,28.55,561162
2016-04-26 09:30:00,28.76,29.07,28.74,29.06,224309
2016-04-27 09:30:00,29.5,29.86,29.22,29.39,644227
2016-04-28 09:30:00,29.23,29.37,28.86,29.25,379143
2016-04-29 09:30:00,29.12,29.29,29.0,29.01,247324
2016-05-02 09:30:00,28.99,29.13,28.71,29.11,741134
2016-05-03 09:30:00,28.6,28.67,28.24,28.31,549371
2016-05-04 09:30:00,28.12,28.27,28.05,28.26,255677
2016-05-05 09:30:00,28.09,28.18,27.85,28.07,292194
2016-05-06 09:30:00,27.76,28.01,27.64,27.89,127788
2016-05-09 09:30:00,28.25,28.34,28.14,28.32,348854
2016-05-10 09:30:00,28.54,28.7,28.51,28.68,181975
2016-05-11 09:30:00,28.84,29.01,28.78,28.8,127909
2016-05-12 09:30:00,29.04,29.08,28.83,28.84,188220
2016-05-13 09:30:00,28.46,28.56,28.4,28.42,194735
2016-05-16 09:30:00,28.13,28.23,27.97,27.98,278693
2016-05-17 09:30:00,27.96,27.96,27.32,27.5,1194040
2016-05-18 09:30:00,27.5,27.62,27.39,27.4,246030
2016-05-19 09:30:00,26.92,26.94,26.48,26.48,384280
2016-05-20 09:30:00,27.12,27.15,26.96,27.08,391210
2016-05-23 09:30:00,27.14,27.74,27.11,27.55,653027
2016-05-24 09:30:00,27.61,27.8,27.54,27.71,321071
2016-05-25 09:30:00,27.89,28.18,27.86,28.18,535459
2016-05-26 09:30:00,28.53,28.59,28.3,28.3,218156
2016-05-27 09:30:00,28.31,28.45,28.28,28.41,84734
2016-05-31 09:30:00,28.62,28.75,28.56,28.66,167799
2016-06-01 09:30:00,28.38,28.43,28.21,28.32,112804
2016-06-02 09:30:00,28.52,28.62,28.46,28.54,331764
2016-06-03 09:30:00,29.02,29.07,28.76,28.83,253647
2016-06-06 09:30:00,29.09,29.24,29.04,29.18,141795
2016-06-07 09:30:00,29.23,29.42,29.23,29.41,245036
2016-06-08 09:30:00,29.71,29.88,29.68,29.71,296913
2016-06-09 09:30:00,29.7,29.76,29.46,29.56,195132
2016-06-10 09:30:00,29.33,29.35,29.02,29.15,251944
2016-06-13 09:30:00,29.04,29.12,28.78,28.87,520954
2016-06-14 09:30:00,28.25,28.37,28.19,28.24,236532
2016-06-15 09:30:00,28.56,28.56,28.27,28.37,232591
2016-06-16 09:30:00,27.99,27.99,27.68,27.68,327900
2016-06-17 09:30:00,28.19,28.44,28.19,28.35,398262
2016-06-20 09:30:00,28.72,28.98,28.7,28.97,264370
2016-06-21 09:30:00,28.99,29.0,28.75,28.79,169012
2016-06-22 09:30:00,28.77,28.85,28.73,28.74,104301
2016-06-23 09:30:00,29.1,29.16,29.01,29.09,228147
