open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,15.7,15.7,15.42,15.5,312367
2016-01-05 09:30:00,15.69,16.04,15.68,15.95,845586
2016-01-06 09:30:00,15.74,15.87,15.69,15.82,278489
2016-01-07 09:30:00,15.34,15.5,15.26,15.47,269740
2016-01-08 09:30:00,15.3,15.38,15.21,15.36,181462
2016-01-11 09:30:00,15.2,15.23,15.05,15.08,176963
2016-01-12 09:30:00,15.14,15.25,15.1,15.19,388694
2016-01-13 09:30:00,15.1,15.21,15.08,15.19,750747
2016-01-14 09:30:00,14.92,14.99,14.84,14.86,516891
2016-01-15 09:30:00,14.93,15.07,14.93,15.01,623614
2016-01-19 09:30:00,15.08,15.1,14.79,14.86,251436
2016-01-20 09:30:00,14.69,14.79,14.46,14.47,332313
2016-01-21 09:30:00,14.47,14.56,14.37,14.48,559029
2016-01-22 09:30:00,15.09,15.11,14.99,15.11,383499
2016-01-25 09:30:00,15.07,15.15,14.86,14.96,490664
2016-01-26 09:30:00,14.99,15.1,14.94,15.08,516823
2016-01-27 09:30:00,15.26,15.41,15.2,15.32,168325
2016-01-28 09:30:00,15.3,15.3,15.14,15.24,221996
2016-01-29 09:30:00,15.17,15.36,15.17,15.35,204557
2016-02-01 09:30:00,15.3,15.35,15.22,15.25,522049
2016-02-02 09:30:00,15.22,15.26,15.03,15.04,466506
2016-02-03 09:30:00,15.07,15.1,14.96,15.01,429989
2016-02-04 09:30:00,15.1,15.25,15.03,15.07,403905
2016-02-05 09:30:00,14.91,15.02,14.84,14.84,451305
2016-02-08 09:30:00,14.25,14.25,13.98,14.05,679863
2016-02-09 09:30:00,13.74,14.04,13.57,13.95,977188
2016-02-10 09:30:00,14.06,14.27,13.96,14.26,534819
2016-02-11 09:30:00,13.77,13.9,13.69,13.86,417929
2016-02-12 09:30:00,14.09,14.15,13.74,13.79,518280
2016-02-16 09:30:00,14.08,14.3,14.08,14.18,962265
2016-02-17 09:30:00,14.32,14.45,14.26,14.38,413121
2016-02-18 09:30:00,14.27,14.36,14.22,14.28,291794
2016-02-19 09:30:00,14.27,14.31,14.19,14.21,283459
2016-02-22 09:30:00,14.62,14.67,14.45,14.59,705111
2016-02-23 09:30:00,14.59,14.72,14.48,14.72,923360
2016-02-24 09:30:00,14.49,14.49,14.36,14.44,238160
2016-02-25 09:30:00,14.73,14.86,14.72,14.72,368502
2016-02-26 09:30:00,14.91,14.99,14.87,14.93,235139
2016-02-29 09:30:00,14.76,14.86,14.73,14.83,122157
2016-03-01 09:30:00,14.86,14.89,14.75,14.79,323094
2016-03-02 09:30:00,14.91,14.96,14.83,14.85,365959
2016-03-03 09:30:00,14.77,14.81,14.7,14.72,345680
2016-03-04 09:30:00,14.84,14.94,14.77,14.85,527662
2016-03-07 09:30:00,14.72,14.8,14.62,14.73,195836
2016-03-08 09:30:00,14.64,14.77,14.62,14.73,180906
2016-03-09 09:30:00,14.67,14.76,14.67,14.75,155511
2016-03-10 09:30:00,14.7,14.73,14.57,14.65,348564
2016-03-11 09:30:00,14.64,14.7,14.61,14.68,141022
2016-03-14 09:30:00,14.65,14.73,14.64,14.67,415311
2016-03-15 09:30:00,14.64,14.7,14.6,14.7,199411
2016-03-16 09:30:00,14.61,14.64,14.55,14.57,442424
2016-03-17 09:30:00,14.76,14.87,14.73,14.85,186557
2016-03-18 09:30:00,14.91,15.0,14.87,14.94,629990
2016-03-21 09:30:00,14.8,14.81,14.74,14.8,110829
2016-03-22 09:30:00,14.83,14.84,14.72,14.79,255283
2016-03-23 09:30:00,14.87,14.87,14.79,14.87,142206
2016-03-24 09:30:00,14.89,14.9,14.85,14.88,303773
2016-03-28 09:30:00,14.97,15.22,14.95,14.97,467553
2016-03-29 09:30:00,15.16,15.23,15.05,15.2,392813
2016-03-30 09:30:00,15.69,15.69,15.57,15.6,443682
