open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,67.85,67.92,67.19,67.19,39546
2016-01-05 09:30:00,66.99,67.8,66.8,67.72,53729
2016-01-06 09:30:00,66.45,66.73,66.11,66.28,82129
2016-01-07 09:30:00,66.25,66.25,65.51,65.91,51406
2016-01-08 09:30:00,65.4,65.97,65.32,65.77,60497
2016-01-11 09:30:00,65.13,65.59,64.83,64.86,121737
2016-01-12 09:30:00,64.95,65.86,64.78,65.58,42439
2016-01-13 09:30:00,65.8,66.21,65.01,65.55,54724
2016-01-14 09:30:00,63.74,64.04,62.721,62.8,99442
2016-01-15 09:30:00,62.3,63.36,62.3,62.732,63255
2016-01-19 09:30:00,63.81,64.39,63.21,63.93,44799
2016-01-20 09:30:00,62.51,62.9,61.57,62.1,126937
2016-01-21 09:30:00,63.43,64.07,62.755,62.92,82407
2016-01-22 09:30:00,62.94,63.67,62.665,62.94,53559
2016-01-25 09:30:00,63.01,64.0,63.01,63.33,113109
2016-01-26 09:30:00,62.97,63.44,62.33,62.33,80215
2016-01-27 09:30:00,63.32,63.54,62.58,62.58,20578
2016-01-28 09:30:00,62.15,62.66,61.59,61.85,31588
2016-01-29 09:30:00,60.75,61.007,60.38,60.5,60662
2016-02-01 09:30:00,60.86,61.6,60.72,60.9836,56054
2016-02-02 09:30:00,60.22,60.27,59.81,60.105,54308
2016-02-03 09:30:00,58.52,59.49,57.68,57.74,51920
2016-02-04 09:30:00,58.23,58.68,57.195,58.635,80384
2016-02-05 09:30:00,59.53,59.53,58.21,58.25,92119
2016-02-08 09:30:00,56.87,57.3,56.3501,56.49,52515
2016-02-09 09:30:00,55.11,56.9,55.011,56.52,34932
2016-02-10 09:30:00,56.93,58.97,56.6,58.84,64351
2016-02-11 09:30:00,59.93,60.83,57.72,57.8,222453
2016-02-12 09:30:00,60.95,62.47,60.95,61.11,198401
2016-02-16 09:30:00,60.23,61.965,60.23,61.48,140226
2016-02-17 09:30:00,62.03,63.19,61.98,62.96,66684
2016-02-18 09:30:00,63.27,63.58,62.79,63.56,57655
2016-02-19 09:30:00,62.31,62.598,61.41,62.29,93060
2016-02-22 09:30:00,64.0,64.85,63.63,63.69,134114
2016-02-23 09:30:00,62.31,62.94,62.14,62.32,55689
2016-02-24 09:30:00,60.97,61.53,60.96,61.03,148537
2016-02-25 09:30:00,62.49,63.18,62.44,62.67,42278
2016-02-26 09:30:00,62.9,63.41,62.82,63.39,29396
2016-02-29 09:30:00,63.26,63.63,62.485,63.42,41682
2016-03-01 09:30:00,62.92,63.9,62.8101,63.8,53083
2016-03-02 09:30:00,65.0,65.28,64.75,64.86,30081
2016-03-03 09:30:00,65.29,65.49,64.36,64.47,50170
2016-03-04 09:30:00,64.72,65.19,64.27,64.88,29468
2016-03-07 09:30:00,65.31,65.4,64.74,64.74,25230
2016-03-08 09:30:00,65.09,65.38,64.76,65.33,43581
2016-03-09 09:30:00,65.75,66.08,65.15,65.37,43049
2016-03-10 09:30:00,65.55,66.175,65.55,66.08,15679
2016-03-11 09:30:00,65.89,65.89,65.32,65.77,20580
2016-03-14 09:30:00,67.01,67.335,66.35,66.35,31418
2016-03-15 09:30:00,66.31,66.48,65.805,66.28,176378
2016-03-16 09:30:00,65.25,65.89,65.03,65.49,23038
2016-03-17 09:30:00,65.0,65.0,64.22,64.25,19265
2016-03-18 09:30:00,64.7,65.0,64.36,64.4,51433
2016-03-21 09:30:00,64.82,64.96,64.46,64.9,15371
2016-03-22 09:30:00,64.17,64.78,64.02,64.6,55126
2016-03-23 09:30:00,65.38,65.83,64.85,65.44,110079
2016-03-24 09:30:00,64.26,64.865,64.16,64.81,50815
2016-03-28 09:30:00,63.66,64.49,63.52,64.06,44015
2016-03-29 09:30:00,63.96,63.96,63.49,63.825,30696
2016-03-30 09:30:00,65.49,65.78,64.9,64.9,33665
2016-03-31 09:30:00,64.61,65.3,64.6,65.24,25566
2016-04-01 09:30:00,64.62,65.84,64.48,65.785,33168
2016-04-04 09:30:00,67.49,67.79,67.1601,67.645,21762
2016-04-05 09:30:00,68.0,68.6,67.7801,68.6,44282
2016-04-06 09:30:00,67.58,68.71,67.58,68.52,45058
2016-04-07 09:30:00,69.94,70.07,69.42,69.92,50320
2016-04-08 09:30:00,70.55,70.95,70.2,70.81,44603
2016-04-11 09:30:00,71.23,71.44,70.71,70.815,55902
2016-04-12 09:30:00,70.14,70.44,69.43,69.43,31209
2016-04-13 09:30:00,69.88,70.11,69.67,70.01,35073
2016-04-14 09:30:00,69.99,70.27,69.35,69.61,124703
2016-04-15 09:30:00,69.6,69.96,69.4546,69.59,36877
2016-04-18 09:30:00,69.69,69.74,69.44,69.65,29063
2016-04-19 09:30:00,70.09,70.09,69.39,70.0,29453
2016-04-20 09:30:00,70.0,70.21,69.46,69.92,25827
2016-04-21 09:30:00,70.09,70.4898,69.71,70.11,16613
2016-04-22 09:30:00,69.88,70.53,69.7,70.1,14135
2016-04-25 09:30:00,70.1,70.67,69.62,70.63,51977
2016-04-26 09:30:00,70.06,70.11,69.57,69.91,55026
2016-04-27 09:30:00,70.02,70.08,69.76,69.98,7237
2016-04-28 09:30:00,69.45,69.7,68.48,69.68,80084
2016-04-29 09:30:00,70.0,70.17,69.14,69.39,72492
2016-05-02 09:30:00,69.47,69.665,68.82,69.14,177309
2016-05-03 09:30:00,64.75,64.89,62.95,64.21,1083182
2016-05-04 09:30:00,65.07,66.0,64.34,65.0,696135
2016-05-05 09:30:00,65.02,65.37,64.7,64.81,65577
2016-05-06 09:30:00,64.44,65.42,63.94,65.25,182679
2016-05-09 09:30:00,65.93,67.13,65.84,66.92,110523
2016-05-10 09:30:00,67.64,68.0,67.0857,67.19,132359
2016-05-11 09:30:00,67.85,67.87,67.37,67.42,109104
2016-05-12 09:30:00,65.57,65.905,64.67,65.03,231059
2016-05-13 09:30:00,65.31,66.05,65.03,65.495,84925
2016-05-16 09:30:00,65.75,65.84,65.37,65.64,39414
2016-05-17 09:30:00,65.51,65.67,65.19,65.2,83023
2016-05-18 09:30:00,65.51,65.7,65.21,65.36,103037
2016-05-19 09:30:00,65.41,66.0,65.275,65.275,42296
2016-05-20 09:30:00,65.12,66.01,64.78,65.99,76334
2016-05-23 09:30:00,66.56,66.84,66.27,66.82,60907
2016-05-24 09:30:00,66.1,66.1,65.53,65.895,91529
2016-05-25 09:30:00,67.0,67.0,66.49,66.655,133860
2016-05-26 09:30:00,66.84,66.895,66.51,66.64,69374
2016-05-27 09:30:00,66.58,67.07,66.51,66.605,77927
2016-05-31 09:30:00,66.99,67.04,66.64,66.78,52003
2016-06-01 09:30:00,67.64,67.81,67.31,67.48,101127
2016-06-02 09:30:00,67.51,67.95,67.51,67.71,67427
2016-06-03 09:30:00,67.63,67.65,66.98,67.07,90107
2016-06-06 09:30:00,67.46,67.54,66.89,67.035,29987
2016-06-07 09:30:00,67.14,67.33,66.76,67.0,63146
2016-06-08 09:30:00,66.82,66.97,66.65,66.96,205826
2016-06-09 09:30:00,66.44,66.77,66.16,66.72,106356
2016-06-10 09:30:00,65.75,66.47,65.75,66.35,97872
2016-06-13 09:30:00,65.42,66.08,65.09,65.8,89689
2016-06-14 09:30:00,65.16,65.48,65.16,65.295,51485
2016-06-15 09:30:00,65.14,65.4,64.98,65.28,58940
2016-06-16 09:30:00,65.04,65.04,64.69,64.86,32534
2016-06-17 09:30:00,64.57,64.99,64.57,64.94,38076
2016-06-20 09:30:00,64.33,64.51,64.16,64.36,41423
2016-06-21 09:30:00,64.01,64.01,63.66,63.94,42730
2016-06-22 09:30:00,63.7,64.06,63.66,63.83,29466
2016-06-23 09:30:00,64.49,64.7,64.27,64.35,45893
2016-06-24 09:30:00,62.89,63.9,62.89,63.6,84827
2016-06-27 09:30:00,62.78,62.83,62.09,62.1,72755
2016-06-28 09:30:00,61.92,62.345,61.78,62.18,85637
2016-06-29 09:30:00,62.82,62.9,62.2614,62.81,55675
2016-06-30 09:30:00,63.52,64.32,63.41,64.01,88417
2016-07-01 09:30:00,65.14,65.84,65.005,65.8,106833
2016-07-05 09:30:00,67.21,67.21,66.76,67.01,139998
2016-07-06 09:30:00,66.88,67.51,66.85,67.49,71637
2016-07-07 09:30:00,68.4,68.65,68.14,68.32,43838
2016-07-08 09:30:00,69.22,69.47,68.91,69.33,92016
2016-07-11 09:30:00,71.94,71.94,70.98,71.09,141740
2016-07-12 09:30:00,71.34,71.59,70.93,71.375,212309
2016-07-13 09:30:00,71.42,71.78,71.115,71.29,91172
2016-07-14 09:30:00,71.53,71.96,71.33,71.94,48889
2016-07-15 09:30:00,72.89,73.15,72.695,72.86,63246
2016-07-18 09:30:00,71.58,72.23,71.58,72.16,40722
2016-07-19 09:30:00,72.08,72.48,72.08,72.36,35485
2016-07-20 09:30:00,72.14,72.88,72.04,72.88,87420
2016-07-21 09:30:00,73.39,73.66,73.0,73.03,219499
2016-07-22 09:30:00,72.99,73.16,72.77,72.95,38113
2016-07-25 09:30:00,73.89,74.2,73.8588,73.965,48184
2016-07-26 09:30:00,74.23,74.75,73.68,74.54,56624
2016-07-27 09:30:00,74.2,75.91,72.48,74.0499,503106
2016-07-28 09:30:00,75.55,76.33,75.13,76.185,109443
2016-07-29 09:30:00,76.23,77.83,76.1,76.52,801702
2016-08-01 09:30:00,77.89,78.51,77.75,78.29,104207
2016-08-02 09:30:00,77.95,78.26,77.51,77.7,124267
2016-08-03 09:30:00,77.66,77.85,77.14,77.17,46423
2016-08-04 09:30:00,77.04,77.53,77.04,77.05,37089
2016-08-05 09:30:00,77.77,78.31,77.72,78.13,45171
2016-08-08 09:30:00,77.45,77.56,76.83,76.89,57457
2016-08-09 09:30:00,76.78,77.03,76.505,76.56,58916
2016-08-10 09:30:00,76.5,76.5,75.94,76.08,50596
2016-08-11 09:30:00,76.98,76.98,76.755,76.79,63383
2016-08-12 09:30:00,76.64,76.81,76.36,76.52,89004
2016-08-15 09:30:00,76.4,76.71,76.305,76.335,30907
2016-08-16 09:30:00,76.44,76.63,76.12,76.45,24474
2016-08-17 09:30:00,76.12,76.44,75.95,76.08,37792
2016-08-18 09:30:00,74.18,75.26,73.85,75.26,139886
2016-08-19 09:30:00,75.12,75.12,74.45,74.82,66872
2016-08-22 09:30:00,75.09,75.9126,75.09,75.84,45279
2016-08-23 09:30:00,76.9,76.96,76.38,76.5,56150
2016-08-24 09:30:00,76.01,76.135,75.66,75.89,81781
2016-08-25 09:30:00,75.36,76.0,75.32,75.92,51743
2016-08-26 09:30:00,75.64,75.8,75.465,75.56,23324
2016-08-29 09:30:00,75.53,76.89,75.03,76.89,100897
2016-08-30 09:30:00,77.24,77.72,77.0,77.39,46466
2016-08-31 09:30:00,76.94,77.395,76.585,77.39,89679
2016-09-01 09:30:00,77.46,77.54,77.055,77.11,26680
2016-09-02 09:30:00,77.46,77.78,77.13,77.63,30137
2016-09-06 09:30:00,77.02,77.21,76.66,76.965,20030
2016-09-07 09:30:00,76.18,76.75,75.6703,76.69,56741
2016-09-08 09:30:00,77.61,77.74,77.34,77.5,19673
2016-09-09 09:30:00,77.06,77.25,76.5,77.25,64409
2016-09-12 09:30:00,76.67,76.79,76.35,76.61,79691
2016-09-13 09:30:00,77.23,77.67,77.18,77.27,101630
2016-09-14 09:30:00,77.59,78.36,77.53,77.86,47824
2016-09-15 09:30:00,78.13,78.13,77.495,77.79,104148
2016-09-16 09:30:00,77.65,77.89,77.27,77.62,71256
2016-09-19 09:30:00,77.6,77.77,77.28,77.73,88957
2016-09-20 09:30:00,77.25,77.865,77.25,77.79,66093
2016-09-21 09:30:00,77.65,77.91,77.6,77.86,10657
2016-09-22 09:30:00,78.39,78.54,78.15,78.21,39134
2016-09-23 09:30:00,77.85,78.04,77.53,77.57,37856
2016-09-26 09:30:00,79.2,79.345,78.42,78.485,47315
2016-09-27 09:30:00,78.98,79.22,78.88,79.11,26905
2016-09-28 09:30:00,79.85,79.93,79.34,79.42,57266
2016-09-29 09:30:00,79.41,80.48,79.41,80.44,70497
2016-09-30 09:30:00,79.18,79.62,79.01,79.5,72112
2016-10-03 09:30:00,80.87,81.055,79.59,79.61,230235
2016-10-04 09:30:00,80.2,80.78,79.885,80.13,89428
2016-10-05 09:30:00,79.38,80.78,79.21,80.67,279296
2016-10-06 09:30:00,80.64,80.64,78.75,79.3164,127035
2016-10-07 09:30:00,79.07,79.39,78.72,78.72,52410
2016-10-10 09:30:00,80.04,80.04,78.98,79.27,100231
2016-10-11 09:30:00,79.3,79.59,78.89,78.98,48020
2016-10-12 09:30:00,77.1,77.34,76.74,76.79,66003
2016-10-13 09:30:00,75.56,76.0,74.94,74.95,62802
2016-10-14 09:30:00,75.51,76.57,75.51,76.1,55637
2016-10-17 09:30:00,75.37,75.51,75.13,75.4,33109
2016-10-18 09:30:00,76.07,76.19,75.66,75.97,263156
2016-10-19 09:30:00,74.99,76.0,74.99,75.85,116729
2016-10-20 09:30:00,75.0,75.42,74.5,74.59,172816
2016-10-21 09:30:00,74.28,74.675,74.07,74.4,142843
2016-10-24 09:30:00,74.39,74.45,73.92,74.0,138950
2016-10-25 09:30:00,74.32,74.49,74.0,74.42,93768
2016-10-26 09:30:00,74.46,74.46,73.93,73.93,276860
2016-10-27 09:30:00,72.42,72.42,71.165,71.56,465481
2016-10-28 09:30:00,71.81,72.27,71.31,71.81,76835
2016-10-31 09:30:00,72.09,72.245,71.55,71.93,112816
2016-11-01 09:30:00,71.94,72.17,71.67,71.77,140758
2016-11-02 09:30:00,70.75,73.85,70.1,73.715,241727
2016-11-03 09:30:00,72.43,73.585,72.43,73.37,88262
2016-11-04 09:30:00,72.23,73.22,72.23,72.72,95420
2016-11-07 09:30:00,73.54,73.68,73.03,73.37,208101
2016-11-08 09:30:00,74.27,75.35,74.2,75.2601,205289
2016-11-09 09:30:00,77.55,79.51,76.52,78.06,357601
2016-11-10 09:30:00,78.09,78.465,77.64,77.71,114969
2016-11-11 09:30:00,77.89,78.6699,77.386,78.26,79188
2016-11-14 09:30:00,77.39,77.95,76.35,76.35,152480
2016-11-15 09:30:00,76.98,76.98,76.5101,76.74,84787
2016-11-16 09:30:00,77.85,77.95,77.24,77.385,48850
