open_date,open,high,low,close,volume_base
2017-05-15 09:30:00,21.92,23.05,21.92,22.49,359538
2017-05-16 09:30:00,23.15,23.26,23.07,23.26,77757
2017-05-17 09:30:00,23.11,23.25,22.61,22.76,74427
2017-05-18 09:30:00,23.15,23.42,22.93,23.11,95618
2017-05-19 09:30:00,23.54,23.66,23.29,23.55,33926
2017-05-22 09:30:00,23.79,24.07,23.56,23.62,21726
2017-05-23 09:30:00,23.99,23.99,23.63,23.78,8187
2017-05-24 09:30:00,24.56,24.62,24.22,24.35,6132
2017-05-25 09:30:00,24.31,24.54,24.23,24.45,20686
2017-05-26 09:30:00,23.53,23.94,23.33,23.71,25538
2017-05-30 09:30:00,24.0,24.3,23.85,23.85,34961
2017-05-31 09:30:00,23.97,23.98,23.65,23.71,5622
2017-06-01 09:30:00,23.9,24.21,23.9,24.13,35421
2017-06-02 09:30:00,23.88,24.01,23.86,24.01,14890
2017-06-05 09:30:00,23.59,23.77,23.59,23.69,7691
2017-06-06 09:30:00,22.78,23.43,22.78,23.3,117780
2017-06-07 09:30:00,23.48,23.8,23.37,23.8,23054
2017-06-08 09:30:00,22.8,22.99,22.68,22.84,18509
2017-06-09 09:30:00,22.72,23.06,22.72,22.81,7870
2017-06-12 09:30:00,23.54,24.04,22.94,23.89,70170
2017-06-13 09:30:00,24.1,24.23,23.9,23.99,43388
2017-06-14 09:30:00,24.7,24.85,24.48,24.59,48793
2017-06-15 09:30:00,24.19,24.32,23.95,24.2,43422
2017-06-16 09:30:00,24.11,24.37,24.11,24.35,48117
2017-06-19 09:30:00,25.11,25.38,24.96,25.01,16123
2017-06-20 09:30:00,24.77,24.86,23.79,23.79,68807
2017-06-21 09:30:00,23.63,23.84,23.27,23.35,43412
2017-06-22 09:30:00,21.7,21.86,21.51,21.52,20250
2017-06-23 09:30:00,22.04,22.12,21.47,21.47,44184
2017-06-26 09:30:00,21.4,21.61,21.25,21.36,31893
2017-06-27 09:30:00,21.55,22.03,21.4,21.69,31858
2017-06-28 09:30:00,22.3,22.52,22.2,22.28,9649
2017-06-29 09:30:00,22.36,22.51,22.05,22.13,54162
2017-06-30 09:30:00,22.58,22.64,22.5,22.55,5251
2017-07-03 09:30:00,22.56,22.86,22.42,22.83,27761
2017-07-05 09:30:00,23.46,23.49,23.11,23.21,12615
2017-07-06 09:30:00,22.65,22.65,22.19,22.21,54536
2017-07-07 09:30:00,22.0,22.23,21.79,22.14,8801
2017-07-10 09:30:00,21.62,22.28,21.54,22.12,69360
2017-07-11 09:30:00,22.25,22.44,22.03,22.38,107431
2017-07-12 09:30:00,22.83,23.05,22.78,22.94,50042
2017-07-13 09:30:00,23.17,23.17,22.94,23.02,3401
2017-07-14 09:30:00,23.2,23.36,23.1,23.13,10579
2017-07-17 09:30:00,23.12,23.35,22.98,23.3,41240
2017-07-18 09:30:00,23.93,24.12,23.93,24.11,19944
2017-07-19 09:30:00,24.14,24.38,24.11,24.36,87465
2017-07-20 09:30:00,24.54,24.57,24.25,24.42,9546
2017-07-21 09:30:00,24.57,24.83,24.37,24.66,47639
2017-07-24 09:30:00,23.97,24.08,23.8,23.98,43488
2017-07-25 09:30:00,24.4,24.63,24.3,24.39,101945
2017-07-26 09:30:00,24.74,24.74,24.26,24.41,16709
2017-07-27 09:30:00,23.91,23.98,23.84,23.87,6197
2017-07-28 09:30:00,24.19,24.26,24.04,24.26,947
2017-07-31 09:30:00,24.24,24.35,24.05,24.05,10269
2017-08-01 09:30:00,24.11,24.11,23.86,23.94,22247
2017-08-02 09:30:00,23.58,23.76,23.58,23.64,31903
2017-08-03 09:30:00,24.98,24.98,24.33,24.54,234255
2017-08-04 09:30:00,24.59,24.79,24.42,24.69,16884
2017-08-07 09:30:00,25.25,25.5,25.07,25.49,231386
2017-08-08 09:30:00,25.05,25.22,24.87,25.12,54655
2017-08-09 09:30:00,25.2,25.22,24.89,24.99,13009
2017-08-10 09:30:00,24.52,24.52,24.21,24.24,149397
2017-08-11 09:30:00,23.35,24.01,23.35,23.72,33061
2017-08-14 09:30:00,23.99,24.04,23.23,23.82,18280
2017-08-15 09:30:00,23.85,23.85,23.71,23.74,8697
2017-08-16 09:30:00,23.9,23.97,23.68,23.79,53504
2017-08-17 09:30:00,23.69,23.91,23.52,23.81,13036
2017-08-18 09:30:00,22.96,23.13,22.81,23.03,82771
2017-08-21 09:30:00,24.14,24.14,23.28,23.44,91961
2017-08-22 09:30:00,23.6,23.73,23.48,23.64,22485
2017-08-23 09:30:00,23.67,24.02,23.67,23.81,13697
2017-08-24 09:30:00,24.09,24.09,23.76,23.81,9268
2017-08-25 09:30:00,23.92,23.95,23.8,23.91,24125
2017-08-28 09:30:00,24.18,24.18,23.95,24.07,16896
2017-08-29 09:30:00,23.94,23.99,23.82,23.9,3540
2017-08-30 09:30:00,24.05,24.29,23.99,24.12,19015
2017-08-31 09:30:00,24.6,24.67,24.41,24.61,9209
2017-09-01 09:30:00,24.84,25.0,24.83,24.92,81911
2017-09-05 09:30:00,24.92,25.02,24.58,24.64,22785
2017-09-06 09:30:00,24.44,24.44,24.02,24.24,21935
2017-09-07 09:30:00,24.69,24.69,24.42,24.49,16403
2017-09-08 09:30:00,24.79,25.0,24.76,24.79,9675
2017-09-11 09:30:00,25.24,25.71,25.12,25.38,24299
2017-09-12 09:30:00,25.35,25.9,25.15,25.73,59094
2017-09-13 09:30:00,25.9,26.13,25.87,25.9,11800
2017-09-14 09:30:00,26.0,26.22,25.89,26.2,14840
2017-09-15 09:30:00,26.34,26.44,26.09,26.16,12770
2017-09-18 09:30:00,26.52,26.97,26.52,26.85,19249
2017-09-19 09:30:00,27.28,27.59,27.23,27.26,15260
2017-09-20 09:30:00,27.25,27.44,27.09,27.17,13874
2017-09-21 09:30:00,27.33,27.49,27.24,27.27,19951
2017-09-22 09:30:00,27.27,27.41,27.08,27.29,8206
2017-09-25 09:30:00,27.73,28.09,27.7,27.82,40650
2017-09-26 09:30:00,27.93,28.18,27.74,28.15,59302
2017-09-27 09:30:00,27.82,27.82,27.62,27.76,8286
2017-09-28 09:30:00,28.69,28.78,28.5,28.7,20902
2017-09-29 09:30:00,28.89,29.06,28.82,29.06,9754
2017-10-02 09:30:00,28.9,29.29,28.68,29.18,76600
2017-10-03 09:30:00,29.45,29.45,29.14,29.27,54593
2017-10-04 09:30:00,28.98,29.08,28.72,28.8,53720
2017-10-05 09:30:00,28.37,28.45,28.3,28.37,12145
2017-10-06 09:30:00,28.04,28.28,27.92,28.22,17066
2017-10-09 09:30:00,27.71,28.13,27.64,28.13,31575
2017-10-10 09:30:00,28.29,28.61,28.22,28.57,17492
2017-10-11 09:30:00,28.32,28.44,28.32,28.35,8001
2017-10-12 09:30:00,28.13,28.16,28.03,28.07,7450
2017-10-13 09:30:00,28.57,28.61,27.95,28.13,63104
2017-10-16 09:30:00,28.45,28.48,28.26,28.45,15392
2017-10-17 09:30:00,28.34,28.44,28.22,28.44,7399
2017-10-18 09:30:00,28.37,28.51,28.18,28.51,37361
2017-10-19 09:30:00,27.89,28.09,27.5,27.69,29816
2017-10-20 09:30:00,27.91,28.13,27.82,28.01,91304
2017-10-23 09:30:00,28.01,28.04,27.68,27.8,37673
2017-10-24 09:30:00,27.95,28.15,27.91,27.91,108310
2017-10-25 09:30:00,28.15,28.21,27.76,27.76,8750
