open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,15.52,15.54,15.34,15.41,95303
2016-01-05 09:30:00,15.58,15.63,15.49,15.53,53559
2016-01-06 09:30:00,15.68,15.74,15.68,15.71,36238
2016-01-07 09:30:00,15.47,15.5,15.4,15.48,44142
2016-01-08 09:30:00,15.27,15.41,15.16,15.16,74381
2016-01-11 09:30:00,14.97,14.97,14.82,14.83,62027
2016-01-12 09:30:00,15.09,15.13,14.92,14.93,47743
2016-01-13 09:30:00,14.71,14.92,14.66,14.71,57577
2016-01-14 09:30:00,14.53,14.55,14.33,14.35,114397
2016-01-15 09:30:00,14.31,14.47,14.19,14.33,215934
2016-01-19 09:30:00,14.54,14.56,14.39,14.54,87564
2016-01-20 09:30:00,14.22,14.29,13.96,13.98,92239
2016-01-21 09:30:00,14.28,14.39,14.12,14.15,62446
2016-01-22 09:30:00,14.57,14.81,14.56,14.81,65923
2016-01-25 09:30:00,14.75,14.76,14.57,14.75,113359
2016-01-26 09:30:00,14.74,14.93,14.68,14.75,134240
2016-01-27 09:30:00,14.88,14.96,14.82,14.91,66875
2016-01-28 09:30:00,15.13,15.19,14.98,15.19,69728
2016-01-29 09:30:00,15.28,15.34,15.17,15.32,110702
2016-02-01 09:30:00,15.63,15.82,15.58,15.82,89181
2016-02-02 09:30:00,15.57,15.63,15.32,15.33,100157
2016-02-03 09:30:00,15.52,15.58,15.45,15.49,78152
2016-02-04 09:30:00,15.71,15.79,15.58,15.79,110613
2016-02-05 09:30:00,15.64,15.68,15.47,15.63,166799
2016-02-08 09:30:00,15.49,15.5,15.27,15.32,430160
2016-02-09 09:30:00,15.29,15.47,15.21,15.45,321000
2016-02-10 09:30:00,15.39,15.56,15.31,15.53,92639
2016-02-11 09:30:00,15.19,15.27,15.14,15.24,155701
2016-02-12 09:30:00,15.47,15.75,15.47,15.74,129425
2016-02-16 09:30:00,16.05,16.29,15.91,16.12,265938
2016-02-17 09:30:00,16.62,16.74,16.38,16.64,141857
2016-02-18 09:30:00,16.71,16.83,16.6,16.74,142746
2016-02-19 09:30:00,16.84,16.9,16.67,16.71,111954
2016-02-22 09:30:00,16.94,17.07,16.76,16.97,66988
2016-02-23 09:30:00,17.0,17.16,16.93,17.1,116767
2016-02-24 09:30:00,16.86,16.89,16.71,16.72,51482
2016-02-25 09:30:00,16.97,17.07,16.7,16.7,96776
2016-02-26 09:30:00,17.28,17.37,17.1,17.17,100363
2016-02-29 09:30:00,17.14,17.14,16.95,17.07,97715
2016-03-01 09:30:00,17.09,17.26,17.08,17.25,77424
2016-03-02 09:30:00,17.3,17.34,17.19,17.3,80059
2016-03-03 09:30:00,17.35,17.36,17.15,17.29,111422
2016-03-04 09:30:00,17.76,17.92,17.65,17.81,84441
2016-03-07 09:30:00,17.51,17.71,17.46,17.69,75909
2016-03-08 09:30:00,18.06,18.15,17.96,18.01,73969
2016-03-09 09:30:00,18.26,18.37,18.07,18.35,91571
2016-03-10 09:30:00,18.53,18.59,18.39,18.43,110734
2016-03-11 09:30:00,18.19,18.41,18.04,18.23,103358
2016-03-14 09:30:00,18.69,18.75,18.31,18.54,30687
2016-03-15 09:30:00,18.49,18.53,18.43,18.52,45864
2016-03-16 09:30:00,18.28,18.29,18.19,18.21,113653
2016-03-17 09:30:00,18.6,18.74,18.53,18.73,51141
2016-03-18 09:30:00,19.21,19.44,19.05,19.42,326053
2016-03-21 09:30:00,19.16,19.18,18.95,19.03,98854
2016-03-22 09:30:00,19.03,19.03,18.93,19.03,49811
2016-03-23 09:30:00,19.35,19.36,19.22,19.25,85370
2016-03-24 09:30:00,19.23,19.31,19.09,19.09,98226
2016-03-28 09:30:00,19.31,19.47,19.3,19.47,44747
2016-03-29 09:30:00,19.36,19.43,19.35,19.35,61133
2016-03-30 09:30:00,19.76,19.8,19.65,19.69,53603
2016-03-31 09:30:00,19.75,19.82,19.71,19.73,55562
2016-04-01 09:30:00,19.55,19.73,19.11,19.13,254010
2016-04-04 09:30:00,19.25,19.25,19.11,19.23,105809
2016-04-05 09:30:00,19.18,19.23,19.03,19.13,64260
2016-04-06 09:30:00,19.17,19.17,19.02,19.02,33323
2016-04-07 09:30:00,19.05,19.1,18.95,19.09,47351
2016-04-08 09:30:00,19.12,19.25,19.09,19.23,68063
2016-04-11 09:30:00,19.29,19.37,19.22,19.27,94683
