open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,60.8,60.95,59.87,60.42,974583
2016-01-05 09:30:00,61.01,61.25,60.44,61.07,314541
2016-01-06 09:30:00,60.81,61.29,60.34,61.04,405387
2016-01-07 09:30:00,60.61,61.22,60.0,61.1,402903
2016-01-08 09:30:00,59.96,60.35,59.77,59.97,408222
2016-01-11 09:30:00,60.06,60.81,59.76,60.0,719451
2016-01-12 09:30:00,60.52,60.79,60.2,60.57,158931
2016-01-13 09:30:00,62.49,63.56,62.22,62.63,1925496
2016-01-14 09:30:00,61.03,61.83,60.37,60.44,672300
2016-01-15 09:30:00,60.03,61.0,59.99,60.65,628605
2016-01-19 09:30:00,62.06,62.32,61.59,62.32,366390
2016-01-20 09:30:00,61.37,62.42,61.3,61.72,586854
2016-01-21 09:30:00,61.83,62.21,60.82,60.82,371763
2016-01-22 09:30:00,63.21,64.44,61.77,63.04,1757988
2016-01-25 09:30:00,62.65,63.11,62.41,62.61,249930
2016-01-26 09:30:00,61.11,61.67,60.58,60.71,1003878
2016-01-27 09:30:00,60.69,60.78,60.4,60.54,247698
2016-01-28 09:30:00,59.52,59.87,58.66,58.83,302607
2016-01-29 09:30:00,58.62,59.58,58.62,59.4,304857
2016-02-01 09:30:00,59.89,60.55,59.75,60.1,352062
2016-02-02 09:30:00,60.33,60.54,59.74,59.96,231453
2016-02-03 09:30:00,60.39,60.39,59.85,60.32,201951
2016-02-04 09:30:00,60.41,60.52,59.68,60.08,255672
2016-02-05 09:30:00,61.22,61.6,61.11,61.19,446616
2016-02-08 09:30:00,58.95,58.95,57.31,57.38,560259
2016-02-09 09:30:00,56.35,57.83,55.78,57.24,525762
2016-02-10 09:30:00,56.67,58.14,56.67,58.14,287811
2016-02-11 09:30:00,57.15,57.95,57.15,57.92,194814
2016-02-12 09:30:00,58.13,58.64,57.84,57.84,111357
2016-02-16 09:30:00,59.56,59.56,59.24,59.26,142542
2016-02-17 09:30:00,59.5,59.5,59.11,59.28,165654
2016-02-18 09:30:00,60.1,60.44,59.79,60.34,238428
2016-02-19 09:30:00,59.85,59.89,58.94,59.67,415818
2016-02-22 09:30:00,61.0,61.05,60.54,60.89,174384
2016-02-23 09:30:00,60.79,61.44,60.79,61.11,253836
2016-02-24 09:30:00,60.45,61.1,60.45,61.1,263655
2016-02-25 09:30:00,61.67,61.67,61.06,61.14,433404
2016-02-26 09:30:00,62.22,62.6,61.89,62.52,742230
2016-02-29 09:30:00,62.94,63.32,62.85,63.13,261081
2016-03-01 09:30:00,62.69,63.12,62.38,63.05,505161
2016-03-02 09:30:00,63.04,63.65,63.04,63.3,398484
2016-03-03 09:30:00,63.33,63.82,63.15,63.64,380691
2016-03-04 09:30:00,63.83,63.83,63.13,63.52,376218
2016-03-07 09:30:00,63.38,63.38,62.97,63.0,194967
2016-03-08 09:30:00,63.15,63.64,63.0,63.29,294669
2016-03-09 09:30:00,63.34,63.37,63.04,63.14,342954
2016-03-10 09:30:00,63.54,63.56,63.0,63.37,177264
2016-03-11 09:30:00,63.89,64.32,63.69,64.02,365157
2016-03-14 09:30:00,64.45,65.0,63.91,64.86,420741
2016-03-15 09:30:00,65.24,65.89,65.24,65.25,800523
2016-03-16 09:30:00,64.76,66.03,64.76,65.16,326889
2016-03-17 09:30:00,65.39,65.56,64.48,64.49,418581
2016-03-18 09:30:00,62.89,63.05,62.51,62.72,1496817
2016-03-21 09:30:00,64.67,64.75,64.17,64.74,225117
2016-03-22 09:30:00,64.4,64.85,64.23,64.82,214236
2016-03-23 09:30:00,65.69,65.84,65.27,65.83,92610
2016-03-24 09:30:00,64.81,64.81,64.0,64.11,218448
2016-03-28 09:30:00,65.08,65.08,64.5,64.94,83934
2016-03-29 09:30:00,64.79,65.43,64.67,65.18,124542
2016-03-30 09:30:00,67.53,67.53,66.95,67.03,238338
2016-03-31 09:30:00,66.59,66.66,66.13,66.57,115317
2016-04-01 09:30:00,66.13,66.37,65.67,66.36,487314
2016-04-04 09:30:00,67.5,67.77,67.03,67.76,218484
2016-04-05 09:30:00,68.61,68.81,68.25,68.52,301770
2016-04-06 09:30:00,67.99,68.96,67.99,68.87,294480
2016-04-07 09:30:00,69.54,69.54,68.95,68.95,155808
2016-04-08 09:30:00,68.99,69.11,68.35,68.99,252441
2016-04-11 09:30:00,69.23,69.48,68.91,69.14,237267
2016-04-12 09:30:00,69.6,69.6,68.83,69.38,345519
2016-04-13 09:30:00,69.65,69.99,69.46,69.98,397935
2016-04-14 09:30:00,69.67,69.84,69.22,69.34,392121
2016-04-15 09:30:00,69.39,69.42,68.89,69.38,561861
2016-04-18 09:30:00,69.4,69.8,69.11,69.21,182808
2016-04-19 09:30:00,69.67,69.72,69.24,69.54,841185
2016-04-20 09:30:00,71.66,72.76,71.33,72.38,1763532
2016-04-21 09:30:00,71.51,72.1,71.11,71.7,362025
2016-04-22 09:30:00,70.17,71.1,69.77,70.77,1153521
2016-04-25 09:30:00,70.32,70.78,70.28,70.76,240048
2016-04-26 09:30:00,71.11,71.11,70.24,70.55,394902
2016-04-27 09:30:00,70.41,70.75,69.71,70.0,168174
2016-04-28 09:30:00,69.76,70.55,69.76,70.55,263196
2016-04-29 09:30:00,69.67,69.85,69.23,69.76,297216
2016-05-02 09:30:00,69.75,70.48,69.58,70.31,274923
2016-05-03 09:30:00,69.64,69.98,69.01,69.1,550584
2016-05-04 09:30:00,68.4,68.57,67.99,68.4,152613
2016-05-05 09:30:00,68.63,68.66,68.19,68.5,91854
2016-05-06 09:30:00,68.21,68.6,68.07,68.43,179775
2016-05-09 09:30:00,68.57,69.63,68.57,69.57,281484
2016-05-10 09:30:00,69.57,69.89,69.0,69.24,172485
2016-05-11 09:30:00,69.72,69.89,69.42,69.77,202122
2016-05-12 09:30:00,69.94,69.94,69.44,69.51,138231
2016-05-13 09:30:00,70.45,70.67,70.17,70.55,165528
2016-05-16 09:30:00,69.9,70.34,69.78,70.32,180198
2016-05-17 09:30:00,70.47,70.61,69.96,70.11,222120
2016-05-18 09:30:00,69.09,69.09,68.5,68.56,414531
2016-05-19 09:30:00,69.04,69.36,68.92,69.22,307422
2016-05-20 09:30:00,69.43,70.11,69.08,69.99,410508
2016-05-23 09:30:00,70.18,70.24,69.89,70.14,148131
2016-05-24 09:30:00,70.35,70.54,69.88,70.47,421326
2016-05-25 09:30:00,70.95,71.43,70.9,71.19,279558
2016-05-26 09:30:00,71.15,71.57,71.01,71.26,345699
2016-05-27 09:30:00,71.11,71.24,70.76,70.83,360009
2016-05-31 09:30:00,71.01,71.1,70.44,70.45,340083
2016-06-01 09:30:00,70.25,70.4,69.74,69.82,320319
2016-06-02 09:30:00,70.11,70.89,70.0,70.39,527364
2016-06-03 09:30:00,71.05,71.06,70.45,70.56,173709
2016-06-06 09:30:00,70.73,70.97,70.61,70.85,106020
2016-06-07 09:30:00,70.56,70.69,70.3,70.44,95688
2016-06-08 09:30:00,70.8,70.97,70.68,70.73,403110
2016-06-09 09:30:00,71.03,71.78,70.79,71.68,127296
2016-06-10 09:30:00,71.3,71.72,71.21,71.3,153612
2016-06-13 09:30:00,70.8,71.68,70.8,71.55,208962
2016-06-14 09:30:00,71.28,71.67,71.19,71.63,156681
2016-06-15 09:30:00,71.84,71.99,71.52,71.8,284661
2016-06-16 09:30:00,71.79,71.79,70.87,70.94,273150
2016-06-17 09:30:00,71.61,71.82,71.44,71.8,994158
2016-06-20 09:30:00,72.05,72.06,71.77,71.87,180324
2016-06-21 09:30:00,72.03,72.33,71.89,71.89,194652
2016-06-22 09:30:00,71.76,72.15,71.69,71.93,101853
2016-06-23 09:30:00,72.68,73.16,72.68,72.8,543222
2016-06-24 09:30:00,71.45,72.21,71.39,72.03,466236
2016-06-27 09:30:00,71.34,71.39,70.93,71.03,383022
2016-06-28 09:30:00,70.33,70.82,70.05,70.35,482490
2016-06-29 09:30:00,71.26,72.1,71.11,72.05,448101
2016-06-30 09:30:00,73.08,73.25,72.89,72.9,103680
2016-07-01 09:30:00,73.51,73.79,73.23,73.63,341676
2016-07-05 09:30:00,73.87,74.1,73.53,74.06,282807
2016-07-06 09:30:00,73.89,74.1,73.67,74.02,176391
2016-07-07 09:30:00,74.33,74.8,74.24,74.8,127350
2016-07-08 09:30:00,75.39,75.39,74.87,75.11,198081
2016-07-11 09:30:00,75.7,75.73,75.35,75.45,296658
2016-07-12 09:30:00,75.35,75.42,74.83,74.95,228132
2016-07-13 09:30:00,75.41,75.41,75.0,75.0,236682
2016-07-14 09:30:00,75.39,75.66,74.91,75.42,217629
2016-07-15 09:30:00,75.38,75.42,74.73,74.75,459495
2016-07-18 09:30:00,74.77,74.88,74.56,74.64,169533
2016-07-19 09:30:00,74.2,74.66,73.9,74.49,269316
2016-07-20 09:30:00,79.12,80.0,78.76,79.7,3025341
2016-07-21 09:30:00,77.33,77.83,77.33,77.81,526995
2016-07-22 09:30:00,76.49,76.52,75.63,76.08,777510
2016-07-25 09:30:00,76.27,76.44,76.07,76.11,273267
2016-07-26 09:30:00,76.55,76.74,76.28,76.63,156150
2016-07-27 09:30:00,76.26,76.84,75.87,76.02,297297
2016-07-28 09:30:00,75.98,76.64,75.98,76.48,248787
2016-07-29 09:30:00,76.67,76.89,76.56,76.86,199548
2016-08-01 09:30:00,77.11,77.5,76.97,77.42,267642
2016-08-02 09:30:00,77.21,77.21,76.74,76.74,91899
2016-08-03 09:30:00,76.91,77.07,76.76,76.89,90702
2016-08-04 09:30:00,76.49,76.64,76.11,76.25,69606
2016-08-05 09:30:00,77.17,77.33,76.74,77.12,194328
2016-08-08 09:30:00,76.93,77.02,76.64,76.85,106821
2016-08-09 09:30:00,77.2,77.72,77.18,77.64,155088
2016-08-10 09:30:00,77.41,77.5,77.01,77.06,61596
2016-08-11 09:30:00,77.13,77.33,76.87,77.19,33210
2016-08-12 09:30:00,77.01,77.01,76.58,76.58,233559
2016-08-15 09:30:00,76.96,77.14,76.78,76.95,63990
2016-08-16 09:30:00,76.78,76.78,76.4,76.65,102330
2016-08-17 09:30:00,76.4,76.4,75.89,75.9,148077
2016-08-18 09:30:00,75.6,75.94,75.6,75.94,128700
2016-08-19 09:30:00,76.19,76.2,75.84,75.95,242361
2016-08-22 09:30:00,76.45,76.56,76.33,76.44,114696
2016-08-23 09:30:00,77.22,77.55,77.0,77.44,167067
2016-08-24 09:30:00,77.21,77.5,77.13,77.13,51435
2016-08-25 09:30:00,76.11,76.21,75.85,76.21,73926
2016-08-26 09:30:00,76.49,76.83,76.41,76.53,86184
2016-08-29 09:30:00,76.16,76.54,76.0,76.06,212148
2016-08-30 09:30:00,76.43,76.58,76.22,76.22,69885
2016-08-31 09:30:00,76.61,76.61,75.91,76.13,138780
2016-09-01 09:30:00,76.32,76.32,76.09,76.12,113580
2016-09-02 09:30:00,77.05,77.05,76.55,76.66,158220
2016-09-06 09:30:00,76.67,76.72,76.25,76.26,104463
2016-09-07 09:30:00,76.67,77.05,76.57,76.99,142614
2016-09-08 09:30:00,76.42,76.77,76.24,76.54,75933
2016-09-09 09:30:00,76.12,76.23,75.77,75.82,273618
2016-09-12 09:30:00,75.04,75.62,74.86,75.6,266598
2016-09-13 09:30:00,75.3,75.76,75.14,75.14,247725
2016-09-14 09:30:00,74.75,75.1,74.55,74.99,384183
2016-09-15 09:30:00,74.54,75.08,74.54,74.63,360144
2016-09-16 09:30:00,76.34,76.34,75.96,76.19,1050534
2016-09-19 09:30:00,76.86,77.08,76.73,77.04,268218
