open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,38.37,38.48,38.08,38.38,75479
2016-01-05 09:30:00,38.7,39.09,38.39,38.4,93505
2016-01-06 09:30:00,37.54,37.86,37.5,37.82,70512
2016-01-07 09:30:00,37.02,37.4,36.79,37.33,93677
2016-01-08 09:30:00,36.75,37.07,36.54,36.76,83925
2016-01-11 09:30:00,36.06,36.34,35.73,35.79,85340
2016-01-12 09:30:00,36.1,36.14,35.7,35.94,117317
2016-01-13 09:30:00,36.55,36.77,36.41,36.47,57319
2016-01-14 09:30:00,35.77,35.77,34.88,34.9,91170
2016-01-15 09:30:00,34.46,34.81,34.26,34.53,188499
2016-01-19 09:30:00,35.26,35.45,34.14,34.45,98981
2016-01-20 09:30:00,33.29,33.29,32.76,32.85,140044
2016-01-21 09:30:00,34.21,34.58,33.98,34.07,95638
2016-01-22 09:30:00,34.66,35.35,34.53,35.35,74571
2016-01-25 09:30:00,34.45,34.84,34.3,34.78,63079
2016-01-26 09:30:00,34.23,34.46,33.91,34.02,230696
2016-01-27 09:30:00,34.71,34.88,34.48,34.48,58585
2016-01-28 09:30:00,35.16,35.35,35.04,35.22,39036
2016-01-29 09:30:00,35.1,35.51,34.75,35.51,54396
2016-02-01 09:30:00,36.0,36.0,35.4,35.63,89569
2016-02-02 09:30:00,35.38,35.83,35.36,35.81,85078
2016-02-03 09:30:00,36.04,36.04,34.14,34.32,419051
2016-02-04 09:30:00,34.54,35.32,34.48,35.32,142764
2016-02-05 09:30:00,34.58,35.02,34.28,34.96,109586
2016-02-08 09:30:00,33.85,33.98,33.54,33.66,59871
2016-02-09 09:30:00,32.8,33.1,32.57,32.96,77215
2016-02-10 09:30:00,33.1,33.32,32.89,32.97,63997
2016-02-11 09:30:00,32.43,32.98,32.39,32.89,123709
2016-02-12 09:30:00,32.82,33.21,32.43,32.49,75531
2016-02-16 09:30:00,34.14,34.27,33.5,33.57,86887
2016-02-17 09:30:00,34.97,35.62,34.97,35.35,130167
2016-02-18 09:30:00,35.88,36.0,35.52,35.86,48705
2016-02-19 09:30:00,34.73,34.73,34.05,34.31,117816
2016-02-22 09:30:00,35.69,36.37,35.69,36.13,60347
2016-02-23 09:30:00,35.66,36.31,35.31,36.08,108077
2016-02-24 09:30:00,34.97,34.97,34.6,34.74,77286
2016-02-25 09:30:00,35.9,36.18,35.38,35.4,55719
2016-02-26 09:30:00,36.06,36.13,35.81,35.98,76159
2016-02-29 09:30:00,36.04,36.28,35.62,35.62,31919
2016-03-01 09:30:00,36.08,36.41,35.97,36.13,72822
2016-03-02 09:30:00,36.64,37.12,36.49,36.81,54952
2016-03-03 09:30:00,37.16,37.41,37.09,37.3,59863
2016-03-04 09:30:00,37.77,37.8,37.28,37.42,42493
2016-03-07 09:30:00,37.66,38.28,37.66,38.19,34850
2016-03-08 09:30:00,38.43,38.61,37.83,37.85,86335
2016-03-09 09:30:00,38.13,38.13,37.93,37.98,45590
2016-03-10 09:30:00,37.88,38.0,37.67,37.92,37354
2016-03-11 09:30:00,37.97,38.35,37.93,38.26,33993
2016-03-14 09:30:00,38.49,38.64,37.98,38.06,62829
2016-03-15 09:30:00,38.08,38.56,37.94,38.49,130915
2016-03-16 09:30:00,38.25,38.79,38.18,38.7,52134
2016-03-17 09:30:00,39.33,39.51,39.26,39.45,32864
2016-03-18 09:30:00,40.81,41.36,40.72,41.17,163712
2016-03-21 09:30:00,40.75,40.95,40.51,40.59,23497
2016-03-22 09:30:00,40.94,41.12,40.75,41.09,29744
2016-03-23 09:30:00,41.11,41.2,40.94,41.12,19465
2016-03-24 09:30:00,40.23,40.27,40.03,40.16,37191
2016-03-28 09:30:00,40.37,40.41,39.8,39.95,124312
2016-03-29 09:30:00,39.78,39.78,39.47,39.73,23583
2016-03-30 09:30:00,40.7,40.82,40.48,40.69,79515
2016-03-31 09:30:00,40.57,40.63,40.38,40.43,35111
2016-04-01 09:30:00,39.98,40.08,39.44,39.57,49707
2016-04-04 09:30:00,40.57,40.62,40.27,40.56,35804
2016-04-05 09:30:00,39.5,39.7,39.31,39.68,19687
2016-04-06 09:30:00,39.45,39.62,39.35,39.42,28334
2016-04-07 09:30:00,38.82,38.96,38.53,38.7,64141
2016-04-08 09:30:00,38.5,38.96,38.44,38.92,22123
2016-04-11 09:30:00,38.47,38.73,38.25,38.71,23407
2016-04-12 09:30:00,38.45,38.77,38.38,38.71,28706
2016-04-13 09:30:00,38.94,39.15,38.92,39.15,29050
2016-04-14 09:30:00,39.97,39.99,39.72,39.81,22597
2016-04-15 09:30:00,39.19,39.46,39.03,39.09,66197
2016-04-18 09:30:00,38.86,38.97,38.76,38.81,23568
2016-04-19 09:30:00,39.72,40.15,39.7,40.15,25259
2016-04-20 09:30:00,40.01,40.01,39.83,39.93,31289
2016-04-21 09:30:00,40.22,40.51,40.2,40.3,41156
2016-04-22 09:30:00,40.39,40.69,40.37,40.69,41351
2016-04-25 09:30:00,40.39,40.81,40.3,40.73,59662
2016-04-26 09:30:00,40.65,41.15,40.65,41.13,46475
2016-04-27 09:30:00,41.2,41.58,41.17,41.56,26461
2016-04-28 09:30:00,41.34,41.66,41.3,41.54,35886
2016-04-29 09:30:00,41.19,41.61,41.16,41.41,34524
2016-05-02 09:30:00,41.41,41.55,41.02,41.15,21440
2016-05-03 09:30:00,41.12,41.43,41.04,41.09,125858
2016-05-04 09:30:00,41.68,41.95,41.35,41.85,111151
2016-05-05 09:30:00,41.62,42.48,41.24,42.37,113465
2016-05-06 09:30:00,43.2,44.23,43.04,44.14,235861
2016-05-09 09:30:00,45.33,46.3,45.21,45.79,250987
2016-05-10 09:30:00,45.99,46.38,45.75,46.11,217413
2016-05-11 09:30:00,46.77,46.83,46.51,46.56,67498
2016-05-12 09:30:00,46.68,47.07,46.58,46.71,72892
2016-05-13 09:30:00,46.22,46.58,45.88,46.11,89285
2016-05-16 09:30:00,45.87,46.39,45.8,45.98,132386
2016-05-17 09:30:00,46.4,46.62,46.12,46.6,71014
2016-05-18 09:30:00,45.65,46.36,45.65,46.1,124161
2016-05-19 09:30:00,45.42,45.81,44.97,44.97,73078
2016-05-20 09:30:00,45.79,46.11,45.47,45.84,102253
2016-05-23 09:30:00,45.63,45.79,45.22,45.28,112047
2016-05-24 09:30:00,45.47,45.55,45.17,45.19,61098
2016-05-25 09:30:00,45.91,46.28,45.85,45.91,125898
2016-05-26 09:30:00,46.56,46.76,46.22,46.29,33112
2016-05-27 09:30:00,46.31,46.4,46.12,46.4,59496
2016-05-31 09:30:00,46.56,47.01,46.42,46.93,63810
2016-06-01 09:30:00,46.83,46.95,46.63,46.95,99488
2016-06-02 09:30:00,47.01,47.14,46.88,47.07,57014
2016-06-03 09:30:00,47.32,47.46,46.86,46.92,101430
2016-06-06 09:30:00,47.9,48.12,47.69,48.07,50695
2016-06-07 09:30:00,48.14,48.25,47.84,48.06,45803
2016-06-08 09:30:00,48.24,48.67,48.21,48.57,68509
2016-06-09 09:30:00,48.48,48.71,48.04,48.61,63701
2016-06-10 09:30:00,48.19,48.28,47.98,48.07,28891
2016-06-13 09:30:00,47.64,47.8,47.44,47.72,48339
2016-06-14 09:30:00,47.07,47.36,46.9,47.15,59407
2016-06-15 09:30:00,47.59,47.73,47.32,47.46,32701
2016-06-16 09:30:00,47.05,47.09,46.62,46.64,33478
2016-06-17 09:30:00,47.33,47.49,47.15,47.34,115579
2016-06-20 09:30:00,48.22,48.46,48.17,48.39,46457
2016-06-21 09:30:00,48.51,48.54,48.16,48.22,33709
2016-06-22 09:30:00,48.64,48.68,48.48,48.59,61121
2016-06-23 09:30:00,49.13,49.29,49.0,49.13,68431
2016-06-24 09:30:00,46.36,47.67,46.36,47.48,90064
2016-06-27 09:30:00,46.1,46.71,44.68,44.71,100729
2016-06-28 09:30:00,44.82,45.0,44.44,44.48,91282
2016-06-29 09:30:00,45.07,45.33,44.51,44.74,50220
2016-06-30 09:30:00,45.37,45.46,45.01,45.09,32301
2016-07-01 09:30:00,46.3,46.69,46.08,46.51,132596
2016-07-05 09:30:00,45.89,46.04,45.24,45.27,52524
2016-07-06 09:30:00,45.07,45.58,44.78,45.51,59683
2016-07-07 09:30:00,46.31,46.77,46.21,46.76,33578
2016-07-08 09:30:00,46.76,47.13,46.68,47.09,56323
2016-07-11 09:30:00,47.82,48.38,47.82,48.23,51786
2016-07-12 09:30:00,48.27,49.09,48.27,48.84,73920
2016-07-13 09:30:00,49.68,49.87,48.79,49.17,122271
2016-07-14 09:30:00,49.31,49.64,49.26,49.37,49957
2016-07-15 09:30:00,49.09,49.42,48.75,49.0,118213
2016-07-18 09:30:00,48.85,48.95,48.58,48.92,28042
2016-07-19 09:30:00,48.85,48.94,48.62,48.68,41168
2016-07-20 09:30:00,48.68,48.73,48.3,48.57,34685
2016-07-21 09:30:00,49.6,50.1,49.22,49.68,63870
2016-07-22 09:30:00,49.42,49.5,49.08,49.08,36003
2016-07-25 09:30:00,49.06,49.11,48.87,48.91,23020
2016-07-26 09:30:00,49.37,49.81,49.3,49.7,43034
2016-07-27 09:30:00,50.02,50.32,49.9,50.14,73658
2016-07-28 09:30:00,50.42,50.57,50.09,50.45,34175
2016-07-29 09:30:00,50.14,50.14,49.53,49.55,27787
2016-08-01 09:30:00,49.6,49.66,49.06,49.47,45941
2016-08-02 09:30:00,49.53,49.6,49.2,49.33,43266
2016-08-03 09:30:00,49.12,49.19,48.81,48.83,41561
2016-08-04 09:30:00,49.12,49.21,48.98,49.13,49414
2016-08-05 09:30:00,49.42,49.94,49.41,49.92,73726
2016-08-08 09:30:00,50.04,50.46,50.02,50.21,55817
2016-08-09 09:30:00,50.38,51.86,49.67,51.86,214766
2016-08-10 09:30:00,51.39,51.5,50.58,50.58,114923
2016-08-11 09:30:00,50.12,51.04,49.53,50.6,152531
2016-08-12 09:30:00,50.31,50.41,50.06,50.09,59644
2016-08-15 09:30:00,49.88,50.04,49.65,50.0,24360
2016-08-16 09:30:00,50.04,50.32,49.77,50.08,63095
2016-08-17 09:30:00,49.91,49.96,49.41,49.73,32430
2016-08-18 09:30:00,49.53,49.68,49.43,49.67,17265
2016-08-19 09:30:00,49.95,49.98,49.44,49.46,89856
2016-08-22 09:30:00,49.75,49.8,49.41,49.64,51678
2016-08-23 09:30:00,50.31,50.62,50.31,50.36,38026
2016-08-24 09:30:00,50.47,50.86,50.4,50.58,22286
2016-08-25 09:30:00,50.15,50.27,50.03,50.22,20594
2016-08-26 09:30:00,50.69,51.23,50.69,50.77,59512
2016-08-29 09:30:00,50.48,50.57,50.42,50.49,38953
2016-08-30 09:30:00,50.79,50.91,50.51,50.54,44963
2016-08-31 09:30:00,49.35,49.35,48.95,49.11,53961
2016-09-01 09:30:00,48.92,49.18,48.92,49.07,32943
